Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,9,62.00,-19.00,1,0.300000,2,5
2,13,60.00,48.00,1,0.299100,6,2
3,17,64.00,109.00,1,0.298203,2,12
4,1,50.00,4.00,1,0.297308,0,0
5,10,-19.00,36.00,1,0.296416,7,8
6,20,-20.00,97.00,0,0.295527,3,13
7,3,53.00,38.00,1,0.294640,1,1
8,20,15.00,105.00,0,0.293756,2,14
9,20,93.00,-30.00,0,0.292875,3,16
10,4,27.00,52.00,1,0.291997,2,2
11,20,-85.00,101.00,0,0.291121,7,12
12,20,32.00,-40.00,0,0.290247,6,12
13,4,77.00,57.00,1,0.289376,1,1
14,1,50.00,4.00,1,0.288508,0,0
15,8,45.00,68.00,1,0.287643,1,4
16,13,38.00,75.00,1,0.286780,2,9
17,3,48.00,53.00,1,0.285920,0,1
18,20,20.00,76.00,0,0.285062,6,6
19,20,51.00,-50.00,0,0.284207,6,5
20,2,49.00,54.00,1,0.283354,0,0
21,20,22.00,36.00,0,0.282504,4,14
22,16,65.00,92.00,1,0.281656,4,5
23,3,88.00,58.00,1,0.280811,0,0
24,1,50.00,4.00,1,0.279969,0,0
25,2,49.00,54.00,1,0.279129,0,0
26,20,-20.00,102.00,0,0.278292,3,13
27,2,49.00,54.00,1,0.277457,0,0
28,20,20.00,50.00,0,0.276624,8,4
29,20,-25.00,-5.00,0,0.275795,9,4
30,2,49.00,54.00,1,0.274967,0,0
31,12,39.00,74.00,1,0.274142,1,9
32,3,88.00,58.00,1,0.273320,0,0
33,3,88.00,58.00,1,0.272500,0,0
34,1,50.00,4.00,1,0.271682,0,0
35,2,49.00,54.00,1,0.270867,0,0
36,5,46.00,53.00,1,0.270055,1,1
37,2,49.00,54.00,1,0.269245,0,0
38,20,20.00,27.00,0,0.268437,10,2
39,20,-20.00,-68.00,0,0.267632,9,3
40,3,48.00,43.00,1,0.266829,1,1
41,11,30.00,20.00,1,0.266028,1,8
42,12,79.00,39.00,1,0.265230,5,1
43,3,88.00,58.00,1,0.264434,0,0
44,1,50.00,4.00,1,0.263641,0,0
45,4,47.00,54.00,1,0.262850,1,0
46,13,33.00,98.00,1,0.262062,0,11
47,2,49.00,54.00,1,0.261275,0,0
48,20,20.00,57.00,0,0.260492,8,0
49,20,-20.00,-33.00,0,0.259710,9,3
50,2,49.00,54.00,1,0.258931,0,0
51,13,38.00,75.00,1,0.258154,2,9
52,6,80.00,45.00,1,0.257380,1,1
53,9,94.00,77.00,1,0.256608,1,2
54,1,50.00,4.00,1,0.255838,0,0
55,3,48.00,53.00,1,0.255070,0,1
56,20,72.00,-30.00,0,0.254305,2,18
57,2,49.00,54.00,1,0.253542,0,0
58,20,100.00,0.00,0,0.252781,5,12
59,20,83.00,-30.00,0,0.252023,5,12
60,2,49.00,54.00,1,0.251267,0,0
61,2,49.00,54.00,1,0.250513,0,0
62,20,-18.00,-30.00,0,0.249762,9,4
63,10,71.00,23.00,1,0.249012,2,3
64,1,50.00,4.00,1,0.248265,0,0
65,3,48.00,53.00,1,0.247521,0,1
