Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,10,16.00,-70.00,1,0.300000,9,4
2,20,-125.00,118.00,0,0.299100,11,14
3,16,5.00,102.00,1,0.298203,4,12
4,20,-50.00,-24.00,0,0.297308,6,16
5,6,60.00,25.00,1,0.296416,2,4
6,3,43.00,58.00,1,0.295527,0,1
7,16,15.00,95.00,1,0.294640,3,14
8,20,-1.00,61.00,0,0.293756,10,8
9,20,-75.00,-43.00,0,0.292875,12,13
10,20,-99.00,-80.00,0,0.291997,17,17
11,20,-95.00,126.00,0,0.291121,7,16
12,11,5.00,90.00,1,0.290247,3,4
13,2,49.00,54.00,1,0.289376,0,0
14,20,-8.00,-79.00,0,0.288508,6,12
15,12,36.00,-31.00,1,0.287643,9,8
16,2,49.00,54.00,1,0.286780,0,0
17,9,49.00,41.00,1,0.285920,4,1
18,20,-8.00,-8.00,0,0.285062,10,5
19,20,-20.00,-40.00,0,0.284207,11,2
20,20,3.00,-95.00,0,0.283354,13,15
21,13,38.00,98.00,1,0.282504,0,10
22,20,5.00,58.00,0,0.281656,5,11
23,2,49.00,54.00,1,0.280811,0,0
24,20,28.00,57.00,1,0.279969,4,13
25,8,43.00,-2.00,1,0.279129,5,6
26,3,58.00,38.00,1,0.278292,1,1
27,18,95.00,13.00,1,0.277457,4,14
28,20,37.00,-13.00,0,0.276624,9,3
29,20,-19.00,-30.00,0,0.275795,9,2
30,20,126.00,-40.00,0,0.274967,2,17
31,3,48.00,43.00,1,0.274142,1,1
32,9,82.00,82.00,1,0.273320,0,3
33,5,36.00,56.00,1,0.272500,2,1
34,8,83.00,32.00,1,0.271682,0,6
35,2,54.00,49.00,1,0.270867,0,0
36,4,47.00,54.00,1,0.270055,1,0
37,2,54.00,49.00,1,0.269245,0,0
38,20,0.00,98.00,0,0.268437,7,8
39,20,-80.00,-30.00,0,0.267632,12,3
40,4,62.00,37.00,1,0.266829,1,0
41,11,30.00,90.00,1,0.266028,1,0
42,8,43.00,78.00,1,0.265230,0,0
43,2,49.00,54.00,1,0.264434,0,0
44,4,87.00,8.00,1,0.263641,1,0
45,3,58.00,38.00,1,0.262850,1,1
46,2,49.00,54.00,1,0.262062,0,0
47,4,52.00,27.00,1,0.261275,2,2
48,20,10.00,61.00,0,0.260492,9,4
49,20,-68.00,-8.00,0,0.259710,12,5
50,2,49.00,54.00,1,0.258931,0,0
51,2,49.00,54.00,1,0.258154,0,0
52,20,-20.00,126.00,0,0.257380,0,3
53,2,49.00,54.00,1,0.256608,0,0
54,3,88.00,12.00,1,0.255838,0,1
55,2,54.00,49.00,1,0.255070,0,0
56,2,49.00,54.00,1,0.254305,0,0
57,2,54.00,49.00,1,0.253542,0,0
58,20,12.00,71.00,0,0.252781,8,6
59,20,-13.00,-35.00,0,0.252023,11,4
60,20,110.00,-35.00,0,0.251267,3,15
61,3,48.00,43.00,1,0.250513,1,1
62,12,54.00,84.00,1,0.249762,2,4
63,2,49.00,54.00,1,0.249012,0,0
64,2,89.00,8.00,1,0.248265,0,0
65,2,54.00,49.00,1,0.247521,0,0
66,3,48.00,58.00,1,0.246778,0,1
67,2,54.00,49.00,1,0.246038,0,0
68,20,10.00,106.00,0,0.245300,5,10
69,20,-4.00,-58.00,0,0.244564,10,1
70,20,126.00,-50.00,0,0.243830,3,13
71,4,37.00,62.00,1,0.243099,1,2
72,11,55.00,90.00,1,0.242369,2,3
73,2,49.00,54.00,1,0.241642,0,0
74,4,87.00,16.00,1,0.240917,1,0
75,3,58.00,43.00,1,0.240194,0,1
76,2,49.00,54.00,1,0.239474,0,0
77,4,32.00,62.00,1,0.238755,1,2
78,20,-45.00,15.00,0,0.238039,10,3
79,20,56.00,-75.00,0,0.237325,5,13
80,20,116.00,-65.00,0,0.236613,4,17
81,3,48.00,43.00,1,0.235903,1,1
82,20,-40.00,126.00,0,0.235196,2,3
83,2,49.00,54.00,1,0.234490,0,0
84,1,50.00,4.00,1,0.233786,0,0
85,3,43.00,48.00,1,0.233085,1,1
86,2,49.00,54.00,1,0.232386,0,0
87,2,54.00,49.00,1,0.231689,0,0
88,20,-20.00,10.00,0,0.230994,10,1
89,20,-65.00,-73.00,0,0.230301,11,2
90,7,74.00,39.00,1,0.229610,0,5
91,2,49.00,54.00,1,0.228921,0,0
92,20,-40.00,105.00,0,0.228234,4,2
93,2,49.00,54.00,1,0.227549,0,0
94,3,83.00,12.00,1,0.226867,0,1
95,2,54.00,49.00,1,0.226186,0,0
96,2,49.00,54.00,1,0.225508,0,0
97,2,54.00,49.00,1,0.224831,0,0
98,20,10.00,10.00,0,0.224157,10,2
99,20,-75.00,-73.00,0,0.223484,13,6
100,12,94.00,29.00,1,0.222814,1,8
101,4,42.00,62.00,1,0.222145,0,2
102,4,47.00,62.00,1,0.221479,0,1
103,7,29.00,74.00,1,0.220814,1,3
104,2,89.00,8.00,1,0.220152,0,0
105,4,52.00,27.00,1,0.219492,2,2
106,2,54.00,49.00,1,0.218833,0,0
107,3,43.00,48.00,1,0.218177,1,1
108,20,17.00,5.00,0,0.217522,5,12
109,20,-90.00,-40.00,0,0.216869,11,5
110,11,72.00,25.00,1,0.216219,1,7
111,20,57.00,-50.00,0,0.215570,7,11
112,20,-20.00,118.00,0,0.214923,1,2
113,3,48.00,58.00,1,0.214279,0,1
114,2,89.00,8.00,1,0.213636,0,0
115,2,54.00,49.00,1,0.212995,0,0
116,2,49.00,54.00,1,0.212356,0,0
117,2,54.00,49.00,1,0.211719,0,0
118,20,-60.00,10.00,0,0.211084,12,5
119,20,2.00,-30.00,0,0.210450,11,2
120,2,54.00,49.00,1,0.209819,0,0
121,16,90.00,15.00,1,0.209190,3,13
122,20,20.00,118.00,0,0.208562,1,1
123,2,49.00,54.00,1,0.207936,0,0
124,2,89.00,8.00,1,0.207313,0,0
125,2,54.00,49.00,1,0.206691,0,0
126,2,49.00,54.00,1,0.206071,0,0
127,2,54.00,49.00,1,0.205452,0,0
128,20,-65.00,47.00,0,0.204836,11,5
129,20,-70.00,111.00,0,0.204222,3,17
130,2,54.00,49.00,1,0.203609,0,0
131,3,48.00,58.00,1,0.202998,0,0
132,16,15.00,110.00,1,0.202389,2,2
133,2,49.00,54.00,1,0.201782,0,0
134,2,89.00,8.00,1,0.201177,0,0
135,2,54.00,49.00,1,0.200573,0,0
136,2,49.00,54.00,1,0.199971,0,0
137,4,52.00,32.00,1,0.199371,1,2
