Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,3,99.00,43.00,1,0.298203,1,1
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,1,50.00,50.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,4,78.00,57.00,1,0.293756,2,2
8,1,50.00,50.00,1,0.292875,0,0
9,15,44.00,16.00,1,0.291997,4,10
10,18,-110.00,30.00,1,0.291121,15,14
11,0,0.00,0.00,1,0.290247,0,0
12,2,100.00,54.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,0,0.00,0.00,1,0.287643,0,0
15,1,50.00,50.00,1,0.286780,0,0
16,0,0.00,0.00,1,0.285920,0,0
17,2,100.00,54.00,1,0.285062,0,0
18,3,104.00,88.00,1,0.284207,0,0
19,14,48.00,27.00,1,0.283354,2,11
20,2,39.00,49.00,1,0.282504,1,1
21,0,0.00,0.00,1,0.281656,0,0
22,2,100.00,54.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,0,0.00,0.00,1,0.279129,0,0
25,1,50.00,50.00,1,0.278292,0,0
26,0,0.00,0.00,1,0.277457,0,0
27,2,100.00,54.00,1,0.276624,0,0
28,1,50.00,50.00,1,0.275795,0,0
29,3,4.00,48.00,1,0.274967,1,0
30,1,50.00,50.00,1,0.274142,0,0
31,0,0.00,0.00,1,0.273320,0,0
32,2,100.00,54.00,1,0.272500,0,0
33,0,0.00,0.00,1,0.271682,0,0
34,0,0.00,0.00,1,0.270867,0,0
35,1,50.00,50.00,1,0.270055,0,0
36,0,0.00,0.00,1,0.269245,0,0
37,2,100.00,54.00,1,0.268437,0,0
38,1,50.00,50.00,1,0.267632,0,0
39,15,60.00,6.00,1,0.266829,3,14
40,1,50.00,50.00,1,0.266028,0,0
41,0,0.00,0.00,1,0.265230,0,0
42,2,100.00,54.00,1,0.264434,0,0
43,0,0.00,0.00,1,0.263641,0,0
44,0,0.00,0.00,1,0.262850,0,0
45,1,50.00,50.00,1,0.262062,0,0
46,0,0.00,0.00,1,0.261275,0,0
47,2,100.00,54.00,1,0.260492,0,0
48,1,50.00,50.00,1,0.259710,0,0
49,1,4.00,50.00,1,0.258931,0,0
50,1,50.00,50.00,1,0.258154,0,0
51,0,0.00,0.00,1,0.257380,0,0
52,2,100.00,54.00,1,0.256608,0,0
53,0,0.00,0.00,1,0.255838,0,0
54,0,0.00,0.00,1,0.255070,0,0
55,1,50.00,50.00,1,0.254305,0,0
56,0,0.00,0.00,1,0.253542,0,0
57,2,100.00,54.00,1,0.252781,0,0
58,1,50.00,50.00,1,0.252023,0,0
59,2,8.00,49.00,1,0.251267,0,1
60,1,50.00,50.00,1,0.250513,0,0
61,0,0.00,0.00,1,0.249762,0,0
62,2,100.00,54.00,1,0.249012,0,0
63,0,0.00,0.00,1,0.248265,0,0
64,0,0.00,0.00,1,0.247521,0,0
65,1,50.00,50.00,1,0.246778,0,0
66,0,0.00,0.00,1,0.246038,0,0
67,3,94.00,58.00,1,0.245300,0,1
68,3,28.00,48.00,1,0.244564,2,2
69,1,4.00,50.00,1,0.243830,0,0
70,1,50.00,50.00,1,0.243099,0,0
71,0,0.00,0.00,1,0.242369,0,0
72,6,57.00,17.00,1,0.241642,3,0
73,0,0.00,0.00,1,0.240917,0,0
74,0,0.00,0.00,1,0.240194,0,0
75,1,50.00,50.00,1,0.239474,0,0
76,0,0.00,0.00,1,0.238755,0,0
77,2,100.00,54.00,1,0.238039,0,0
78,1,50.00,50.00,1,0.237325,0,0
79,1,4.00,50.00,1,0.236613,0,0
80,2,49.00,39.00,1,0.235903,1,1
81,0,0.00,0.00,1,0.235196,0,0
82,2,100.00,54.00,1,0.234490,0,0
83,0,0.00,0.00,1,0.233786,0,0
84,0,0.00,0.00,1,0.233085,0,0
85,1,50.00,50.00,1,0.232386,0,0
86,0,0.00,0.00,1,0.231689,0,0
87,2,100.00,54.00,1,0.230994,0,0
88,1,50.00,50.00,1,0.230301,0,0
89,5,20.00,26.00,1,0.229610,2,2

# Summary
# FirstGoalEpisode,2
# TotalGoalCount,53
# GoalRate_last100,1.00
