Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,2,54.00,49.00,1,0.299100,0,0
2,3,32.00,-18.00,1,0.300000,1,1
3,20,-35.00,136.00,0,0.299100,5,8
4,6,90.00,11.00,1,0.298203,2,0
5,3,38.00,53.00,1,0.297308,1,1
6,3,53.00,38.00,1,0.296416,1,1
7,5,46.00,43.00,1,0.295527,2,1
8,20,10.00,119.00,0,0.294640,7,4
9,20,-12.00,-45.00,0,0.293756,8,5
10,5,41.00,58.00,1,0.292875,1,1
11,2,54.00,49.00,1,0.291997,0,0
12,20,161.00,15.00,0,0.291121,0,6
13,20,15.00,148.00,0,0.290247,1,3
14,16,80.00,46.00,1,0.289376,6,2
15,3,48.00,53.00,1,0.288508,0,1
16,2,54.00,49.00,1,0.287643,0,0
17,2,49.00,54.00,1,0.286780,0,0
18,20,22.00,82.00,0,0.285920,7,2
19,20,-25.00,101.00,0,0.285062,8,2
20,2,49.00,54.00,1,0.284207,0,0
21,3,43.00,48.00,1,0.283354,1,1
22,12,69.00,104.00,1,0.282504,2,4
23,20,0.00,151.00,0,0.281656,3,2
24,9,42.00,36.00,1,0.280811,3,0
25,3,38.00,53.00,1,0.279969,1,1
26,3,43.00,48.00,1,0.279129,1,1
27,2,49.00,54.00,1,0.278292,0,0
28,20,-30.00,76.00,0,0.277457,8,3
29,20,-60.00,121.00,0,0.276624,8,3
30,2,49.00,54.00,1,0.275795,0,0
31,3,58.00,48.00,1,0.274967,0,1
32,5,86.00,91.00,1,0.274142,0,1
33,20,20.00,62.00,0,0.273320,5,4
34,20,-25.00,80.00,0,0.272500,7,4
35,3,38.00,53.00,1,0.271682,1,1
36,2,54.00,49.00,1,0.270867,0,0
37,4,47.00,54.00,1,0.270055,1,0
38,20,-35.00,15.00,0,0.269245,8,5
39,20,-20.00,-40.00,0,0.268437,10,4
40,2,49.00,54.00,1,0.267632,0,0
41,2,54.00,49.00,1,0.266829,0,0
42,6,85.00,90.00,1,0.266028,1,0
43,20,10.00,183.00,0,0.265230,2,4
44,6,90.00,6.00,1,0.264434,2,0
45,3,48.00,58.00,1,0.263641,0,1
46,2,54.00,49.00,1,0.262850,0,0
47,3,48.00,58.00,1,0.262062,0,1
48,20,0.00,20.00,0,0.261275,9,4
49,20,-75.00,73.00,0,0.260492,8,3
50,5,46.00,31.00,1,0.259710,2,1
51,2,54.00,49.00,1,0.258931,0,0
52,4,87.00,92.00,1,0.258154,0,0
53,20,10.00,156.00,0,0.257380,2,3
54,20,15.00,80.00,0,0.256608,7,1
55,2,49.00,54.00,1,0.255838,0,0
56,2,54.00,49.00,1,0.255070,0,0
57,2,49.00,54.00,1,0.254305,0,0
58,20,32.00,91.00,0,0.253542,7,4
59,20,-25.00,-25.00,0,0.252781,9,2
60,3,48.00,58.00,1,0.252023,0,1
61,4,62.00,42.00,1,0.251267,0,1
62,5,76.00,91.00,1,0.250513,1,1
63,20,20.00,133.00,0,0.249762,2,2
64,20,-25.00,80.00,0,0.249012,7,4
65,2,49.00,54.00,1,0.248265,0,0
66,2,54.00,49.00,1,0.247521,0,0
67,2,49.00,54.00,1,0.246778,0,0
68,20,-10.00,133.00,0,0.246038,7,4
69,20,-20.00,57.00,0,0.245300,7,3
70,5,56.00,43.00,1,0.244564,1,1
71,2,54.00,49.00,1,0.243830,0,0
72,7,84.00,89.00,1,0.243099,1,1
73,20,20.00,146.00,0,0.242369,1,4
74,20,-40.00,22.00,0,0.241642,10,4
75,2,49.00,54.00,1,0.240917,0,0
76,2,54.00,49.00,1,0.240194,0,0
77,2,49.00,54.00,1,0.239474,0,0
78,20,-30.00,130.00,0,0.238755,7,3
79,20,-20.00,108.00,0,0.238039,7,2
80,3,48.00,53.00,1,0.237325,0,1
81,2,54.00,49.00,1,0.236613,0,0
82,4,87.00,92.00,1,0.235903,0,0
83,20,20.00,156.00,0,0.235196,1,2
84,20,-30.00,80.00,0,0.234490,8,4
85,2,49.00,54.00,1,0.233786,0,0
86,2,49.00,54.00,1,0.233085,0,0
87,2,49.00,54.00,1,0.232386,0,0
88,20,-20.00,151.00,0,0.231689,7,3
89,20,-20.00,121.00,0,0.230994,8,2
90,2,49.00,54.00,1,0.230301,0,0
91,2,54.00,49.00,1,0.229610,0,0
92,20,146.00,15.00,0,0.228921,0,3
93,20,5.00,116.00,0,0.228234,3,3
94,3,48.00,12.00,1,0.227549,1,0
95,2,49.00,54.00,1,0.226867,0,0
96,2,54.00,49.00,1,0.226186,0,0
97,2,49.00,54.00,1,0.225508,0,0
98,17,29.00,119.00,1,0.224831,6,1
99,20,-60.00,121.00,0,0.224157,9,1
100,2,49.00,54.00,1,0.223484,0,0
101,2,54.00,49.00,1,0.222814,0,0
102,4,87.00,92.00,1,0.222145,0,0
103,20,20.00,136.00,0,0.221479,3,1
104,20,20.00,80.00,0,0.220814,9,1
105,2,49.00,54.00,1,0.220152,0,0
106,2,54.00,49.00,1,0.219492,0,0
107,2,49.00,54.00,1,0.218833,0,0
108,20,-23.00,123.00,0,0.218177,7,3
109,6,45.00,65.00,1,0.217522,1,0
110,2,49.00,54.00,1,0.216869,0,0
111,2,54.00,49.00,1,0.216219,0,0
112,4,87.00,92.00,1,0.215570,0,0
113,5,101.00,81.00,1,0.214923,0,1
114,20,15.00,80.00,0,0.214279,9,1
115,3,43.00,48.00,1,0.213636,0,1
116,2,54.00,49.00,1,0.212995,0,0
117,2,49.00,54.00,1,0.212356,0,0
118,20,10.00,128.00,0,0.211719,7,2
119,20,-25.00,138.00,0,0.211084,7,2
120,2,49.00,54.00,1,0.210450,0,0
121,2,54.00,49.00,1,0.209819,0,0
122,4,87.00,92.00,1,0.209190,0,0
123,20,10.00,146.00,0,0.208562,0,5
124,4,87.00,16.00,1,0.207936,1,0
125,2,49.00,54.00,1,0.207313,0,0
126,2,54.00,49.00,1,0.206691,0,0
127,2,49.00,54.00,1,0.206071,0,0
128,20,10.00,126.00,0,0.205452,7,4
129,11,25.00,75.00,1,0.204836,3,3
130,2,49.00,54.00,1,0.204222,0,0
131,2,54.00,49.00,1,0.203609,0,0
132,4,87.00,92.00,1,0.202998,0,0
133,11,75.00,120.00,1,0.202389,0,1
134,2,89.00,8.00,1,0.201782,0,0
135,3,43.00,48.00,1,0.201177,0,1
136,5,51.00,41.00,1,0.200573,1,3
137,2,49.00,54.00,1,0.199971,0,0
138,20,-25.00,141.00,0,0.199371,8,1
139,20,-60.00,113.00,0,0.198773,9,1
140,2,49.00,54.00,1,0.198177,0,0
141,2,54.00,49.00,1,0.197582,0,0
142,4,87.00,92.00,1,0.196990,0,0
143,20,20.00,156.00,0,0.196399,0,1
144,2,89.00,8.00,1,0.195809,0,0
145,2,49.00,54.00,1,0.195222,0,0
146,2,54.00,49.00,1,0.194636,0,0
147,2,49.00,54.00,1,0.194052,0,0
148,15,11.00,116.00,1,0.193470,6,3
149,20,-60.00,123.00,0,0.192890,8,3
150,3,48.00,43.00,1,0.192311,1,1
151,3,58.00,43.00,1,0.191734,0,1
152,4,87.00,92.00,1,0.191159,0,0
153,14,77.00,132.00,1,0.190586,0,1
154,5,81.00,20.00,1,0.190014,1,1
155,2,49.00,54.00,1,0.189444,0,0
156,2,54.00,49.00,1,0.188876,0,0
157,2,49.00,54.00,1,0.188309,0,0
158,4,87.00,62.00,1,0.187744,0,0
159,20,-30.00,121.00,0,0.187181,8,4
160,6,35.00,60.00,1,0.186619,1,4
161,5,58.00,36.00,1,0.186059,2,0
162,9,72.00,87.00,1,0.185501,3,1
163,11,75.00,120.00,1,0.184945,0,1
164,2,89.00,8.00,1,0.184390,0,0
165,2,54.00,49.00,1,0.183837,0,0
166,3,58.00,48.00,1,0.183285,0,1
167,2,49.00,54.00,1,0.182735,0,0
168,20,-25.00,126.00,0,0.182187,7,3
169,20,-30.00,143.00,0,0.181641,8,2
170,2,49.00,54.00,1,0.181096,0,0
171,3,58.00,48.00,1,0.180552,0,1
172,5,86.00,91.00,1,0.180011,0,1
173,4,92.00,87.00,1,0.179471,0,0
174,2,89.00,8.00,1,0.178932,0,0
175,2,49.00,54.00,1,0.178395,0,0
176,3,58.00,48.00,1,0.177860,0,1
177,5,41.00,58.00,1,0.177327,1,1
178,4,62.00,87.00,1,0.176795,0,0
179,20,-20.00,67.00,0,0.176264,9,1
180,3,48.00,58.00,1,0.175735,0,1
181,2,54.00,49.00,1,0.175208,0,0
182,4,87.00,92.00,1,0.174683,0,0
183,20,15.00,119.00,0,0.174159,3,2
184,2,89.00,8.00,1,0.173636,0,0
185,2,49.00,54.00,1,0.173115,0,0
186,2,54.00,49.00,1,0.172596,0,0
187,4,42.00,47.00,1,0.172078,0,2
188,20,15.00,108.00,0,0.171562,7,4
189,13,-7.00,93.00,1,0.171047,5,1
190,2,49.00,54.00,1,0.170534,0,0
191,2,54.00,49.00,1,0.170022,0,0
192,4,87.00,92.00,1,0.169512,0,0
193,20,20.00,183.00,0,0.169004,1,0
194,2,89.00,8.00,1,0.168497,0,0
195,2,49.00,54.00,1,0.167991,0,0
196,3,53.00,48.00,1,0.167487,0,1
197,3,48.00,58.00,1,0.166985,0,1
198,20,-25.00,141.00,0,0.166484,7,3
199,20,-20.00,121.00,0,0.165984,9,0
200,2,49.00,54.00,1,0.165487,0,0
201,3,53.00,38.00,1,0.164990,1,1
202,6,85.00,100.00,1,0.164495,0,0
203,20,15.00,126.00,0,0.164002,0,2
204,2,89.00,8.00,1,0.163510,0,0
205,2,49.00,54.00,1,0.163019,0,0
206,6,47.00,52.00,1,0.162530,2,0
207,2,49.00,54.00,1,0.162042,0,0
208,20,20.00,151.00,0,0.161556,8,0
209,10,41.00,81.00,1,0.161072,3,0
210,2,49.00,54.00,1,0.160588,0,0
211,3,53.00,38.00,1,0.160107,1,0
212,4,87.00,92.00,1,0.159626,0,0
213,6,105.00,85.00,1,0.159147,0,0
214,2,89.00,8.00,1,0.158670,0,0
215,2,49.00,54.00,1,0.158194,0,0
216,2,54.00,49.00,1,0.157719,0,0
217,4,42.00,62.00,1,0.157246,0,2
218,20,20.00,146.00,0,0.156775,7,2
219,20,-20.00,121.00,0,0.156304,8,2
220,2,49.00,54.00,1,0.155835,0,0
221,2,54.00,49.00,1,0.155368,0,0
222,4,87.00,57.00,1,0.154902,0,0
223,19,72.00,142.00,1,0.154437,1,1
224,2,89.00,8.00,1,0.153974,0,0
225,3,43.00,48.00,1,0.153512,0,1
226,2,54.00,49.00,1,0.153051,0,0
227,2,49.00,54.00,1,0.152592,0,0
228,16,35.00,135.00,1,0.152134,6,0
229,20,-20.00,113.00,0,0.151678,9,0
230,3,38.00,53.00,1,0.151223,1,1
231,2,54.00,49.00,1,0.150769,0,0
232,4,87.00,92.00,1,0.150317,0,0
233,20,20.00,156.00,0,0.149866,1,1
234,4,87.00,16.00,1,0.149416,1,0
235,4,52.00,49.00,1,0.148968,1,0
236,2,54.00,49.00,1,0.148521,0,0
237,3,48.00,58.00,1,0.148076,0,1
238,20,-30.00,113.00,0,0.147631,7,3
239,20,-40.00,121.00,0,0.147188,9,4
240,2,49.00,54.00,1,0.146747,0,0
241,2,54.00,49.00,1,0.146307,0,0
242,4,87.00,92.00,1,0.145868,0,0
243,20,10.00,140.00,0,0.145430,3,2
244,3,83.00,12.00,1,0.144994,0,1
245,2,49.00,54.00,1,0.144559,0,0
246,2,54.00,49.00,1,0.144125,0,0
247,3,48.00,53.00,1,0.143693,0,1
248,20,5.00,118.00,0,0.143262,8,4
249,20,-20.00,121.00,0,0.142832,9,0
250,2,49.00,54.00,1,0.142403,0,0
251,2,54.00,49.00,1,0.141976,0,0
252,4,87.00,92.00,1,0.141550,0,0
253,20,15.00,156.00,0,0.141126,0,2
254,2,89.00,8.00,1,0.140702,0,0
255,2,49.00,54.00,1,0.140280,0,0
256,2,54.00,49.00,1,0.139859,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,186
# GoalRate_last100,0.79
