Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,20,126.00,-109.00,0,0.298203,4,16
3,0,0.00,0.00,1,0.297308,0,0
4,20,80.00,-50.00,0,0.296416,3,20
5,20,127.00,-144.00,0,0.295527,6,17
6,0,0.00,0.00,1,0.294640,0,0
7,1,50.00,4.00,1,0.293756,0,0
8,20,172.00,-94.00,0,0.292875,3,16
9,20,72.00,-30.00,0,0.291997,2,15
10,20,154.00,-104.00,0,0.291121,5,13
11,0,0.00,0.00,1,0.290247,0,0
12,20,118.00,-102.00,0,0.289376,6,17
13,0,0.00,0.00,1,0.288508,0,0
14,20,-109.00,-60.00,0,0.287643,12,13
15,20,154.00,-154.00,0,0.286780,8,13
16,0,0.00,0.00,1,0.285920,0,0
17,1,50.00,4.00,1,0.285062,0,0
18,20,164.00,-89.00,0,0.284207,5,11
19,20,72.00,-40.00,0,0.283354,3,15
20,20,164.00,-84.00,0,0.282504,3,11
21,0,0.00,0.00,1,0.281656,0,0
22,20,49.00,-11.00,0,0.280811,5,16
23,0,0.00,0.00,1,0.279969,0,0
24,20,80.00,-40.00,0,0.279129,6,9
25,20,126.00,-79.00,0,0.278292,2,18
26,0,0.00,0.00,1,0.277457,0,0
27,1,50.00,4.00,1,0.276624,0,0
28,20,172.00,-84.00,0,0.275795,2,14
29,20,80.00,-30.00,0,0.274967,1,20
30,20,87.00,-79.00,0,0.274142,6,2
31,0,0.00,0.00,1,0.273320,0,0
32,20,83.00,-104.00,0,0.272500,10,6
33,0,0.00,0.00,1,0.271682,0,0
34,20,80.00,-55.00,0,0.270867,7,10
35,20,80.00,-129.00,0,0.270055,10,6
36,0,0.00,0.00,1,0.269245,0,0
37,20,-19.00,80.00,0,0.268437,6,5
38,20,134.00,-99.00,0,0.267632,6,14
39,20,80.00,-30.00,0,0.266829,1,20
40,20,73.00,-74.00,0,0.266028,6,3
41,0,0.00,0.00,1,0.265230,0,0
42,20,126.00,-84.00,0,0.264434,4,14
43,0,0.00,0.00,1,0.263641,0,0
44,20,72.00,-33.00,0,0.262850,3,17
45,20,59.00,-77.00,0,0.262062,11,5
46,0,0.00,0.00,1,0.261275,0,0
47,2,49.00,8.00,1,0.260492,0,1
48,20,172.00,-49.00,0,0.259710,4,9
49,20,80.00,-40.00,0,0.258931,2,20
50,20,159.00,-124.00,0,0.258154,7,4
51,0,0.00,0.00,1,0.257380,0,0
52,20,126.00,-94.00,0,0.256608,3,18
53,0,0.00,0.00,1,0.255838,0,0
54,20,11.00,-40.00,0,0.255070,5,16
55,20,105.00,-69.00,0,0.254305,10,2
56,0,0.00,0.00,1,0.253542,0,0
57,15,72.00,60.00,1,0.252781,2,4
58,20,172.00,-99.00,0,0.252023,5,13
59,20,80.00,-60.00,0,0.251267,4,13
60,20,164.00,-79.00,0,0.250513,3,3
61,0,0.00,0.00,1,0.249762,0,0
62,20,126.00,-79.00,0,0.249012,2,17
63,0,0.00,0.00,1,0.248265,0,0
64,20,18.00,-10.00,0,0.247521,8,12
65,20,44.00,-75.00,0,0.246778,13,5
66,0,0.00,0.00,1,0.246038,0,0
67,1,50.00,4.00,1,0.245300,0,0
68,20,131.00,-54.00,0,0.244564,8,7
69,20,64.00,-20.00,0,0.243830,2,11
70,20,172.00,-89.00,0,0.243099,3,3
71,0,0.00,0.00,1,0.242369,0,0
72,20,155.00,-132.00,0,0.241642,10,10
73,0,0.00,0.00,1,0.240917,0,0
74,20,80.00,-25.00,0,0.240194,0,19
75,20,82.00,-104.00,0,0.239474,10,7
76,0,0.00,0.00,1,0.238755,0,0
77,2,49.00,8.00,1,0.238039,0,1
78,20,172.00,-119.00,0,0.237325,6,14
79,20,72.00,-5.00,0,0.236613,3,17
80,20,147.00,-99.00,0,0.235903,5,4
81,0,0.00,0.00,1,0.235196,0,0
82,20,118.00,-77.00,0,0.234490,4,16
83,0,0.00,0.00,1,0.233786,0,0
84,20,80.00,-30.00,0,0.233085,1,19
85,20,105.00,-72.00,0,0.232386,11,2
86,0,0.00,0.00,1,0.231689,0,0
87,1,50.00,4.00,1,0.230994,0,0
88,20,172.00,-99.00,0,0.230301,4,12
89,20,72.00,-40.00,0,0.229610,3,15
90,20,172.00,-129.00,0,0.228921,7,2
91,0,0.00,0.00,1,0.228234,0,0
