Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.300000,0,0
6,0,0.00,0.00,1,0.299100,0,0
7,1,50.00,4.00,1,0.298203,0,0
8,2,100.00,54.00,1,0.297308,0,0
9,18,3.00,79.00,1,0.296416,12,3
10,4,103.00,88.00,1,0.295527,1,1
11,0,0.00,0.00,1,0.294640,0,0
12,3,99.00,104.00,1,0.293756,0,0
13,0,0.00,0.00,1,0.292875,0,0
14,1,4.00,50.00,1,0.291997,0,0
15,20,232.00,-23.00,0,0.291121,9,5
16,0,0.00,0.00,1,0.290247,0,0
17,20,40.00,60.00,0,0.289376,6,3
18,8,124.00,64.00,1,0.288508,1,4
19,20,-60.00,126.00,0,0.287643,2,16
20,3,104.00,99.00,1,0.286780,0,0
21,0,0.00,0.00,1,0.285920,0,0
22,4,88.00,103.00,1,0.285062,1,1
23,0,0.00,0.00,1,0.284207,0,0
24,1,4.00,50.00,1,0.283354,0,0
25,20,258.00,-31.00,0,0.282504,11,4
26,0,0.00,0.00,1,0.281656,0,0
27,6,62.00,27.00,1,0.280811,3,0
28,3,104.00,99.00,1,0.279969,0,0
29,20,-55.00,118.00,0,0.279129,7,10
30,4,108.00,88.00,1,0.278292,1,0
31,0,0.00,0.00,1,0.277457,0,0
32,4,98.00,93.00,1,0.276624,1,1
33,0,0.00,0.00,1,0.275795,0,0
34,1,4.00,50.00,1,0.274967,0,0
35,5,104.00,99.00,1,0.274142,1,0
36,0,0.00,0.00,1,0.273320,0,0
37,2,39.00,8.00,1,0.272500,1,0
38,4,88.00,93.00,1,0.271682,1,1
39,20,-70.00,126.00,0,0.270867,2,16
40,3,104.00,99.00,1,0.270055,0,0
41,0,0.00,0.00,1,0.269245,0,0
42,4,98.00,93.00,1,0.268437,1,1
43,0,0.00,0.00,1,0.267632,0,0
44,3,12.00,38.00,1,0.266829,1,2
45,4,108.00,93.00,1,0.266028,0,1
46,0,0.00,0.00,1,0.265230,0,0
47,13,68.00,31.00,1,0.264434,7,1
48,12,130.00,30.00,1,0.263641,4,9
49,8,63.00,78.00,1,0.262850,2,3
50,3,104.00,99.00,1,0.262062,0,0
51,0,0.00,0.00,1,0.261275,0,0
52,5,82.00,97.00,1,0.260492,1,2
53,0,0.00,0.00,1,0.259710,0,0
54,2,8.00,44.00,1,0.258931,0,1
55,6,96.00,93.00,1,0.258154,1,1
56,0,0.00,0.00,1,0.257380,0,0
57,10,65.00,15.00,1,0.256608,5,3
58,9,115.00,73.00,1,0.255838,2,4
59,3,78.00,58.00,1,0.255070,1,0
60,5,97.00,77.00,1,0.254305,2,1
61,0,0.00,0.00,1,0.253542,0,0
62,3,99.00,104.00,1,0.252781,0,0
63,0,0.00,0.00,1,0.252023,0,0
64,1,4.00,50.00,1,0.251267,0,0
65,3,99.00,104.00,1,0.250513,0,0
66,0,0.00,0.00,1,0.249762,0,0
67,10,116.00,25.00,1,0.249012,4,1
68,5,112.00,87.00,1,0.248265,1,2
69,4,67.00,62.00,1,0.247521,2,1
70,3,104.00,99.00,1,0.246778,0,0
71,0,0.00,0.00,1,0.246038,0,0
72,5,97.00,97.00,1,0.245300,1,2
73,0,0.00,0.00,1,0.244564,0,0
74,5,20.00,26.00,1,0.243830,1,4
75,20,278.00,-26.00,0,0.243099,10,2
76,0,0.00,0.00,1,0.242369,0,0
77,9,112.00,26.00,1,0.241642,4,0
78,5,99.00,102.00,1,0.240917,1,0
79,3,78.00,58.00,1,0.240194,1,0
80,20,-69.00,172.00,0,0.239474,3,17
81,0,0.00,0.00,1,0.238755,0,0
82,3,99.00,104.00,1,0.238039,0,0
83,0,0.00,0.00,1,0.237325,0,0
84,1,4.00,50.00,1,0.236613,0,0
85,13,220.00,53.00,1,0.235903,6,1
86,0,0.00,0.00,1,0.235196,0,0
87,20,158.00,-111.00,0,0.234490,10,3
88,16,108.00,81.00,1,0.233786,6,1
89,3,78.00,58.00,1,0.233085,1,0
90,5,104.00,97.00,1,0.232386,1,0
91,0,0.00,0.00,1,0.231689,0,0
92,3,99.00,104.00,1,0.230994,0,0
93,0,0.00,0.00,1,0.230301,0,0
