Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,20,-74.00,168.00,0,0.298203,15,4
3,0,0.00,0.00,1,0.297308,0,0
4,4,16.00,117.00,1,0.296416,1,0
5,20,-94.00,123.00,0,0.295527,10,3
6,0,0.00,0.00,1,0.294640,0,0
7,20,-48.00,100.00,0,0.293756,10,5
8,20,-162.00,25.00,0,0.292875,17,5
9,20,14.00,30.00,0,0.291997,10,7
10,20,-142.00,159.00,0,0.291121,7,11
11,0,0.00,0.00,1,0.290247,0,0
12,20,-132.00,229.00,0,0.289376,11,4
13,0,0.00,0.00,1,0.288508,0,0
14,4,16.00,117.00,1,0.287643,1,1
15,20,-74.00,73.00,0,0.286780,11,2
16,0,0.00,0.00,1,0.285920,0,0
17,20,-4.00,-18.00,0,0.285062,11,3
18,20,-79.00,62.00,0,0.284207,18,3
19,20,53.00,20.00,0,0.283354,13,6
20,20,-104.00,117.00,0,0.282504,9,4
21,0,0.00,0.00,1,0.281656,0,0
22,20,-82.00,117.00,0,0.280811,14,2
23,0,0.00,0.00,1,0.279969,0,0
24,3,12.00,128.00,1,0.279129,0,0
25,20,-122.00,52.00,0,0.278292,13,4
26,0,0.00,0.00,1,0.277457,0,0
27,20,-60.00,52.00,0,0.276624,11,3
28,20,-109.00,93.00,0,0.275795,19,2
29,20,-28.00,55.00,0,0.274967,17,2
30,20,-74.00,108.00,0,0.274142,9,2
31,0,0.00,0.00,1,0.273320,0,0
32,20,-114.00,131.00,0,0.272500,10,5
33,0,0.00,0.00,1,0.271682,0,0
34,3,12.00,128.00,1,0.270867,0,0
35,20,-109.00,100.00,0,0.270055,11,1
36,0,0.00,0.00,1,0.269245,0,0
37,20,-20.00,80.00,0,0.268437,8,2
38,20,-139.00,101.00,0,0.267632,19,4
39,20,-56.00,70.00,0,0.266829,19,4
40,20,-68.00,-2.00,0,0.266028,16,5
41,0,0.00,0.00,1,0.265230,0,0
42,20,-74.00,120.00,0,0.264434,8,4
43,0,0.00,0.00,1,0.263641,0,0
44,3,12.00,128.00,1,0.262850,0,0
45,20,-114.00,115.00,0,0.262062,10,2
46,0,0.00,0.00,1,0.261275,0,0
47,20,-68.00,70.00,0,0.260492,12,2
48,20,-65.00,42.00,0,0.259710,18,3
49,20,33.00,8.00,0,0.258931,18,1
50,20,-114.00,63.00,0,0.258154,11,5
51,0,0.00,0.00,1,0.257380,0,0
52,20,-107.00,55.00,0,0.256608,13,3
53,0,0.00,0.00,1,0.255838,0,0
54,4,16.00,88.00,1,0.255070,1,0
55,20,-87.00,113.00,0,0.254305,9,5
56,0,0.00,0.00,1,0.253542,0,0
57,20,-44.00,127.00,0,0.252781,14,0
58,20,-2.00,-17.00,0,0.252023,19,2
59,20,66.00,9.00,0,0.251267,15,2
60,20,-97.00,55.00,0,0.250513,13,3
61,0,0.00,0.00,1,0.249762,0,0
62,20,-119.00,118.00,0,0.249012,13,2
63,0,0.00,0.00,1,0.248265,0,0
64,3,12.00,128.00,1,0.247521,0,0
65,20,-100.00,188.00,0,0.246778,13,4
66,0,0.00,0.00,1,0.246038,0,0
67,20,-84.00,93.00,0,0.245300,14,3
68,20,-19.00,-34.00,0,0.244564,18,4
69,20,34.00,1.00,0,0.243830,18,1
70,20,-89.00,30.00,0,0.243099,10,5
71,0,0.00,0.00,1,0.242369,0,0
72,20,-62.00,20.00,0,0.241642,13,3
73,0,0.00,0.00,1,0.240917,0,0
74,2,8.00,89.00,1,0.240194,0,0
75,20,-61.00,138.00,0,0.239474,12,2
76,0,0.00,0.00,1,0.238755,0,0
77,20,-69.00,103.00,0,0.238039,14,3
78,20,-61.00,39.00,0,0.237325,20,1
79,20,41.00,-2.00,0,0.236613,18,1
80,20,-83.00,48.00,0,0.235903,13,3
81,0,0.00,0.00,1,0.235196,0,0
82,20,-79.00,109.00,0,0.234490,11,2
83,0,0.00,0.00,1,0.233786,0,0
84,3,12.00,128.00,1,0.233085,0,0
85,20,-16.00,55.00,0,0.232386,17,0
86,0,0.00,0.00,1,0.231689,0,0
87,20,26.00,33.00,0,0.230994,16,1
88,20,-62.00,47.00,0,0.230301,18,3
89,20,28.00,16.00,0,0.229610,17,1
90,20,7.00,-16.00,0,0.228921,14,4
91,0,0.00,0.00,1,0.228234,0,0
