Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,20,-199.00,51.00,0,0.298203,16,16
3,0,0.00,0.00,1,0.297308,0,0
4,2,8.00,39.00,1,0.296416,1,0
5,20,80.00,-60.00,0,0.295527,4,20
6,0,0.00,0.00,1,0.294640,0,0
7,20,-58.00,-19.00,0,0.293756,11,10
8,20,-107.00,210.00,0,0.292875,11,10
9,20,-53.00,118.00,0,0.291997,9,8
10,20,-94.00,116.00,0,0.291121,2,6
11,0,0.00,0.00,1,0.290247,0,0
12,20,-174.00,-65.00,0,0.289376,13,16
13,0,0.00,0.00,1,0.288508,0,0
14,1,4.00,50.00,1,0.287643,0,0
15,20,-49.00,132.00,0,0.286780,3,18
16,0,0.00,0.00,1,0.285920,0,0
17,20,-45.00,80.00,0,0.285062,6,4
18,20,-134.00,111.00,0,0.284207,5,12
19,20,-38.00,57.00,0,0.283354,6,16
20,20,-109.00,126.00,0,0.282504,5,3
21,0,0.00,0.00,1,0.281656,0,0
22,20,-114.00,-85.00,0,0.280811,15,13
23,0,0.00,0.00,1,0.279969,0,0
24,1,4.00,50.00,1,0.279129,0,0
25,20,72.00,-18.00,0,0.278292,2,18
26,0,0.00,0.00,1,0.277457,0,0
27,20,-90.00,80.00,0,0.276624,7,4
28,20,-72.00,210.00,0,0.275795,7,9
29,20,-11.00,105.00,0,0.274967,8,12
30,20,-119.00,126.00,0,0.274142,6,17
31,0,0.00,0.00,1,0.273320,0,0
32,20,-79.00,12.00,0,0.272500,17,3
33,0,0.00,0.00,1,0.271682,0,0
34,1,4.00,50.00,1,0.270867,0,0
35,20,57.00,-38.00,0,0.270055,4,18
36,0,0.00,0.00,1,0.269245,0,0
37,20,-120.00,11.00,0,0.268437,11,7
38,20,-114.00,172.00,0,0.267632,4,5
39,20,-13.00,103.00,0,0.266829,5,8
40,20,-104.00,48.00,0,0.266028,9,7
41,0,0.00,0.00,1,0.265230,0,0
42,20,-84.00,-23.00,0,0.264434,19,3
43,0,0.00,0.00,1,0.263641,0,0
44,1,4.00,50.00,1,0.262850,0,0
45,20,80.00,-45.00,0,0.262062,2,20
46,0,0.00,0.00,1,0.261275,0,0
47,20,27.00,8.00,0,0.260492,5,17
48,20,-94.00,172.00,0,0.259710,3,15
49,20,7.00,108.00,0,0.258931,4,8
50,20,-94.00,73.00,0,0.258154,8,6
51,0,0.00,0.00,1,0.257380,0,0
52,20,-194.00,136.00,0,0.256608,13,10
53,0,0.00,0.00,1,0.255838,0,0
54,2,8.00,39.00,1,0.255070,1,1
55,20,-18.00,-27.00,0,0.254305,7,10
56,0,0.00,0.00,1,0.253542,0,0
57,20,-33.00,47.00,0,0.252781,6,12
58,20,-47.00,195.00,0,0.252023,6,12
59,20,-13.00,92.00,0,0.251267,8,7
60,20,-94.00,126.00,0,0.250513,3,6
61,0,0.00,0.00,1,0.249762,0,0
62,20,-159.00,106.00,0,0.249012,17,2
63,0,0.00,0.00,1,0.248265,0,0
64,1,4.00,50.00,1,0.247521,0,0
65,20,72.00,-53.00,0,0.246778,5,18
66,0,0.00,0.00,1,0.246038,0,0
67,20,-45.00,80.00,0,0.245300,2,18
68,20,-84.00,172.00,0,0.244564,2,16
69,20,-8.00,103.00,0,0.243830,6,14
70,20,-79.00,126.00,0,0.243099,2,13
71,0,0.00,0.00,1,0.242369,0,0
72,20,-92.00,-3.00,0,0.241642,19,5
73,0,0.00,0.00,1,0.240917,0,0
74,2,8.00,39.00,1,0.240194,1,1
75,20,-54.00,144.00,0,0.239474,4,13
76,0,0.00,0.00,1,0.238755,0,0
77,20,-33.00,26.00,0,0.238039,10,9
78,20,-124.00,172.00,0,0.237325,6,12
79,20,-18.00,118.00,0,0.236613,5,14
80,20,-64.00,111.00,0,0.235903,2,18
81,0,0.00,0.00,1,0.235196,0,0
82,20,-62.00,10.00,0,0.234490,20,1
83,0,0.00,0.00,1,0.233786,0,0
84,1,4.00,50.00,1,0.233085,0,0
85,20,-89.00,122.00,0,0.232386,7,11
86,0,0.00,0.00,1,0.231689,0,0
87,20,-20.00,80.00,0,0.230994,1,16
88,20,-94.00,172.00,0,0.230301,3,13
89,20,-3.00,118.00,0,0.229610,4,12
90,20,-99.00,126.00,0,0.228921,4,14
91,0,0.00,0.00,1,0.228234,0,0
