Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.300000,0,0
6,0,0.00,0.00,1,0.299100,0,0
7,20,-40.00,80.00,0,0.298203,1,18
8,20,-31.00,29.00,0,0.297308,13,9
9,20,8.00,26.00,0,0.296416,10,9
10,2,100.00,54.00,1,0.295527,0,0
11,0,0.00,0.00,1,0.294640,0,0
12,7,110.00,65.00,1,0.293756,3,2
13,0,0.00,0.00,1,0.292875,0,0
14,2,8.00,39.00,1,0.291997,1,1
15,2,54.00,100.00,1,0.291121,0,0
16,0,0.00,0.00,1,0.290247,0,0
17,20,-104.00,21.00,0,0.289376,4,15
18,20,126.00,-39.00,0,0.288508,6,15
19,14,73.00,128.00,1,0.287643,0,3
20,2,100.00,54.00,1,0.286780,0,0
21,0,0.00,0.00,1,0.285920,0,0
22,8,104.00,54.00,1,0.285062,5,1
23,0,0.00,0.00,1,0.284207,0,0
24,1,4.00,50.00,1,0.283354,0,0
25,2,54.00,100.00,1,0.282504,0,0
26,0,0.00,0.00,1,0.281656,0,0
27,3,4.00,50.00,1,0.280811,1,0
28,20,22.00,-8.00,0,0.279969,14,8
29,4,98.00,93.00,1,0.279129,1,1
30,2,100.00,54.00,1,0.278292,0,0
31,0,0.00,0.00,1,0.277457,0,0
32,5,107.00,77.00,1,0.276624,2,0
33,0,0.00,0.00,1,0.275795,0,0
34,1,4.00,50.00,1,0.274967,0,0
35,3,48.00,94.00,1,0.274142,0,1
36,0,0.00,0.00,1,0.273320,0,0
37,6,-7.00,54.00,1,0.272500,3,1
38,20,111.00,-74.00,0,0.271682,10,14
39,4,88.00,62.00,1,0.270867,1,1
40,2,100.00,54.00,1,0.270055,0,0
41,0,0.00,0.00,1,0.269245,0,0
42,5,107.00,77.00,1,0.268437,2,0
43,0,0.00,0.00,1,0.267632,0,0
44,1,4.00,50.00,1,0.266829,0,0
45,2,54.00,100.00,1,0.266028,0,0
46,0,0.00,0.00,1,0.265230,0,0
47,3,4.00,50.00,1,0.264434,1,0
48,20,126.00,1.00,0,0.263641,3,17
49,3,99.00,104.00,1,0.262850,0,0
50,6,76.00,70.00,1,0.262062,2,0
51,0,0.00,0.00,1,0.261275,0,0
52,20,-119.00,111.00,0,0.260492,16,4
53,0,0.00,0.00,1,0.259710,0,0
54,1,4.00,50.00,1,0.258931,0,0
55,2,54.00,100.00,1,0.258154,0,0
56,0,0.00,0.00,1,0.257380,0,0
57,3,4.00,50.00,1,0.256608,1,0
58,10,86.00,62.00,1,0.255838,3,5
59,7,65.00,74.00,1,0.255070,3,2
60,2,100.00,54.00,1,0.254305,0,0
61,0,0.00,0.00,1,0.253542,0,0
62,5,107.00,77.00,1,0.252781,2,0
63,0,0.00,0.00,1,0.252023,0,0
64,1,4.00,50.00,1,0.251267,0,0
65,2,54.00,100.00,1,0.250513,0,0
66,0,0.00,0.00,1,0.249762,0,0
67,5,-8.00,43.00,1,0.249012,2,2
68,3,58.00,89.00,1,0.248265,1,0
69,4,98.00,93.00,1,0.247521,1,1
70,7,107.00,75.00,1,0.246778,3,1
71,0,0.00,0.00,1,0.246038,0,0
72,8,106.00,64.00,1,0.245300,4,1
73,0,0.00,0.00,1,0.244564,0,0
74,20,80.00,-35.00,0,0.243830,1,19
75,2,54.00,100.00,1,0.243099,0,0
76,0,0.00,0.00,1,0.242369,0,0
77,5,-3.00,43.00,1,0.241642,3,2
78,20,126.00,21.00,0,0.240917,1,19
79,3,99.00,104.00,1,0.240194,0,0
80,3,89.00,43.00,1,0.239474,1,1
81,0,0.00,0.00,1,0.238755,0,0
82,8,119.00,44.00,1,0.238039,5,3
83,0,0.00,0.00,1,0.237325,0,0
84,1,4.00,50.00,1,0.236613,0,0
85,4,54.00,100.00,1,0.235903,1,0
86,0,0.00,0.00,1,0.235196,0,0
87,3,4.00,50.00,1,0.234490,1,0
88,16,94.00,80.00,1,0.233786,3,9
89,3,99.00,104.00,1,0.233085,0,0
90,2,100.00,54.00,1,0.232386,0,0
91,0,0.00,0.00,1,0.231689,0,0
92,4,42.00,88.00,1,0.230994,0,2
93,0,0.00,0.00,1,0.230301,0,0
