Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,20,149.00,-109.00,0,0.298203,11,6
3,0,0.00,0.00,1,0.297308,0,0
4,20,80.00,-75.00,0,0.296416,7,6
5,20,172.00,-124.00,0,0.295527,10,3
6,0,0.00,0.00,1,0.294640,0,0
7,13,112.00,18.00,1,0.293756,8,3
8,20,87.00,-104.00,0,0.292875,12,9
9,20,-37.00,8.00,0,0.291997,16,4
10,20,118.00,-167.00,0,0.291121,7,15
11,0,0.00,0.00,1,0.290247,0,0
12,20,190.00,-117.00,0,0.289376,9,7
13,0,0.00,0.00,1,0.288508,0,0
14,20,110.00,-48.00,0,0.287643,11,5
15,20,172.00,-89.00,0,0.286780,5,5
16,0,0.00,0.00,1,0.285920,0,0
17,17,119.00,20.00,1,0.285062,13,1
18,20,100.00,-109.00,0,0.284207,20,0
19,20,10.00,-28.00,0,0.283354,19,4
20,20,35.00,-105.00,0,0.282504,20,1
21,0,0.00,0.00,1,0.281656,0,0
22,20,159.00,-107.00,0,0.280811,12,5
23,0,0.00,0.00,1,0.279969,0,0
24,20,146.00,-41.00,0,0.279129,11,3
25,20,167.00,-89.00,0,0.278292,9,4
26,0,0.00,0.00,1,0.277457,0,0
27,2,89.00,8.00,1,0.276624,0,0
28,20,49.00,-75.00,0,0.275795,20,1
29,20,65.00,-43.00,0,0.274967,17,3
30,20,87.00,-109.00,0,0.274142,17,2
31,0,0.00,0.00,1,0.273320,0,0
32,20,238.00,-90.00,0,0.272500,10,4
33,0,0.00,0.00,1,0.271682,0,0
34,20,118.00,-68.00,0,0.270867,11,2
35,20,172.00,-74.00,0,0.270055,4,3
36,0,0.00,0.00,1,0.269245,0,0
37,20,133.00,-67.00,0,0.268437,16,5
38,20,52.00,-70.00,0,0.267632,18,3
39,20,15.00,-43.00,0,0.266829,18,4
40,20,-7.00,-7.00,0,0.266028,19,2
41,0,0.00,0.00,1,0.265230,0,0
42,20,179.00,-77.00,0,0.264434,11,2
43,0,0.00,0.00,1,0.263641,0,0
44,20,133.00,-81.00,0,0.262850,13,3
45,20,172.00,-114.00,0,0.262062,9,3
46,0,0.00,0.00,1,0.261275,0,0
47,20,93.00,-6.00,0,0.260492,14,5
48,20,155.00,-122.00,0,0.259710,17,2
49,20,-6.00,68.00,0,0.258931,12,2
50,20,30.00,-67.00,0,0.258154,18,1
51,0,0.00,0.00,1,0.257380,0,0
52,20,50.00,-82.00,0,0.256608,13,3
53,0,0.00,0.00,1,0.255838,0,0
54,20,108.00,-36.00,0,0.255070,12,0
55,20,149.00,-69.00,0,0.254305,9,4
56,0,0.00,0.00,1,0.253542,0,0
57,13,152.00,-17.00,1,0.252781,8,3
58,20,32.00,-53.00,0,0.252023,19,3
59,20,-41.00,39.00,0,0.251267,19,5
60,20,-9.00,-74.00,0,0.250513,18,6
61,0,0.00,0.00,1,0.249762,0,0
62,20,139.00,-79.00,0,0.249012,14,6
63,0,0.00,0.00,1,0.248265,0,0
64,20,246.00,-102.00,0,0.247521,14,3
65,20,172.00,-109.00,0,0.246778,12,3
66,0,0.00,0.00,1,0.246038,0,0
67,10,143.00,9.00,1,0.245300,4,2
68,20,22.00,-48.00,0,0.244564,19,3
69,20,-98.00,69.00,0,0.243830,17,4
70,20,0.00,-2.00,0,0.243099,19,0
71,0,0.00,0.00,1,0.242369,0,0
72,20,290.00,-138.00,0,0.241642,13,3
73,0,0.00,0.00,1,0.240917,0,0
74,20,154.00,-58.00,0,0.240194,14,5
75,20,172.00,-74.00,0,0.239474,9,2
76,0,0.00,0.00,1,0.238755,0,0
77,20,117.00,-38.00,0,0.238039,18,1
78,20,78.00,-58.00,0,0.237325,19,2
79,20,-19.00,36.00,0,0.236613,18,3
80,20,30.00,-67.00,0,0.235903,18,1
81,0,0.00,0.00,1,0.235196,0,0
82,20,319.00,-101.00,0,0.234490,13,2
83,0,0.00,0.00,1,0.233786,0,0
84,20,217.00,-67.00,0,0.233085,15,2
85,20,172.00,-89.00,0,0.232386,10,2
86,0,0.00,0.00,1,0.231689,0,0
87,20,86.00,1.00,0,0.230994,16,2
88,20,57.00,-91.00,0,0.230301,20,1
89,20,-46.00,79.00,0,0.229610,18,0
90,20,10.00,-60.00,0,0.228921,18,5
91,0,0.00,0.00,1,0.228234,0,0
