Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,0,0.300000,0,0
1,0,0.00,0.00,0,0.299100,0,0
2,0,0.00,0.00,1,0.300000,0,0
3,12,-6.00,44.00,1,0.299100,9,8
4,3,88.00,78.00,1,0.298203,1,1
5,7,24.00,24.00,1,0.300000,5,4
6,2,49.00,39.00,1,0.299100,1,1
7,1,50.00,50.00,1,0.298203,0,0
8,1,50.00,50.00,1,0.297308,0,0
9,11,19.00,-28.00,1,0.296416,7,2
10,1,50.00,50.00,1,0.295527,0,0
11,12,-31.00,-21.00,1,0.294640,9,7
12,15,-99.00,31.00,1,0.293756,13,14
13,3,88.00,78.00,1,0.292875,1,1
14,2,89.00,89.00,1,0.291997,0,0
15,1,50.00,50.00,1,0.291121,0,0
16,1,50.00,50.00,1,0.290247,0,0
17,1,50.00,50.00,1,0.289376,0,0
18,8,35.00,38.00,1,0.288508,5,3
19,20,126.00,-55.00,0,0.287643,3,19
20,1,50.00,50.00,1,0.286780,0,0
21,1,50.00,50.00,1,0.285920,0,0
22,10,-49.00,41.00,1,0.285062,9,9
23,2,89.00,89.00,1,0.284207,0,0
24,2,89.00,89.00,1,0.283354,0,0
25,1,50.00,50.00,1,0.282504,0,0
26,1,50.00,50.00,1,0.281656,0,0
27,3,38.00,38.00,1,0.280811,2,2
28,1,50.00,50.00,1,0.279969,0,0
29,6,47.00,15.00,1,0.279129,3,3
30,1,50.00,50.00,1,0.278292,0,0
31,1,50.00,50.00,1,0.277457,0,0
32,2,39.00,49.00,1,0.276624,1,1
33,3,78.00,88.00,1,0.275795,1,1
34,3,83.00,83.00,1,0.274967,0,1
35,1,50.00,50.00,1,0.274142,0,0
36,1,50.00,50.00,1,0.273320,0,0
37,1,50.00,50.00,1,0.272500,0,0
38,1,50.00,50.00,1,0.271682,0,0
39,10,78.00,-9.00,1,0.270867,2,7
40,1,50.00,50.00,1,0.270055,0,0
41,1,50.00,50.00,1,0.269245,0,0
42,1,50.00,50.00,1,0.268437,0,0
43,2,89.00,89.00,1,0.267632,0,0
44,3,78.00,78.00,1,0.266829,1,1
45,1,50.00,50.00,1,0.266028,0,0
46,1,50.00,50.00,1,0.265230,0,0
47,1,50.00,50.00,1,0.264434,0,0
48,2,39.00,39.00,1,0.263641,1,1
49,8,50.00,8.00,1,0.262850,3,5
50,1,50.00,50.00,1,0.262062,0,0
51,1,50.00,50.00,1,0.261275,0,0
52,5,76.00,76.00,1,0.260492,2,1
53,2,89.00,89.00,1,0.259710,0,0
54,2,89.00,89.00,1,0.258931,0,0
55,1,50.00,50.00,1,0.258154,0,0
56,1,50.00,50.00,1,0.257380,0,0
57,1,50.00,50.00,1,0.256608,0,0
58,3,38.00,28.00,1,0.255838,2,2
59,4,54.00,37.00,1,0.255070,1,1
60,2,44.00,44.00,1,0.254305,0,1
61,1,50.00,50.00,1,0.253542,0,0
62,1,50.00,50.00,1,0.252781,0,0
63,2,89.00,89.00,1,0.252023,0,0
64,2,89.00,89.00,1,0.251267,0,0
65,1,50.00,50.00,1,0.250513,0,0
66,1,50.00,50.00,1,0.249762,0,0
67,1,50.00,50.00,1,0.249012,0,0
68,1,50.00,50.00,1,0.248265,0,0
69,18,42.00,-12.00,1,0.247521,6,11
70,7,44.00,-16.00,1,0.246778,6,2
71,1,50.00,50.00,1,0.246038,0,0
72,1,50.00,50.00,1,0.245300,0,0
73,1,50.00,50.00,1,0.244564,0,0
74,2,89.00,89.00,1,0.243830,0,0
75,1,50.00,50.00,1,0.243099,0,0
76,1,50.00,50.00,1,0.242369,0,0
77,1,50.00,50.00,1,0.241642,0,0
78,1,50.00,50.00,1,0.240917,0,0
79,19,99.00,-3.00,1,0.240194,3,16
80,1,50.00,50.00,1,0.239474,0,0
81,1,50.00,50.00,1,0.238755,0,0
82,1,50.00,50.00,1,0.238039,0,0
83,2,89.00,89.00,1,0.237325,0,0
84,2,89.00,89.00,1,0.236613,0,0
85,1,50.00,50.00,1,0.235903,0,0
86,1,50.00,50.00,1,0.235196,0,0
87,1,50.00,50.00,1,0.234490,0,0
88,2,49.00,39.00,1,0.233786,1,1
89,7,51.00,-6.00,1,0.233085,2,4
90,1,50.00,50.00,1,0.232386,0,0
91,1,50.00,50.00,1,0.231689,0,0
92,1,50.00,50.00,1,0.230994,0,0
93,3,83.00,83.00,1,0.230301,0,1
94,2,89.00,89.00,1,0.229610,0,0
95,1,50.00,50.00,1,0.228921,0,0
96,1,50.00,50.00,1,0.228234,0,0
97,1,50.00,50.00,1,0.227549,0,0
98,1,50.00,50.00,1,0.226867,0,0
99,4,54.00,37.00,1,0.226186,1,1
100,1,50.00,50.00,1,0.225508,0,0
101,1,50.00,50.00,1,0.224831,0,0
