Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.300000,0,0
6,0,0.00,0.00,1,0.299100,0,0
7,3,38.00,12.00,1,0.298203,1,1
8,2,100.00,54.00,1,0.297308,0,0
9,20,-50.00,110.00,0,0.296416,6,11
10,6,76.00,70.00,1,0.295527,2,3
11,0,0.00,0.00,1,0.294640,0,0
12,20,108.00,-37.00,0,0.293756,7,16
13,0,0.00,0.00,1,0.292875,0,0
14,20,41.00,-34.00,0,0.291997,5,17
15,2,54.00,100.00,1,0.291121,0,0
16,0,0.00,0.00,1,0.290247,0,0
17,1,50.00,4.00,1,0.289376,0,0
18,2,100.00,54.00,1,0.288508,0,0
19,20,39.00,33.00,0,0.287643,12,10
20,3,99.00,58.00,1,0.286780,0,0
21,0,0.00,0.00,1,0.285920,0,0
22,18,108.00,69.00,1,0.285062,2,13
23,0,0.00,0.00,1,0.284207,0,0
24,15,60.00,-4.00,1,0.283354,4,13
25,3,48.00,94.00,1,0.282504,0,1
26,0,0.00,0.00,1,0.281656,0,0
27,2,49.00,8.00,1,0.280811,0,0
28,2,100.00,54.00,1,0.279969,0,0
29,17,106.00,117.00,1,0.279129,4,12
30,3,99.00,58.00,1,0.278292,0,0
31,0,0.00,0.00,1,0.277457,0,0
32,7,59.00,55.00,1,0.276624,4,4
33,0,0.00,0.00,1,0.275795,0,0
34,20,80.00,-30.00,0,0.274967,0,20
35,2,54.00,100.00,1,0.274142,0,0
36,0,0.00,0.00,1,0.273320,0,0
37,4,47.00,16.00,1,0.272500,0,2
38,2,100.00,54.00,1,0.271682,0,0
39,20,23.00,103.00,0,0.270867,2,17
40,6,70.00,61.00,1,0.270055,3,2
41,0,0.00,0.00,1,0.269245,0,0
42,7,74.00,85.00,1,0.268437,1,5
43,0,0.00,0.00,1,0.267632,0,0
44,8,32.00,33.00,1,0.266829,1,6
45,2,54.00,100.00,1,0.266028,0,0
46,0,0.00,0.00,1,0.265230,0,0
47,2,49.00,8.00,1,0.264434,0,0
48,3,94.00,48.00,1,0.263641,0,1
49,5,87.00,51.00,1,0.262850,1,3
50,20,111.00,-21.00,0,0.262062,6,12
51,0,0.00,0.00,1,0.261275,0,0
52,20,126.00,16.00,0,0.260492,1,19
53,0,0.00,0.00,1,0.259710,0,0
54,4,16.00,37.00,1,0.258931,1,2
55,2,54.00,100.00,1,0.258154,0,0
56,0,0.00,0.00,1,0.257380,0,0
57,2,49.00,8.00,1,0.256608,0,0
58,2,100.00,54.00,1,0.255838,0,0
59,15,77.00,106.00,1,0.255070,1,13
60,4,98.00,62.00,1,0.254305,0,1
61,0,0.00,0.00,1,0.253542,0,0
62,11,92.00,41.00,1,0.252781,3,5
63,0,0.00,0.00,1,0.252023,0,0
64,6,24.00,35.00,1,0.251267,1,4
65,3,99.00,58.00,1,0.250513,0,0
66,0,0.00,0.00,1,0.249762,0,0
67,3,38.00,12.00,1,0.249012,1,1
68,2,100.00,54.00,1,0.248265,0,0
69,3,99.00,58.00,1,0.247521,0,1
70,6,98.00,62.00,1,0.246778,1,1
71,0,0.00,0.00,1,0.246038,0,0
72,5,66.00,87.00,1,0.245300,1,2
73,0,0.00,0.00,1,0.244564,0,0
74,6,24.00,30.00,1,0.243830,1,4
75,2,54.00,100.00,1,0.243099,0,0
76,0,0.00,0.00,1,0.242369,0,0
77,3,48.00,12.00,1,0.241642,0,1
78,2,100.00,54.00,1,0.240917,0,0
79,2,100.00,54.00,1,0.240194,0,0
80,2,54.00,100.00,1,0.239474,0,0
81,0,0.00,0.00,1,0.238755,0,0
82,5,66.00,97.00,1,0.238039,0,3
83,0,0.00,0.00,1,0.237325,0,0
84,15,60.00,1.00,1,0.236613,3,14
85,3,58.00,89.00,1,0.235903,1,1
86,0,0.00,0.00,1,0.235196,0,0
87,2,49.00,8.00,1,0.234490,0,0
88,4,100.00,54.00,1,0.233786,1,0
89,2,100.00,54.00,1,0.233085,0,0
90,6,76.00,55.00,1,0.232386,3,1
91,0,0.00,0.00,1,0.231689,0,0
92,20,126.00,31.00,0,0.230994,0,19
93,0,0.00,0.00,1,0.230301,0,0
