Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,10,26.00,-60.00,1,0.300000,7,4
2,2,49.00,54.00,1,0.299100,0,0
3,20,43.00,-10.00,0,0.298203,7,13
4,10,31.00,40.00,1,0.297308,1,8
5,6,55.00,52.00,1,0.296416,1,2
6,20,110.00,-25.00,0,0.295527,2,15
7,20,87.00,-30.00,0,0.294640,4,13
8,20,36.00,-5.00,0,0.293756,5,11
9,20,-55.00,38.00,0,0.292875,5,13
10,19,2.00,87.00,1,0.291997,4,14
11,20,-90.00,126.00,0,0.291121,7,13
12,2,49.00,54.00,1,0.290247,0,0
13,20,132.00,10.00,0,0.289376,2,12
14,3,48.00,12.00,1,0.288508,0,1
15,12,71.00,41.00,1,0.287643,2,6
16,18,87.00,23.00,1,0.286780,4,12
17,20,37.00,-25.00,0,0.285920,9,3
18,20,15.00,76.00,0,0.285062,3,10
19,20,50.00,-40.00,0,0.284207,5,12
20,6,25.00,45.00,1,0.283354,1,3
21,7,44.00,74.00,1,0.282504,0,4
22,2,49.00,54.00,1,0.281656,0,0
23,19,129.00,-3.00,1,0.280811,6,11
24,6,45.00,24.00,1,0.279969,0,2
25,11,41.00,42.00,1,0.279129,5,1
26,3,58.00,48.00,1,0.278292,0,1
27,20,-7.00,-25.00,0,0.277457,9,2
28,20,151.00,15.00,0,0.276624,0,14
29,20,-35.00,165.00,0,0.275795,3,10
30,8,38.00,52.00,1,0.274967,2,1
31,5,46.00,66.00,1,0.274142,0,3
32,2,49.00,54.00,1,0.273320,0,0
33,20,156.00,0.00,0,0.272500,2,17
34,3,48.00,12.00,1,0.271682,0,1
35,2,49.00,54.00,1,0.270867,0,0
36,2,54.00,49.00,1,0.270055,0,0
37,10,54.00,41.00,1,0.269245,4,0
38,20,0.00,151.00,0,0.268437,2,15
39,20,-20.00,113.00,0,0.267632,1,16
40,4,47.00,62.00,1,0.266829,0,1
41,5,26.00,66.00,1,0.266028,2,3
42,2,49.00,54.00,1,0.265230,0,0
