Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.298800,0,0
2,0,0.00,0.00,1,0.297605,0,0
3,0,0.00,0.00,1,0.296414,0,0
4,0,0.00,0.00,1,0.295229,0,0
5,0,0.00,0.00,1,0.294048,0,0
6,0,0.00,0.00,1,0.292872,0,0
7,0,0.00,0.00,1,0.291700,0,0
8,19,14.00,2.00,0,0.300000,8,10
9,0,0.00,0.00,1,0.298800,0,0
10,20,16.00,80.00,0,0.297605,1,19
11,2,54.00,49.00,1,0.296414,0,0
12,0,0.00,0.00,1,0.295229,0,0
13,0,0.00,0.00,1,0.294048,0,0
14,1,4.00,50.00,1,0.292872,0,0
15,2,49.00,54.00,1,0.291700,0,0
16,0,0.00,0.00,1,0.290533,0,0
17,3,48.00,4.00,1,0.289371,1,0
18,0,0.00,0.00,1,0.288214,0,0
19,7,36.00,110.00,1,0.287061,2,2
20,0,0.00,0.00,1,0.285913,0,0
21,2,54.00,49.00,1,0.284769,0,0
22,2,54.00,49.00,1,0.283630,0,0
23,0,0.00,0.00,1,0.282495,0,0
24,2,49.00,8.00,1,0.281365,0,0
25,1,4.00,50.00,1,0.280240,0,0
26,2,49.00,54.00,1,0.279119,0,0
27,0,0.00,0.00,1,0.278002,0,0
28,1,50.00,4.00,1,0.276890,0,0
29,20,31.00,98.00,0,0.275783,2,14
30,3,53.00,99.00,1,0.274680,0,0
31,0,0.00,0.00,1,0.273581,0,0
32,20,106.00,-64.00,0,0.272487,2,18
33,3,48.00,43.00,1,0.271397,0,1
34,0,0.00,0.00,1,0.270311,0,0
35,5,46.00,20.00,1,0.300000,0,0
36,20,10.00,-35.00,0,0.298800,4,15
37,20,108.00,-115.00,0,0.297605,11,15
38,0,0.00,0.00,1,0.296414,0,0
39,1,50.00,4.00,1,0.295229,0,0
40,0,0.00,0.00,1,0.294048,0,0
41,20,113.00,33.00,0,0.292872,2,14
42,0,0.00,0.00,1,0.291700,0,0
43,20,-98.00,-15.00,0,0.290533,12,13
44,20,12.00,-75.00,0,0.289371,11,6
45,0,0.00,0.00,1,0.288214,0,0
46,4,57.00,32.00,1,0.287061,1,2
47,20,-38.00,-35.00,0,0.285913,9,3
48,20,96.00,-40.00,0,0.284769,0,19
49,0,0.00,0.00,1,0.283630,0,0
50,2,39.00,8.00,1,0.282495,1,1
51,20,111.00,-5.00,0,0.281365,3,16
52,20,121.00,18.00,0,0.280240,2,16
53,0,0.00,0.00,1,0.279119,0,0
54,1,50.00,4.00,1,0.278002,0,0
55,20,45.00,-50.00,0,0.276890,9,5
56,0,0.00,0.00,1,0.275783,0,0
57,20,-50.00,-50.00,0,0.274680,10,3
58,20,-30.00,-40.00,0,0.273581,10,5
59,20,56.00,-70.00,0,0.272487,3,17
60,0,0.00,0.00,1,0.271397,0,0
61,1,50.00,4.00,1,0.270311,0,0
62,20,64.00,1.00,0,0.269230,4,15
63,20,51.00,27.00,0,0.268153,8,2
64,0,0.00,0.00,1,0.267080,0,0
65,20,-37.00,-37.00,0,0.266012,12,14
66,20,45.00,-45.00,0,0.264948,10,4
67,0,0.00,0.00,1,0.263888,0,0
68,0,0.00,0.00,1,0.262833,0,0
69,20,-48.00,-45.00,0,0.261781,11,1
70,20,56.00,-65.00,0,0.260734,2,17
71,0,0.00,0.00,1,0.259691,0,0
72,2,44.00,8.00,1,0.258653,0,1
73,20,126.00,-30.00,0,0.257618,0,19
74,20,6.00,16.00,0,0.256587,9,3
75,0,0.00,0.00,1,0.255561,0,0
76,20,-35.00,65.00,0,0.254539,5,15
77,20,50.00,-65.00,0,0.253521,11,5
78,0,0.00,0.00,1,0.252507,0,0
79,1,50.00,4.00,1,0.251497,0,0
80,20,-26.00,-70.00,0,0.250491,9,9
81,20,-63.00,-135.00,0,0.249489,11,18
82,0,0.00,0.00,1,0.248491,0,0
83,1,50.00,4.00,1,0.247497,0,0
84,20,-45.00,102.00,0,0.246507,5,13
85,20,6.00,33.00,0,0.245521,9,1
86,0,0.00,0.00,1,0.244539,0,0
87,20,27.00,-10.00,0,0.243560,5,15
88,20,46.00,-40.00,0,0.242586,3,14
89,0,0.00,0.00,1,0.241616,0,0
90,20,-40.00,121.00,0,0.240649,1,19
91,20,36.00,-45.00,0,0.239687,4,14
92,20,116.00,0.00,0,0.238728,2,18
93,0,0.00,0.00,1,0.237773,0,0
94,1,50.00,4.00,1,0.236822,0,0
95,3,48.00,12.00,1,0.235875,0,1
96,20,-2.00,21.00,0,0.234931,10,1
97,0,0.00,0.00,1,0.233992,0,0
98,20,-24.00,21.00,0,0.233056,9,3
99,20,70.00,-90.00,0,0.232123,8,10
100,0,0.00,0.00,1,0.231195,0,0
101,1,50.00,4.00,1,0.230270,0,0
102,20,18.00,-95.00,0,0.229349,9,13
103,20,118.00,20.00,0,0.228432,1,16
104,0,0.00,0.00,1,0.227518,0,0
105,2,49.00,8.00,1,0.226608,0,0
106,2,39.00,8.00,1,0.225701,1,1
107,20,9.00,35.00,0,0.224799,9,1
108,0,0.00,0.00,1,0.223899,0,0
109,1,50.00,4.00,1,0.223004,0,0
110,20,31.00,-75.00,0,0.222112,7,10
111,0,0.00,0.00,1,0.221223,0,0
112,1,50.00,4.00,1,0.220338,0,0
113,20,64.00,-70.00,0,0.219457,6,14
114,20,118.00,0.00,0,0.218579,4,14
115,0,0.00,0.00,1,0.217705,0,0
116,1,50.00,4.00,1,0.216834,0,0
117,20,-31.00,80.00,0,0.215967,3,3
118,20,1.00,23.00,0,0.215103,10,1
119,0,0.00,0.00,1,0.214243,0,0
120,0,0.00,0.00,1,0.213386,0,0
121,20,100.00,-60.00,0,0.212532,4,13
122,0,0.00,0.00,1,0.211682,0,0
123,0,0.00,0.00,1,0.210835,0,0
124,20,67.00,-75.00,0,0.209992,5,16
125,20,126.00,15.00,0,0.209152,1,16
126,0,0.00,0.00,1,0.208315,0,0
127,1,50.00,4.00,1,0.207482,0,0
128,20,-50.00,80.00,0,0.206652,1,5
129,20,73.00,-19.00,0,0.205825,9,1
130,0,0.00,0.00,1,0.205002,0,0
131,20,-45.00,93.00,0,0.204182,4,16
132,20,100.00,-45.00,0,0.203365,3,15
133,0,0.00,0.00,1,0.202552,0,0
134,20,-96.00,-17.00,0,0.201742,12,13
135,20,29.00,-70.00,0,0.200935,6,14
136,20,110.00,20.00,0,0.200131,2,14
137,0,0.00,0.00,1,0.199331,0,0
138,1,50.00,4.00,1,0.198533,0,0
139,1,4.00,50.00,1,0.197739,0,0
140,20,121.00,42.00,0,0.196948,8,2
141,0,0.00,0.00,1,0.196160,0,0
142,4,62.00,37.00,1,0.195376,0,2
143,20,118.00,-50.00,0,0.194594,2,17
144,0,0.00,0.00,1,0.193816,0,0
145,20,103.00,-26.00,0,0.193041,9,3
146,20,18.00,-50.00,0,0.192268,4,15
147,20,118.00,5.00,0,0.191499,2,16
148,0,0.00,0.00,1,0.190733,0,0
149,1,50.00,4.00,1,0.189970,0,0
150,1,4.00,50.00,1,0.189210,0,0
151,20,108.00,33.00,0,0.188454,8,4
152,0,0.00,0.00,1,0.187700,0,0
153,20,-45.00,80.00,0,0.186949,2,18
154,20,36.00,-30.00,0,0.186201,3,14
155,0,0.00,0.00,1,0.185456,0,0
156,20,37.00,0.00,0,0.184715,4,15
157,20,64.00,-45.00,0,0.183976,3,16
158,20,110.00,20.00,0,0.183240,2,14
159,0,0.00,0.00,1,0.182507,0,0
160,1,50.00,4.00,1,0.181777,0,0
161,20,118.00,-35.00,0,0.181050,3,15
162,20,106.00,15.00,0,0.180326,11,4
163,0,0.00,0.00,1,0.179604,0,0
164,20,-25.00,80.00,0,0.178886,0,19
165,20,67.00,-55.00,0,0.178170,4,15
166,0,0.00,0.00,1,0.177458,0,0
167,0,0.00,0.00,1,0.176748,0,0
168,20,46.00,-45.00,0,0.176041,4,14
169,20,126.00,5.00,0,0.175337,1,18
170,0,0.00,0.00,1,0.174635,0,0
171,1,50.00,4.00,1,0.173937,0,0
172,0,0.00,0.00,1,0.173241,0,0
173,20,121.00,-12.00,0,0.172548,10,1
174,0,0.00,0.00,1,0.171858,0,0
175,2,54.00,49.00,1,0.171170,0,0
176,20,126.00,-45.00,0,0.170486,2,17
177,0,0.00,0.00,1,0.169804,0,0
178,20,80.00,-40.00,0,0.169125,1,20
179,20,72.00,-35.00,0,0.168448,2,18
180,20,106.00,10.00,0,0.167774,2,18
181,0,0.00,0.00,1,0.167103,0,0
182,1,50.00,4.00,1,0.166435,0,0
183,20,-20.00,80.00,0,0.165769,0,2
184,20,108.00,-16.00,0,0.165106,9,3
185,0,0.00,0.00,1,0.164446,0,0
186,20,126.00,-35.00,0,0.163788,1,19
187,20,108.00,-55.00,0,0.163133,3,15
188,0,0.00,0.00,1,0.162480,0,0
189,20,-50.00,121.00,0,0.161830,3,18
190,20,80.00,-40.00,0,0.161183,2,20
191,20,118.00,5.00,0,0.160538,2,16
192,0,0.00,0.00,1,0.159896,0,0
193,1,50.00,4.00,1,0.159256,0,0
194,2,49.00,8.00,1,0.158619,0,0
195,20,121.00,-7.00,0,0.157985,9,1
196,0,0.00,0.00,1,0.157353,0,0
197,20,67.00,-65.00,0,0.156723,5,16
198,20,111.00,-55.00,0,0.156097,4,17
199,0,0.00,0.00,1,0.155472,0,0
200,0,0.00,0.00,1,0.154850,0,0
201,20,80.00,-40.00,0,0.154231,2,18
202,20,118.00,-30.00,0,0.153614,3,15
203,0,0.00,0.00,1,0.153000,0,0
204,1,50.00,4.00,1,0.152388,0,0
205,20,126.00,-55.00,0,0.151778,3,19
206,20,121.00,47.00,0,0.151171,8,2
207,0,0.00,0.00,1,0.150566,0,0
208,20,-30.00,118.00,0,0.149964,2,16
209,20,118.00,-30.00,0,0.149364,1,17
210,0,0.00,0.00,1,0.148767,0,0
211,20,-66.00,-25.00,0,0.148172,11,11
212,20,62.00,-50.00,0,0.147579,3,16
213,20,72.00,20.00,0,0.146989,1,17
214,0,0.00,0.00,1,0.146401,0,0
215,1,50.00,4.00,1,0.145815,0,0
216,20,-7.00,-1.00,0,0.145232,11,8
217,20,121.00,-7.00,0,0.144651,9,1
218,0,0.00,0.00,1,0.144072,0,0
219,20,80.00,-55.00,0,0.143496,3,20
220,20,90.00,-40.00,0,0.142922,3,15
221,0,0.00,0.00,1,0.142350,0,0
222,20,-45.00,80.00,0,0.141781,2,19
223,20,72.00,-35.00,0,0.141214,2,18
224,20,126.00,5.00,0,0.140649,1,18
225,0,0.00,0.00,1,0.140086,0,0
226,1,50.00,4.00,1,0.139526,0,0
227,20,126.00,-30.00,0,0.138968,1,19
228,20,67.00,42.00,0,0.138412,9,1
229,0,0.00,0.00,1,0.137858,0,0
230,0,0.00,0.00,1,0.137307,0,0
231,20,126.00,-40.00,0,0.136758,2,17
232,0,0.00,0.00,1,0.136211,0,0
233,0,0.00,0.00,1,0.135666,0,0
234,20,80.00,-20.00,0,0.135123,0,20
235,20,118.00,15.00,0,0.134583,1,16
236,0,0.00,0.00,1,0.134044,0,0
237,1,50.00,4.00,1,0.133508,0,0
238,0,0.00,0.00,1,0.132974,0,0
239,20,105.00,-13.00,0,0.132442,8,3
240,0,0.00,0.00,1,0.131912,0,0
241,20,126.00,20.00,0,0.131385,0,18
242,20,126.00,-30.00,0,0.130859,0,19
243,0,0.00,0.00,1,0.130336,0,0
244,0,0.00,0.00,1,0.129814,0,0
245,20,80.00,-40.00,0,0.129295,1,20
246,20,126.00,20.00,0,0.128778,1,16
247,0,0.00,0.00,1,0.128263,0,0
248,1,50.00,4.00,1,0.127750,0,0
249,1,50.00,4.00,1,0.127239,0,0
250,20,105.00,37.00,0,0.126730,5,8
251,0,0.00,0.00,1,0.126223,0,0
252,20,28.00,80.00,0,0.125718,1,1
253,20,126.00,-20.00,0,0.125215,0,19
254,0,0.00,0.00,1,0.124714,0,0
255,0,0.00,0.00,1,0.124215,0,0
256,20,80.00,-20.00,0,0.123719,0,20
257,20,126.00,10.00,0,0.123224,2,16
