Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.298800,0,0
2,0,0.00,0.00,1,0.297605,0,0
3,0,0.00,0.00,1,0.296414,0,0
4,0,0.00,0.00,1,0.295229,0,0
5,0,0.00,0.00,1,0.294048,0,0
6,0,0.00,0.00,1,0.292872,0,0
7,0,0.00,0.00,1,0.291700,0,0
8,19,31.00,114.00,0,0.300000,3,2
9,0,0.00,0.00,1,0.298800,0,0
10,1,4.00,50.00,1,0.297605,0,0
11,2,49.00,54.00,1,0.296414,0,0
12,0,0.00,0.00,1,0.295229,0,0
13,20,-35.00,80.00,0,0.294048,1,2
14,1,4.00,50.00,1,0.292872,0,0
15,3,48.00,43.00,1,0.291700,1,1
16,0,0.00,0.00,1,0.290533,0,0
17,1,50.00,4.00,1,0.289371,0,0
18,20,28.00,113.00,0,0.288214,2,5
19,3,48.00,43.00,1,0.287061,0,1
20,0,0.00,0.00,1,0.285913,0,0
21,0,0.00,0.00,1,0.284769,0,0
22,2,49.00,54.00,1,0.283630,0,0
23,0,0.00,0.00,1,0.282495,0,0
24,4,32.00,57.00,1,0.281365,1,2
25,1,4.00,50.00,1,0.280240,0,0
26,3,43.00,48.00,1,0.279119,0,1
27,0,0.00,0.00,1,0.278002,0,0
28,1,50.00,4.00,1,0.276890,0,0
29,1,50.00,4.00,1,0.275783,0,0
30,2,54.00,49.00,1,0.274680,0,0
31,0,0.00,0.00,1,0.273581,0,0
32,2,54.00,49.00,1,0.272487,0,0
33,2,49.00,54.00,1,0.271397,0,0
34,0,0.00,0.00,1,0.270311,0,0
35,2,49.00,8.00,1,0.300000,0,0
36,20,72.00,-115.00,0,0.298800,4,16
37,20,25.00,0.00,0,0.297605,7,7
38,0,0.00,0.00,1,0.296414,0,0
39,1,50.00,4.00,1,0.295229,0,0
40,1,50.00,4.00,1,0.294048,0,0
41,20,73.00,20.00,0,0.292872,9,2
42,0,0.00,0.00,1,0.291700,0,0
43,20,-170.00,83.00,0,0.290533,18,2
44,20,118.00,-110.00,0,0.289371,2,16
45,0,0.00,0.00,1,0.288214,0,0
46,1,50.00,4.00,1,0.287061,0,0
47,20,72.00,-100.00,0,0.285913,2,18
48,20,46.00,-30.00,0,0.284769,10,8
49,0,0.00,0.00,1,0.283630,0,0
50,1,50.00,4.00,1,0.282495,0,0
51,20,-165.00,64.00,0,0.281365,16,3
52,20,53.00,25.00,0,0.280240,8,2
53,0,0.00,0.00,1,0.279119,0,0
54,20,-45.00,80.00,0,0.278002,1,5
55,20,118.00,-105.00,0,0.276890,1,17
56,0,0.00,0.00,1,0.275783,0,0
57,1,50.00,4.00,1,0.274680,0,0
58,20,56.00,-105.00,0,0.273581,6,12
59,20,70.00,0.00,0,0.272487,8,4
60,0,0.00,0.00,1,0.271397,0,0
61,2,49.00,8.00,1,0.270311,0,0
62,0,0.00,0.00,1,0.269230,0,0
63,20,40.00,-38.00,0,0.268153,11,3
64,0,0.00,0.00,1,0.267080,0,0
65,20,-80.00,80.00,0,0.266012,5,4
66,20,-3.00,-75.00,0,0.264948,9,5
67,0,0.00,0.00,1,0.263888,0,0
68,1,50.00,4.00,1,0.262833,0,0
69,20,-21.00,-75.00,0,0.261781,8,10
70,20,50.00,5.00,0,0.260734,9,2
71,0,0.00,0.00,1,0.259691,0,0
72,2,49.00,8.00,1,0.258653,0,0
73,1,50.00,4.00,1,0.257618,0,0
74,20,3.00,21.00,0,0.256587,10,1
75,0,0.00,0.00,1,0.255561,0,0
76,20,24.00,-27.00,0,0.254539,8,3
77,20,19.00,-65.00,0,0.253521,10,5
78,0,0.00,0.00,1,0.252507,0,0
79,20,-30.00,80.00,0,0.251497,0,3
80,20,-14.00,-70.00,0,0.250491,7,8
81,20,54.00,20.00,0,0.249489,9,0
82,0,0.00,0.00,1,0.248491,0,0
83,2,44.00,8.00,1,0.247497,0,1
84,0,0.00,0.00,1,0.246507,0,0
85,20,17.00,20.00,0,0.245521,9,3
86,0,0.00,0.00,1,0.244539,0,0
87,1,50.00,4.00,1,0.243560,0,0
88,20,33.00,-75.00,0,0.242586,5,12
89,0,0.00,0.00,1,0.241616,0,0
90,20,57.00,-40.00,0,0.240649,10,3
91,20,51.00,-85.00,0,0.239687,4,14
92,20,54.00,20.00,0,0.238728,9,0
93,0,0.00,0.00,1,0.237773,0,0
94,1,50.00,4.00,1,0.236822,0,0
95,1,50.00,4.00,1,0.235875,0,0
96,20,50.00,11.00,0,0.234931,10,4
97,0,0.00,0.00,1,0.233992,0,0
98,0,0.00,0.00,1,0.233056,0,0
99,20,65.00,-60.00,0,0.232123,10,3
100,0,0.00,0.00,1,0.231195,0,0
101,20,-30.00,-73.00,0,0.230270,10,3
102,20,23.00,-80.00,0,0.229349,6,11
103,20,40.00,-5.00,0,0.228432,10,4
104,0,0.00,0.00,1,0.227518,0,0
105,3,38.00,12.00,1,0.226608,1,2
106,20,-30.00,80.00,0,0.225701,1,1
107,20,40.00,11.00,0,0.224799,9,4
108,0,0.00,0.00,1,0.223899,0,0
109,20,26.00,-29.00,0,0.223004,10,3
110,20,38.00,-50.00,0,0.222112,9,6
111,0,0.00,0.00,1,0.221223,0,0
112,20,33.00,-10.00,0,0.220338,6,7
113,20,24.00,-55.00,0,0.219457,8,5
114,20,11.00,-20.00,0,0.218579,10,0
115,0,0.00,0.00,1,0.217705,0,0
116,1,50.00,4.00,1,0.216834,0,0
117,20,17.00,-42.00,0,0.215967,10,5
118,20,53.00,-36.00,0,0.215103,9,3
119,0,0.00,0.00,1,0.214243,0,0
120,20,-47.00,-78.00,0,0.213386,12,5
121,20,41.00,-95.00,0,0.212532,6,13
122,0,0.00,0.00,1,0.211682,0,0
123,20,-55.00,80.00,0,0.210835,3,6
124,20,64.00,-100.00,0,0.209992,3,16
125,20,73.00,0.00,0,0.209152,9,4
126,0,0.00,0.00,1,0.208315,0,0
127,1,50.00,4.00,1,0.207482,0,0
128,0,0.00,0.00,1,0.206652,0,0
129,20,-13.00,30.00,0,0.205825,10,3
130,0,0.00,0.00,1,0.205002,0,0
131,20,-200.00,72.00,0,0.204182,19,1
132,20,118.00,-105.00,0,0.203365,1,17
133,0,0.00,0.00,1,0.202552,0,0
134,20,-1.00,-55.00,0,0.201742,9,5
135,20,72.00,-120.00,0,0.200935,3,17
136,20,6.00,0.00,0,0.200131,9,3
137,0,0.00,0.00,1,0.199331,0,0
138,1,50.00,4.00,1,0.198533,0,0
139,1,50.00,4.00,1,0.197739,0,0
140,20,6.00,6.00,0,0.196948,10,3
141,0,0.00,0.00,1,0.196160,0,0
142,1,50.00,4.00,1,0.195376,0,0
143,20,38.00,-85.00,0,0.194594,7,9
144,0,0.00,0.00,1,0.193816,0,0
145,20,47.00,10.00,0,0.193041,10,2
146,20,3.00,-40.00,0,0.192268,11,1
147,20,55.00,10.00,0,0.191499,8,4
148,0,0.00,0.00,1,0.190733,0,0
149,2,49.00,8.00,1,0.189970,0,0
150,20,-7.00,-30.00,0,0.189210,11,2
151,20,24.00,35.00,0,0.188454,9,1
152,0,0.00,0.00,1,0.187700,0,0
153,0,0.00,0.00,1,0.186949,0,0
154,20,60.00,-65.00,0,0.186201,11,2
155,0,0.00,0.00,1,0.185456,0,0
156,20,-42.00,-22.00,0,0.184715,10,4
157,20,-68.00,-30.00,0,0.183976,12,2
158,20,-4.00,0.00,0,0.183240,11,3
159,0,0.00,0.00,1,0.182507,0,0
160,1,50.00,4.00,1,0.181777,0,0
161,2,49.00,54.00,1,0.181050,0,0
162,20,71.00,15.00,0,0.180326,9,4
163,0,0.00,0.00,1,0.179604,0,0
164,20,-85.00,80.00,0,0.178886,6,2
165,20,14.00,-60.00,0,0.178170,10,3
166,0,0.00,0.00,1,0.177458,0,0
167,0,0.00,0.00,1,0.176748,0,0
168,20,-4.00,-45.00,0,0.176041,9,3
169,20,70.00,10.00,0,0.175337,8,2
170,0,0.00,0.00,1,0.174635,0,0
171,1,50.00,4.00,1,0.173937,0,0
172,20,19.00,0.00,0,0.173241,7,5
173,20,42.00,21.00,0,0.172548,10,2
174,0,0.00,0.00,1,0.171858,0,0
175,20,33.00,80.00,0,0.171170,1,2
176,20,8.00,-35.00,0,0.170486,10,1
177,0,0.00,0.00,1,0.169804,0,0
178,0,0.00,0.00,1,0.169125,0,0
179,20,-46.00,-30.00,0,0.168448,11,0
180,20,62.00,-30.00,0,0.167774,6,10
181,0,0.00,0.00,1,0.167103,0,0
182,1,50.00,4.00,1,0.166435,0,0
183,20,-15.00,34.00,0,0.165769,9,1
184,20,71.00,-29.00,0,0.165106,9,3
185,0,0.00,0.00,1,0.164446,0,0
186,0,0.00,0.00,1,0.163788,0,0
187,20,5.00,-70.00,0,0.163133,8,9
188,0,0.00,0.00,1,0.162480,0,0
189,20,-175.00,80.00,0,0.161830,13,7
190,20,35.00,-80.00,0,0.161183,7,9
191,20,92.00,-45.00,0,0.160538,7,5
192,0,0.00,0.00,1,0.159896,0,0
193,1,50.00,4.00,1,0.159256,0,0
194,20,0.00,-20.00,0,0.158619,10,0
195,20,89.00,29.00,0,0.157985,8,2
196,0,0.00,0.00,1,0.157353,0,0
197,20,-135.00,72.00,0,0.156723,6,14
198,20,94.00,-90.00,0,0.156097,7,9
199,0,0.00,0.00,1,0.155472,0,0
200,0,0.00,0.00,1,0.154850,0,0
201,20,40.00,-70.00,0,0.154231,6,9
202,20,97.00,0.00,0,0.153614,10,2
203,0,0.00,0.00,1,0.153000,0,0
204,1,50.00,4.00,1,0.152388,0,0
205,0,0.00,0.00,1,0.151778,0,0
206,20,118.00,45.00,0,0.151171,8,2
207,0,0.00,0.00,1,0.150566,0,0
208,20,24.00,-55.00,0,0.149964,9,4
209,20,126.00,-115.00,0,0.149364,0,19
210,0,0.00,0.00,1,0.148767,0,0
211,1,50.00,4.00,1,0.148172,0,0
212,20,80.00,-115.00,0,0.147579,0,20
213,20,126.00,-40.00,0,0.146989,10,3
214,0,0.00,0.00,1,0.146401,0,0
215,4,27.00,16.00,1,0.145815,2,2
216,0,0.00,0.00,1,0.145232,0,0
217,20,126.00,-12.00,0,0.144651,10,1
218,0,0.00,0.00,1,0.144072,0,0
219,1,50.00,4.00,1,0.143496,0,0
220,20,108.00,-100.00,0,0.142922,2,17
221,0,0.00,0.00,1,0.142350,0,0
222,20,64.00,-110.00,0,0.141781,5,13
223,20,49.00,-90.00,0,0.141214,3,16
224,20,110.00,20.00,0,0.140649,9,0
225,0,0.00,0.00,1,0.140086,0,0
226,1,50.00,4.00,1,0.139526,0,0
227,1,50.00,4.00,1,0.138968,0,0
228,20,118.00,-4.00,0,0.138412,9,1
229,0,0.00,0.00,1,0.137858,0,0
230,20,80.00,-12.00,0,0.137307,9,2
231,20,126.00,-120.00,0,0.136758,1,19
232,0,0.00,0.00,1,0.136211,0,0
233,20,40.00,-60.00,0,0.135666,6,8
234,20,80.00,-120.00,0,0.135123,0,20
235,20,116.00,-45.00,0,0.134583,10,3
236,0,0.00,0.00,1,0.134044,0,0
237,1,50.00,4.00,1,0.133508,0,0
238,20,102.00,-25.00,0,0.132974,7,8
239,20,118.00,13.00,0,0.132442,9,4
240,0,0.00,0.00,1,0.131912,0,0
241,1,50.00,4.00,1,0.131385,0,0
242,20,126.00,-125.00,0,0.130859,2,17
243,0,0.00,0.00,1,0.130336,0,0
244,20,121.00,49.00,0,0.129814,9,0
245,20,80.00,-130.00,0,0.129295,2,19
246,20,126.00,-30.00,0,0.128778,10,1
247,0,0.00,0.00,1,0.128263,0,0
248,1,50.00,4.00,1,0.127750,0,0
249,20,-120.00,64.00,0,0.127239,6,12
250,20,111.00,-31.00,0,0.126730,10,5
251,0,0.00,0.00,1,0.126223,0,0
252,20,41.00,-60.00,0,0.125718,7,8
253,20,118.00,-95.00,0,0.125215,1,17
254,0,0.00,0.00,1,0.124714,0,0
255,20,-73.00,9.00,0,0.124215,10,4
256,20,72.00,-110.00,0,0.123719,1,18
257,20,126.00,5.00,0,0.123224,9,2
