profile,mode,n_runs,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab1_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1binv,ql_false,10,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,descriptive,1.0,0.9,10,9,0.45,3,0.3,333.77777777777777,281.1083333333333,383.6666666666667,6.1,4.3,7.7
lab2_f1binv,ql_true,10,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ1Light,True,descriptive,1.0,1.0,10,10,0.65,5,0.5,268.9,149.9975,408.90749999999986,7.6,7.3,7.9
lab2_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_false,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_true,0,,True,descriptive,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
