Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.298800,0,0
2,18,25.00,64.00,0,0.300000,3,12
3,2,8.00,39.00,1,0.298800,1,1
4,4,62.00,77.00,1,0.297605,1,1
5,0,0.00,0.00,1,0.296414,0,0
6,2,49.00,8.00,1,0.295229,0,1
7,0,0.00,0.00,1,0.294048,0,0
8,5,26.00,66.00,1,0.292872,1,3
9,0,0.00,0.00,1,0.291700,0,0
10,2,49.00,8.00,1,0.290533,0,0
11,2,49.00,54.00,1,0.289371,0,0
12,0,0.00,0.00,1,0.288214,0,0
13,1,50.00,4.00,1,0.287061,0,0
14,3,-1.00,53.00,1,0.285913,1,0
15,4,52.00,27.00,1,0.284769,2,2
16,0,0.00,0.00,1,0.283630,0,0
17,13,18.00,64.00,1,0.282495,4,9
18,3,48.00,58.00,1,0.281365,0,1
19,5,31.00,66.00,1,0.280240,0,3
20,0,0.00,0.00,1,0.279119,0,0
21,0,0.00,0.00,1,0.278002,0,0
22,2,49.00,54.00,1,0.276890,0,0
23,0,0.00,0.00,1,0.275783,0,0
24,20,-23.00,26.00,0,0.274680,2,17
25,1,4.00,50.00,1,0.273581,0,0
26,2,54.00,49.00,1,0.272487,0,0
27,0,0.00,0.00,1,0.271397,0,0
28,4,52.00,-12.00,1,0.270311,2,1
29,1,4.00,50.00,1,0.269230,0,0
30,20,-110.00,126.00,0,0.268153,2,18
31,0,0.00,0.00,1,0.267080,0,0
32,20,-30.00,80.00,0,0.266012,1,19
33,2,49.00,54.00,1,0.264948,0,0
34,0,0.00,0.00,1,0.263888,0,0
35,1,4.00,50.00,1,0.262833,0,0
36,3,-1.00,53.00,1,0.261781,1,0
37,5,41.00,26.00,1,0.260734,3,3
38,0,0.00,0.00,1,0.259691,0,0
39,1,50.00,4.00,1,0.258653,0,0
40,20,-139.00,51.00,0,0.257618,5,13
41,12,44.00,57.00,1,0.256587,4,2
42,0,0.00,0.00,1,0.255561,0,0
43,1,50.00,4.00,1,0.254539,0,0
44,2,49.00,54.00,1,0.253521,0,0
45,0,0.00,0.00,1,0.252507,0,0
46,20,-85.00,118.00,0,0.300000,7,12
47,20,80.00,-55.00,0,0.298800,3,19
48,20,126.00,-90.00,0,0.297605,13,14
49,0,0.00,0.00,1,0.296414,0,0
50,1,50.00,4.00,1,0.295229,0,0
51,1,50.00,4.00,1,0.294048,0,0
52,20,58.00,-19.00,0,0.292872,11,6
53,0,0.00,0.00,1,0.291700,0,0
54,1,50.00,4.00,1,0.290533,0,0
55,20,103.00,-35.00,0,0.289371,3,17
56,0,0.00,0.00,1,0.288214,0,0
57,20,-7.00,-30.00,0,0.287061,11,2
58,20,80.00,-65.00,0,0.285913,4,18
59,20,105.00,-10.00,0,0.284769,5,14
60,0,0.00,0.00,1,0.283630,0,0
61,1,50.00,4.00,1,0.282495,0,0
62,1,50.00,4.00,1,0.281365,0,0
63,20,-8.00,20.00,0,0.280240,10,3
64,0,0.00,0.00,1,0.279119,0,0
65,20,-95.00,80.00,0,0.278002,6,13
66,20,126.00,-20.00,0,0.276890,0,19
67,0,0.00,0.00,1,0.275783,0,0
68,20,-13.00,-36.00,0,0.274680,11,4
69,20,19.00,-65.00,0,0.273581,8,13
70,20,118.00,-15.00,0,0.272487,4,14
71,0,0.00,0.00,1,0.271397,0,0
72,1,50.00,4.00,1,0.270311,0,0
73,20,-23.00,80.00,0,0.269230,1,18
74,20,14.00,8.00,0,0.268153,10,3
75,0,0.00,0.00,1,0.267080,0,0
76,20,14.00,-50.00,0,0.266012,10,6
77,20,126.00,-55.00,0,0.264948,3,17
78,0,0.00,0.00,1,0.263888,0,0
79,20,16.00,80.00,0,0.262833,1,19
80,20,72.00,-35.00,0,0.261781,2,18
81,20,126.00,5.00,0,0.260734,2,16
82,0,0.00,0.00,1,0.259691,0,0
83,1,50.00,4.00,1,0.258653,0,0
84,0,0.00,0.00,1,0.257618,0,0
85,20,-4.00,11.00,0,0.256587,9,3
86,0,0.00,0.00,1,0.255561,0,0
87,20,67.00,-40.00,0,0.254539,4,16
88,20,118.00,-55.00,0,0.253521,3,17
89,0,0.00,0.00,1,0.252507,0,0
90,20,-40.00,80.00,0,0.251497,1,18
91,20,72.00,-40.00,0,0.250491,3,17
92,20,126.00,5.00,0,0.249489,1,18
93,0,0.00,0.00,1,0.248491,0,0
94,1,50.00,4.00,1,0.247497,0,0
95,20,-25.00,80.00,0,0.246507,0,13
96,20,19.00,-43.00,0,0.245521,9,4
97,0,0.00,0.00,1,0.244539,0,0
98,20,-60.00,72.00,0,0.243560,5,16
99,20,113.00,-40.00,0,0.242586,2,16
100,0,0.00,0.00,1,0.241616,0,0
101,20,-45.00,-38.00,0,0.240649,11,3
102,20,72.00,-30.00,0,0.239687,2,18
103,20,103.00,5.00,0,0.238728,3,16
104,0,0.00,0.00,1,0.237773,0,0
105,2,49.00,8.00,1,0.236822,0,0
106,20,31.00,-70.00,0,0.235875,8,12
107,20,38.00,-2.00,0,0.234931,10,4
108,0,0.00,0.00,1,0.233992,0,0
109,0,0.00,0.00,1,0.233056,0,0
110,20,105.00,-60.00,0,0.232123,6,11
111,0,0.00,0.00,1,0.231195,0,0
112,20,126.00,-30.00,0,0.230270,0,19
113,20,59.00,-50.00,0,0.229349,5,14
114,20,49.00,20.00,0,0.228432,3,15
115,0,0.00,0.00,1,0.227518,0,0
116,1,50.00,4.00,1,0.226608,0,0
117,0,0.00,0.00,1,0.225701,0,0
118,20,47.00,21.00,0,0.224799,8,2
119,0,0.00,0.00,1,0.223899,0,0
120,20,118.00,-85.00,0,0.223004,3,16
121,20,103.00,-90.00,0,0.222112,7,13
122,0,0.00,0.00,1,0.221223,0,0
123,20,-40.00,80.00,0,0.220338,2,20
124,20,62.00,-90.00,0,0.219457,7,16
125,20,110.00,-5.00,0,0.218579,5,12
126,0,0.00,0.00,1,0.217705,0,0
127,2,44.00,8.00,1,0.216834,0,1
128,0,0.00,0.00,1,0.215967,0,0
129,20,49.00,31.00,0,0.215103,9,0
130,0,0.00,0.00,1,0.214243,0,0
131,0,0.00,0.00,1,0.213386,0,0
132,20,126.00,-20.00,0,0.212532,0,19
133,0,0.00,0.00,1,0.211682,0,0
134,20,80.00,-4.00,0,0.210835,6,14
135,20,72.00,-40.00,0,0.209992,2,18
136,20,126.00,5.00,0,0.209152,1,18
137,0,0.00,0.00,1,0.208315,0,0
138,1,50.00,4.00,1,0.207482,0,0
139,20,-14.00,80.00,0,0.206652,4,18
140,20,100.00,25.00,0,0.205825,5,10
141,0,0.00,0.00,1,0.205002,0,0
142,20,-93.00,-81.00,0,0.204182,12,14
143,20,17.00,-150.00,0,0.203365,14,6
144,0,0.00,0.00,1,0.202552,0,0
145,1,50.00,4.00,1,0.201742,0,0
146,20,80.00,-20.00,0,0.200935,0,20
147,20,126.00,-40.00,0,0.200131,3,17
148,0,0.00,0.00,1,0.199331,0,0
149,2,39.00,8.00,1,0.198533,1,1
150,1,50.00,4.00,1,0.197739,0,0
151,20,113.00,31.00,0,0.196948,1,16
152,0,0.00,0.00,1,0.196160,0,0
153,20,22.00,-140.00,0,0.195376,13,8
154,20,-28.00,-190.00,0,0.194594,19,1
155,0,0.00,0.00,1,0.193816,0,0
156,20,-45.00,108.00,0,0.193041,3,16
157,20,44.00,-70.00,0,0.192268,7,12
158,20,110.00,10.00,0,0.191499,4,12
159,0,0.00,0.00,1,0.190733,0,0
160,1,50.00,4.00,1,0.189970,0,0
161,20,-16.00,80.00,0,0.189210,2,15
162,20,93.00,23.00,0,0.188454,4,14
163,0,0.00,0.00,1,0.187700,0,0
164,3,38.00,12.00,1,0.186949,1,2
165,20,113.00,-50.00,0,0.186201,4,15
166,0,0.00,0.00,1,0.185456,0,0
167,20,-45.00,72.00,0,0.184715,3,17
168,20,72.00,-25.00,0,0.183976,1,18
169,20,118.00,15.00,0,0.183240,1,16
170,0,0.00,0.00,1,0.182507,0,0
171,1,50.00,4.00,1,0.181777,0,0
172,20,111.00,-55.00,0,0.181050,4,19
173,20,105.00,26.00,0,0.180326,2,14
174,0,0.00,0.00,1,0.179604,0,0
175,20,72.00,15.00,0,0.178886,3,13
176,20,111.00,-35.00,0,0.178170,2,19
177,0,0.00,0.00,1,0.177458,0,0
178,6,25.00,24.00,1,0.176748,1,3
179,20,80.00,-30.00,0,0.176041,1,20
180,20,111.00,-5.00,0,0.175337,3,16
181,0,0.00,0.00,1,0.174635,0,0
182,1,50.00,4.00,1,0.173937,0,0
183,20,-20.00,64.00,0,0.173241,2,16
184,20,121.00,31.00,0,0.172548,0,18
185,0,0.00,0.00,1,0.171858,0,0
186,20,-35.00,80.00,0,0.171170,1,16
187,20,118.00,-30.00,0,0.170486,2,17
188,0,0.00,0.00,1,0.169804,0,0
189,20,26.00,-190.00,0,0.169125,18,2
190,20,80.00,-25.00,0,0.168448,0,20
191,20,126.00,15.00,0,0.167774,0,18
192,0,0.00,0.00,1,0.167103,0,0
193,1,50.00,4.00,1,0.166435,0,0
194,20,126.00,-25.00,0,0.165769,0,19
195,20,108.00,28.00,0,0.165106,2,14
196,0,0.00,0.00,1,0.164446,0,0
197,20,80.00,5.00,0,0.163788,2,17
198,20,36.00,-65.00,0,0.163133,7,10
199,0,0.00,0.00,1,0.162480,0,0
200,1,50.00,4.00,1,0.161830,0,0
201,20,80.00,-20.00,0,0.161183,0,20
202,20,118.00,5.00,0,0.160538,2,16
203,0,0.00,0.00,1,0.159896,0,0
204,1,50.00,4.00,1,0.159256,0,0
205,20,-125.00,-66.00,0,0.158619,12,11
206,20,121.00,21.00,0,0.157985,0,18
207,0,0.00,0.00,1,0.157353,0,0
208,1,50.00,4.00,1,0.156723,0,0
209,20,126.00,-40.00,0,0.156097,1,19
210,0,0.00,0.00,1,0.155472,0,0
211,1,50.00,4.00,1,0.154850,0,0
212,20,57.00,-40.00,0,0.154231,3,18
213,20,110.00,20.00,0,0.153614,2,14
214,0,0.00,0.00,1,0.153000,0,0
215,2,44.00,8.00,1,0.152388,0,1
216,20,-70.00,80.00,0,0.151778,4,17
217,20,121.00,21.00,0,0.151171,1,18
218,0,0.00,0.00,1,0.150566,0,0
219,20,80.00,-69.00,0,0.149964,1,19
220,20,126.00,-40.00,0,0.149364,2,19
221,0,0.00,0.00,1,0.148767,0,0
222,1,50.00,4.00,1,0.148172,0,0
223,20,64.00,-25.00,0,0.147579,2,16
224,20,118.00,20.00,0,0.146989,1,16
225,0,0.00,0.00,1,0.146401,0,0
226,1,50.00,4.00,1,0.145815,0,0
227,20,80.00,-20.00,0,0.145232,0,20
228,20,108.00,18.00,0,0.144651,3,14
229,0,0.00,0.00,1,0.144072,0,0
230,0,0.00,0.00,1,0.143496,0,0
231,20,118.00,-20.00,0,0.142922,1,17
232,0,0.00,0.00,1,0.142350,0,0
233,20,80.00,-25.00,0,0.141781,0,20
234,20,54.00,-75.00,0,0.141214,7,12
235,20,126.00,20.00,0,0.140649,1,16
236,0,0.00,0.00,1,0.140086,0,0
237,1,50.00,4.00,1,0.139526,0,0
238,1,50.00,4.00,1,0.138968,0,0
239,20,108.00,30.00,0,0.138412,3,12
240,0,0.00,0.00,1,0.137858,0,0
241,20,18.00,80.00,0,0.137307,2,17
242,20,90.00,-40.00,0,0.136758,5,13
243,0,0.00,0.00,1,0.136211,0,0
244,20,-25.00,126.00,0,0.135666,0,19
245,20,80.00,-25.00,0,0.135123,0,20
246,20,105.00,5.00,0,0.134583,3,14
247,0,0.00,0.00,1,0.134044,0,0
248,1,50.00,4.00,1,0.133508,0,0
249,0,0.00,0.00,1,0.132974,0,0
250,20,121.00,21.00,0,0.132442,1,18
251,0,0.00,0.00,1,0.131912,0,0
252,1,50.00,4.00,1,0.131385,0,0
253,20,126.00,-35.00,0,0.130859,1,18
254,0,0.00,0.00,1,0.130336,0,0
255,20,-20.00,80.00,0,0.129814,0,19
256,20,67.00,-50.00,0,0.129295,4,16
257,20,111.00,15.00,0,0.128778,1,18
