Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.298800,0,0
2,0,0.00,0.00,1,0.297605,0,0
3,0,0.00,0.00,1,0.296414,0,0
4,0,0.00,0.00,1,0.295229,0,0
5,0,0.00,0.00,1,0.294048,0,0
6,0,0.00,0.00,1,0.292872,0,0
7,0,0.00,0.00,1,0.291700,0,0
8,19,8.00,150.00,0,0.300000,4,7
9,0,0.00,0.00,1,0.298800,0,0
10,4,47.00,32.00,1,0.297605,2,0
11,2,54.00,49.00,1,0.296414,0,0
12,0,0.00,0.00,1,0.295229,0,0
13,6,35.00,47.00,1,0.294048,3,1
14,5,7.00,31.00,1,0.292872,2,2
15,4,62.00,77.00,1,0.291700,1,1
16,0,0.00,0.00,1,0.290533,0,0
17,3,48.00,12.00,1,0.289371,0,2
18,0,0.00,0.00,1,0.288214,0,0
19,2,49.00,54.00,1,0.287061,0,0
20,0,0.00,0.00,1,0.285913,0,0
21,20,-185.00,80.00,0,0.300000,15,6
22,20,26.00,-95.00,0,0.298800,6,12
23,0,0.00,0.00,1,0.297605,0,0
24,20,28.00,80.00,0,0.296414,1,2
25,20,-37.00,-70.00,0,0.295229,11,3
26,20,118.00,-25.00,0,0.294048,9,1
27,0,0.00,0.00,1,0.292872,0,0
28,1,50.00,4.00,1,0.291700,0,0
29,0,0.00,0.00,1,0.290533,0,0
30,20,78.00,15.00,0,0.289371,10,2
31,0,0.00,0.00,1,0.288214,0,0
32,1,50.00,4.00,1,0.287061,0,0
33,20,-7.00,-35.00,0,0.285913,10,2
34,0,0.00,0.00,1,0.284769,0,0
35,0,0.00,0.00,1,0.283630,0,0
36,20,-4.00,-40.00,0,0.282495,9,4
37,20,126.00,-10.00,0,0.281365,9,4
38,0,0.00,0.00,1,0.280240,0,0
39,1,50.00,4.00,1,0.279119,0,0
40,20,95.00,-35.00,0,0.278002,10,3
41,20,63.00,30.00,0,0.276890,9,2
42,0,0.00,0.00,1,0.275783,0,0
43,1,50.00,4.00,1,0.274680,0,0
44,20,37.00,-40.00,0,0.273581,11,3
45,0,0.00,0.00,1,0.272487,0,0
46,20,-10.00,-110.00,0,0.271397,8,13
47,20,-48.00,-45.00,0,0.270311,11,1
48,20,108.00,-5.00,0,0.269230,9,4
49,0,0.00,0.00,1,0.268153,0,0
50,2,39.00,8.00,1,0.267080,1,1
51,1,50.00,4.00,1,0.266012,0,0
52,20,22.00,-19.00,0,0.264948,9,2
53,0,0.00,0.00,1,0.263888,0,0
54,20,-9.00,-50.00,0,0.262833,12,4
55,20,-19.00,-45.00,0,0.261781,11,4
56,0,0.00,0.00,1,0.260734,0,0
57,0,0.00,0.00,1,0.259691,0,0
58,20,-38.00,-60.00,0,0.258653,12,6
59,20,126.00,5.00,0,0.257618,8,4
60,0,0.00,0.00,1,0.256587,0,0
61,1,50.00,4.00,1,0.255561,0,0
62,20,-200.00,72.00,0,0.254539,19,2
63,20,-14.00,16.00,0,0.253521,10,3
64,0,0.00,0.00,1,0.252507,0,0
65,1,50.00,4.00,1,0.251497,0,0
66,20,-14.00,-35.00,0,0.250491,10,4
67,0,0.00,0.00,1,0.249489,0,0
68,0,0.00,0.00,1,0.248491,0,0
69,20,-26.00,-55.00,0,0.247497,12,3
70,20,126.00,-40.00,0,0.246507,9,3
71,0,0.00,0.00,1,0.245521,0,0
72,1,50.00,4.00,1,0.244539,0,0
73,0,0.00,0.00,1,0.243560,0,0
74,20,57.00,33.00,0,0.242586,9,0
75,0,0.00,0.00,1,0.241616,0,0
76,1,50.00,4.00,1,0.240649,0,0
77,20,47.00,-45.00,0,0.239687,10,3
78,0,0.00,0.00,1,0.238728,0,0
79,2,54.00,49.00,1,0.237773,0,0
80,20,-11.00,-60.00,0,0.236822,11,4
81,20,126.00,0.00,0,0.235875,8,4
82,0,0.00,0.00,1,0.234931,0,0
83,1,50.00,4.00,1,0.233992,0,0
84,20,72.00,-40.00,0,0.233056,9,4
85,20,46.00,-2.00,0,0.232123,7,6
86,0,0.00,0.00,1,0.231195,0,0
87,0,0.00,0.00,1,0.230270,0,0
88,20,40.00,-60.00,0,0.229349,10,3
89,0,0.00,0.00,1,0.228432,0,0
90,0,0.00,0.00,1,0.227518,0,0
91,20,-6.00,-40.00,0,0.226608,7,6
92,20,118.00,5.00,0,0.225701,9,2
93,0,0.00,0.00,1,0.224799,0,0
94,1,50.00,4.00,1,0.223899,0,0
95,2,54.00,49.00,1,0.223004,0,0
96,20,-4.00,16.00,0,0.222112,10,3
97,0,0.00,0.00,1,0.221223,0,0
98,0,0.00,0.00,1,0.220338,0,0
99,20,35.00,-45.00,0,0.219457,8,5
100,0,0.00,0.00,1,0.218579,0,0
101,2,54.00,49.00,1,0.217705,0,0
102,20,30.00,-80.00,0,0.216834,7,8
103,20,113.00,-10.00,0,0.215967,10,4
104,0,0.00,0.00,1,0.215103,0,0
105,1,50.00,4.00,1,0.214243,0,0
106,2,54.00,49.00,1,0.213386,0,0
107,20,62.00,26.00,0,0.212532,8,2
108,0,0.00,0.00,1,0.211682,0,0
109,20,80.00,-20.00,0,0.210835,10,0
110,20,84.00,-80.00,0,0.209992,6,9
111,0,0.00,0.00,1,0.209152,0,0
112,0,0.00,0.00,1,0.208315,0,0
113,20,-21.00,-90.00,0,0.207482,8,9
114,20,103.00,10.00,0,0.206652,10,2
115,0,0.00,0.00,1,0.205825,0,0
116,1,50.00,4.00,1,0.205002,0,0
117,20,27.00,-80.00,0,0.204182,10,5
118,20,52.00,16.00,0,0.203365,9,2
119,0,0.00,0.00,1,0.202552,0,0
120,1,50.00,4.00,1,0.201742,0,0
121,20,54.00,-80.00,0,0.200935,7,11
122,0,0.00,0.00,1,0.200131,0,0
123,2,54.00,49.00,1,0.199331,0,0
124,20,-16.00,-85.00,0,0.198533,7,9
125,20,110.00,15.00,0,0.197739,8,2
126,0,0.00,0.00,1,0.196948,0,0
127,1,50.00,4.00,1,0.196160,0,0
128,20,79.00,-90.00,0,0.195376,7,9
129,20,67.00,-27.00,0,0.194594,8,5
130,0,0.00,0.00,1,0.193816,0,0
131,20,-21.00,-90.00,0,0.193041,8,8
132,20,79.00,-85.00,0,0.192268,6,9
133,0,0.00,0.00,1,0.191499,0,0
134,20,64.00,-20.00,0,0.190733,10,0
135,20,-26.00,-95.00,0,0.189970,9,9
136,20,121.00,-35.00,0,0.189210,9,3
137,0,0.00,0.00,1,0.188454,0,0
138,3,48.00,12.00,1,0.187700,0,1
139,20,-2.00,-30.00,0,0.186949,9,2
140,20,126.00,-19.00,0,0.186201,9,3
141,0,0.00,0.00,1,0.185456,0,0
142,1,50.00,4.00,1,0.184715,0,0
143,20,74.00,-95.00,0,0.183976,8,7
144,0,0.00,0.00,1,0.183240,0,0
145,20,118.00,-105.00,0,0.182507,1,17
146,20,56.00,-125.00,0,0.181777,10,8
147,20,108.00,-25.00,0,0.181050,9,1
148,0,0.00,0.00,1,0.180326,0,0
149,2,39.00,8.00,1,0.179604,1,1
150,20,-40.00,-24.00,0,0.178886,10,4
151,20,126.00,15.00,0,0.178170,9,4
152,0,0.00,0.00,1,0.177458,0,0
153,1,50.00,4.00,1,0.176748,0,0
154,20,84.00,-90.00,0,0.176041,7,9
155,0,0.00,0.00,1,0.175337,0,0
156,20,-76.00,-49.00,0,0.174635,10,5
157,20,23.00,-90.00,0,0.173937,8,11
158,20,126.00,20.00,0,0.173241,9,0
159,0,0.00,0.00,1,0.172548,0,0
160,1,50.00,4.00,1,0.171858,0,0
161,20,27.00,-70.00,0,0.171170,8,7
162,20,111.00,-14.00,0,0.170486,10,3
163,0,0.00,0.00,1,0.169804,0,0
164,1,4.00,50.00,1,0.169125,0,0
165,20,30.00,-70.00,0,0.168448,5,10
166,0,0.00,0.00,1,0.167774,0,0
167,20,36.00,22.00,0,0.167103,9,2
168,20,-28.00,-90.00,0,0.166435,7,13
169,20,118.00,10.00,0,0.165769,9,2
170,0,0.00,0.00,1,0.165106,0,0
171,1,50.00,4.00,1,0.164446,0,0
172,20,-200.00,80.00,0,0.163788,18,1
173,20,118.00,30.00,0,0.163133,9,2
174,0,0.00,0.00,1,0.162480,0,0
175,0,0.00,0.00,1,0.161830,0,0
176,20,84.00,-70.00,0,0.161183,4,11
177,0,0.00,0.00,1,0.160538,0,0
178,20,126.00,-60.00,0,0.159896,10,0
179,20,-6.00,-85.00,0,0.159256,7,9
180,20,118.00,15.00,0,0.158619,8,2
181,0,0.00,0.00,1,0.157985,0,0
182,1,50.00,4.00,1,0.157353,0,0
183,20,110.00,-100.00,0,0.156723,3,14
184,20,102.00,26.00,0,0.156097,9,2
185,0,0.00,0.00,1,0.155472,0,0
186,0,0.00,0.00,1,0.154850,0,0
187,20,77.00,-85.00,0,0.154231,6,12
188,0,0.00,0.00,1,0.153614,0,0
189,1,50.00,4.00,1,0.153000,0,0
190,20,-8.00,-95.00,0,0.152388,6,11
191,20,111.00,15.00,0,0.151778,9,2
192,0,0.00,0.00,1,0.151171,0,0
193,2,49.00,8.00,1,0.150566,0,0
194,0,0.00,0.00,1,0.149964,0,0
195,20,110.00,-18.00,0,0.149364,9,3
196,0,0.00,0.00,1,0.148767,0,0
197,20,-205.00,80.00,0,0.148172,18,1
198,20,79.00,-70.00,0,0.147579,5,11
199,0,0.00,0.00,1,0.146989,0,0
200,20,-30.00,80.00,0,0.146401,1,1
201,20,18.00,-110.00,0,0.145815,4,15
202,20,118.00,5.00,0,0.145232,9,2
203,0,0.00,0.00,1,0.144651,0,0
204,1,50.00,4.00,1,0.144072,0,0
205,0,0.00,0.00,1,0.143496,0,0
206,20,102.00,43.00,0,0.142922,9,0
207,0,0.00,0.00,1,0.142350,0,0
208,20,118.00,-90.00,0,0.141781,1,17
209,20,92.00,-90.00,0,0.141214,5,13
210,0,0.00,0.00,1,0.140649,0,0
211,1,50.00,4.00,1,0.140086,0,0
212,20,64.00,-100.00,0,0.139526,2,16
213,20,126.00,-30.00,0,0.138968,10,1
214,0,0.00,0.00,1,0.138412,0,0
215,1,50.00,4.00,1,0.137858,0,0
216,20,-195.00,67.00,0,0.137307,18,2
217,20,102.00,43.00,0,0.136758,9,0
218,0,0.00,0.00,1,0.136211,0,0
219,20,72.00,-70.00,0,0.135666,11,1
220,20,108.00,-105.00,0,0.135123,1,17
221,0,0.00,0.00,1,0.134583,0,0
222,20,126.00,-30.00,0,0.134044,8,3
223,20,72.00,-115.00,0,0.133508,2,17
224,20,118.00,15.00,0,0.132974,8,2
225,0,0.00,0.00,1,0.132442,0,0
226,1,50.00,4.00,1,0.131912,0,0
227,20,-28.00,80.00,0,0.131385,2,1
228,20,102.00,-18.00,0,0.130859,10,1
229,0,0.00,0.00,1,0.130336,0,0
230,20,32.00,-60.00,0,0.129814,8,7
231,20,126.00,-110.00,0,0.129295,0,19
232,0,0.00,0.00,1,0.128778,0,0
233,1,50.00,4.00,1,0.128263,0,0
234,20,10.00,-105.00,0,0.127750,5,13
235,20,108.00,5.00,0,0.127239,9,2
236,0,0.00,0.00,1,0.126730,0,0
237,1,50.00,4.00,1,0.126223,0,0
238,1,50.00,4.00,1,0.125718,0,0
239,20,102.00,43.00,0,0.125215,9,0
240,0,0.00,0.00,1,0.124714,0,0
241,1,50.00,4.00,1,0.124215,0,0
242,20,126.00,-115.00,0,0.123719,0,19
243,0,0.00,0.00,1,0.123224,0,0
244,1,50.00,4.00,1,0.122731,0,0
245,20,80.00,-115.00,0,0.122240,0,20
246,20,126.00,-25.00,0,0.121751,9,1
247,0,0.00,0.00,1,0.121264,0,0
248,2,49.00,8.00,1,0.120779,0,1
249,1,50.00,4.00,1,0.120296,0,0
250,20,110.00,45.00,0,0.119815,9,0
251,0,0.00,0.00,1,0.119335,0,0
252,0,0.00,0.00,1,0.118858,0,0
253,20,118.00,-110.00,0,0.118383,2,17
254,0,0.00,0.00,1,0.117909,0,0
255,20,54.00,5.00,0,0.117437,9,3
256,20,72.00,-115.00,0,0.116968,2,18
257,20,126.00,-20.00,0,0.116500,9,1
