profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,9,174.77777777777777,236.33333333333334,-61.55555555555556,-102.78055555555555,-12.0,0.0178,0.9912,0.0546875,-0.6296296296296297,True,0.02848,8
lab3_f1inv,RecoveryEpisodes,10,1537.5,1591.5,-54.0,-668.91,545.8,0.842,0.5792,0.76953125,0.14,True,0.842,8
lab3_f1dead_z2,RecoveryEpisodes,10,151.3,247.0,-95.7,-140.9,-54.897500000000036,0.0,1.0,0.00390625,-0.84,True,0.0,8
lab3_f1inv_z2,RecoveryEpisodes,9,1390.4444444444443,1585.2222222222222,-194.77777777777777,-809.6722222222222,496.5749999999997,0.563,0.7185,0.49609375,-0.037037037037037035,True,0.6434285714285713,8
lab3_f1bdead,RecoveryEpisodes,10,62.1,488.6,-426.5,-1183.805,-20.3,0.0016,0.9992,0.02734375,-0.55,True,0.0032,8
lab3_f1binv,RecoveryEpisodes,9,112.0,1052.5555555555557,-940.5555555555555,-2156.6749999999997,-79.66666666666667,0.0,1.0,0.01171875,-0.49382716049382713,True,0.0,8
lab2_f1bdead,RecoveryEpisodes,10,70.8,297.5,-226.7,-333.6,-141.5,0.0,1.0,0.001953125,-0.92,True,0.0,8
lab2_f1binv,RecoveryEpisodes,9,316.3333333333333,402.0,-85.66666666666667,-221.79444444444442,45.666666666666664,0.2194,0.8908,0.359375,-0.14814814814814814,True,0.29253333333333337,8
lab3_f1dead,DetectEpisode,10,2.6,1.2,1.4,-0.1,3.0,0.0806,0.0403,0.140625,0.34,False,0.21493333333333334,8
lab3_f1inv,DetectEpisode,10,3.9,0.9,3.0,1.0,5.2,0.0008,0.0004,0.03125,0.53,False,0.0064,8
lab3_f1dead_z2,DetectEpisode,10,0.9,1.3,-0.4,-1.6,0.8,0.5752,0.7646,0.65625,-0.25,True,0.6196,8
lab3_f1inv_z2,DetectEpisode,10,0.9,3.9,-3.0,-7.7,-0.2,0.021,0.9948,0.09375,-0.32,True,0.084,8
lab3_f1bdead,DetectEpisode,10,8.0,6.9,1.1,0.0,2.7,0.2184,0.1092,0.5,0.2,False,0.34944000000000003,8
lab3_f1binv,DetectEpisode,9,7.444444444444445,7.222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.2038,0.1019,0.5,0.1111111111111111,False,0.34944000000000003,8
lab2_f1bdead,DetectEpisode,10,6.0,6.7,-0.7,-3.2,2.1,0.6196,0.7196,0.6875,-0.19,True,0.6196,8
lab2_f1binv,DetectEpisode,9,7.0,6.333333333333333,0.6666666666666666,-1.3333333333333333,2.888888888888889,0.6042,0.3021,0.71875,0.14814814814814814,False,0.6196,8
