profile,mode,n_runs,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab1_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_false,10,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.74,9,0.9,297.5,209.6,402.1,6.7,5.0,8.0
lab2_f1bdead,ql_true,10,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,70.8,57.7,84.9,6.0,4.3,7.5
lab2_f1binv,ql_false,9,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,9,9,0.4944,3,0.3333,402.0,257.77777777777777,616.2222222222222,6.333333333333333,4.555555555555555,7.666666666666667
lab2_f1binv,ql_true,10,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ1Light,True,descriptive,1.0,0.9,10,9,0.565,7,0.7,316.3333333333333,193.22222222222223,449.22222222222223,6.5,4.9,7.7
lab2_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_false,10,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,488.6,82.8,1246.1049999999998,6.9,5.3,8.0
lab3_f1bdead,ql_true,10,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.99,10,1.0,62.1,54.9,70.5,8.0,8.0,8.0
lab3_f1binv,ql_false,10,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.97,10,1.0,962.7,179.9925,2073.1025,7.3,6.1,8.0
lab3_f1binv,ql_true,9,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,9,9,0.95,9,1.0,112.0,89.10833333333333,135.11111111111111,7.444444444444445,6.333333333333333,8.0
lab3_f1dead,ql_false,10,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,0.925,10,1.0,252.9,200.1,305.00249999999994,1.2,0.0,2.5
lab3_f1dead,ql_true,10,http://example.org/was#SetZ1Light,True,confirmatory,1.0,0.9,10,9,0.92,9,0.9,174.77777777777777,140.0,210.0,2.6,0.9,4.9
lab3_f1dead_z2,ql_false,10,http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.94,10,1.0,247.0,209.3,283.8,1.3,0.5,2.3
lab3_f1dead_z2,ql_true,10,http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.845,10,1.0,151.3,132.6,170.50249999999997,0.9,0.0,2.0
lab3_f1inv,ql_false,10,http://example.org/was#SetZ1Light,True,descriptive,1.0,1.0,10,10,0.265,0,0.0,1591.5,1219.095,1877.0,0.9,0.0,1.9
lab3_f1inv,ql_true,10,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ1Light,True,descriptive,1.0,1.0,10,10,0.295,1,0.1,1537.5,1046.79,1943.405,3.9,2.0,6.0
lab3_f1inv_z2,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,descriptive,1.0,0.9,10,9,0.375,1,0.1,1585.2222222222222,1122.6666666666667,1979.8055555555552,3.9,0.9,8.5
lab3_f1inv_z2,ql_true,10,http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,10,10,0.325,0,0.0,1447.1,989.995,1844.0,0.9,0.0,1.9
lab3_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,nan,nan,nan,nan,nan,nan
