Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,18,186.00,-118.00,0,0.300000,11,4
3,5,58.00,38.00,1,0.299100,2,0
4,11,121.00,111.00,1,0.298203,4,2
5,20,114.00,-85.00,0,0.297308,10,5
6,14,56.00,-38.00,1,0.296416,2,11
7,2,39.00,39.00,1,0.295527,1,0
8,2,54.00,100.00,1,0.294640,0,0
9,20,132.00,-1.00,0,0.293756,11,4
10,2,100.00,100.00,1,0.292875,0,0
11,20,87.00,-120.00,0,0.291997,9,9
12,3,12.00,38.00,1,0.291121,1,0
13,20,50.00,-62.00,0,0.300000,11,3
14,20,27.00,27.00,0,0.299100,11,2
15,20,126.00,-65.00,0,0.298203,4,3
16,1,4.00,50.00,1,0.297308,0,0
17,20,8.00,8.00,0,0.296416,10,4
18,2,100.00,100.00,1,0.295527,0,0
19,20,103.00,-60.00,0,0.294640,7,12
20,20,18.00,-2.00,0,0.293756,12,2
21,20,77.00,-160.00,0,0.292875,10,13
22,1,4.00,50.00,1,0.291997,0,0
23,0,0.00,0.00,1,0.291121,0,0
24,20,15.00,-5.00,0,0.290247,12,2
25,20,126.00,-40.00,0,0.289376,2,3
26,1,4.00,50.00,1,0.288508,0,0
27,20,44.00,-96.00,0,0.287643,5,16
28,2,100.00,100.00,1,0.286780,0,0
29,20,111.00,-35.00,0,0.285920,3,16
30,20,-41.00,-31.00,0,0.285062,12,2
31,20,118.00,-145.00,0,0.284207,6,15
32,20,126.00,71.00,0,0.283354,4,3
33,1,4.00,50.00,1,0.282504,0,0
34,20,-48.00,-78.00,0,0.281656,15,2
35,20,118.00,-70.00,0,0.280811,5,3
36,1,4.00,50.00,1,0.279969,0,0
37,20,-5.00,-140.00,0,0.279129,10,12
38,2,100.00,100.00,1,0.278292,0,0
39,20,126.00,40.00,0,0.277457,2,3
40,20,-2.00,-22.00,0,0.276624,11,2
41,20,88.00,-110.00,0,0.275795,5,11
42,20,-83.00,-170.00,0,0.274967,16,3
43,20,110.00,-150.00,0,0.274142,7,14
44,20,3.00,3.00,0,0.273320,12,1
45,20,126.00,-45.00,0,0.272500,2,3
46,1,4.00,50.00,1,0.271682,0,0
47,20,-47.00,-107.00,0,0.270867,15,2
48,2,100.00,100.00,1,0.270055,0,0
49,20,126.00,42.00,0,0.269245,4,2
50,20,18.00,-2.00,0,0.268437,12,4
51,20,118.00,-135.00,0,0.267632,5,15
52,19,76.00,-38.00,1,0.266829,2,11
53,20,126.00,-74.00,0,0.266028,4,19
54,20,-46.00,-46.00,0,0.265230,14,3
55,20,118.00,-65.00,0,0.264434,4,2
56,1,4.00,50.00,1,0.263641,0,0
57,7,58.00,92.00,1,0.262850,2,1
58,2,100.00,100.00,1,0.262062,0,0
59,20,126.00,30.00,0,0.261275,3,2
60,20,-22.00,-12.00,0,0.260492,11,2
61,20,103.00,-140.00,0,0.259710,5,16
62,20,102.00,-28.00,0,0.258931,4,13
63,20,-95.00,-145.00,0,0.258154,17,2
64,20,-113.00,-123.00,0,0.257380,15,2
65,20,110.00,-100.00,0,0.256608,6,7
66,1,4.00,50.00,1,0.255838,0,0
67,20,110.00,-155.00,0,0.255070,7,14
68,2,100.00,100.00,1,0.254305,0,0
69,20,110.00,5.00,0,0.253542,9,5
70,20,49.00,39.00,0,0.252781,10,1
71,20,118.00,-125.00,0,0.252023,4,14
72,16,64.00,-45.00,1,0.251267,2,13
73,0,0.00,0.00,1,0.250513,0,0
74,20,-8.00,22.00,0,0.249762,11,3
75,20,113.00,-60.00,0,0.249012,5,1
76,2,8.00,49.00,1,0.248265,0,1
77,20,103.00,-45.00,0,0.247521,7,11
78,2,100.00,100.00,1,0.246778,0,0
79,20,72.00,-19.00,0,0.246038,4,2
80,20,-44.00,-14.00,0,0.245300,12,3
81,20,118.00,-130.00,0,0.244564,3,16
82,0,0.00,0.00,1,0.243830,0,0
83,0,0.00,0.00,1,0.243099,0,0
84,20,0.00,-20.00,0,0.242369,12,1
85,20,106.00,-60.00,0,0.241642,3,3
86,2,8.00,39.00,1,0.240917,1,1
87,0,0.00,0.00,1,0.240194,0,0
88,2,100.00,100.00,1,0.239474,0,0
89,20,126.00,-11.00,0,0.238755,5,12
90,20,-22.00,-12.00,0,0.238039,11,2
