Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,19,-54.00,-24.00,0,0.300000,14,8
1,8,55.00,35.00,1,0.299100,3,2
2,1,50.00,50.00,1,0.298203,0,0
3,18,-2.00,-47.00,1,0.297308,11,14
4,3,58.00,89.00,1,0.296416,1,1
5,10,19.00,-11.00,1,0.295527,5,3
6,17,68.00,-6.00,1,0.294640,4,16
7,0,0.00,0.00,1,0.293756,0,0
8,4,62.00,98.00,1,0.292875,0,2
9,6,39.00,49.00,1,0.291997,3,1
10,2,54.00,100.00,1,0.291121,0,0
11,20,80.00,-65.00,0,0.290247,4,20
12,0,0.00,0.00,1,0.289376,0,0
13,20,80.00,-25.00,0,0.288508,0,20
14,2,54.00,100.00,1,0.287643,0,0
15,1,4.00,50.00,1,0.286780,0,0
16,1,4.00,50.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,4,62.00,98.00,1,0.284207,0,2
19,7,66.00,41.00,1,0.283354,1,4
20,2,54.00,100.00,1,0.282504,0,0
21,20,47.00,-33.00,0,0.281656,2,15
22,0,0.00,0.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,4,62.00,78.00,1,0.279129,2,1
25,1,4.00,50.00,1,0.278292,0,0
26,7,55.00,45.00,1,0.277457,4,1
27,2,54.00,100.00,1,0.276624,0,0
28,8,78.00,84.00,1,0.275795,1,6
29,7,28.00,44.00,1,0.274967,0,6
30,2,54.00,100.00,1,0.274142,0,0
31,15,60.00,6.00,1,0.273320,3,13
32,14,1.00,47.00,1,0.272500,6,1
33,0,0.00,0.00,1,0.271682,0,0
34,20,57.00,22.00,0,0.270867,10,3
35,1,4.00,50.00,1,0.270055,0,0
36,20,79.00,64.00,1,0.269245,9,2
37,0,0.00,0.00,1,0.268437,0,0
38,4,62.00,98.00,1,0.267632,0,2
39,1,4.00,50.00,1,0.266829,0,0
40,2,54.00,100.00,1,0.266028,0,0
41,20,80.00,-40.00,0,0.265230,2,20
42,2,49.00,39.00,1,0.264434,1,1
43,1,4.00,50.00,1,0.263641,0,0
44,13,76.00,121.00,1,0.262850,5,2
45,1,4.00,50.00,1,0.262062,0,0
46,20,-26.00,-41.00,0,0.261275,10,6
47,0,0.00,0.00,1,0.260492,0,0
48,2,54.00,100.00,1,0.259710,0,0
49,1,4.00,50.00,1,0.258931,0,0
50,4,54.00,100.00,1,0.258154,1,0
51,9,36.00,42.00,1,0.257380,0,8
52,15,31.00,51.00,1,0.256608,11,6
53,3,43.00,48.00,1,0.255838,1,1
54,10,40.00,66.00,1,0.255070,5,3
55,1,4.00,50.00,1,0.254305,0,0
56,20,11.00,-19.00,0,0.253542,9,3
57,1,4.00,50.00,1,0.252781,0,0
58,4,78.00,88.00,1,0.252023,2,2
59,1,4.00,50.00,1,0.251267,0,0
60,2,54.00,100.00,1,0.250513,0,0
61,6,24.00,35.00,1,0.249762,1,4
62,0,0.00,0.00,1,0.249012,0,0
63,5,46.00,87.00,1,0.248265,2,2
64,19,47.00,73.00,1,0.247521,9,6
65,1,4.00,50.00,1,0.246778,0,0
66,2,8.00,49.00,1,0.246038,0,0
67,3,12.00,38.00,1,0.245300,1,1
68,2,54.00,100.00,1,0.244564,0,0
69,1,4.00,50.00,1,0.243830,0,0
70,2,54.00,100.00,1,0.243099,0,0
71,6,52.00,27.00,1,0.242369,3,2
72,3,58.00,38.00,1,0.241642,1,1
73,1,50.00,50.00,1,0.240917,0,0
74,20,54.00,44.00,0,0.240194,9,1
75,1,4.00,50.00,1,0.239474,0,0
76,11,25.00,60.00,1,0.238755,5,3
77,0,0.00,0.00,1,0.238039,0,0
78,3,43.00,99.00,1,0.237325,1,1
79,1,4.00,50.00,1,0.236613,0,0
80,2,54.00,100.00,1,0.235903,0,0
81,20,80.00,-35.00,0,0.235196,1,16
82,2,54.00,89.00,1,0.234490,0,0
83,3,12.00,38.00,1,0.233786,1,1
84,10,97.00,86.00,1,0.233085,4,1
85,1,4.00,50.00,1,0.232386,0,0
86,6,8.00,49.00,1,0.231689,2,0
87,0,0.00,0.00,1,0.230994,0,0
88,2,54.00,100.00,1,0.230301,0,0
89,1,4.00,50.00,1,0.229610,0,0
90,2,54.00,100.00,1,0.228921,0,0
91,19,76.00,22.00,1,0.228234,1,18
92,0,0.00,0.00,1,0.227549,0,0
93,6,83.00,93.00,1,0.226867,2,2
94,3,58.00,99.00,1,0.226186,0,0
95,1,4.00,50.00,1,0.225508,0,0
