Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,0,0.299100,0,0
2,0,0.00,0.00,0,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,19,-154.00,125.00,0,0.300000,14,10
5,20,-120.00,-9.00,0,0.299100,13,9
6,20,-70.00,103.00,0,0.298203,7,17
7,2,39.00,8.00,1,0.297308,1,1
8,2,100.00,54.00,1,0.296416,0,0
9,20,-85.00,-172.00,0,0.295527,16,11
10,3,89.00,58.00,1,0.294640,1,0
11,20,-110.00,-46.00,0,0.293756,14,12
12,20,-50.00,126.00,0,0.292875,3,15
13,20,-60.00,72.00,0,0.291997,4,17
14,3,94.00,58.00,1,0.291121,0,1
15,20,-80.00,110.00,0,0.290247,7,15
16,20,-60.00,156.00,0,0.289376,6,14
17,20,-60.00,118.00,0,0.288508,4,16
18,14,73.00,-17.00,1,0.287643,9,12
19,20,45.00,111.00,0,0.286780,2,15
20,3,89.00,58.00,1,0.285920,1,0
21,20,-95.00,60.00,0,0.285062,9,11
22,6,61.00,45.00,1,0.284207,3,4
23,3,38.00,104.00,1,0.283354,1,0
24,4,98.00,52.00,1,0.282504,1,0
25,20,-60.00,126.00,0,0.281656,2,19
26,20,-40.00,157.00,0,0.280811,3,16
27,2,39.00,8.00,1,0.279969,1,0
28,16,36.00,-14.00,1,0.279129,8,14
29,20,-19.00,64.00,0,0.278292,4,13
30,4,78.00,57.00,1,0.277457,2,1
31,20,-75.00,98.00,0,0.276624,6,13
32,0,0.00,0.00,1,0.275795,0,0
33,0,0.00,0.00,1,0.274967,0,0
34,2,100.00,54.00,1,0.274142,0,0
35,20,-50.00,88.00,0,0.273320,6,15
36,20,-40.00,121.00,0,0.272500,2,16
37,0,0.00,0.00,1,0.271682,0,0
38,2,100.00,100.00,1,0.270867,0,0
39,20,30.00,126.00,0,0.270055,2,16
40,7,72.00,51.00,1,0.269245,3,2
41,20,-85.00,118.00,0,0.268437,6,16
42,20,-55.00,-33.00,0,0.267632,9,14
43,20,-85.00,74.00,0,0.266829,8,14
44,2,100.00,54.00,1,0.266028,0,0
45,20,-60.00,48.00,0,0.265230,7,11
46,20,-80.00,172.00,0,0.264434,6,14
47,20,-40.00,172.00,0,0.263641,2,16
48,2,100.00,100.00,1,0.262850,0,0
49,20,40.00,126.00,0,0.262062,1,16
50,6,66.00,55.00,1,0.261275,4,1
51,20,-65.00,50.00,0,0.260492,8,12
52,1,50.00,50.00,1,0.259710,0,0
53,0,0.00,0.00,1,0.258931,0,0
54,2,100.00,54.00,1,0.258154,0,0
55,20,-40.00,126.00,0,0.257380,2,19
56,20,-55.00,164.00,0,0.256608,4,16
57,20,-70.00,116.00,0,0.255838,5,15
58,2,100.00,100.00,1,0.255070,0,0
59,20,81.00,126.00,0,0.254305,1,12
60,7,55.00,74.00,1,0.253542,4,2
61,20,-60.00,126.00,0,0.252781,3,17
62,0,0.00,0.00,1,0.252023,0,0
63,3,-11.00,4.00,1,0.251267,2,0
64,6,88.00,32.00,1,0.250513,3,2
65,20,-50.00,116.00,0,0.249762,2,18
66,20,-55.00,164.00,0,0.249012,4,12
67,1,50.00,50.00,1,0.248265,0,0
68,3,94.00,94.00,1,0.247521,0,1
69,20,50.00,126.00,0,0.246778,2,14
70,4,83.00,52.00,1,0.246038,1,1
71,20,-75.00,118.00,0,0.245300,5,17
72,4,88.00,57.00,1,0.244564,1,0
73,1,50.00,4.00,1,0.243830,0,0
74,2,100.00,54.00,1,0.243099,0,0
75,20,-70.00,89.00,0,0.242369,8,11
76,20,-60.00,172.00,0,0.241642,4,18
77,20,-85.00,-1.00,0,0.240917,8,13
78,2,100.00,100.00,1,0.240194,0,0
79,20,27.00,88.00,0,0.239474,4,14
80,3,89.00,58.00,1,0.238755,1,0
81,20,-45.00,126.00,0,0.238039,2,19
82,20,29.00,83.00,0,0.237325,7,12
83,20,-60.00,114.00,0,0.236613,7,16
84,2,100.00,54.00,1,0.235903,0,0
85,20,-50.00,118.00,0,0.235196,4,15
86,20,-40.00,52.00,0,0.234490,4,15
87,4,88.00,57.00,1,0.233786,1,0
88,3,99.00,89.00,1,0.233085,1,1
89,20,-37.00,39.00,0,0.232386,7,11
90,3,89.00,58.00,1,0.231689,1,0
91,20,-45.00,126.00,0,0.230994,2,19
92,20,-50.00,118.00,0,0.230301,3,17
93,1,50.00,4.00,1,0.229610,0,0
94,2,100.00,54.00,1,0.228921,0,0
95,20,-65.00,126.00,0,0.228234,4,16
96,20,-40.00,95.00,0,0.227549,4,13
97,20,-55.00,144.00,0,0.226867,5,14
98,2,100.00,100.00,1,0.226186,0,0
99,20,49.00,42.00,0,0.300000,7,10
100,20,-57.00,-47.00,0,0.299100,8,15
101,20,-115.00,90.00,0,0.298203,9,6
102,20,-50.00,72.00,0,0.297308,3,2
103,20,-155.00,-145.00,0,0.296416,17,12
104,20,-9.00,-29.00,0,0.295527,13,4
105,20,-65.00,118.00,0,0.294640,4,15
106,20,-150.00,-70.00,0,0.293756,17,8
107,20,-20.00,80.00,0,0.292875,0,17
108,3,94.00,94.00,1,0.291997,0,1
109,20,42.00,126.00,0,0.291121,2,11
110,20,-100.00,20.00,0,0.290247,16,3
111,20,-55.00,126.00,0,0.289376,3,15
112,20,-37.00,88.00,0,0.288508,11,14
113,2,39.00,8.00,1,0.287643,1,0
114,20,30.00,40.00,0,0.286780,12,5
115,20,-60.00,126.00,0,0.285920,4,15
116,20,-140.00,-40.00,0,0.285062,14,17
117,13,33.00,52.00,1,0.284207,0,12
118,2,100.00,100.00,1,0.283354,0,0
119,20,44.00,126.00,0,0.282504,4,10
120,20,-90.00,10.00,0,0.281656,16,2
121,20,-70.00,98.00,0,0.280811,6,10
122,20,-70.00,126.00,0,0.279969,5,15
123,0,0.00,0.00,1,0.279129,0,0
124,20,-80.00,-50.00,0,0.278292,16,11
125,20,-60.00,121.00,0,0.277457,4,17
126,20,-140.00,-38.00,0,0.276624,17,11
127,1,50.00,4.00,1,0.275795,0,0
128,3,94.00,94.00,1,0.274967,0,1
129,20,11.00,126.00,0,0.274142,1,15
130,20,-109.00,-39.00,0,0.273320,17,7
131,20,-80.00,118.00,0,0.272500,6,15
132,20,-150.00,-130.00,0,0.271682,18,11
133,20,-92.00,-22.00,0,0.270867,17,6
134,20,-62.00,-62.00,0,0.270055,17,13
135,20,-85.00,118.00,0,0.269245,6,16
136,20,-165.00,-55.00,0,0.268437,19,9
137,0,0.00,0.00,1,0.267632,0,0
138,2,100.00,100.00,1,0.266829,0,0
139,20,81.00,126.00,0,0.266028,3,10
140,20,-40.00,-40.00,0,0.265230,16,6
141,20,-80.00,113.00,0,0.264434,5,3
142,20,-75.00,72.00,0,0.263641,5,9
143,0,0.00,0.00,1,0.262850,0,0
144,20,-21.00,-51.00,0,0.262062,11,6
145,20,-55.00,118.00,0,0.261275,3,17
146,20,-125.00,-44.00,0,0.260492,14,10
147,20,-90.00,118.00,0,0.259710,6,17
148,2,100.00,100.00,1,0.258931,0,0
149,20,66.00,126.00,0,0.258154,4,10
150,20,-61.00,19.00,0,0.257380,15,3
151,20,-55.00,81.00,0,0.256608,5,15
152,1,50.00,50.00,1,0.255838,0,0
153,0,0.00,0.00,1,0.255070,0,0
154,20,-23.00,-53.00,0,0.254305,12,4
155,20,-115.00,108.00,0,0.253542,9,15
156,20,-145.00,-5.00,0,0.252781,15,11
157,3,38.00,12.00,1,0.252023,1,2
158,2,100.00,100.00,1,0.251267,0,0
159,20,15.00,116.00,0,0.250513,4,16
160,20,-50.00,-50.00,0,0.249762,14,9
161,20,-35.00,126.00,0,0.249012,1,19
162,11,90.00,83.00,1,0.248265,4,4
163,20,-125.00,-3.00,0,0.247521,14,11
164,20,21.00,11.00,0,0.246778,11,2
165,20,-85.00,118.00,0,0.246038,6,16
166,20,-125.00,5.00,0,0.245300,14,9
167,1,50.00,50.00,1,0.244564,0,0
168,2,100.00,100.00,1,0.243830,0,0
169,20,50.00,126.00,0,0.243099,1,16
170,20,-57.00,-57.00,0,0.242369,16,9
171,20,-85.00,113.00,0,0.241642,6,3
172,20,45.00,80.00,0,0.240917,1,15
173,20,-130.00,-130.00,0,0.240194,16,13
174,20,-4.00,-14.00,0,0.239474,12,4
175,20,-45.00,126.00,0,0.238755,2,17
176,20,-120.00,12.00,0,0.238039,14,9
177,20,-15.00,-35.00,0,0.237325,12,5
178,2,100.00,100.00,1,0.236613,0,0
179,20,62.00,126.00,0,0.235903,2,10
180,20,-62.00,-72.00,0,0.235196,17,10
181,20,-60.00,126.00,0,0.234490,4,14
182,20,-70.00,72.00,0,0.233786,4,16
183,20,-150.00,-130.00,0,0.233085,16,13
184,20,10.00,10.00,0,0.232386,10,1
185,20,-40.00,126.00,0,0.231689,2,18
186,20,-105.00,-15.00,0,0.230994,14,6
187,20,-120.00,-150.00,0,0.230301,16,12
188,2,100.00,100.00,1,0.229610,0,0
189,20,71.00,126.00,0,0.228921,2,12
190,20,-74.00,-84.00,0,0.228234,16,13
191,20,-90.00,113.00,0,0.227549,6,17
192,2,39.00,54.00,1,0.226867,1,0
193,20,-40.00,80.00,0,0.226186,2,18
194,20,0.00,0.00,0,0.225508,11,1
195,20,-55.00,126.00,0,0.224831,3,17
196,20,-120.00,-20.00,0,0.224157,14,6
197,20,-65.00,121.00,0,0.223484,4,4
198,2,100.00,100.00,1,0.222814,0,0
199,20,45.00,126.00,0,0.222145,1,16
200,20,-74.00,-54.00,0,0.221479,14,11
201,20,-80.00,126.00,0,0.220814,4,17
202,20,50.00,126.00,0,0.220152,1,14
203,0,0.00,0.00,1,0.219492,0,0
204,20,10.00,20.00,0,0.218833,10,1
205,20,-55.00,118.00,0,0.218177,3,16
206,20,-100.00,32.00,0,0.217522,13,5
207,20,13.00,153.00,0,0.216869,3,16
208,2,100.00,100.00,1,0.216219,0,0
209,20,54.00,126.00,0,0.215570,2,10
210,20,-74.00,-74.00,0,0.214923,14,13
211,20,-40.00,126.00,0,0.214279,1,17
212,20,-53.00,80.00,0,0.213636,4,18
213,20,-20.00,80.00,0,0.212995,0,20
214,20,-10.00,-10.00,0,0.212356,11,3
215,20,-75.00,118.00,0,0.211719,5,14
216,20,-70.00,30.00,0,0.211084,11,5
217,2,39.00,8.00,1,0.210450,1,0
218,2,100.00,100.00,1,0.209819,0,0
219,20,40.00,126.00,0,0.209190,2,14
220,20,-57.00,-67.00,0,0.208562,16,10
221,20,-50.00,126.00,0,0.207936,2,17
222,20,-140.00,-150.00,0,0.207313,18,11
223,1,50.00,4.00,1,0.206691,0,0
224,20,10.00,-60.00,0,0.206071,14,3
225,20,-70.00,126.00,0,0.205452,5,12
226,20,-70.00,10.00,0,0.204836,13,2
227,0,0.00,0.00,1,0.204222,0,0
228,2,100.00,100.00,1,0.203609,0,0
229,20,60.00,126.00,0,0.202998,1,12
230,20,-72.00,-52.00,0,0.202389,15,12
231,20,-60.00,118.00,0,0.201782,4,17
232,20,-160.00,-140.00,0,0.201177,18,11
233,1,50.00,4.00,1,0.200573,0,0
234,20,45.00,-35.00,0,0.199971,13,4
235,20,-55.00,126.00,0,0.199371,3,16
236,20,-90.00,32.00,0,0.198773,12,5
237,0,0.00,0.00,1,0.198177,0,0
238,3,99.00,89.00,1,0.197582,1,1
239,20,27.00,126.00,0,0.196990,3,11
240,20,-67.00,-47.00,0,0.196399,16,9
241,20,-65.00,126.00,0,0.195809,4,4
242,20,-40.00,72.00,0,0.195222,3,18
243,1,50.00,4.00,1,0.194636,0,0
244,20,20.00,20.00,0,0.194052,11,4
245,20,-45.00,126.00,0,0.193470,2,18
246,20,-95.00,5.00,0,0.192890,13,4
247,20,-40.00,80.00,0,0.192311,2,17
248,2,100.00,100.00,1,0.191734,0,0
249,20,76.00,126.00,0,0.191159,2,12
250,20,-38.00,-28.00,0,0.190586,13,6
251,20,-40.00,126.00,0,0.190014,2,19
252,20,-140.00,-140.00,0,0.189444,16,12
253,0,0.00,0.00,1,0.188876,0,0
254,20,-10.00,-20.00,0,0.188309,14,7
255,20,-60.00,118.00,0,0.187744,4,15
256,20,-80.00,-30.00,0,0.187181,12,6
257,20,6.00,126.00,0,0.186619,2,19
258,3,89.00,89.00,1,0.186059,1,1
259,20,50.00,126.00,0,0.185501,0,14
260,20,-72.00,-42.00,0,0.184945,15,11
261,20,-65.00,126.00,0,0.184390,4,11
