Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,19,-154.00,-124.00,0,0.300000,16,10
1,20,-116.00,-100.00,0,0.299100,16,12
2,20,111.00,-50.00,0,0.298203,10,10
3,20,64.00,44.00,0,0.300000,5,11
4,20,-84.00,-34.00,0,0.299100,13,10
5,20,126.00,-95.00,0,0.298203,7,13
6,20,80.00,-200.00,0,0.297308,17,19
7,20,41.00,-106.00,0,0.296416,13,9
8,3,99.00,89.00,1,0.295527,1,1
9,20,86.00,37.00,0,0.294640,3,5
10,20,-87.00,-47.00,0,0.293756,16,9
11,20,68.00,-85.00,0,0.292875,7,15
12,3,12.00,48.00,1,0.291997,0,2
13,20,-24.00,-105.00,0,0.291121,10,12
14,20,13.00,13.00,0,0.290247,12,8
15,20,126.00,-60.00,0,0.289376,3,18
16,2,8.00,49.00,1,0.288508,0,0
17,20,-38.00,-120.00,0,0.287643,14,9
18,2,100.00,100.00,1,0.286780,0,0
19,20,126.00,40.00,0,0.285920,1,5
20,20,-97.00,-7.00,0,0.285062,16,4
21,20,126.00,-60.00,0,0.284207,3,19
22,4,57.00,27.00,1,0.283354,2,2
23,20,80.00,20.00,0,0.282504,3,3
24,20,98.00,108.00,0,0.281656,11,4
25,20,126.00,-40.00,0,0.280811,1,18
26,2,8.00,49.00,1,0.279969,0,0
27,0,0.00,0.00,1,0.279129,0,0
28,3,99.00,89.00,1,0.278292,1,1
29,20,126.00,-15.00,0,0.277457,7,7
30,20,-117.00,-7.00,0,0.276624,16,5
31,20,116.00,-60.00,0,0.275795,3,19
32,0,0.00,0.00,1,0.274967,0,0
33,0,0.00,0.00,1,0.274142,0,0
34,20,57.00,57.00,0,0.273320,12,5
35,20,126.00,-45.00,0,0.272500,2,18
36,2,8.00,49.00,1,0.271682,0,0
37,0,0.00,0.00,1,0.270867,0,0
38,3,89.00,99.00,1,0.270055,1,1
39,20,126.00,32.00,0,0.269245,4,3
40,20,-79.00,-59.00,0,0.268437,17,12
41,20,116.00,-70.00,0,0.267632,4,19
42,20,80.00,-45.00,0,0.266829,2,18
43,20,72.00,-65.00,0,0.266028,4,18
44,20,104.00,104.00,0,0.265230,11,3
45,20,126.00,-55.00,0,0.264434,3,18
46,2,8.00,49.00,1,0.263641,0,0
47,20,80.00,-55.00,0,0.262850,3,18
48,2,100.00,100.00,1,0.262062,0,0
49,20,126.00,42.00,0,0.261275,4,3
50,20,-112.00,-32.00,0,0.260492,17,7
51,20,118.00,-80.00,0,0.259710,6,17
52,20,67.00,-63.00,0,0.258931,5,17
53,20,80.00,91.00,0,0.258154,1,2
54,20,70.00,70.00,0,0.257380,11,3
55,20,118.00,-75.00,0,0.256608,5,16
56,1,4.00,50.00,1,0.255838,0,0
57,0,0.00,0.00,1,0.255070,0,0
58,3,89.00,89.00,1,0.254305,1,1
59,20,116.00,25.00,0,0.253542,4,4
60,20,-114.00,-54.00,0,0.252781,17,4
61,20,126.00,-90.00,0,0.252023,7,13
62,0,0.00,0.00,1,0.251267,0,0
63,20,80.00,-50.00,0,0.250513,3,20
64,20,83.00,53.00,0,0.249762,12,3
65,20,126.00,-50.00,0,0.249012,2,17
66,5,20.00,16.00,1,0.248265,3,1
67,20,-175.00,-135.00,0,0.247521,19,12
68,2,100.00,100.00,1,0.246778,0,0
69,20,126.00,86.00,0,0.246038,1,2
70,20,-114.00,-74.00,0,0.245300,17,5
71,20,93.00,-120.00,0,0.244564,10,15
72,20,125.00,85.00,0,0.243830,10,1
73,0,0.00,0.00,1,0.243099,0,0
74,20,135.00,85.00,0,0.242369,10,0
75,20,103.00,-75.00,0,0.241642,6,16
76,2,8.00,49.00,1,0.240917,0,0
77,0,0.00,0.00,1,0.240194,0,0
78,4,100.00,100.00,1,0.239474,1,0
79,20,126.00,32.00,0,0.238755,4,3
80,20,-67.00,-67.00,0,0.238039,16,12
81,20,126.00,-105.00,0,0.237325,7,14
82,20,80.00,-40.00,0,0.236613,2,16
83,0,0.00,0.00,1,0.235903,0,0
84,20,87.00,67.00,0,0.235196,11,3
85,20,126.00,-60.00,0,0.234490,4,16
86,2,8.00,49.00,1,0.233786,0,0
87,20,-215.00,-25.00,0,0.233085,19,1
88,4,93.00,83.00,1,0.232386,1,2
89,20,126.00,61.00,0,0.231689,4,3
90,20,-79.00,-59.00,0,0.230994,15,12
91,20,105.00,-110.00,0,0.230301,9,13
92,1,4.00,50.00,1,0.229610,0,0
93,0,0.00,0.00,1,0.228921,0,0
94,20,174.00,124.00,0,0.228234,10,1
95,20,126.00,-40.00,0,0.227549,2,18
96,3,12.00,48.00,1,0.226867,0,1
97,0,0.00,0.00,1,0.226186,0,0
98,2,100.00,100.00,1,0.225508,0,0
99,20,126.00,73.00,0,0.224831,4,8
100,20,-146.00,-46.00,0,0.224157,18,3
101,20,121.00,-70.00,0,0.223484,5,17
102,1,4.00,50.00,1,0.222814,0,0
103,0,0.00,0.00,1,0.222145,0,0
104,20,72.00,92.00,0,0.221479,12,1
105,20,118.00,-90.00,0,0.220814,7,16
106,2,8.00,49.00,1,0.220152,0,0
107,2,8.00,39.00,1,0.219492,1,1
108,3,89.00,89.00,1,0.218833,1,1
109,20,126.00,-4.00,0,0.218177,3,10
110,20,-69.00,-79.00,0,0.217522,13,13
111,20,60.00,-125.00,0,0.216869,12,11
112,1,50.00,50.00,1,0.216219,0,0
113,20,80.00,-65.00,0,0.215570,4,17
114,20,143.00,83.00,0,0.214923,11,3
115,20,126.00,-60.00,0,0.214279,4,16
116,2,8.00,49.00,1,0.213636,0,0
117,20,116.00,10.00,0,0.212995,5,14
118,3,89.00,99.00,1,0.212356,1,1
119,20,126.00,91.00,0,0.211719,2,0
120,20,-79.00,-69.00,0,0.211084,17,11
121,20,118.00,-50.00,0,0.210450,3,17
122,1,4.00,50.00,1,0.209819,0,0
123,20,-67.00,-67.00,0,0.209190,16,12
124,20,141.00,101.00,0,0.208562,9,1
125,20,118.00,-60.00,0,0.207936,4,17
126,2,8.00,49.00,1,0.207313,0,0
127,1,4.00,50.00,1,0.206691,0,0
128,2,100.00,100.00,1,0.206071,0,0
129,20,126.00,50.00,0,0.205452,1,1
130,20,-84.00,-54.00,0,0.204836,16,12
131,20,108.00,-80.00,0,0.204222,6,15
132,1,50.00,50.00,1,0.203609,0,0
133,0,0.00,0.00,1,0.202998,0,0
134,20,114.00,84.00,0,0.202389,11,3
135,20,126.00,-50.00,0,0.201782,3,19
136,2,8.00,49.00,1,0.201177,0,0
137,20,108.00,13.00,0,0.200573,3,15
138,2,100.00,100.00,1,0.199971,0,0
139,20,126.00,52.00,0,0.199371,2,2
140,20,-101.00,-111.00,0,0.198773,17,9
141,20,118.00,-70.00,0,0.198177,4,17
142,20,80.00,-23.00,0,0.197582,2,1
143,1,4.00,50.00,1,0.196990,0,0
144,20,84.00,54.00,0,0.196399,11,2
145,20,126.00,-55.00,0,0.195809,3,18
146,3,12.00,38.00,1,0.195222,1,1
147,20,-145.00,-155.00,0,0.194636,17,11
148,2,100.00,100.00,1,0.194052,0,0
149,20,126.00,60.00,0,0.193470,0,0
150,20,-54.00,-84.00,0,0.192890,14,12
151,20,126.00,-60.00,0,0.192311,4,19
152,20,107.00,5.00,0,0.191734,6,12
153,20,126.00,-70.00,0,0.191159,5,14
154,20,129.00,79.00,0,0.190586,10,3
155,20,116.00,-55.00,0,0.190014,2,17
156,3,12.00,38.00,1,0.189444,1,1
157,20,196.00,21.00,0,0.188876,1,17
158,2,100.00,100.00,1,0.188309,0,0
159,20,126.00,40.00,0,0.187744,1,3
160,20,-89.00,-59.00,0,0.187181,15,12
161,20,118.00,-70.00,0,0.186619,5,15
162,20,-40.00,-135.00,0,0.186059,14,12
163,20,-65.00,-155.00,0,0.185501,15,15
164,20,94.00,74.00,0,0.184945,10,0
165,20,103.00,-70.00,0,0.184390,5,17
166,2,8.00,49.00,1,0.183837,0,0
167,20,80.00,-55.00,0,0.183285,3,18
168,2,100.00,100.00,1,0.182735,0,0
169,20,126.00,60.00,0,0.182187,1,0
170,20,-69.00,-79.00,0,0.181641,15,12
171,20,63.00,-95.00,0,0.181096,9,13
172,20,80.00,-40.00,0,0.180552,2,19
173,20,72.00,-80.00,0,0.180011,6,9
174,20,174.00,134.00,0,0.179471,10,2
175,20,126.00,-50.00,0,0.178932,3,18
176,2,8.00,49.00,1,0.178395,0,0
177,20,80.00,-50.00,0,0.177860,3,13
178,4,93.00,83.00,1,0.177327,1,2
179,20,116.00,35.00,0,0.176795,2,3
180,20,-69.00,-59.00,0,0.176264,15,12
181,20,126.00,-40.00,0,0.175735,2,17
182,20,-30.00,-120.00,0,0.175208,16,11
183,20,-15.00,-135.00,0,0.174683,15,12
184,20,74.00,44.00,0,0.174159,12,4
185,20,126.00,-55.00,0,0.173636,3,17
186,2,8.00,49.00,1,0.173115,0,0
187,3,50.00,50.00,1,0.172596,1,0
188,2,100.00,100.00,1,0.172078,0,0
189,20,126.00,45.00,0,0.171562,1,3
190,20,-59.00,-89.00,0,0.171047,15,11
191,20,108.00,-75.00,0,0.170534,5,17
192,20,80.00,-30.00,0,0.170022,1,20
193,20,-33.00,-105.00,0,0.169512,13,8
194,20,184.00,144.00,0,0.169004,9,0
195,20,126.00,-35.00,0,0.168497,1,18
196,1,4.00,50.00,1,0.167991,0,0
197,20,126.00,-70.00,0,0.167487,4,15
198,2,100.00,100.00,1,0.166985,0,0
199,20,126.00,50.00,0,0.166484,1,2
200,20,-74.00,-74.00,0,0.165984,16,13
201,20,126.00,-60.00,0,0.165487,4,13
202,2,8.00,49.00,1,0.164990,0,0
203,20,80.00,21.00,0,0.164495,0,2
204,20,186.00,146.00,0,0.164002,9,0
205,20,126.00,-50.00,0,0.163510,3,19
206,2,8.00,49.00,1,0.163019,0,0
207,20,-115.00,-125.00,0,0.162530,15,14
208,3,89.00,99.00,1,0.162042,1,1
209,20,126.00,50.00,0,0.161556,1,1
210,20,-133.00,-113.00,0,0.161072,16,10
211,20,121.00,-110.00,0,0.160588,9,14
212,2,8.00,49.00,1,0.160107,0,0
213,1,50.00,50.00,1,0.159626,0,0
214,20,124.00,84.00,0,0.159147,9,3
215,20,121.00,-65.00,0,0.158670,4,18
216,2,8.00,49.00,1,0.158194,0,0
217,1,4.00,50.00,1,0.157719,0,0
218,3,94.00,94.00,1,0.157246,0,1
219,20,126.00,60.00,0,0.156775,1,0
220,20,-82.00,-42.00,0,0.156304,17,9
221,20,118.00,-85.00,0,0.155835,6,15
222,20,80.00,-20.00,0,0.155368,0,20
223,20,64.00,-16.00,0,0.154902,2,16
224,20,169.00,139.00,0,0.154437,9,2
225,20,126.00,-35.00,0,0.153974,1,19
226,2,8.00,49.00,1,0.153512,0,0
227,20,126.00,40.00,0,0.153051,2,2
228,2,100.00,100.00,1,0.152592,0,0
229,20,126.00,68.00,0,0.152134,5,3
230,20,-47.00,-77.00,0,0.151678,14,11
231,20,118.00,-80.00,0,0.151223,6,15
232,20,80.00,33.00,0,0.150769,1,0
233,20,135.00,85.00,0,0.150317,10,0
234,20,135.00,85.00,0,0.149866,10,0
235,20,126.00,-40.00,0,0.149416,2,19
236,2,8.00,49.00,1,0.148968,0,0
237,1,50.00,50.00,1,0.148521,0,0
238,2,100.00,100.00,1,0.148076,0,0
239,20,121.00,40.00,0,0.147631,2,2
240,20,-84.00,-54.00,0,0.147188,16,11
241,20,126.00,-60.00,0,0.146747,4,17
242,20,-150.00,-130.00,0,0.146307,18,9
243,20,80.00,-35.00,0,0.145868,1,18
244,20,78.00,38.00,0,0.145430,12,3
245,20,126.00,-30.00,0,0.144994,1,19
246,3,12.00,48.00,1,0.144559,0,1
247,0,0.00,0.00,1,0.144125,0,0
248,2,100.00,100.00,1,0.143693,0,0
249,20,126.00,45.00,0,0.143262,2,2
250,20,-42.00,-62.00,0,0.142832,15,10
251,20,126.00,-65.00,0,0.142403,4,15
252,0,0.00,0.00,1,0.141976,0,0
253,20,-145.00,-155.00,0,0.141550,17,10
254,20,74.00,54.00,0,0.141126,12,2
