Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,1,50.00,50.00,1,0.300000,0,0
1,4,54.00,44.00,1,0.299100,1,1
2,3,99.00,89.00,1,0.298203,1,1
3,7,6.00,36.00,1,0.297308,5,3
4,2,100.00,100.00,1,0.296416,0,0
5,17,96.00,11.00,1,0.295527,2,4
6,20,80.00,-120.00,0,0.294640,2,20
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,100.00,1,0.292875,0,0
9,3,50.00,50.00,1,0.291997,1,0
10,20,-22.00,-12.00,0,0.291121,11,2
11,3,12.00,38.00,1,0.290247,0,2
12,0,0.00,0.00,1,0.289376,0,0
13,2,100.00,100.00,1,0.288508,0,0
14,2,100.00,100.00,1,0.287643,0,0
15,6,24.00,40.00,1,0.286780,0,1
16,20,80.00,-100.00,0,0.285920,0,20
17,0,0.00,0.00,1,0.285062,0,0
18,3,94.00,94.00,1,0.284207,0,1
19,2,8.00,44.00,1,0.283354,0,1
20,14,56.00,96.00,1,0.282504,8,3
21,15,93.00,-22.00,1,0.281656,3,9
22,20,-92.00,-107.00,0,0.280811,12,6
23,3,83.00,83.00,1,0.279969,0,1
24,4,88.00,88.00,1,0.279129,2,0
25,8,70.00,35.00,1,0.278292,1,3
26,6,47.00,37.00,1,0.277457,2,3
27,0,0.00,0.00,1,0.276624,0,0
28,2,100.00,100.00,1,0.275795,0,0
29,1,4.00,50.00,1,0.274967,0,0
30,20,32.00,27.00,0,0.274142,10,3
31,14,94.00,-26.00,1,0.273320,3,9
32,0,0.00,0.00,1,0.272500,0,0
33,3,99.00,89.00,1,0.271682,1,1
34,2,100.00,100.00,1,0.270867,0,0
35,15,60.00,-19.00,1,0.270055,1,12
36,1,4.00,50.00,1,0.269245,0,0
37,2,89.00,89.00,1,0.268437,0,0
38,4,100.00,100.00,1,0.267632,1,0
39,4,39.00,49.00,1,0.266829,2,1
40,20,10.00,30.00,0,0.266028,11,3
41,10,78.00,8.00,1,0.265230,2,6
42,2,100.00,100.00,1,0.264434,0,0
43,0,0.00,0.00,1,0.263641,0,0
44,2,100.00,100.00,1,0.262850,0,0
45,18,89.00,-47.00,1,0.262062,2,14
46,4,39.00,49.00,1,0.261275,2,1
47,0,0.00,0.00,1,0.260492,0,0
48,2,100.00,100.00,1,0.259710,0,0
