Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.298800,0,0
2,0,0.00,0.00,1,0.297605,0,0
3,0,0.00,0.00,1,0.296414,0,0
4,0,0.00,0.00,1,0.295229,0,0
5,0,0.00,0.00,1,0.294048,0,0
6,0,0.00,0.00,1,0.292872,0,0
7,0,0.00,0.00,1,0.291700,0,0
8,19,16.00,99.00,0,0.300000,4,5
9,0,0.00,0.00,1,0.298800,0,0
10,1,4.00,50.00,1,0.297605,0,0
11,2,49.00,54.00,1,0.296414,0,0
12,0,0.00,0.00,1,0.295229,0,0
13,0,0.00,0.00,1,0.294048,0,0
14,2,8.00,39.00,1,0.292872,1,1
15,3,53.00,88.00,1,0.291700,0,0
16,0,0.00,0.00,1,0.290533,0,0
17,2,49.00,8.00,1,0.289371,0,1
18,20,-115.00,64.00,0,0.288214,11,4
19,3,58.00,99.00,1,0.287061,0,0
20,0,0.00,0.00,1,0.285913,0,0
21,2,49.00,8.00,1,0.284769,0,1
22,2,49.00,54.00,1,0.283630,0,0
23,0,0.00,0.00,1,0.282495,0,0
24,2,8.00,44.00,1,0.281365,0,1
25,2,8.00,39.00,1,0.280240,1,1
26,4,52.00,77.00,1,0.279119,1,1
27,0,0.00,0.00,1,0.278002,0,0
28,5,61.00,-8.00,1,0.276890,1,2
29,0,0.00,0.00,1,0.275783,0,0
30,3,43.00,48.00,1,0.274680,0,1
31,0,0.00,0.00,1,0.273581,0,0
32,0,0.00,0.00,1,0.272487,0,0
33,5,41.00,26.00,1,0.271397,2,1
34,0,0.00,0.00,1,0.270311,0,0
35,1,50.00,4.00,1,0.269230,0,0
36,1,4.00,50.00,1,0.268153,0,0
37,4,57.00,87.00,1,0.267080,0,1
38,0,0.00,0.00,1,0.266012,0,0
39,1,50.00,4.00,1,0.264948,0,0
40,2,44.00,8.00,1,0.263888,0,1
41,2,49.00,54.00,1,0.262833,0,0
42,0,0.00,0.00,1,0.261781,0,0
43,1,50.00,4.00,1,0.260734,0,0
44,2,49.00,54.00,1,0.259691,0,0
45,0,0.00,0.00,1,0.258653,0,0
46,2,49.00,54.00,1,0.257618,0,0
47,5,-3.00,53.00,1,0.256587,2,0
48,3,48.00,93.00,1,0.255561,0,0
49,0,0.00,0.00,1,0.254539,0,0
50,1,50.00,4.00,1,0.253521,0,0
51,4,37.00,62.00,1,0.252507,1,1
52,2,49.00,54.00,1,0.251497,0,0
53,0,0.00,0.00,1,0.250491,0,0
54,0,0.00,0.00,1,0.249489,0,0
55,5,31.00,66.00,1,0.248491,1,3
56,0,0.00,0.00,1,0.247497,0,0
57,4,54.00,47.00,1,0.246507,1,0
58,1,4.00,50.00,1,0.245521,0,0
59,3,53.00,88.00,1,0.244539,0,0
60,0,0.00,0.00,1,0.243560,0,0
61,1,50.00,4.00,1,0.242586,0,0
62,1,4.00,50.00,1,0.241616,0,0
63,2,49.00,54.00,1,0.240649,0,0
64,0,0.00,0.00,1,0.239687,0,0
65,20,-210.00,80.00,0,0.238728,19,1
66,2,49.00,54.00,1,0.237773,0,0
67,0,0.00,0.00,1,0.236822,0,0
68,2,49.00,54.00,1,0.235875,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,41
# GoalRate_last100,0.96
