Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,18,-68.00,-98.00,0,0.300000,13,11
4,20,9.00,-41.00,0,0.299100,13,11
5,20,-78.00,72.00,0,0.298203,7,15
6,4,98.00,47.00,1,0.297308,1,2
7,0,0.00,0.00,1,0.296416,0,0
8,2,100.00,100.00,1,0.295527,0,0
9,12,19.00,48.00,1,0.294640,2,11
10,3,89.00,58.00,1,0.293756,1,0
11,11,10.00,44.00,1,0.292875,3,7
12,3,38.00,12.00,1,0.291997,1,0
13,9,31.00,21.00,1,0.291121,5,3
14,9,73.00,43.00,1,0.290247,3,3
15,1,50.00,4.00,1,0.289376,0,0
16,3,89.00,58.00,1,0.288508,1,1
17,20,-65.00,116.00,0,0.287643,5,17
18,2,100.00,100.00,1,0.286780,0,0
19,1,50.00,4.00,1,0.285920,0,0
20,3,99.00,43.00,1,0.285062,1,1
21,3,38.00,12.00,1,0.284207,1,1
22,2,49.00,39.00,1,0.283354,1,1
23,0,0.00,0.00,1,0.282504,0,0
24,14,103.00,98.00,1,0.281656,6,2
25,1,50.00,4.00,1,0.280811,0,0
26,5,89.00,43.00,1,0.279969,2,1
27,5,72.00,82.00,1,0.279129,2,3
28,3,94.00,94.00,1,0.278292,0,1
29,1,50.00,4.00,1,0.277457,0,0
30,3,89.00,53.00,1,0.276624,1,1
31,3,43.00,12.00,1,0.275795,0,1
32,20,-40.00,126.00,0,0.274967,2,18
33,1,50.00,50.00,1,0.274142,0,0
34,20,-19.00,-29.00,0,0.273320,11,4
35,1,50.00,4.00,1,0.272500,0,0
36,2,100.00,54.00,1,0.271682,0,0
37,1,50.00,4.00,1,0.270867,0,0
38,3,89.00,99.00,1,0.270055,1,1
39,1,50.00,4.00,1,0.269245,0,0
40,2,100.00,54.00,1,0.268437,0,0
41,2,49.00,8.00,1,0.267632,0,0
42,0,0.00,0.00,1,0.266829,0,0
43,8,18.00,40.00,1,0.266028,2,4
44,20,93.00,83.00,1,0.265230,9,2
45,1,50.00,4.00,1,0.264434,0,0
46,2,100.00,54.00,1,0.263641,0,0
47,2,100.00,54.00,1,0.262850,0,0
48,2,100.00,100.00,1,0.262062,0,0
49,1,50.00,4.00,1,0.261275,0,0
50,2,100.00,54.00,1,0.260492,0,0
51,2,49.00,8.00,1,0.259710,0,0
52,4,88.00,88.00,1,0.258931,2,2
53,4,27.00,16.00,1,0.258154,2,2
54,15,116.00,96.00,1,0.257380,6,1
55,1,50.00,4.00,1,0.256608,0,0
56,15,67.00,106.00,1,0.255838,2,11
57,1,50.00,4.00,1,0.255070,0,0
58,2,100.00,100.00,1,0.254305,0,0
59,1,50.00,4.00,1,0.253542,0,0
60,5,89.00,58.00,1,0.252781,2,0
61,2,49.00,8.00,1,0.252023,0,0
62,0,0.00,0.00,1,0.251267,0,0
63,7,39.00,28.00,1,0.250513,0,6
64,8,127.00,97.00,1,0.249762,2,0
65,2,49.00,8.00,1,0.249012,0,1
66,7,114.00,139.00,1,0.248265,1,3
67,2,39.00,8.00,1,0.247521,1,0
68,2,100.00,100.00,1,0.246778,0,0
69,1,50.00,4.00,1,0.246038,0,0
70,4,83.00,57.00,1,0.245300,1,2
71,2,49.00,8.00,1,0.244564,0,0
72,0,0.00,0.00,1,0.243830,0,0
73,1,50.00,4.00,1,0.243099,0,0
74,5,89.00,99.00,1,0.242369,2,0
75,1,50.00,4.00,1,0.241642,0,0
76,2,100.00,54.00,1,0.240917,0,0
77,0,0.00,0.00,1,0.240194,0,0
78,2,100.00,100.00,1,0.239474,0,0
79,1,50.00,4.00,1,0.238755,0,0
80,3,99.00,43.00,1,0.238039,1,1
81,2,49.00,8.00,1,0.237325,0,0
82,3,38.00,12.00,1,0.236613,1,1
83,6,20.00,10.00,1,0.235903,4,5
84,20,42.00,22.00,0,0.235196,10,3
85,1,50.00,4.00,1,0.234490,0,0
86,20,21.00,153.00,0,0.233786,2,15
87,3,99.00,89.00,1,0.233085,1,1
88,3,89.00,89.00,1,0.232386,1,1
89,2,39.00,8.00,1,0.231689,1,1
90,3,94.00,48.00,1,0.230994,0,1
91,2,49.00,8.00,1,0.230301,0,0
92,0,0.00,0.00,1,0.229610,0,0
93,1,50.00,4.00,1,0.228921,0,0
