Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,1,50.00,50.00,1,0.300000,0,0
1,4,39.00,49.00,1,0.299100,2,0
2,2,39.00,49.00,1,0.298203,1,0
3,3,43.00,33.00,1,0.297308,1,2
4,4,122.00,122.00,1,0.296416,0,1
5,6,32.00,47.00,1,0.295527,3,2
6,4,88.00,88.00,1,0.294640,2,1
7,0,0.00,0.00,1,0.293756,0,0
8,3,99.00,89.00,1,0.292875,1,1
9,4,49.00,39.00,1,0.291997,2,1
10,2,100.00,100.00,1,0.291121,0,0
11,8,25.00,70.00,1,0.290247,1,4
12,8,23.00,9.00,1,0.289376,3,0
13,0,0.00,0.00,1,0.288508,0,0
14,6,88.00,88.00,1,0.287643,3,2
15,1,50.00,4.00,1,0.286780,0,0
16,4,98.00,62.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,2,100.00,100.00,1,0.284207,0,0
19,3,43.00,12.00,1,0.283354,0,2
20,2,100.00,100.00,1,0.282504,0,0
21,11,2.00,62.00,1,0.281656,3,7
22,0,0.00,0.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,2,100.00,100.00,1,0.279129,0,0
25,20,-25.00,80.00,0,0.278292,0,2
26,2,100.00,100.00,1,0.277457,0,0
27,20,-60.00,80.00,0,0.276624,2,7
28,2,100.00,100.00,1,0.275795,0,0
29,1,50.00,4.00,1,0.274967,0,0
30,3,89.00,89.00,1,0.274142,1,1
31,4,44.00,54.00,1,0.273320,1,1
32,0,0.00,0.00,1,0.272500,0,0
33,0,0.00,0.00,1,0.271682,0,0
34,2,100.00,100.00,1,0.270867,0,0
35,10,13.00,63.00,1,0.270055,2,7
36,3,94.00,94.00,1,0.269245,0,1
37,3,28.00,28.00,1,0.268437,2,2
38,2,100.00,100.00,1,0.267632,0,0
39,1,50.00,4.00,1,0.266829,0,0
40,2,100.00,100.00,1,0.266028,0,0
41,16,-23.00,102.00,1,0.265230,2,10
42,20,18.00,53.00,0,0.264434,8,4
43,4,39.00,49.00,1,0.263641,2,1
44,2,100.00,100.00,1,0.262850,0,0
45,20,-125.00,80.00,0,0.262062,3,18
46,2,100.00,100.00,1,0.261275,0,0
47,0,0.00,0.00,1,0.260492,0,0
48,3,99.00,89.00,1,0.259710,1,1
49,1,50.00,4.00,1,0.258931,0,0
50,2,100.00,100.00,1,0.258154,0,0
51,10,3.00,78.00,1,0.257380,2,7
52,2,100.00,100.00,1,0.256608,0,0
53,0,0.00,0.00,1,0.255838,0,0
54,2,100.00,100.00,1,0.255070,0,0
55,14,-38.00,56.00,1,0.254305,2,13
56,3,89.00,99.00,1,0.253542,1,1
57,1,50.00,4.00,1,0.252781,0,0
58,2,100.00,100.00,1,0.252023,0,0
59,1,50.00,4.00,1,0.251267,0,0
60,3,99.00,89.00,1,0.250513,1,1
61,7,26.00,66.00,1,0.249762,1,4
62,1,50.00,50.00,1,0.249012,0,0
63,2,39.00,39.00,1,0.248265,1,0
64,2,100.00,100.00,1,0.247521,0,0
65,20,-135.00,80.00,0,0.246778,3,18
66,4,88.00,88.00,1,0.246038,0,2
67,0,0.00,0.00,1,0.245300,0,0
68,4,78.00,88.00,1,0.244564,2,2
69,1,50.00,4.00,1,0.243830,0,0
70,2,100.00,100.00,1,0.243099,0,0
71,3,38.00,12.00,1,0.242369,0,2
72,20,-105.00,80.00,0,0.241642,1,17
73,1,50.00,50.00,1,0.240917,0,0
74,4,100.00,100.00,1,0.240194,1,0
75,20,-105.00,80.00,0,0.239474,1,16
76,4,93.00,83.00,1,0.238755,1,2
77,2,44.00,8.00,1,0.238039,0,1
78,2,100.00,100.00,1,0.237325,0,0
79,1,50.00,4.00,1,0.236613,0,0
80,2,100.00,100.00,1,0.235903,0,0
81,4,49.00,39.00,1,0.235196,2,1
82,2,39.00,39.00,1,0.234490,1,0
83,0,0.00,0.00,1,0.233786,0,0
84,2,100.00,100.00,1,0.233085,0,0
85,8,25.00,70.00,1,0.232386,2,5
86,2,100.00,100.00,1,0.231689,0,0
87,0,0.00,0.00,1,0.230994,0,0
88,2,100.00,100.00,1,0.230301,0,0
89,1,50.00,4.00,1,0.229610,0,0
90,2,100.00,100.00,1,0.228921,0,0
91,4,39.00,54.00,1,0.228234,2,1
92,2,100.00,100.00,1,0.227549,0,0
93,0,0.00,0.00,1,0.226867,0,0
94,2,100.00,100.00,1,0.226186,0,0
95,20,-120.00,80.00,0,0.225508,2,18
96,3,99.00,89.00,1,0.224831,1,1
97,0,0.00,0.00,1,0.224157,0,0
98,2,100.00,100.00,1,0.223484,0,0
99,1,50.00,4.00,1,0.222814,0,0
100,3,89.00,89.00,1,0.222145,1,1
101,3,50.00,50.00,1,0.221479,1,0
102,0,0.00,0.00,1,0.220814,0,0
103,3,99.00,89.00,1,0.220152,1,0
104,2,100.00,100.00,1,0.219492,0,0
105,1,50.00,4.00,1,0.218833,0,0
106,3,94.00,94.00,1,0.218177,0,1
107,2,100.00,100.00,1,0.217522,0,0
108,2,100.00,100.00,1,0.216869,0,0
109,1,50.00,4.00,1,0.216219,0,0
110,2,100.00,100.00,1,0.215570,0,0
111,4,39.00,39.00,1,0.214923,2,1
112,3,89.00,99.00,1,0.214279,1,1
113,3,128.00,128.00,1,0.213636,0,0
114,2,100.00,100.00,1,0.212995,0,0
115,20,-125.00,80.00,0,0.212356,2,19
116,2,100.00,100.00,1,0.211719,0,0
117,3,89.00,99.00,1,0.211084,1,0
118,2,100.00,100.00,1,0.210450,0,0
119,2,49.00,8.00,1,0.209819,0,1
120,2,100.00,100.00,1,0.209190,0,0
121,3,50.00,50.00,1,0.208562,1,0
122,1,50.00,50.00,1,0.207936,0,0
123,0,0.00,0.00,1,0.207313,0,0
124,3,99.00,89.00,1,0.206691,1,1
125,13,-7.00,79.00,1,0.206071,3,7
126,2,100.00,100.00,1,0.205452,0,0
127,1,50.00,50.00,1,0.204836,0,0
128,3,99.00,89.00,1,0.204222,1,1
129,1,50.00,4.00,1,0.203609,0,0
130,2,100.00,100.00,1,0.202998,0,0
131,4,49.00,54.00,1,0.202389,1,1
132,4,37.00,16.00,1,0.201782,1,2
133,1,50.00,50.00,1,0.201177,0,0
134,4,93.00,83.00,1,0.200573,1,2
135,1,50.00,4.00,1,0.199971,0,0
136,3,89.00,89.00,1,0.199371,1,1
137,1,50.00,4.00,1,0.198773,0,0
138,2,100.00,100.00,1,0.198177,0,0
139,1,50.00,4.00,1,0.197582,0,0
140,3,94.00,94.00,1,0.196990,0,1
141,3,50.00,50.00,1,0.196399,1,0
142,0,0.00,0.00,1,0.195809,0,0
143,0,0.00,0.00,1,0.195222,0,0
144,2,100.00,100.00,1,0.194636,0,0
145,1,50.00,4.00,1,0.194052,0,0
146,2,100.00,54.00,1,0.193470,0,0
147,2,39.00,39.00,1,0.192890,1,0
148,4,88.00,88.00,1,0.192311,2,2
149,1,50.00,4.00,1,0.191734,0,0
150,2,100.00,100.00,1,0.191159,0,0
151,6,17.00,57.00,1,0.190586,4,3
152,0,0.00,0.00,1,0.190014,0,0
153,0,0.00,0.00,1,0.189444,0,0
154,3,89.00,89.00,1,0.188876,1,1
155,2,39.00,8.00,1,0.188309,1,1
156,2,100.00,100.00,1,0.187744,0,0
157,0,0.00,0.00,1,0.187181,0,0
158,3,99.00,89.00,1,0.186619,1,1
159,1,50.00,4.00,1,0.186059,0,0
160,2,100.00,100.00,1,0.185501,0,0
161,8,37.00,62.00,1,0.184945,3,1
162,3,78.00,88.00,1,0.184390,1,1
163,1,50.00,50.00,1,0.183837,0,0
164,2,100.00,100.00,1,0.183285,0,0
165,2,44.00,8.00,1,0.182735,0,1
166,3,89.00,99.00,1,0.182187,1,1
167,0,0.00,0.00,1,0.181641,0,0
168,2,100.00,100.00,1,0.181096,0,0
169,1,50.00,4.00,1,0.180552,0,0
170,2,100.00,100.00,1,0.180011,0,0
171,1,50.00,4.00,1,0.179471,0,0
172,20,-2.00,-22.00,0,0.178932,11,1
173,1,50.00,4.00,1,0.178395,0,0
174,3,89.00,99.00,1,0.177860,1,1
175,1,50.00,4.00,1,0.177327,0,0
176,2,100.00,100.00,1,0.176795,0,0
177,0,0.00,0.00,1,0.176264,0,0
178,2,100.00,100.00,1,0.175735,0,0
179,1,50.00,4.00,1,0.175208,0,0
180,3,99.00,89.00,1,0.174683,1,1
181,7,50.00,50.00,1,0.174159,3,0
182,3,50.00,50.00,1,0.173636,1,0
183,0,0.00,0.00,1,0.173115,0,0
184,3,128.00,128.00,1,0.172596,0,0
185,1,50.00,4.00,1,0.172078,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,152
# GoalRate_last100,0.97
