Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,18,-108.00,78.00,0,0.300000,8,6
1,20,-90.00,102.00,0,0.299100,6,7
2,2,100.00,100.00,1,0.298203,0,0
3,4,39.00,54.00,1,0.297308,2,0
4,2,100.00,100.00,1,0.296416,0,0
5,20,-100.00,153.00,0,0.295527,13,6
6,20,-65.00,208.00,0,0.294640,5,3
7,1,50.00,4.00,1,0.293756,0,0
8,3,94.00,94.00,1,0.292875,0,1
9,20,-15.00,140.00,0,0.291997,10,4
10,2,100.00,100.00,1,0.291121,0,0
11,20,-115.00,25.00,0,0.290247,10,5
12,20,-65.00,127.00,0,0.289376,6,5
13,4,49.00,54.00,1,0.288508,1,0
14,2,100.00,100.00,1,0.287643,0,0
15,20,-40.00,72.00,0,0.286780,2,2
16,20,-55.00,198.00,0,0.285920,4,2
17,4,49.00,54.00,1,0.285062,1,0
18,2,100.00,100.00,1,0.284207,0,0
19,20,-50.00,110.00,0,0.283354,6,10
20,2,100.00,100.00,1,0.282504,0,0
21,20,-145.00,69.00,0,0.281656,10,9
22,20,-140.00,87.00,0,0.280811,10,11
23,20,-60.00,172.00,0,0.279969,4,1
24,2,100.00,100.00,1,0.279129,0,0
25,20,-70.00,126.00,0,0.278292,4,5
26,20,-75.00,163.00,0,0.277457,5,3
27,3,99.00,89.00,1,0.276624,1,1
28,2,100.00,100.00,1,0.275795,0,0
29,20,-70.00,126.00,0,0.274967,3,16
30,2,100.00,100.00,1,0.274142,0,0
31,20,-80.00,-5.00,0,0.273320,9,9
32,20,-105.00,103.00,0,0.272500,4,13
33,20,-84.00,65.00,0,0.271682,13,2
34,2,100.00,100.00,1,0.270867,0,0
35,20,-55.00,107.00,0,0.270055,4,2
36,20,-75.00,57.00,0,0.269245,6,4
37,20,-70.00,2.00,0,0.268437,5,11
38,2,100.00,100.00,1,0.267632,0,0
39,20,-100.00,40.00,0,0.300000,9,6
40,20,-70.00,-70.00,0,0.299100,9,9
41,20,-155.00,118.00,0,0.298203,7,14
42,20,-60.00,80.00,0,0.297308,3,2
43,20,-53.00,-63.00,0,0.296416,13,7
44,20,-19.00,-69.00,0,0.295527,10,8
45,20,-70.00,126.00,0,0.294640,5,3
46,20,-170.00,-21.00,0,0.293756,18,3
47,20,-95.00,-95.00,0,0.292875,13,5
48,8,54.00,74.00,1,0.291997,2,6
49,20,0.00,118.00,0,0.291121,6,6
50,20,17.00,27.00,0,0.290247,11,3
51,20,-155.00,110.00,0,0.289376,7,15
52,14,3.00,40.00,1,0.288508,6,4
53,20,-100.00,72.00,0,0.287643,8,6
54,20,-14.00,-44.00,0,0.286780,14,4
55,20,-85.00,118.00,0,0.285920,6,3
56,20,-155.00,45.00,0,0.285062,16,3
57,20,-100.00,80.00,0,0.284207,2,15
58,2,100.00,100.00,1,0.283354,0,0
59,20,-110.00,113.00,0,0.282504,9,11
60,20,5.00,35.00,0,0.281656,10,3
61,20,-150.00,110.00,0,0.280811,9,14
62,20,-110.00,-8.00,0,0.279969,14,5
63,20,-125.00,80.00,0,0.279129,2,18
64,20,16.00,-44.00,0,0.278292,11,4
65,20,-60.00,126.00,0,0.277457,4,4
66,20,-115.00,-3.00,0,0.276624,14,4
67,0,0.00,0.00,1,0.275795,0,0
68,2,100.00,100.00,1,0.274967,0,0
69,20,-10.00,100.00,0,0.274142,8,7
70,20,0.00,40.00,0,0.273320,11,2
71,20,-120.00,126.00,0,0.272500,1,19
72,13,36.00,39.00,1,0.271682,7,2
73,20,-90.00,78.00,0,0.270867,8,7
74,20,15.00,45.00,0,0.270055,9,6
75,20,-85.00,72.00,0,0.269245,6,6
76,20,-135.00,-23.00,0,0.268437,14,6
77,2,49.00,8.00,1,0.267632,0,0
78,3,89.00,89.00,1,0.266829,1,1
79,20,81.00,126.00,0,0.266028,2,2
80,20,15.00,15.00,0,0.265230,10,4
81,20,-140.00,110.00,0,0.264434,9,8
82,20,-115.00,29.00,0,0.263641,14,4
83,20,-95.00,7.00,0,0.262850,13,3
84,20,-48.00,-88.00,0,0.262062,13,3
85,20,-85.00,126.00,0,0.261275,6,2
86,20,-120.00,12.00,0,0.260492,13,5
87,20,-180.00,-200.00,0,0.259710,16,6
88,2,100.00,100.00,1,0.258931,0,0
89,20,61.00,126.00,0,0.258154,3,6
90,20,15.00,15.00,0,0.257380,12,2
91,20,-135.00,126.00,0,0.256608,4,18
92,0,0.00,0.00,1,0.255838,0,0
93,20,-100.00,-15.00,0,0.255070,13,2
94,20,-29.00,-49.00,0,0.254305,13,3
95,20,-60.00,126.00,0,0.253542,4,1
96,20,-115.00,-34.00,0,0.252781,12,6
97,20,-100.00,80.00,0,0.252023,8,7
98,2,100.00,100.00,1,0.251267,0,0
99,20,35.00,126.00,0,0.250513,2,3
100,20,-41.00,-31.00,0,0.249762,12,3
101,20,-130.00,110.00,0,0.249012,5,13
102,1,50.00,50.00,1,0.248265,0,0
103,20,13.00,64.00,0,0.247521,9,3
104,20,13.00,3.00,0,0.246778,12,0
105,20,-50.00,126.00,0,0.246038,2,2
106,20,-115.00,-13.00,0,0.245300,14,2
107,20,-35.00,80.00,0,0.244564,1,1
108,3,94.00,94.00,1,0.243830,0,1
109,20,71.00,126.00,0,0.243099,4,2
110,20,0.00,0.00,0,0.242369,10,0
111,20,-150.00,70.00,0,0.241642,11,9
112,2,100.00,100.00,1,0.240917,0,0
113,2,100.00,100.00,1,0.240194,0,0
114,20,-34.00,-44.00,0,0.239474,11,3
115,20,-95.00,108.00,0,0.238755,6,6
116,20,-115.00,37.00,0,0.238039,14,3
117,0,0.00,0.00,1,0.237325,0,0
118,2,100.00,100.00,1,0.236613,0,0
119,20,45.00,110.00,0,0.235903,8,2
120,20,-34.00,-14.00,0,0.235196,12,2
121,20,-130.00,103.00,0,0.234490,5,17
122,20,-115.00,-13.00,0,0.233786,15,5
123,1,50.00,50.00,1,0.233085,0,0
124,20,3.00,3.00,0,0.232386,12,3
125,20,-50.00,126.00,0,0.231689,3,4
126,20,-125.00,18.00,0,0.230994,15,1
127,20,-145.00,88.00,0,0.230301,9,14
128,2,100.00,100.00,1,0.229610,0,0
129,20,-37.00,90.00,0,0.228921,12,6
130,20,15.00,5.00,0,0.228234,12,3
131,20,-150.00,103.00,0,0.227549,8,15
132,20,-40.00,80.00,0,0.226867,6,11
