Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.300000,0,0
4,2,100.00,54.00,1,0.299100,0,0
5,0,0.00,0.00,1,0.298203,0,0
6,4,16.00,22.00,1,0.297308,2,3
7,0,0.00,0.00,1,0.296416,0,0
8,1,-1.00,-11.00,1,0.300000,1,0
9,0,0.00,0.00,1,0.299100,0,0
10,4,93.00,88.00,1,0.298203,1,1
11,0,0.00,0.00,1,0.297308,0,0
12,17,52.00,99.00,1,0.296416,7,10
13,20,80.00,-45.00,0,0.295527,2,19
14,4,88.00,42.00,1,0.294640,2,2
15,0,0.00,0.00,1,0.293756,0,0
16,1,4.00,50.00,1,0.292875,0,0
17,2,8.00,39.00,1,0.291997,1,0
18,11,41.00,66.00,1,0.291121,8,8
19,0,0.00,0.00,1,0.290247,0,0
20,6,111.00,66.00,1,0.289376,3,3
21,0,0.00,0.00,1,0.288508,0,0
22,20,-29.00,82.00,0,0.287643,12,8
23,1,50.00,4.00,1,0.286780,0,0
24,2,100.00,54.00,1,0.285920,0,0
25,0,0.00,0.00,1,0.285062,0,0
26,1,4.00,50.00,1,0.284207,0,0
27,0,0.00,0.00,1,0.283354,0,0
28,3,99.00,104.00,1,0.282504,0,0
29,0,0.00,0.00,1,0.281656,0,0
30,4,103.00,88.00,1,0.280811,1,1
31,0,0.00,0.00,1,0.279969,0,0
32,0,0.00,0.00,1,0.279129,0,0
33,11,0.00,44.00,1,0.278292,3,9
34,5,94.00,58.00,1,0.277457,1,1
35,0,0.00,0.00,1,0.276624,0,0
36,1,4.00,50.00,1,0.275795,0,0
37,0,0.00,0.00,1,0.274967,0,0
38,20,126.00,-24.00,0,0.274142,4,19
39,0,0.00,0.00,1,0.273320,0,0
40,3,104.00,99.00,1,0.272500,0,0
41,0,0.00,0.00,1,0.271682,0,0
42,1,4.00,50.00,1,0.270867,0,0
43,0,0.00,0.00,1,0.270055,0,0
44,3,89.00,58.00,1,0.269245,1,1
45,0,0.00,0.00,1,0.268437,0,0
46,1,4.00,50.00,1,0.267632,0,0
47,1,4.00,50.00,1,0.266829,0,0
48,4,88.00,93.00,1,0.266028,1,1
49,0,0.00,0.00,1,0.265230,0,0
50,4,108.00,88.00,1,0.264434,1,0
51,0,0.00,0.00,1,0.263641,0,0
52,2,39.00,8.00,1,0.262850,1,0
53,20,80.00,-45.00,0,0.262062,1,19
54,2,100.00,54.00,1,0.261275,0,0
55,0,0.00,0.00,1,0.260492,0,0
56,1,4.00,50.00,1,0.259710,0,0
57,2,39.00,8.00,1,0.258931,1,0
58,6,91.00,76.00,1,0.258154,3,3
59,0,0.00,0.00,1,0.257380,0,0
60,4,108.00,88.00,1,0.256608,1,1
61,0,0.00,0.00,1,0.255838,0,0
62,0,0.00,0.00,1,0.255070,0,0
63,7,51.00,-20.00,1,0.254305,4,2
64,2,54.00,100.00,1,0.253542,0,0
65,0,0.00,0.00,1,0.252781,0,0
66,1,4.00,50.00,1,0.252023,0,0
67,3,104.00,99.00,1,0.251267,0,0
68,3,99.00,104.00,1,0.250513,0,0
69,0,0.00,0.00,1,0.249762,0,0
70,3,104.00,99.00,1,0.249012,0,0
71,0,0.00,0.00,1,0.248265,0,0
72,20,-23.00,62.00,0,0.247521,1,18
73,1,4.00,50.00,1,0.246778,0,0
74,6,86.00,70.00,1,0.246038,1,3
75,0,0.00,0.00,1,0.245300,0,0
76,1,4.00,50.00,1,0.244564,0,0
77,4,16.00,27.00,1,0.243830,2,2
78,3,99.00,104.00,1,0.243099,0,0
79,0,0.00,0.00,1,0.242369,0,0
80,4,93.00,88.00,1,0.241642,1,1
81,0,0.00,0.00,1,0.240917,0,0
82,0,0.00,0.00,1,0.240194,0,0
83,3,12.00,48.00,1,0.239474,0,2
84,2,100.00,54.00,1,0.238755,0,0
85,0,0.00,0.00,1,0.238039,0,0
86,1,4.00,50.00,1,0.237325,0,0
87,2,49.00,54.00,1,0.236613,0,0
88,8,93.00,108.00,1,0.235903,2,1
89,0,0.00,0.00,1,0.235196,0,0
90,4,93.00,98.00,1,0.234490,1,1
91,0,0.00,0.00,1,0.233786,0,0
92,18,65.00,25.00,1,0.233085,5,12
93,0,0.00,0.00,1,0.232386,0,0
