Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,0,0.00,0.00,1,0.300000,0,0
9,0,0.00,0.00,1,0.299100,0,0
10,7,153.00,92.00,1,0.298203,2,0
11,0,0.00,0.00,1,0.297308,0,0
12,17,24.00,68.00,1,0.296416,1,1
13,1,-1.00,-11.00,1,0.300000,1,0
14,4,108.00,88.00,1,0.299100,1,0
15,0,0.00,0.00,1,0.298203,0,0
16,1,4.00,50.00,1,0.297308,0,0
17,20,24.00,0.00,0,0.296416,3,14
18,4,93.00,98.00,1,0.295527,1,1
19,0,0.00,0.00,1,0.294640,0,0
20,3,99.00,104.00,1,0.293756,0,0
21,0,0.00,0.00,1,0.292875,0,0
22,4,32.00,16.00,1,0.291997,0,3
23,8,37.00,55.00,1,0.291121,3,1
24,5,112.00,77.00,1,0.290247,2,1
25,0,0.00,0.00,1,0.289376,0,0
26,1,4.00,50.00,1,0.288508,0,0
27,4,16.00,27.00,1,0.287643,1,2
28,4,108.00,88.00,1,0.286780,1,1
29,0,0.00,0.00,1,0.285920,0,0
30,3,99.00,104.00,1,0.285062,0,0
31,0,0.00,0.00,1,0.284207,0,0
32,20,-103.00,70.00,0,0.283354,7,14
33,20,-103.00,164.00,0,0.282504,4,15
34,11,105.00,70.00,1,0.281656,4,3
35,0,0.00,0.00,1,0.280811,0,0
36,1,4.00,50.00,1,0.279969,0,0
37,20,-82.00,166.00,0,0.279129,11,6
38,3,104.00,99.00,1,0.278292,0,0
39,0,0.00,0.00,1,0.277457,0,0
40,4,88.00,93.00,1,0.276624,1,1
41,0,0.00,0.00,1,0.275795,0,0
42,20,-81.00,148.00,0,0.274967,5,10
43,20,43.00,-68.00,0,0.274142,9,7
44,6,108.00,88.00,1,0.273320,2,0
45,0,0.00,0.00,1,0.272500,0,0
46,1,4.00,50.00,1,0.271682,0,0
47,15,33.00,38.00,1,0.270867,3,10
48,4,108.00,88.00,1,0.270055,1,1
49,0,0.00,0.00,1,0.269245,0,0
50,4,88.00,103.00,1,0.268437,1,1
51,0,0.00,0.00,1,0.267632,0,0
52,6,47.00,37.00,1,0.266829,3,1
53,0,0.00,0.00,1,0.266028,0,0
54,7,100.00,65.00,1,0.265230,4,3
55,0,0.00,0.00,1,0.264434,0,0
56,1,4.00,50.00,1,0.263641,0,0
57,0,0.00,0.00,1,0.262850,0,0
58,8,84.00,71.00,1,0.262062,3,3
59,0,0.00,0.00,1,0.261275,0,0
60,3,99.00,104.00,1,0.260492,0,0
61,0,0.00,0.00,1,0.259710,0,0
62,0,0.00,0.00,1,0.258931,0,0
63,0,0.00,0.00,1,0.258154,0,0
64,17,125.00,120.00,1,0.257380,10,3
65,0,0.00,0.00,1,0.256608,0,0
66,1,4.00,50.00,1,0.255838,0,0
67,20,167.00,-30.00,0,0.255070,7,9
68,6,98.00,91.00,1,0.254305,1,1
69,0,0.00,0.00,1,0.253542,0,0
70,2,100.00,54.00,1,0.252781,0,0
71,0,0.00,0.00,1,0.252023,0,0
72,7,36.00,61.00,1,0.251267,1,3
73,20,110.00,-113.00,0,0.250513,7,11
74,6,108.00,88.00,1,0.249762,2,0
75,0,0.00,0.00,1,0.249012,0,0
76,1,4.00,50.00,1,0.248265,0,0
77,20,-103.00,110.00,0,0.247521,4,13
78,5,104.00,99.00,1,0.246778,1,0
79,0,0.00,0.00,1,0.246038,0,0
80,3,99.00,104.00,1,0.245300,0,0
81,0,0.00,0.00,1,0.244564,0,0
82,20,141.00,-81.00,0,0.243830,4,12
83,5,97.00,112.00,1,0.243099,0,2
84,4,108.00,88.00,1,0.242369,1,0
85,0,0.00,0.00,1,0.241642,0,0
86,1,4.00,50.00,1,0.240917,0,0
87,0,0.00,0.00,1,0.240194,0,0
88,3,104.00,99.00,1,0.239474,0,0
89,0,0.00,0.00,1,0.238755,0,0
90,5,77.00,82.00,1,0.238039,2,2
91,0,0.00,0.00,1,0.237325,0,0
92,20,-70.00,209.00,0,0.236613,11,1
93,9,12.00,27.00,1,0.235903,4,2
