Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.300000,0,0
3,0,0.00,0.00,1,0.299100,0,0
4,12,80.00,0.00,1,0.298203,10,9
5,17,-56.00,68.00,1,0.297308,8,7
6,4,100.00,100.00,1,0.296416,1,0
7,0,0.00,0.00,1,0.295527,0,0
8,17,70.00,114.00,1,0.294640,1,15
9,3,43.00,12.00,1,0.293756,0,2
10,5,77.00,67.00,1,0.292875,3,2
11,13,30.00,44.00,1,0.291997,2,9
12,0,0.00,0.00,1,0.291121,0,0
13,3,99.00,58.00,1,0.290247,0,0
14,6,105.00,115.00,1,0.289376,3,1
15,15,26.00,60.00,1,0.288508,1,2
16,2,100.00,100.00,1,0.287643,0,0
17,0,0.00,0.00,1,0.286780,0,0
18,4,88.00,78.00,1,0.285920,2,2
19,1,50.00,4.00,1,0.285062,0,0
20,2,100.00,100.00,1,0.284207,0,0
21,18,23.00,72.00,1,0.283354,1,14
22,0,0.00,0.00,1,0.282504,0,0
23,0,0.00,0.00,1,0.281656,0,0
24,14,-2.00,-43.00,1,0.280811,10,11
25,2,49.00,8.00,1,0.279969,0,1
26,2,100.00,100.00,1,0.279129,0,0
27,9,17.00,-23.00,1,0.278292,5,5
28,2,100.00,100.00,1,0.277457,0,0
29,1,50.00,4.00,1,0.276624,0,0
30,4,98.00,78.00,1,0.275795,2,0
31,17,1.00,5.00,1,0.274967,7,11
32,1,50.00,4.00,1,0.274142,0,0
33,5,31.00,11.00,1,0.273320,3,3
34,5,116.00,71.00,1,0.272500,2,2
35,1,50.00,4.00,1,0.271682,0,0
36,3,99.00,89.00,1,0.270867,1,1
37,6,5.00,24.00,1,0.270055,4,0
38,2,100.00,100.00,1,0.269245,0,0
39,1,50.00,4.00,1,0.268437,0,0
40,2,100.00,100.00,1,0.267632,0,0
41,2,49.00,8.00,1,0.266829,0,0
42,0,0.00,0.00,1,0.266028,0,0
43,2,100.00,100.00,1,0.265230,0,0
44,5,116.00,116.00,1,0.264434,2,0
45,1,50.00,4.00,1,0.263641,0,0
46,2,100.00,100.00,1,0.262850,0,0
47,2,49.00,8.00,1,0.262062,0,0
48,2,100.00,100.00,1,0.261275,0,0
49,1,50.00,4.00,1,0.260492,0,0
50,6,83.00,83.00,1,0.259710,2,2
51,8,33.00,32.00,1,0.258931,1,5
52,0,0.00,0.00,1,0.258154,0,0
53,0,0.00,0.00,1,0.257380,0,0
54,3,128.00,93.00,1,0.256608,0,0
55,2,44.00,8.00,1,0.255838,0,1
56,2,100.00,100.00,1,0.255070,0,0
57,0,0.00,0.00,1,0.254305,0,0
58,3,89.00,89.00,1,0.253542,1,1
59,1,50.00,4.00,1,0.252781,0,0
60,5,89.00,89.00,1,0.252023,2,1
61,4,37.00,16.00,1,0.251267,1,2
62,3,38.00,38.00,1,0.250513,2,0
63,0,0.00,0.00,1,0.249762,0,0
64,7,114.00,114.00,1,0.249012,3,0
65,1,50.00,4.00,1,0.248265,0,0
66,5,126.00,106.00,1,0.247521,2,1
67,6,98.00,78.00,1,0.246778,3,1
68,2,100.00,54.00,1,0.246038,0,0
69,1,50.00,4.00,1,0.245300,0,0
70,2,100.00,100.00,1,0.244564,0,0
71,5,48.00,58.00,1,0.243830,1,1
72,6,66.00,30.00,1,0.243099,4,3
73,4,100.00,54.00,1,0.242369,1,0
74,6,115.00,105.00,1,0.241642,3,1
75,3,48.00,12.00,1,0.240917,0,0
76,2,100.00,100.00,1,0.240194,0,0
77,0,0.00,0.00,1,0.239474,0,0
78,2,100.00,100.00,1,0.238755,0,0
79,2,44.00,8.00,1,0.238039,0,1
80,2,100.00,100.00,1,0.237325,0,0
81,13,28.00,52.00,1,0.236613,1,8
82,0,0.00,0.00,1,0.235903,0,0
83,0,0.00,0.00,1,0.235196,0,0
84,5,106.00,116.00,1,0.234490,2,1
85,1,50.00,4.00,1,0.233786,0,0
86,2,100.00,100.00,1,0.233085,0,0
87,0,0.00,0.00,1,0.232386,0,0
88,2,100.00,100.00,1,0.231689,0,0
89,1,50.00,4.00,1,0.230994,0,0
90,2,100.00,100.00,1,0.230301,0,0
91,20,-30.00,80.00,0,0.229610,1,17
92,0,0.00,0.00,1,0.228921,0,0
93,1,50.00,4.00,1,0.228234,0,0
