Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,4,49.00,39.00,1,0.299100,2,0
2,2,100.00,100.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,4,88.00,78.00,1,0.296416,2,2
5,7,21.00,31.00,1,0.295527,4,2
6,3,94.00,94.00,1,0.294640,0,1
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,100.00,1,0.292875,0,0
9,1,50.00,4.00,1,0.291997,0,0
10,2,100.00,100.00,1,0.291121,0,0
11,8,15.00,70.00,1,0.290247,2,5
12,2,100.00,100.00,1,0.289376,0,0
13,2,100.00,100.00,1,0.288508,0,0
14,3,99.00,89.00,1,0.287643,1,1
15,6,40.00,36.00,1,0.286780,2,1
16,7,80.00,50.00,1,0.285920,4,5
17,9,52.00,44.00,1,0.285062,6,4
18,2,100.00,100.00,1,0.284207,0,0
19,1,50.00,4.00,1,0.283354,0,0
20,2,100.00,100.00,1,0.282504,0,0
21,11,-5.00,44.00,1,0.281656,0,10
22,0,0.00,0.00,1,0.280811,0,0
23,20,-55.00,80.00,0,0.279969,3,3
24,2,100.00,100.00,1,0.279129,0,0
25,2,49.00,8.00,1,0.278292,0,0
26,4,93.00,83.00,1,0.277457,1,2
27,0,0.00,0.00,1,0.276624,0,0
28,4,98.00,78.00,1,0.275795,2,2
29,1,50.00,4.00,1,0.274967,0,0
30,4,98.00,78.00,1,0.274142,2,1
31,1,50.00,4.00,1,0.273320,0,0
32,2,89.00,89.00,1,0.272500,0,0
33,0,0.00,0.00,1,0.271682,0,0
34,2,100.00,100.00,1,0.270867,0,0
35,20,-28.00,72.00,0,0.270055,2,2
36,2,100.00,100.00,1,0.269245,0,0
37,0,0.00,0.00,1,0.268437,0,0
38,3,99.00,89.00,1,0.267632,1,1
39,1,50.00,4.00,1,0.266829,0,0
40,4,78.00,88.00,1,0.266028,2,1
41,16,-43.00,77.00,1,0.265230,6,10
42,3,50.00,50.00,1,0.264434,1,0
43,4,93.00,83.00,1,0.263641,1,1
44,2,100.00,100.00,1,0.262850,0,0
45,2,44.00,8.00,1,0.262062,0,1
46,3,89.00,99.00,1,0.261275,1,1
47,2,100.00,100.00,1,0.260492,0,0
48,2,100.00,100.00,1,0.259710,0,0
49,1,50.00,4.00,1,0.258931,0,0
50,4,78.00,78.00,1,0.258154,2,2
51,11,-10.00,44.00,1,0.257380,0,10
52,1,50.00,4.00,1,0.256608,0,0
53,20,-110.00,80.00,0,0.255838,2,17
54,2,100.00,100.00,1,0.255070,0,0
55,5,31.00,20.00,1,0.254305,0,4
56,2,100.00,100.00,1,0.253542,0,0
57,0,0.00,0.00,1,0.252781,0,0
58,3,89.00,99.00,1,0.252023,1,1
59,1,50.00,4.00,1,0.251267,0,0
60,2,100.00,100.00,1,0.250513,0,0
61,4,49.00,39.00,1,0.249762,2,1
62,4,87.00,87.00,1,0.249012,1,0
63,0,0.00,0.00,1,0.248265,0,0
64,5,116.00,116.00,1,0.247521,2,1
65,20,-145.00,-32.00,0,0.246778,7,3
66,3,89.00,89.00,1,0.246038,1,1
67,1,50.00,4.00,1,0.245300,0,0
68,2,100.00,100.00,1,0.244564,0,0
69,1,50.00,4.00,1,0.243830,0,0
70,2,100.00,100.00,1,0.243099,0,0
71,8,25.00,70.00,1,0.242369,1,4
72,7,44.00,28.00,1,0.241642,0,0
73,0,0.00,0.00,1,0.240917,0,0
74,4,78.00,88.00,1,0.240194,2,2
75,4,47.00,43.00,1,0.239474,1,0
76,2,100.00,100.00,1,0.238755,0,0
77,6,61.00,91.00,1,0.238039,3,2
78,3,89.00,99.00,1,0.237325,1,1
79,1,50.00,4.00,1,0.236613,0,0
80,3,99.00,89.00,1,0.235903,1,0
81,6,32.00,62.00,1,0.235196,1,3
82,0,0.00,0.00,1,0.234490,0,0
83,1,50.00,4.00,1,0.233786,0,0
84,2,100.00,100.00,1,0.233085,0,0
85,20,-50.00,80.00,0,0.232386,2,3
86,7,82.00,82.00,1,0.231689,3,1
87,7,38.00,53.00,1,0.230994,3,0
88,2,100.00,100.00,1,0.230301,0,0
89,2,39.00,8.00,1,0.229610,1,1
90,4,93.00,83.00,1,0.228921,1,2
91,7,19.00,28.00,1,0.228234,0,6
92,2,100.00,100.00,1,0.227549,0,0
93,0,0.00,0.00,1,0.226867,0,0
94,2,100.00,100.00,1,0.226186,0,0
95,20,-115.00,80.00,0,0.225508,2,18
96,5,111.00,111.00,1,0.224831,1,2
97,1,50.00,50.00,1,0.224157,0,0
98,2,100.00,100.00,1,0.223484,0,0
99,1,50.00,4.00,1,0.222814,0,0
100,2,100.00,100.00,1,0.222145,0,0
101,1,50.00,4.00,1,0.221479,0,0
102,0,0.00,0.00,1,0.220814,0,0
103,3,99.00,89.00,1,0.220152,1,1
104,5,99.00,89.00,1,0.219492,2,1
105,12,-6.00,48.00,1,0.218833,1,9
106,3,99.00,89.00,1,0.218177,1,1
107,2,39.00,8.00,1,0.217522,1,0
108,2,100.00,100.00,1,0.216869,0,0
109,1,50.00,4.00,1,0.216219,0,0
110,3,89.00,89.00,1,0.215570,1,1
111,1,50.00,4.00,1,0.214923,0,0
112,13,18.00,21.00,1,0.214279,4,0
113,0,0.00,0.00,1,0.213636,0,0
114,2,100.00,100.00,1,0.212995,0,0
115,20,-123.00,72.00,0,0.212356,5,16
116,2,100.00,100.00,1,0.211719,0,0
117,1,50.00,50.00,1,0.211084,0,0
118,2,100.00,100.00,1,0.210450,0,0
119,1,50.00,4.00,1,0.209819,0,0
120,2,100.00,100.00,1,0.209190,0,0
121,1,50.00,4.00,1,0.208562,0,0
122,2,100.00,100.00,1,0.207936,0,0
123,0,0.00,0.00,1,0.207313,0,0
124,3,89.00,99.00,1,0.206691,1,1
125,20,-120.00,80.00,0,0.206071,1,20
126,2,100.00,100.00,1,0.205452,0,0
127,3,48.00,12.00,1,0.204836,0,1
128,2,100.00,100.00,1,0.204222,0,0
129,1,50.00,4.00,1,0.203609,0,0
130,3,94.00,94.00,1,0.202998,0,1
131,1,50.00,4.00,1,0.202389,0,0
132,0,0.00,0.00,1,0.201782,0,0
133,1,50.00,50.00,1,0.201177,0,0
134,2,100.00,100.00,1,0.200573,0,0
135,9,2.00,36.00,1,0.199971,1,8
136,2,100.00,100.00,1,0.199371,0,0
137,3,99.00,89.00,1,0.198773,1,0
138,3,99.00,89.00,1,0.198177,1,1
139,1,50.00,4.00,1,0.197582,0,0
140,2,100.00,100.00,1,0.196990,0,0
141,1,50.00,4.00,1,0.196399,0,0
142,0,0.00,0.00,1,0.195809,0,0
143,2,100.00,100.00,1,0.195222,0,0
144,2,100.00,100.00,1,0.194636,0,0
145,20,-120.00,80.00,0,0.194052,2,19
146,2,100.00,100.00,1,0.193470,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,121
# GoalRate_last100,0.93
