Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,2,49.00,39.00,1,0.299100,1,0
2,0,0.00,0.00,1,0.298203,0,0
3,1,50.00,50.00,1,0.297308,0,0
4,1,50.00,50.00,1,0.296416,0,0
5,1,50.00,50.00,1,0.295527,0,0
6,1,50.00,50.00,1,0.294640,0,0
7,3,38.00,28.00,1,0.293756,2,2
8,1,50.00,50.00,1,0.292875,0,0
9,1,50.00,50.00,1,0.291997,0,0
10,1,50.00,50.00,1,0.291121,0,0
11,2,49.00,39.00,1,0.290247,1,1
12,1,50.00,50.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,1,50.00,50.00,1,0.287643,0,0
15,1,50.00,50.00,1,0.286780,0,0
16,1,50.00,50.00,1,0.285920,0,0
17,1,50.00,50.00,1,0.285062,0,0
18,1,50.00,50.00,1,0.284207,0,0
19,1,50.00,50.00,1,0.283354,0,0
20,1,50.00,50.00,1,0.282504,0,0
21,1,50.00,50.00,1,0.281656,0,0
22,2,49.00,39.00,1,0.280811,1,1
23,1,50.00,50.00,1,0.279969,0,0
24,1,50.00,50.00,1,0.279129,0,0
25,1,50.00,50.00,1,0.278292,0,0
26,1,50.00,50.00,1,0.277457,0,0
27,0,0.00,0.00,1,0.276624,0,0
28,1,50.00,50.00,1,0.275795,0,0
29,1,50.00,50.00,1,0.274967,0,0
30,1,50.00,50.00,1,0.274142,0,0
31,1,50.00,50.00,1,0.273320,0,0
32,0,0.00,0.00,1,0.272500,0,0
33,2,9.00,9.00,1,0.271682,1,0
34,1,50.00,50.00,1,0.270867,0,0
35,2,39.00,49.00,1,0.270055,1,0
36,1,50.00,50.00,1,0.269245,0,0
37,1,50.00,50.00,1,0.268437,0,0
38,2,39.00,49.00,1,0.267632,1,1
39,1,50.00,50.00,1,0.266829,0,0
40,1,50.00,50.00,1,0.266028,0,0
41,1,50.00,50.00,1,0.265230,0,0
42,1,50.00,50.00,1,0.264434,0,0
43,2,39.00,49.00,1,0.263641,1,1
44,1,-11.00,-1.00,1,0.300000,1,0
45,2,39.00,39.00,1,0.299100,1,1
46,1,50.00,50.00,1,0.298203,0,0
47,0,0.00,0.00,1,0.297308,0,0
48,1,50.00,50.00,1,0.296416,0,0
49,1,50.00,50.00,1,0.295527,0,0
50,1,50.00,50.00,1,0.294640,0,0
51,1,50.00,50.00,1,0.293756,0,0
52,1,50.00,50.00,1,0.292875,0,0
53,1,50.00,50.00,1,0.291997,0,0
54,2,44.00,44.00,1,0.291121,0,1
55,3,78.00,78.00,1,0.290247,1,1
56,1,50.00,50.00,1,0.289376,0,0
57,1,50.00,50.00,1,0.288508,0,0
58,1,50.00,50.00,1,0.287643,0,0
59,1,50.00,50.00,1,0.286780,0,0
60,1,50.00,50.00,1,0.285920,0,0
61,1,50.00,50.00,1,0.285062,0,0
62,1,50.00,50.00,1,0.284207,0,0
63,2,89.00,89.00,1,0.283354,0,0
64,1,50.00,50.00,1,0.282504,0,0
65,2,89.00,89.00,1,0.281656,0,0
66,2,89.00,89.00,1,0.280811,0,0
67,0,0.00,0.00,1,0.279969,0,0
68,1,50.00,50.00,1,0.279129,0,0
69,1,50.00,50.00,1,0.278292,0,0
70,1,50.00,50.00,1,0.277457,0,0
71,1,50.00,50.00,1,0.276624,0,0
72,0,0.00,0.00,1,0.275795,0,0
73,0,0.00,0.00,1,0.274967,0,0
74,1,50.00,50.00,1,0.274142,0,0
75,1,50.00,50.00,1,0.273320,0,0
76,2,44.00,44.00,1,0.272500,0,1
77,1,50.00,50.00,1,0.271682,0,0
78,1,50.00,50.00,1,0.270867,0,0
79,2,39.00,39.00,1,0.270055,1,1
80,3,38.00,38.00,1,0.269245,2,2
81,1,50.00,50.00,1,0.268437,0,0
82,1,50.00,50.00,1,0.267632,0,0
83,1,50.00,50.00,1,0.266829,0,0
84,2,39.00,49.00,1,0.266028,1,1
85,1,50.00,50.00,1,0.265230,0,0
86,1,50.00,50.00,1,0.264434,0,0
87,0,0.00,0.00,1,0.263641,0,0
88,1,50.00,50.00,1,0.262850,0,0
89,1,50.00,50.00,1,0.262062,0,0
90,4,32.00,22.00,1,0.261275,2,3
91,1,50.00,50.00,1,0.260492,0,0
92,0,0.00,0.00,1,0.259710,0,0
93,0,0.00,0.00,1,0.258931,0,0
94,1,50.00,50.00,1,0.258154,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,83
# GoalRate_last100,1.00
