Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,1,50.00,50.00,1,0.299100,0,0
2,1,-11.00,-1.00,1,0.300000,1,0
3,0,0.00,0.00,1,0.299100,0,0
4,2,89.00,89.00,1,0.298203,0,0
5,3,33.00,33.00,1,0.297308,1,2
6,4,37.00,47.00,1,0.296416,2,1
7,0,0.00,0.00,1,0.295527,0,0
8,1,50.00,50.00,1,0.294640,0,0
9,2,44.00,44.00,1,0.293756,0,1
10,7,19.00,9.00,1,0.292875,3,5
11,1,50.00,50.00,1,0.291997,0,0
12,0,0.00,0.00,1,0.291121,0,0
13,1,50.00,50.00,1,0.290247,0,0
14,2,89.00,89.00,1,0.289376,0,0
15,1,50.00,50.00,1,0.288508,0,0
16,1,50.00,50.00,1,0.287643,0,0
17,0,0.00,0.00,1,0.286780,0,0
18,1,50.00,50.00,1,0.285920,0,0
19,1,50.00,50.00,1,0.285062,0,0
20,19,-68.00,-58.00,1,0.284207,4,16
21,1,50.00,50.00,1,0.283354,0,0
22,2,44.00,44.00,1,0.282504,0,1
23,1,50.00,50.00,1,0.281656,0,0
24,2,89.00,89.00,1,0.280811,0,0
25,1,50.00,50.00,1,0.279969,0,0
26,1,50.00,50.00,1,0.279129,0,0
27,2,44.00,44.00,1,0.278292,0,1
28,1,50.00,50.00,1,0.277457,0,0
29,1,50.00,50.00,1,0.276624,0,0
30,4,32.00,32.00,1,0.275795,2,2
31,2,49.00,39.00,1,0.274967,1,1
32,2,44.00,44.00,1,0.274142,0,1
33,0,0.00,0.00,1,0.273320,0,0
34,2,89.00,89.00,1,0.272500,0,0
35,2,39.00,49.00,1,0.271682,1,1
36,1,50.00,50.00,1,0.270867,0,0
37,1,50.00,50.00,1,0.270055,0,0
38,1,50.00,50.00,1,0.269245,0,0
39,2,39.00,49.00,1,0.268437,1,1
40,2,39.00,49.00,1,0.267632,1,0
41,1,50.00,50.00,1,0.266829,0,0
42,0,0.00,0.00,1,0.266028,0,0
43,1,50.00,50.00,1,0.265230,0,0
44,3,88.00,78.00,1,0.264434,1,1
45,1,50.00,50.00,1,0.263641,0,0
