profile,mode,n_runs,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab1_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1binv,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1binv,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_f2dead_lowsun,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.925,10,1.0,1.0,10,2,3,366.9,341.9,392.10249999999996,0.0,0.0,0.0
labmon2_f2dead_lowsun,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.99,10,1.0,1.0,10,2,3,218.4,165.9,279.4024999999999,0.0,0.0,0.0
labmon_f1dead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_f1dead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
