Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,13,18.00,-88.00,1,0.300000,11,7
2,9,36.00,27.00,1,0.299100,1,8
3,3,58.00,88.00,1,0.298203,0,0
4,11,45.00,90.00,1,0.297308,1,7
5,16,-5.00,120.00,1,0.296416,4,13
6,20,-50.00,80.00,0,0.295527,3,3
7,20,-35.00,58.00,0,0.294640,4,14
8,20,-163.00,-55.00,0,0.293756,18,18
9,7,36.00,56.00,1,0.292875,3,1
10,3,48.00,43.00,1,0.291997,1,1
11,20,-35.00,43.00,0,0.291121,6,15
12,3,58.00,88.00,1,0.290247,0,0
13,0,0.00,0.00,1,0.289376,0,0
14,20,-80.00,86.00,0,0.288508,8,9
15,3,48.00,93.00,1,0.287643,0,0
16,15,61.00,22.00,1,0.286780,3,3
17,0,0.00,0.00,1,0.285920,0,0
18,8,-2.00,38.00,1,0.285062,5,6
19,2,54.00,49.00,1,0.284207,0,0
20,20,-215.00,-25.00,0,0.283354,19,5
21,13,33.00,72.00,1,0.282504,2,7
22,20,-57.00,-69.00,0,0.281656,11,12
23,20,-13.00,-39.00,0,0.280811,7,10
24,12,59.00,73.00,1,0.279969,4,4
25,9,42.00,117.00,1,0.279129,0,4
26,5,46.00,20.00,1,0.278292,0,1
27,12,48.00,19.00,1,0.277457,2,11
28,3,38.00,58.00,1,0.276624,1,1
29,4,42.00,37.00,1,0.275795,2,2
30,14,52.00,2.00,1,0.274967,6,4
31,2,49.00,54.00,1,0.274142,0,0
32,2,49.00,54.00,1,0.273320,0,0
33,20,67.00,0.00,0,0.272500,2,16
34,16,25.00,48.00,1,0.271682,7,6
35,4,42.00,87.00,1,0.270867,0,1
36,3,48.00,12.00,1,0.270055,0,1
37,12,86.00,39.00,1,0.269245,1,8
38,5,16.00,66.00,1,0.268437,3,3
39,4,57.00,37.00,1,0.267632,1,2
40,15,-39.00,6.00,1,0.266829,12,2
41,2,49.00,54.00,1,0.266028,0,0
42,7,39.00,4.00,1,0.265230,5,5
43,15,-14.00,60.00,1,0.264434,2,13
44,2,54.00,49.00,1,0.263641,0,0
45,3,48.00,93.00,1,0.262850,0,0
46,4,27.00,16.00,1,0.262062,2,2
47,0,0.00,0.00,1,0.261275,0,0
48,2,49.00,54.00,1,0.260492,0,0
49,3,53.00,38.00,1,0.259710,1,1
50,15,-39.00,16.00,1,0.258931,9,5
51,2,49.00,54.00,1,0.258154,0,0
52,7,54.00,0.00,1,0.257380,2,2
53,0,0.00,0.00,1,0.256608,0,0
54,3,38.00,58.00,1,0.255838,1,1
55,3,48.00,93.00,1,0.255070,0,0
56,2,49.00,8.00,1,0.254305,0,0
57,0,0.00,0.00,1,0.253542,0,0
58,3,48.00,58.00,1,0.252781,0,1
59,2,54.00,49.00,1,0.252023,0,0
60,14,-78.00,37.00,1,0.251267,12,3
61,3,38.00,58.00,1,0.250513,1,1
62,0,0.00,0.00,1,0.249762,0,0
63,1,50.00,4.00,1,0.249012,0,0
64,20,-30.00,62.00,0,0.248265,10,1
65,4,47.00,82.00,1,0.247521,1,1
66,2,49.00,8.00,1,0.246778,0,0
67,0,0.00,0.00,1,0.246038,0,0
68,2,49.00,54.00,1,0.245300,0,0
69,2,54.00,49.00,1,0.244564,0,0
70,8,33.00,13.00,1,0.243830,5,2
71,2,49.00,54.00,1,0.243099,0,0
72,5,41.00,46.00,1,0.242369,1,1
73,0,0.00,0.00,1,0.241642,0,0
74,15,26.00,81.00,1,0.240917,6,2
75,4,37.00,92.00,1,0.240194,1,1
76,19,12.00,76.00,1,0.239474,3,15
77,2,8.00,89.00,1,0.238755,0,0
78,2,49.00,54.00,1,0.238039,0,0
79,2,54.00,49.00,1,0.237325,0,0
80,10,-34.00,41.00,1,0.236613,8,0
81,3,48.00,58.00,1,0.235903,0,0
82,5,-3.00,61.00,1,0.235196,1,2
83,0,0.00,0.00,1,0.234490,0,0
84,11,50.00,66.00,1,0.233786,5,2
85,3,48.00,93.00,1,0.233085,0,0
86,2,49.00,8.00,1,0.232386,0,0
87,0,0.00,0.00,1,0.231689,0,0
88,20,65.00,-23.00,0,0.230994,6,13
89,4,57.00,37.00,1,0.230301,1,2
90,20,-85.00,91.00,0,0.229610,7,13
91,2,49.00,54.00,1,0.228921,0,0
92,0,0.00,0.00,1,0.228234,0,0
93,20,-50.00,67.00,0,0.227549,4,18
94,8,95.00,85.00,1,0.226867,2,0
95,4,37.00,92.00,1,0.226186,1,1
96,2,49.00,8.00,1,0.225508,0,0
97,11,26.00,30.00,1,0.224831,3,7
98,2,49.00,54.00,1,0.224157,0,0
99,3,48.00,43.00,1,0.223484,0,1
100,5,56.00,16.00,1,0.222814,3,1
101,2,49.00,54.00,1,0.222145,0,0
102,2,49.00,54.00,1,0.221479,0,0
103,2,49.00,8.00,1,0.220814,0,0
104,11,35.00,48.00,1,0.220152,5,1
105,3,48.00,93.00,1,0.219492,0,0
106,3,48.00,12.00,1,0.218833,0,1
107,0,0.00,0.00,1,0.218177,0,0
108,2,49.00,54.00,1,0.217522,0,0
109,14,22.00,102.00,1,0.216869,1,12
110,11,-10.00,20.00,1,0.216219,8,1
111,2,49.00,54.00,1,0.215570,0,0
112,1,4.00,50.00,1,0.214923,0,0
113,0,0.00,0.00,1,0.214279,0,0
114,10,43.00,52.00,1,0.213636,4,0
115,7,44.00,89.00,1,0.212995,2,0
116,2,49.00,8.00,1,0.212356,0,0
