Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,2,49.00,54.00,1,0.299100,0,0
2,3,33.00,12.00,1,0.298203,1,1
3,0,0.00,0.00,1,0.297308,0,0
4,2,-12.00,38.00,1,0.300000,1,0
5,3,88.00,58.00,1,0.299100,0,0
6,2,89.00,8.00,1,0.298203,0,0
7,0,0.00,0.00,1,0.297308,0,0
8,2,49.00,54.00,1,0.296416,0,0
9,2,54.00,49.00,1,0.295527,0,0
10,2,54.00,49.00,1,0.294640,0,0
11,2,49.00,54.00,1,0.293756,0,0
12,1,50.00,4.00,1,0.292875,0,0
13,1,50.00,4.00,1,0.291997,0,0
14,9,87.00,72.00,1,0.291121,3,1
15,5,76.00,66.00,1,0.290247,1,2
16,3,88.00,12.00,1,0.289376,0,1
17,2,44.00,8.00,1,0.288508,0,1
18,3,48.00,43.00,1,0.287643,1,1
19,2,49.00,54.00,1,0.286780,0,0
20,2,54.00,49.00,1,0.285920,0,0
21,2,49.00,54.00,1,0.285062,0,0
22,1,4.00,50.00,1,0.284207,0,0
23,0,0.00,0.00,1,0.283354,0,0
24,7,84.00,49.00,1,0.282504,2,0
25,3,88.00,58.00,1,0.281656,0,0
26,2,89.00,8.00,1,0.280811,0,0
27,0,0.00,0.00,1,0.279969,0,0
28,3,43.00,58.00,1,0.279129,0,1
29,4,54.00,47.00,1,0.278292,1,0
30,4,57.00,27.00,1,0.277457,2,1
31,3,43.00,48.00,1,0.276624,0,1
32,0,0.00,0.00,1,0.275795,0,0
33,2,49.00,54.00,1,0.274967,0,0
34,16,80.00,75.00,1,0.274142,6,0
35,4,87.00,62.00,1,0.273320,0,1
36,2,89.00,8.00,1,0.272500,0,0
37,0,0.00,0.00,1,0.271682,0,0
38,2,49.00,54.00,1,0.270867,0,0
39,2,54.00,49.00,1,0.270055,0,0
40,2,54.00,49.00,1,0.269245,0,0
41,2,49.00,54.00,1,0.268437,0,0
42,3,88.00,53.00,1,0.267632,0,0
43,2,8.00,49.00,1,0.266829,0,0
44,20,-30.00,0.00,0,0.266028,9,3
45,3,88.00,58.00,1,0.265230,0,0
46,3,88.00,12.00,1,0.264434,0,0
47,1,4.00,50.00,1,0.263641,0,0
48,4,37.00,62.00,1,0.262850,1,2
49,2,54.00,49.00,1,0.262062,0,0
50,2,54.00,49.00,1,0.261275,0,0
51,3,48.00,58.00,1,0.260492,0,1
52,1,4.00,50.00,1,0.259710,0,0
53,1,4.00,50.00,1,0.258931,0,0
54,20,51.00,81.00,1,0.258154,9,2
55,3,88.00,58.00,1,0.257380,0,0
56,2,89.00,8.00,1,0.256608,0,0
57,3,12.00,48.00,1,0.255838,1,0
58,2,49.00,54.00,1,0.255070,0,0
59,2,54.00,49.00,1,0.254305,0,0
60,3,48.00,43.00,1,0.253542,1,0
61,2,49.00,54.00,1,0.252781,0,0
62,2,8.00,89.00,1,0.252023,0,0
63,1,4.00,50.00,1,0.251267,0,0
64,4,87.00,97.00,1,0.250513,0,0
65,4,77.00,62.00,1,0.249762,1,1
66,2,89.00,8.00,1,0.249012,0,0
67,0,0.00,0.00,1,0.248265,0,0
68,2,49.00,54.00,1,0.247521,0,0
69,2,54.00,49.00,1,0.246778,0,0
70,3,38.00,53.00,1,0.246038,1,0
71,3,38.00,53.00,1,0.245300,1,1
72,3,12.00,88.00,1,0.244564,0,0
73,0,0.00,0.00,1,0.243830,0,0
74,7,84.00,49.00,1,0.243099,2,0
75,5,36.00,58.00,1,0.242369,2,1
76,4,77.00,16.00,1,0.241642,1,2
77,1,50.00,4.00,1,0.240917,0,0
78,2,49.00,54.00,1,0.240194,0,0
79,3,58.00,38.00,1,0.239474,1,1
80,2,54.00,49.00,1,0.238755,0,0
81,4,47.00,54.00,1,0.238039,1,0
82,0,0.00,0.00,1,0.237325,0,0
83,2,49.00,54.00,1,0.236613,0,0
84,12,39.00,39.00,1,0.235903,5,2
85,3,88.00,58.00,1,0.235196,0,0
86,4,77.00,16.00,1,0.234490,0,2
87,2,8.00,89.00,1,0.233786,0,0
88,2,49.00,54.00,1,0.233085,0,0
89,2,54.00,49.00,1,0.232386,0,0
90,2,54.00,49.00,1,0.231689,0,0
91,2,49.00,54.00,1,0.230994,0,0
92,0,0.00,0.00,1,0.230301,0,0
93,1,4.00,50.00,1,0.229610,0,0
94,20,-25.00,-35.00,0,0.228921,10,2
95,3,88.00,58.00,1,0.228234,0,0
96,2,89.00,8.00,1,0.227549,0,0
97,3,48.00,43.00,1,0.226867,1,1
98,2,49.00,54.00,1,0.226186,0,0
99,3,48.00,43.00,1,0.225508,1,1
100,2,54.00,49.00,1,0.224831,0,0
101,2,49.00,54.00,1,0.224157,0,0
102,0,0.00,0.00,1,0.223484,0,0
103,2,54.00,49.00,1,0.222814,0,0
104,13,28.00,48.00,1,0.222145,6,1
105,5,86.00,66.00,1,0.221479,1,0
106,2,89.00,8.00,1,0.220814,0,0
107,0,0.00,0.00,1,0.220152,0,0
108,3,48.00,58.00,1,0.219492,0,1
109,3,58.00,48.00,1,0.218833,0,1
110,2,54.00,49.00,1,0.218177,0,0
111,2,49.00,54.00,1,0.217522,0,0
112,2,89.00,8.00,1,0.216869,0,0
113,1,4.00,50.00,1,0.216219,0,0
114,2,49.00,54.00,1,0.215570,0,0
115,3,88.00,58.00,1,0.214923,0,0
116,3,78.00,12.00,1,0.214279,1,1
117,0,0.00,0.00,1,0.213636,0,0
118,2,49.00,54.00,1,0.212995,0,0
119,3,43.00,48.00,1,0.212356,1,1
120,3,43.00,48.00,1,0.211719,1,1
121,3,43.00,58.00,1,0.211084,0,1
122,2,49.00,54.00,1,0.210450,0,0
123,0,0.00,0.00,1,0.209819,0,0
124,6,90.00,85.00,1,0.209190,1,0
125,3,88.00,58.00,1,0.208562,0,0
126,2,89.00,8.00,1,0.207936,0,0
127,4,87.00,42.00,1,0.207313,1,1
128,2,49.00,54.00,1,0.206691,0,0
129,2,54.00,49.00,1,0.206071,0,0
130,2,54.00,49.00,1,0.205452,0,0
131,3,48.00,58.00,1,0.204836,0,0
132,1,50.00,4.00,1,0.204222,0,0
133,0,0.00,0.00,1,0.203609,0,0
134,16,75.00,45.00,1,0.202998,6,2
135,3,88.00,58.00,1,0.202389,0,0
136,2,89.00,8.00,1,0.201782,0,0
137,0,0.00,0.00,1,0.201177,0,0
138,2,49.00,54.00,1,0.200573,0,0
139,2,54.00,49.00,1,0.199971,0,0
140,2,54.00,49.00,1,0.199371,0,0
141,2,49.00,54.00,1,0.198773,0,0
142,20,-40.00,10.00,0,0.198177,11,3
143,3,43.00,58.00,1,0.197582,0,1
144,4,92.00,87.00,1,0.196990,0,0
145,4,87.00,62.00,1,0.196399,0,1
146,4,82.00,16.00,1,0.195809,0,1
147,0,0.00,0.00,1,0.195222,0,0
148,2,49.00,54.00,1,0.194636,0,0
149,3,58.00,48.00,1,0.194052,0,1
150,2,54.00,49.00,1,0.193470,0,0
151,2,49.00,54.00,1,0.192890,0,0
152,0,0.00,0.00,1,0.192311,0,0
153,1,4.00,50.00,1,0.191734,0,0
154,20,-40.00,-20.00,0,0.191159,11,2
155,4,82.00,62.00,1,0.190586,0,1
156,2,89.00,8.00,1,0.190014,0,0
157,0,0.00,0.00,1,0.189444,0,0
158,2,49.00,54.00,1,0.188876,0,0
159,2,54.00,49.00,1,0.188309,0,0
160,2,54.00,49.00,1,0.187744,0,0
161,3,48.00,58.00,1,0.187181,0,1
162,3,88.00,58.00,1,0.186619,0,0
163,2,49.00,54.00,1,0.186059,0,0
164,7,54.00,44.00,1,0.185501,2,1
165,3,88.00,58.00,1,0.184945,0,0
166,3,88.00,12.00,1,0.184390,0,1
167,2,89.00,8.00,1,0.183837,0,0
168,2,49.00,54.00,1,0.183285,0,0
169,2,54.00,49.00,1,0.182735,0,0
170,2,54.00,49.00,1,0.182187,0,0
171,2,49.00,54.00,1,0.181641,0,0
172,3,53.00,88.00,1,0.181096,0,0
173,1,50.00,4.00,1,0.180552,0,0
174,7,84.00,49.00,1,0.180011,2,0
175,3,88.00,58.00,1,0.179471,0,0
176,2,89.00,8.00,1,0.178932,0,0
177,1,50.00,4.00,1,0.178395,0,0
178,3,48.00,43.00,1,0.177860,1,1
179,2,54.00,49.00,1,0.177327,0,0
180,3,43.00,48.00,1,0.176795,1,0
181,2,49.00,54.00,1,0.176264,0,0
182,1,4.00,50.00,1,0.175735,0,0
183,1,4.00,50.00,1,0.175208,0,0
184,3,88.00,53.00,1,0.174683,0,0
185,3,88.00,58.00,1,0.174159,0,0
186,1,50.00,4.00,1,0.173636,0,0
187,2,49.00,54.00,1,0.173115,0,0
188,2,49.00,54.00,1,0.172596,0,0
189,2,54.00,49.00,1,0.172078,0,0
190,2,54.00,49.00,1,0.171562,0,0
191,2,49.00,54.00,1,0.171047,0,0
192,2,49.00,54.00,1,0.170534,0,0
193,1,4.00,50.00,1,0.170022,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,169
