Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,1,50.00,50.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,3,28.00,38.00,1,0.296416,2,2
5,1,50.00,50.00,1,0.295527,0,0
6,2,89.00,89.00,1,0.294640,0,0
7,1,50.00,50.00,1,0.293756,0,0
8,2,49.00,39.00,1,0.292875,1,1
9,1,50.00,50.00,1,0.291997,0,0
10,1,50.00,50.00,1,0.291121,0,0
11,1,50.00,50.00,1,0.290247,0,0
12,2,44.00,44.00,1,0.289376,0,1
13,0,0.00,0.00,1,0.288508,0,0
14,1,50.00,50.00,1,0.287643,0,0
15,2,39.00,49.00,1,0.286780,1,1
16,2,39.00,49.00,1,0.285920,1,1
17,0,0.00,0.00,1,0.285062,0,0
18,1,50.00,50.00,1,0.284207,0,0
19,1,50.00,50.00,1,0.283354,0,0
20,1,50.00,50.00,1,0.282504,0,0
21,1,50.00,50.00,1,0.281656,0,0
22,11,17.00,-55.00,1,0.300000,6,4
23,0,0.00,0.00,1,0.299100,0,0
24,1,50.00,50.00,1,0.298203,0,0
25,1,50.00,50.00,1,0.297308,0,0
26,2,89.00,89.00,1,0.296416,0,0
27,1,50.00,50.00,1,0.295527,0,0
28,1,50.00,50.00,1,0.294640,0,0
29,1,50.00,50.00,1,0.293756,0,0
30,1,50.00,50.00,1,0.292875,0,0
31,1,50.00,50.00,1,0.291997,0,0
32,5,-24.00,53.00,1,0.291121,4,2
33,0,0.00,0.00,1,0.290247,0,0
34,1,50.00,50.00,1,0.289376,0,0
35,1,50.00,50.00,1,0.288508,0,0
36,1,50.00,50.00,1,0.287643,0,0
37,0,0.00,0.00,1,0.286780,0,0
38,1,50.00,50.00,1,0.285920,0,0
39,1,50.00,50.00,1,0.285062,0,0
40,1,50.00,50.00,1,0.284207,0,0
41,1,50.00,50.00,1,0.283354,0,0
42,3,-2.00,50.00,1,0.282504,2,0
43,0,0.00,0.00,1,0.281656,0,0
44,2,44.00,44.00,1,0.280811,0,1
45,1,50.00,50.00,1,0.279969,0,0
