Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,5,20.00,46.00,1,0.297308,0,4
4,20,-30.00,-190.00,0,0.296416,19,18
5,0,0.00,0.00,1,0.295527,0,0
6,1,50.00,50.00,1,0.294640,0,0
7,4,54.00,98.00,1,0.293756,1,1
8,20,-73.00,102.00,0,0.292875,8,15
9,0,0.00,0.00,1,0.291997,0,0
10,20,-170.00,-70.00,0,0.291121,20,5
11,0,0.00,0.00,1,0.290247,0,0
12,16,51.00,40.00,1,0.289376,11,9
13,0,0.00,0.00,1,0.288508,0,0
14,20,66.00,20.00,0,0.287643,11,4
15,0,0.00,0.00,1,0.286780,0,0
16,1,50.00,50.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,20,-43.00,122.00,0,0.284207,6,16
19,0,0.00,0.00,1,0.283354,0,0
20,11,-40.00,20.00,1,0.282504,10,3
21,0,0.00,0.00,1,0.281656,0,0
22,20,-210.00,-30.00,0,0.280811,20,1
23,1,4.00,50.00,1,0.279969,0,0
24,20,-35.00,-55.00,0,0.279129,11,4
25,0,0.00,0.00,1,0.278292,0,0
26,1,50.00,50.00,1,0.277457,0,0
27,1,4.00,50.00,1,0.276624,0,0
28,20,-43.00,159.00,0,0.275795,4,13
29,0,0.00,0.00,1,0.274967,0,0
30,9,-3.00,88.00,1,0.274142,5,1
31,0,0.00,0.00,1,0.273320,0,0
32,20,-50.00,80.00,0,0.272500,2,20
33,0,0.00,0.00,1,0.271682,0,0
34,20,131.00,30.00,0,0.270867,5,16
35,0,0.00,0.00,1,0.270055,0,0
36,1,50.00,50.00,1,0.269245,0,0
37,20,-56.00,-3.00,0,0.268437,12,14
38,20,68.00,33.00,0,0.267632,6,15
39,0,0.00,0.00,1,0.266829,0,0
40,1,50.00,50.00,1,0.266028,0,0
41,0,0.00,0.00,1,0.265230,0,0
42,20,-50.00,80.00,0,0.264434,3,17
43,17,9.00,60.00,1,0.300000,3,12
44,20,82.00,-110.00,0,0.299100,16,1
45,0,0.00,0.00,1,0.298203,0,0
46,20,107.00,-50.00,0,0.297308,7,13
47,0,0.00,0.00,1,0.296416,0,0
48,4,62.00,78.00,1,0.295527,2,2
49,0,0.00,0.00,1,0.294640,0,0
50,20,-180.00,-90.00,0,0.293756,20,4
51,0,0.00,0.00,1,0.292875,0,0
52,0,0.00,0.00,1,0.291997,0,0
53,6,15.00,24.00,1,0.291121,3,4
54,20,125.00,-5.00,0,0.290247,9,6
55,0,0.00,0.00,1,0.289376,0,0
56,20,151.00,10.00,0,0.288508,4,15
57,0,0.00,0.00,1,0.287643,0,0
58,20,17.00,42.00,0,0.286780,9,9
59,0,0.00,0.00,1,0.285920,0,0
60,20,-78.00,-58.00,0,0.285062,13,6
61,0,0.00,0.00,1,0.284207,0,0
62,0,0.00,0.00,1,0.283354,0,0
63,18,-12.00,72.00,1,0.282504,4,14
64,20,51.00,25.00,0,0.281656,8,6
65,0,0.00,0.00,1,0.280811,0,0
66,20,148.00,30.00,0,0.279969,4,15
67,1,50.00,4.00,1,0.279129,0,0
68,20,70.00,45.00,0,0.278292,5,13
69,0,0.00,0.00,1,0.277457,0,0
70,20,-99.00,1.00,0,0.276624,15,6
71,0,0.00,0.00,1,0.275795,0,0
72,0,0.00,0.00,1,0.274967,0,0
73,20,-25.00,-35.00,0,0.274142,10,2
74,20,80.00,34.00,0,0.273320,10,2
75,0,0.00,0.00,1,0.272500,0,0
76,20,84.00,0.00,0,0.271682,4,13
77,20,6.00,72.00,1,0.270867,3,18
78,20,-28.00,149.00,0,0.270055,2,15
79,0,0.00,0.00,1,0.269245,0,0
80,20,-210.00,-40.00,0,0.268437,20,3
81,0,0.00,0.00,1,0.267632,0,0
82,20,49.00,-65.00,0,0.266829,6,9
83,8,70.00,74.00,1,0.266028,3,5
84,20,146.00,40.00,0,0.265230,1,18
85,0,0.00,0.00,1,0.264434,0,0
86,20,161.00,20.00,0,0.263641,4,17
87,0,0.00,0.00,1,0.262850,0,0
88,20,68.00,63.00,0,0.262062,3,15
89,0,0.00,0.00,1,0.261275,0,0
90,20,-88.00,-118.00,0,0.260492,17,7
91,0,0.00,0.00,1,0.259710,0,0
92,0,0.00,0.00,1,0.258931,0,0
