Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.298800,0,0
2,0,0.00,0.00,1,0.297605,0,0
3,1,4.00,50.00,1,0.296414,0,0
4,1,4.00,50.00,1,0.295229,0,0
5,0,0.00,0.00,1,0.294048,0,0
6,0,0.00,0.00,1,0.292872,0,0
7,0,0.00,0.00,1,0.291700,0,0
8,5,-13.00,102.00,1,0.290533,2,1
9,0,0.00,0.00,1,0.289371,0,0
10,1,4.00,50.00,1,0.288214,0,0
11,1,4.00,50.00,1,0.287061,0,0
12,0,0.00,0.00,1,0.285913,0,0
13,0,0.00,0.00,1,0.284769,0,0
14,1,4.00,50.00,1,0.283630,0,0
15,1,4.00,50.00,1,0.282495,0,0
16,0,0.00,0.00,1,0.281365,0,0
17,0,0.00,0.00,1,0.280240,0,0
18,1,4.00,50.00,1,0.279119,0,0
19,5,2.00,92.00,1,0.278002,2,1
20,0,0.00,0.00,1,0.276890,0,0
21,0,0.00,0.00,1,0.275783,0,0
22,1,4.00,50.00,1,0.274680,0,0
23,0,0.00,0.00,1,0.273581,0,0
24,0,0.00,0.00,1,0.272487,0,0
25,1,4.00,50.00,1,0.271397,0,0
26,6,-4.00,100.00,1,0.270311,1,1
27,0,0.00,0.00,1,0.269230,0,0
28,0,0.00,0.00,1,0.268153,0,0
29,3,12.00,99.00,1,0.267080,0,0
30,4,-2.00,103.00,1,0.266012,1,0
31,0,0.00,0.00,1,0.264948,0,0
32,4,47.00,62.00,1,0.300000,0,0
33,20,80.00,-90.00,0,0.298800,3,11
34,0,0.00,0.00,1,0.297605,0,0
35,0,0.00,0.00,1,0.296414,0,0
36,20,80.00,-115.00,0,0.295229,1,17
37,20,-77.00,-35.00,0,0.294048,11,3
38,0,0.00,0.00,1,0.292872,0,0
39,0,0.00,0.00,1,0.291700,0,0
40,0,0.00,0.00,1,0.290533,0,0
41,20,-14.00,11.00,0,0.289371,9,3
42,0,0.00,0.00,1,0.288214,0,0
43,1,50.00,4.00,1,0.287061,0,0
44,20,80.00,-120.00,0,0.285913,3,16
45,0,0.00,0.00,1,0.284769,0,0
46,20,-65.00,-30.00,0,0.283630,11,1
47,20,80.00,-120.00,0,0.282495,1,19
48,20,-72.00,-30.00,0,0.281365,11,3
49,0,0.00,0.00,1,0.280240,0,0
50,0,0.00,0.00,1,0.279119,0,0
51,20,80.00,-115.00,0,0.278002,3,15
52,20,11.00,16.00,0,0.276890,9,3
53,0,0.00,0.00,1,0.275783,0,0
54,5,21.00,20.00,1,0.274680,2,3
55,20,80.00,-95.00,0,0.273581,2,14
56,0,0.00,0.00,1,0.272487,0,0
57,2,44.00,8.00,1,0.271397,0,1
58,20,80.00,-120.00,0,0.270311,2,16
59,20,-60.00,-25.00,0,0.269230,10,1
60,0,0.00,0.00,1,0.268153,0,0
61,0,0.00,0.00,1,0.267080,0,0
62,0,0.00,0.00,1,0.266012,0,0
63,20,-57.00,37.00,0,0.264948,10,0
64,0,0.00,0.00,1,0.263888,0,0
65,5,-13.00,46.00,1,0.262833,3,2
66,20,80.00,-130.00,0,0.261781,4,14
67,0,0.00,0.00,1,0.260734,0,0
68,20,80.00,-110.00,0,0.259691,2,19
69,20,80.00,-110.00,0,0.258653,3,16
70,20,-28.00,-30.00,0,0.257618,11,2
71,0,0.00,0.00,1,0.256587,0,0
72,0,0.00,0.00,1,0.255561,0,0
73,20,-21.00,-35.00,0,0.254539,10,2
74,20,-67.00,1.00,0,0.253521,10,6
75,0,0.00,0.00,1,0.252507,0,0
76,2,44.00,8.00,1,0.251497,0,1
77,20,80.00,-125.00,0,0.250491,1,20
78,0,0.00,0.00,1,0.249489,0,0
79,0,0.00,0.00,1,0.248491,0,0
80,20,80.00,-100.00,0,0.247497,2,16
81,20,-99.00,-40.00,0,0.246507,13,5
82,0,0.00,0.00,1,0.245521,0,0
83,0,0.00,0.00,1,0.244539,0,0
84,20,80.00,-100.00,0,0.243560,4,10
85,20,-55.00,28.00,0,0.242586,9,2
86,0,0.00,0.00,1,0.241616,0,0
87,20,80.00,-115.00,0,0.240649,4,13
88,20,80.00,-140.00,0,0.239687,6,18
89,0,0.00,0.00,1,0.238728,0,0
90,20,80.00,-130.00,0,0.237773,3,18
91,20,80.00,-130.00,0,0.236822,4,16
92,20,9.00,-5.00,0,0.235875,7,5
93,0,0.00,0.00,1,0.234931,0,0
94,0,0.00,0.00,1,0.233992,0,0
95,20,47.00,21.00,0,0.233056,8,2
96,20,-11.00,-4.00,0,0.232123,9,5
97,0,0.00,0.00,1,0.231195,0,0
98,20,80.00,10.00,0,0.230270,4,5
99,20,80.00,-125.00,0,0.229349,2,18
100,0,0.00,0.00,1,0.228432,0,0
101,20,80.00,23.00,0,0.227518,2,2
102,20,80.00,-130.00,0,0.226608,5,17
103,20,41.00,-70.00,0,0.225701,6,10
104,0,0.00,0.00,1,0.224799,0,0
105,0,0.00,0.00,1,0.223899,0,0
106,0,0.00,0.00,1,0.223004,0,0
107,20,6.00,1.00,0,0.222112,11,3
108,0,0.00,0.00,1,0.221223,0,0
109,2,44.00,8.00,1,0.220338,0,1
110,20,80.00,-110.00,0,0.219457,0,18
111,0,0.00,0.00,1,0.218579,0,0
112,0,0.00,0.00,1,0.217705,0,0
113,20,80.00,-125.00,0,0.216834,3,16
114,20,54.00,-45.00,0,0.215967,6,11
115,0,0.00,0.00,1,0.215103,0,0
116,0,0.00,0.00,1,0.214243,0,0
117,1,50.00,4.00,1,0.213386,0,0
118,20,-45.00,13.00,0,0.212532,11,2
119,0,0.00,0.00,1,0.211682,0,0
120,0,0.00,0.00,1,0.210835,0,0
121,20,80.00,-120.00,0,0.209992,0,20
122,0,0.00,0.00,1,0.209152,0,0
123,20,85.00,-75.00,0,0.208315,7,9
124,20,80.00,-140.00,0,0.207482,5,18
125,20,59.00,-60.00,0,0.206652,3,15
126,0,0.00,0.00,1,0.205825,0,0
127,0,0.00,0.00,1,0.205002,0,0
128,4,37.00,57.00,1,0.204182,1,2
129,20,-68.00,26.00,0,0.203365,10,2
130,0,0.00,0.00,1,0.202552,0,0
131,0,0.00,0.00,1,0.201742,0,0
132,20,80.00,-120.00,0,0.200935,2,16
133,0,0.00,0.00,1,0.200131,0,0
134,1,4.00,50.00,1,0.199331,0,0
135,20,80.00,-120.00,0,0.198533,2,20
136,20,72.00,-65.00,0,0.197739,2,17
137,0,0.00,0.00,1,0.196948,0,0
138,0,0.00,0.00,1,0.196160,0,0
139,2,49.00,8.00,1,0.195376,0,0
140,20,-53.00,33.00,0,0.194594,10,0
141,0,0.00,0.00,1,0.193816,0,0
142,20,56.00,-25.00,0,0.193041,4,11
143,20,80.00,-115.00,0,0.192268,1,18
144,0,0.00,0.00,1,0.191499,0,0
145,0,0.00,0.00,1,0.190733,0,0
146,20,80.00,-110.00,0,0.189970,2,17
147,20,51.00,-25.00,0,0.189210,5,9
148,0,0.00,0.00,1,0.188454,0,0
149,0,0.00,0.00,1,0.187700,0,0
150,20,28.00,-70.00,0,0.186949,5,10
151,20,-45.00,13.00,0,0.186201,11,2
152,0,0.00,0.00,1,0.185456,0,0
153,0,0.00,0.00,1,0.184715,0,0
154,20,80.00,-130.00,0,0.183976,2,19
155,0,0.00,0.00,1,0.183240,0,0
156,0,0.00,0.00,1,0.182507,0,0
157,20,80.00,-110.00,0,0.181777,1,17
158,20,80.00,-50.00,0,0.181050,10,4
159,0,0.00,0.00,1,0.180326,0,0
160,0,0.00,0.00,1,0.179604,0,0
161,1,50.00,4.00,1,0.178886,0,0
162,20,-7.00,26.00,0,0.178170,9,1
163,0,0.00,0.00,1,0.177458,0,0
164,2,49.00,8.00,1,0.176748,0,0
165,20,80.00,-110.00,0,0.176041,0,20
166,0,0.00,0.00,1,0.175337,0,0
167,0,0.00,0.00,1,0.174635,0,0
168,20,80.00,-130.00,0,0.173937,3,18
169,20,80.00,5.00,0,0.173241,8,3
170,0,0.00,0.00,1,0.172548,0,0
171,0,0.00,0.00,1,0.171858,0,0
172,0,0.00,0.00,1,0.171170,0,0
173,20,-62.00,18.00,0,0.170486,9,4
174,0,0.00,0.00,1,0.169804,0,0
175,0,0.00,0.00,1,0.169125,0,0
176,20,80.00,-120.00,0,0.168448,2,18
177,0,0.00,0.00,1,0.167774,0,0
178,20,80.00,-40.00,0,0.167103,2,3
179,20,80.00,-125.00,0,0.166435,2,20
180,20,80.00,-30.00,0,0.165769,10,2
181,0,0.00,0.00,1,0.165106,0,0
182,0,0.00,0.00,1,0.164446,0,0
183,20,84.00,-2.00,0,0.163788,5,8
184,20,5.00,34.00,0,0.163133,9,1
185,0,0.00,0.00,1,0.162480,0,0
186,0,0.00,0.00,1,0.161830,0,0
187,20,80.00,-130.00,0,0.161183,2,19
188,0,0.00,0.00,1,0.160538,0,0
189,20,80.00,-20.00,0,0.159896,1,0
190,20,80.00,-110.00,0,0.159256,1,17
191,20,80.00,10.00,0,0.158619,8,3
192,0,0.00,0.00,1,0.157985,0,0
193,0,0.00,0.00,1,0.157353,0,0
194,20,3.00,-32.00,0,0.156723,10,4
195,20,5.00,-12.00,0,0.156097,10,2
196,0,0.00,0.00,1,0.155472,0,0
197,20,59.00,24.00,0,0.154850,9,2
198,20,80.00,-140.00,0,0.154231,4,18
199,0,0.00,0.00,1,0.153614,0,0
200,2,49.00,54.00,1,0.153000,0,0
201,20,80.00,-110.00,0,0.152388,1,17
202,20,80.00,10.00,0,0.151778,10,1
203,0,0.00,0.00,1,0.151171,0,0
204,0,0.00,0.00,1,0.150566,0,0
205,2,49.00,54.00,1,0.149964,0,0
206,20,15.00,-10.00,0,0.149364,10,0
207,0,0.00,0.00,1,0.148767,0,0
208,20,80.00,-105.00,0,0.148172,1,17
209,20,80.00,-110.00,0,0.147579,0,18
210,0,0.00,0.00,1,0.146989,0,0
211,0,0.00,0.00,1,0.146401,0,0
212,20,80.00,-130.00,0,0.145815,2,18
213,20,80.00,-30.00,0,0.145232,9,2
214,0,0.00,0.00,1,0.144651,0,0
215,0,0.00,0.00,1,0.144072,0,0
216,0,0.00,0.00,1,0.143496,0,0
217,20,25.00,15.00,0,0.142922,7,5
218,0,0.00,0.00,1,0.142350,0,0
219,20,80.00,-115.00,0,0.141781,2,17
220,20,80.00,-100.00,0,0.141214,1,17
221,0,0.00,0.00,1,0.140649,0,0
222,20,23.00,12.00,0,0.140086,7,5
223,20,80.00,-105.00,0,0.139526,1,15
224,20,80.00,5.00,0,0.138968,8,3
225,0,0.00,0.00,1,0.138412,0,0
226,0,0.00,0.00,1,0.137858,0,0
227,1,50.00,4.00,1,0.137307,0,0
228,20,25.00,15.00,0,0.136758,7,5
229,0,0.00,0.00,1,0.136211,0,0
230,0,0.00,0.00,1,0.135666,0,0
231,20,80.00,-125.00,0,0.135123,2,18
232,0,0.00,0.00,1,0.134583,0,0
233,0,0.00,0.00,1,0.134044,0,0
234,20,80.00,-110.00,0,0.133508,2,16
235,20,80.00,-35.00,0,0.132974,9,4
236,0,0.00,0.00,1,0.132442,0,0
237,0,0.00,0.00,1,0.131912,0,0
238,1,50.00,4.00,1,0.131385,0,0
239,20,30.00,-2.00,0,0.130859,6,7
240,0,0.00,0.00,1,0.130336,0,0
241,20,80.00,-20.00,0,0.129814,0,1
242,20,80.00,-135.00,0,0.129295,5,13
243,0,0.00,0.00,1,0.128778,0,0
244,20,80.00,-125.00,0,0.128263,3,18
245,20,80.00,-130.00,0,0.127750,2,18
246,20,80.00,5.00,0,0.127239,8,3
247,0,0.00,0.00,1,0.126730,0,0
248,0,0.00,0.00,1,0.126223,0,0
249,0,0.00,0.00,1,0.125718,0,0
250,20,25.00,10.00,0,0.125215,7,5
251,0,0.00,0.00,1,0.124714,0,0
252,20,43.00,-61.00,0,0.124215,7,8
253,20,80.00,-110.00,0,0.123719,0,20
254,0,0.00,0.00,1,0.123224,0,0
255,2,49.00,54.00,1,0.122731,0,0
256,20,80.00,-125.00,0,0.122240,1,20
257,20,62.00,-45.00,0,0.121751,10,4
