profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab1_f1dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_false,10,,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.77,9,0.9,0.0,0,,3,382.1,254.79500000000002,505.8074999999999,6.4,4.8,7.6
lab2_f1bdead,ql_true,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,0.0,0,,3,75.6,58.8,95.2,7.2,6.0,8.0
lab2_f1binv,ql_false,10,,http://example.org/was#SetZ1Blinds,True,descriptive,1.0,0.6,10,6,0.39,3,0.3,1.0,10,0,3,360.5,260.5,469.5,6.0,4.3,7.5
lab2_f1binv,ql_true,10,,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ2Light,True,descriptive,1.0,0.6,10,6,0.36,4,0.4,1.0,10,0,3,402.5,233.66666666666666,568.8333333333334,7.2,5.9,8.0
lab2_f1dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_false,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.96,10,1.0,0.0,0,,3,288.1,177.7975,409.5,6.2,4.5,7.7
lab3_f1bdead,ql_true,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.94,10,1.0,0.0,0,,3,198.1,121.7975,283.00249999999994,5.6,3.8,7.3
lab3_f1binv,ql_false,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.88,10,1.0,0.0,0,,3,405.0,294.0,511.30249999999995,5.7,3.9,7.4
lab3_f1binv,ql_true,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.745,10,1.0,0.0,0,,3,398.5,269.8925,530.1,7.4,6.4,8.0
lab3_f1dead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_false,10,,http://example.org/was#SetZ2Light,True,confirmatory,1.0,0.9,10,9,0.66,9,0.9,0.0,0,,3,571.3333333333334,521.0,621.5555555555555,0.0,0.0,0.0
lab3_f1dead_z2,ql_true,10,,http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.73,10,1.0,0.0,0,,3,515.2,444.8,588.3024999999999,0.0,0.0,0.0
lab3_f1inv,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_false,10,,http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,10,10,0.405,1,0.1,0.0,0,,3,1294.5,923.3925,1736.8075,0.0,0.0,0.0
lab3_f1inv_z2,ql_true,10,,http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,10,10,0.37,0,0.0,0.0,0,,3,1325.0,1064.3975,1600.7,0.0,0.0,0.0
