Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,0,0.293756,0,0
8,0,0.00,0.00,1,0.300000,0,0
9,0,0.00,0.00,1,0.299100,0,0
10,2,54.00,100.00,1,0.298203,0,0
11,0,0.00,0.00,1,0.297308,0,0
12,2,100.00,54.00,1,0.296416,0,0
13,0,0.00,0.00,1,0.295527,0,0
14,13,54.00,4.00,1,0.294640,6,10
15,0,0.00,0.00,1,0.293756,0,0
16,2,8.00,39.00,1,0.292875,1,0
17,0,0.00,0.00,1,0.291997,0,0
18,4,98.00,108.00,1,0.291121,0,0
19,0,0.00,0.00,1,0.290247,0,0
20,7,46.00,77.00,1,0.289376,4,3
21,0,0.00,0.00,1,0.288508,0,0
22,2,54.00,100.00,1,0.287643,0,0
23,7,28.00,4.00,1,0.286780,5,2
24,3,99.00,89.00,1,0.285920,1,0
25,0,0.00,0.00,1,0.285062,0,0
26,1,4.00,50.00,1,0.284207,0,0
27,6,65.00,66.00,1,0.283354,3,3
28,3,89.00,89.00,1,0.282504,1,1
29,0,0.00,0.00,1,0.281656,0,0
30,2,54.00,100.00,1,0.280811,0,0
31,0,0.00,0.00,1,0.279969,0,0
32,4,47.00,83.00,1,0.279129,1,2
33,16,-28.00,16.00,1,0.278292,5,12
34,4,98.00,78.00,1,0.277457,2,1
35,0,0.00,0.00,1,0.276624,0,0
36,5,20.00,6.00,1,0.275795,4,4
37,3,53.00,38.00,1,0.274967,1,0
38,2,100.00,100.00,1,0.274142,0,0
39,0,0.00,0.00,1,0.273320,0,0
40,2,54.00,100.00,1,0.272500,0,0
41,0,0.00,0.00,1,0.271682,0,0
42,20,-50.00,57.00,0,0.270867,4,16
43,2,49.00,8.00,1,0.270055,0,0
44,5,66.00,72.00,1,0.269245,2,3
45,0,0.00,0.00,1,0.268437,0,0
46,1,4.00,50.00,1,0.267632,0,0
47,3,38.00,12.00,1,0.266829,1,1
48,2,100.00,100.00,1,0.266028,0,0
49,0,0.00,0.00,1,0.265230,0,0
50,4,37.00,93.00,1,0.264434,1,2
51,0,0.00,0.00,1,0.263641,0,0
52,6,49.00,8.00,1,0.262850,2,0
53,0,0.00,0.00,1,0.262062,0,0
54,5,92.00,72.00,1,0.261275,2,2
55,0,0.00,0.00,1,0.260492,0,0
56,1,4.00,50.00,1,0.259710,0,0
57,20,16.00,124.00,0,0.258931,4,15
58,3,89.00,89.00,1,0.258154,1,1
59,0,0.00,0.00,1,0.257380,0,0
60,4,52.00,78.00,1,0.256608,2,2
61,0,0.00,0.00,1,0.255838,0,0
62,20,-54.00,81.00,0,0.255070,3,17
63,1,4.00,50.00,1,0.254305,0,0
64,3,99.00,89.00,1,0.253542,1,0
65,0,0.00,0.00,1,0.252781,0,0
66,1,4.00,50.00,1,0.252023,0,0
67,1,50.00,4.00,1,0.251267,0,0
68,3,89.00,99.00,1,0.250513,1,1
69,0,0.00,0.00,1,0.249762,0,0
70,2,54.00,100.00,1,0.249012,0,0
71,0,0.00,0.00,1,0.248265,0,0
72,20,-27.00,8.00,0,0.247521,11,13
73,1,50.00,4.00,1,0.246778,0,0
74,3,99.00,58.00,1,0.246038,0,0
75,0,0.00,0.00,1,0.245300,0,0
76,1,4.00,50.00,1,0.244564,0,0
77,3,33.00,12.00,1,0.243830,1,2
78,3,99.00,104.00,1,0.243099,0,0
79,0,0.00,0.00,1,0.242369,0,0
80,2,54.00,100.00,1,0.241642,0,0
81,0,0.00,0.00,1,0.240917,0,0
82,2,89.00,8.00,1,0.240194,0,0
83,1,50.00,4.00,1,0.239474,0,0
84,4,93.00,83.00,1,0.238755,1,1
85,0,0.00,0.00,1,0.238039,0,0
86,1,4.00,50.00,1,0.237325,0,0
87,3,104.00,99.00,1,0.236613,0,0
88,2,100.00,100.00,1,0.235903,0,0
89,0,0.00,0.00,1,0.235196,0,0
90,6,96.00,25.00,1,0.234490,3,2
91,0,0.00,0.00,1,0.233786,0,0
92,10,86.00,52.00,1,0.233085,4,6
93,1,50.00,4.00,1,0.232386,0,0
