Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,1,4.00,50.00,1,0.300000,0,0
1,14,56.00,-129.00,1,0.300000,11,7
2,4,32.00,32.00,1,0.299100,2,1
3,0,0.00,0.00,1,0.298203,0,0
4,0,0.00,0.00,1,0.297308,0,0
5,0,0.00,0.00,1,0.296416,0,0
6,0,0.00,0.00,1,0.295527,0,0
7,0,0.00,0.00,1,0.294640,0,0
8,0,0.00,0.00,1,0.293756,0,0
9,0,0.00,0.00,1,0.292875,0,0
10,0,0.00,0.00,1,0.291997,0,0
11,0,0.00,0.00,1,0.291121,0,0
12,0,0.00,0.00,1,0.290247,0,0
13,20,-160.00,-60.00,0,0.289376,19,13
14,0,0.00,0.00,1,0.288508,0,0
15,0,0.00,0.00,1,0.287643,0,0
16,0,0.00,0.00,1,0.286780,0,0
17,0,0.00,0.00,1,0.285920,0,0
18,0,0.00,0.00,1,0.285062,0,0
19,0,0.00,0.00,1,0.284207,0,0
20,0,0.00,0.00,1,0.283354,0,0
21,0,0.00,0.00,1,0.282504,0,0
22,0,0.00,0.00,1,0.281656,0,0
23,0,0.00,0.00,1,0.280811,0,0
24,0,0.00,0.00,1,0.279969,0,0
25,0,0.00,0.00,1,0.279129,0,0
26,0,0.00,0.00,1,0.278292,0,0
27,15,-24.00,60.00,1,0.277457,5,12
28,0,0.00,0.00,1,0.276624,0,0
29,0,0.00,0.00,1,0.275795,0,0
30,0,0.00,0.00,1,0.274967,0,0
31,0,0.00,0.00,1,0.274142,0,0
32,7,34.00,28.00,1,0.273320,1,4
33,0,0.00,0.00,1,0.272500,0,0
34,0,0.00,0.00,1,0.271682,0,0
35,0,0.00,0.00,1,0.270867,0,0
36,0,0.00,0.00,1,0.270055,0,0
37,1,50.00,4.00,1,0.269245,0,0
38,0,0.00,0.00,1,0.268437,0,0
39,0,0.00,0.00,1,0.267632,0,0
40,0,0.00,0.00,1,0.266829,0,0
41,0,0.00,0.00,1,0.266028,0,0
42,13,52.00,8.00,1,0.265230,3,7
43,20,16.00,-105.00,0,0.264434,4,17
44,0,0.00,0.00,1,0.263641,0,0
45,0,0.00,0.00,1,0.262850,0,0
46,0,0.00,0.00,1,0.262062,0,0
47,20,-55.00,-75.00,0,0.261275,13,4
48,0,0.00,0.00,1,0.260492,0,0
49,0,0.00,0.00,1,0.259710,0,0
50,0,0.00,0.00,1,0.258931,0,0
51,0,0.00,0.00,1,0.258154,0,0
52,0,0.00,0.00,1,0.257380,0,0
53,0,0.00,0.00,1,0.256608,0,0
54,0,0.00,0.00,1,0.255838,0,0
55,0,0.00,0.00,1,0.255070,0,0
56,0,0.00,0.00,1,0.254305,0,0
57,0,0.00,0.00,1,0.253542,0,0
58,0,0.00,0.00,1,0.252781,0,0
59,0,0.00,0.00,1,0.252023,0,0
60,0,0.00,0.00,1,0.251267,0,0
61,0,0.00,0.00,1,0.250513,0,0
62,0,0.00,0.00,1,0.249762,0,0
63,0,0.00,0.00,1,0.249012,0,0
64,0,0.00,0.00,1,0.248265,0,0
65,0,0.00,0.00,1,0.247521,0,0
66,0,0.00,0.00,1,0.246778,0,0
67,20,27.00,-25.00,0,0.246038,7,14
68,0,0.00,0.00,1,0.245300,0,0
69,0,0.00,0.00,1,0.244564,0,0
70,0,0.00,0.00,1,0.243830,0,0
71,0,0.00,0.00,1,0.243099,0,0
72,20,-20.00,0.00,0,0.242369,12,3
73,20,-40.00,72.00,0,0.241642,2,14
74,0,0.00,0.00,1,0.240917,0,0
75,0,0.00,0.00,1,0.240194,0,0
76,0,0.00,0.00,1,0.239474,0,0
77,20,27.00,19.00,1,0.238755,7,12
78,0,0.00,0.00,1,0.238039,0,0
79,0,0.00,0.00,1,0.237325,0,0
80,0,0.00,0.00,1,0.236613,0,0
81,0,0.00,0.00,1,0.235903,0,0
82,0,0.00,0.00,1,0.235196,0,0
83,0,0.00,0.00,1,0.234490,0,0
84,0,0.00,0.00,1,0.233786,0,0
85,0,0.00,0.00,1,0.233085,0,0
86,0,0.00,0.00,1,0.232386,0,0
87,0,0.00,0.00,1,0.231689,0,0
88,0,0.00,0.00,1,0.230994,0,0
89,0,0.00,0.00,1,0.230301,0,0
90,0,0.00,0.00,1,0.229610,0,0
91,0,0.00,0.00,1,0.228921,0,0
92,0,0.00,0.00,1,0.228234,0,0
93,0,0.00,0.00,1,0.227549,0,0
94,0,0.00,0.00,1,0.226867,0,0
95,0,0.00,0.00,1,0.226186,0,0
96,0,0.00,0.00,1,0.225508,0,0
97,0,0.00,0.00,1,0.224831,0,0
98,0,0.00,0.00,1,0.224157,0,0
99,0,0.00,0.00,1,0.223484,0,0
100,0,0.00,0.00,1,0.222814,0,0
101,0,0.00,0.00,1,0.222145,0,0
102,0,0.00,0.00,1,0.221479,0,0
103,7,28.00,24.00,1,0.220814,2,4
104,0,0.00,0.00,1,0.220152,0,0
105,0,0.00,0.00,1,0.219492,0,0
106,0,0.00,0.00,1,0.218833,0,0
107,2,49.00,89.00,1,0.218177,0,0
108,0,0.00,0.00,1,0.217522,0,0
109,0,0.00,0.00,1,0.216869,0,0
110,0,0.00,0.00,1,0.216219,0,0
111,0,0.00,0.00,1,0.215570,0,0
112,5,56.00,67.00,1,0.214923,3,1
113,9,36.00,32.00,1,0.214279,1,8
114,0,0.00,0.00,1,0.213636,0,0
115,0,0.00,0.00,1,0.212995,0,0
116,0,0.00,0.00,1,0.212356,0,0
117,0,0.00,0.00,1,0.211719,0,0
118,0,0.00,0.00,1,0.211084,0,0
119,0,0.00,0.00,1,0.210450,0,0
120,0,0.00,0.00,1,0.209819,0,0
121,0,0.00,0.00,1,0.209190,0,0
122,0,0.00,0.00,1,0.208562,0,0
123,2,8.00,49.00,1,0.207936,0,0
124,0,0.00,0.00,1,0.207313,0,0
125,0,0.00,0.00,1,0.206691,0,0
126,0,0.00,0.00,1,0.206071,0,0
127,0,0.00,0.00,1,0.205452,0,0
128,0,0.00,0.00,1,0.204836,0,0
129,0,0.00,0.00,1,0.204222,0,0
130,0,0.00,0.00,1,0.203609,0,0
131,0,0.00,0.00,1,0.202998,0,0
132,20,-75.00,-65.00,0,0.202389,14,6
133,9,52.00,93.00,1,0.201782,4,1
134,0,0.00,0.00,1,0.201177,0,0
135,0,0.00,0.00,1,0.200573,0,0
136,0,0.00,0.00,1,0.199971,0,0
137,6,65.00,65.00,1,0.199371,4,1
138,0,0.00,0.00,1,0.198773,0,0
139,0,0.00,0.00,1,0.198177,0,0
140,0,0.00,0.00,1,0.197582,0,0
141,0,0.00,0.00,1,0.196990,0,0
142,0,0.00,0.00,1,0.196399,0,0
143,0,0.00,0.00,1,0.195809,0,0
144,0,0.00,0.00,1,0.195222,0,0
145,0,0.00,0.00,1,0.194636,0,0
146,0,0.00,0.00,1,0.194052,0,0
147,0,0.00,0.00,1,0.193470,0,0
148,0,0.00,0.00,1,0.192890,0,0
149,0,0.00,0.00,1,0.192311,0,0
150,0,0.00,0.00,1,0.191734,0,0
151,0,0.00,0.00,1,0.191159,0,0
152,1,4.00,50.00,1,0.190586,0,0
153,7,-6.00,54.00,1,0.190014,5,2
154,0,0.00,0.00,1,0.189444,0,0
155,0,0.00,0.00,1,0.188876,0,0
156,0,0.00,0.00,1,0.188309,0,0
157,0,0.00,0.00,1,0.187744,0,0
158,0,0.00,0.00,1,0.187181,0,0
159,0,0.00,0.00,1,0.186619,0,0
160,0,0.00,0.00,1,0.186059,0,0
161,0,0.00,0.00,1,0.185501,0,0
162,1,50.00,50.00,1,0.184945,0,0
163,1,50.00,4.00,1,0.184390,0,0
164,0,0.00,0.00,1,0.183837,0,0
165,0,0.00,0.00,1,0.183285,0,0
166,0,0.00,0.00,1,0.182735,0,0
167,0,0.00,0.00,1,0.182187,0,0
168,0,0.00,0.00,1,0.181641,0,0
169,0,0.00,0.00,1,0.181096,0,0
170,0,0.00,0.00,1,0.180552,0,0
171,0,0.00,0.00,1,0.180011,0,0
172,0,0.00,0.00,1,0.179471,0,0
173,2,49.00,54.00,1,0.178932,0,0
174,0,0.00,0.00,1,0.178395,0,0
175,0,0.00,0.00,1,0.177860,0,0
176,0,0.00,0.00,1,0.177327,0,0
177,18,-107.00,3.00,1,0.176795,12,13
178,0,0.00,0.00,1,0.176264,0,0
179,0,0.00,0.00,1,0.175735,0,0
180,0,0.00,0.00,1,0.175208,0,0
181,0,0.00,0.00,1,0.174683,0,0
182,20,80.00,-90.00,0,0.174159,4,19
183,20,68.00,-35.00,0,0.173636,3,16
184,0,0.00,0.00,1,0.173115,0,0
185,0,0.00,0.00,1,0.172596,0,0
186,0,0.00,0.00,1,0.172078,0,0
187,1,50.00,4.00,1,0.171562,0,0
188,0,0.00,0.00,1,0.171047,0,0
189,0,0.00,0.00,1,0.170534,0,0
190,0,0.00,0.00,1,0.170022,0,0
191,0,0.00,0.00,1,0.169512,0,0
192,0,0.00,0.00,1,0.169004,0,0
193,20,-20.00,-20.00,0,0.168497,10,0
194,0,0.00,0.00,1,0.167991,0,0
195,0,0.00,0.00,1,0.167487,0,0
196,0,0.00,0.00,1,0.166985,0,0
197,0,0.00,0.00,1,0.166484,0,0
198,0,0.00,0.00,1,0.165984,0,0
199,0,0.00,0.00,1,0.165487,0,0
200,0,0.00,0.00,1,0.164990,0,0
201,0,0.00,0.00,1,0.164495,0,0
202,0,0.00,0.00,1,0.164002,0,0
203,0,0.00,0.00,1,0.163510,0,0
204,0,0.00,0.00,1,0.163019,0,0
205,0,0.00,0.00,1,0.162530,0,0
206,0,0.00,0.00,1,0.162042,0,0
207,0,0.00,0.00,1,0.161556,0,0
208,0,0.00,0.00,1,0.161072,0,0
209,0,0.00,0.00,1,0.160588,0,0
210,0,0.00,0.00,1,0.160107,0,0
211,0,0.00,0.00,1,0.159626,0,0
212,0,0.00,0.00,1,0.159147,0,0
213,0,0.00,0.00,1,0.158670,0,0
214,0,0.00,0.00,1,0.158194,0,0
215,0,0.00,0.00,1,0.157719,0,0
216,0,0.00,0.00,1,0.157246,0,0
217,20,-40.00,-30.00,0,0.156775,11,2
218,0,0.00,0.00,1,0.156304,0,0
219,0,0.00,0.00,1,0.155835,0,0
220,0,0.00,0.00,1,0.155368,0,0
221,0,0.00,0.00,1,0.154902,0,0
222,0,0.00,0.00,1,0.154437,0,0
223,0,0.00,0.00,1,0.153974,0,0
224,0,0.00,0.00,1,0.153512,0,0
225,0,0.00,0.00,1,0.153051,0,0
226,0,0.00,0.00,1,0.152592,0,0
227,2,9.00,8.00,1,0.152134,1,0
228,0,0.00,0.00,1,0.151678,0,0
229,0,0.00,0.00,1,0.151223,0,0
230,0,0.00,0.00,1,0.150769,0,0
231,0,0.00,0.00,1,0.150317,0,0
232,1,50.00,4.00,1,0.149866,0,0
233,6,10.00,10.00,1,0.149416,4,5
234,0,0.00,0.00,1,0.148968,0,0
235,0,0.00,0.00,1,0.148521,0,0
236,0,0.00,0.00,1,0.148076,0,0
237,0,0.00,0.00,1,0.147631,0,0
238,0,0.00,0.00,1,0.147188,0,0
239,0,0.00,0.00,1,0.146747,0,0
240,0,0.00,0.00,1,0.146307,0,0
241,0,0.00,0.00,1,0.145868,0,0
242,0,0.00,0.00,1,0.145430,0,0
243,0,0.00,0.00,1,0.144994,0,0
244,0,0.00,0.00,1,0.144559,0,0
245,0,0.00,0.00,1,0.144125,0,0
246,0,0.00,0.00,1,0.143693,0,0
247,0,0.00,0.00,1,0.143262,0,0
