Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.300000,0,0
3,0,0.00,0.00,1,0.299100,0,0
4,20,-4.00,126.00,0,0.298203,3,19
5,0,0.00,0.00,1,0.297308,0,0
6,1,4.00,50.00,1,0.296416,0,0
7,1,4.00,50.00,1,0.295527,0,0
8,6,76.00,111.00,1,0.294640,2,3
9,0,0.00,0.00,1,0.293756,0,0
10,7,97.00,90.00,1,0.292875,2,2
11,0,0.00,0.00,1,0.291997,0,0
12,4,88.00,93.00,1,0.291121,1,1
13,4,47.00,62.00,1,0.290247,0,2
14,13,84.00,98.00,1,0.289376,0,10
15,0,0.00,0.00,1,0.288508,0,0
16,1,4.00,50.00,1,0.287643,0,0
17,9,34.00,28.00,1,0.286780,2,5
18,3,99.00,104.00,1,0.285920,0,0
19,0,0.00,0.00,1,0.285062,0,0
20,3,104.00,99.00,1,0.284207,0,0
21,0,0.00,0.00,1,0.283354,0,0
22,0,0.00,0.00,1,0.282504,0,0
23,6,32.00,8.00,1,0.281656,2,1
24,17,72.00,106.00,1,0.280811,2,12
25,0,0.00,0.00,1,0.279969,0,0
26,1,4.00,50.00,1,0.279129,0,0
27,2,89.00,89.00,1,0.278292,0,0
28,3,99.00,104.00,1,0.277457,0,0
29,0,0.00,0.00,1,0.276624,0,0
30,3,104.00,99.00,1,0.275795,0,0
31,0,0.00,0.00,1,0.274967,0,0
32,1,50.00,4.00,1,0.274142,0,0
33,0,0.00,0.00,1,0.273320,0,0
34,4,88.00,62.00,1,0.272500,1,1
35,0,0.00,0.00,1,0.271682,0,0
36,3,12.00,28.00,1,0.270867,2,1
37,1,4.00,50.00,1,0.270055,0,0
38,7,85.00,92.00,1,0.269245,3,2
39,0,0.00,0.00,1,0.268437,0,0
40,20,98.00,52.00,0,0.267632,6,11
41,0,0.00,0.00,1,0.266829,0,0
42,0,0.00,0.00,1,0.266028,0,0
43,0,0.00,0.00,1,0.265230,0,0
44,3,99.00,58.00,1,0.264434,0,0
45,0,0.00,0.00,1,0.263641,0,0
46,1,4.00,50.00,1,0.262850,0,0
47,3,99.00,58.00,1,0.262062,0,0
48,3,99.00,104.00,1,0.261275,0,0
49,0,0.00,0.00,1,0.260492,0,0
50,4,98.00,93.00,1,0.259710,0,1
51,0,0.00,0.00,1,0.258931,0,0
52,0,0.00,0.00,1,0.258154,0,0
53,0,0.00,0.00,1,0.257380,0,0
54,4,88.00,62.00,1,0.256608,1,1
55,0,0.00,0.00,1,0.255838,0,0
56,1,4.00,50.00,1,0.255070,0,0
57,0,0.00,0.00,1,0.254305,0,0
58,6,76.00,116.00,1,0.253542,2,1
59,0,0.00,0.00,1,0.252781,0,0
60,7,102.00,77.00,1,0.252023,3,2
61,0,0.00,0.00,1,0.251267,0,0
62,4,62.00,27.00,1,0.250513,2,0
63,2,8.00,39.00,1,0.249762,1,0
64,3,99.00,58.00,1,0.249012,0,0
65,0,0.00,0.00,1,0.248265,0,0
66,1,4.00,50.00,1,0.247521,0,0
67,3,48.00,12.00,1,0.246778,0,0
68,3,99.00,104.00,1,0.246038,0,0
69,0,0.00,0.00,1,0.245300,0,0
70,3,104.00,99.00,1,0.244564,0,0
71,0,0.00,0.00,1,0.243830,0,0
72,6,91.00,98.00,1,0.243099,1,1
73,2,39.00,8.00,1,0.242369,1,1
74,3,99.00,58.00,1,0.241642,0,0
75,0,0.00,0.00,1,0.240917,0,0
76,3,12.00,28.00,1,0.240194,2,2
77,0,0.00,0.00,1,0.239474,0,0
78,3,99.00,104.00,1,0.238755,0,0
79,0,0.00,0.00,1,0.238039,0,0
80,6,98.00,93.00,1,0.237325,1,1
81,0,0.00,0.00,1,0.236613,0,0
82,2,49.00,54.00,1,0.235903,0,0
83,20,72.00,-55.00,0,0.235196,4,17
84,3,99.00,58.00,1,0.234490,0,0
85,0,0.00,0.00,1,0.233786,0,0
86,1,4.00,50.00,1,0.233085,0,0
87,1,50.00,4.00,1,0.232386,0,0
88,6,108.00,88.00,1,0.231689,2,1
89,0,0.00,0.00,1,0.230994,0,0
90,6,103.00,88.00,1,0.230301,2,1
91,0,0.00,0.00,1,0.229610,0,0
92,0,0.00,0.00,1,0.228921,0,0
93,0,0.00,0.00,1,0.228234,0,0
