Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,20,-23.00,-170.00,0,0.298203,15,8
3,0,0.00,0.00,1,0.297308,0,0
4,20,181.00,2.00,0,0.296416,4,17
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,20,172.00,-43.00,0,0.292875,3,15
9,0,0.00,0.00,1,0.291997,0,0
10,3,89.00,53.00,1,0.291121,1,1
11,0,0.00,0.00,1,0.290247,0,0
12,20,16.00,16.00,0,0.289376,6,14
13,1,50.00,4.00,1,0.288508,0,0
14,3,78.00,88.00,1,0.287643,1,1
15,0,0.00,0.00,1,0.286780,0,0
16,0,0.00,0.00,1,0.285920,0,0
17,8,59.00,48.00,1,0.285062,4,3
18,3,89.00,58.00,1,0.284207,1,1
19,0,0.00,0.00,1,0.283354,0,0
20,2,100.00,54.00,1,0.282504,0,0
21,0,0.00,0.00,1,0.281656,0,0
22,2,39.00,49.00,1,0.280811,1,1
23,9,36.00,12.00,1,0.279969,3,8
24,2,89.00,89.00,1,0.279129,0,0
25,0,0.00,0.00,1,0.278292,0,0
26,0,0.00,0.00,1,0.277457,0,0
27,0,0.00,0.00,1,0.276624,0,0
28,2,100.00,54.00,1,0.275795,0,0
29,0,0.00,0.00,1,0.274967,0,0
30,2,100.00,54.00,1,0.274142,0,0
31,0,0.00,0.00,1,0.273320,0,0
32,0,0.00,0.00,1,0.272500,0,0
33,5,36.00,31.00,1,0.271682,2,3
34,4,67.00,87.00,1,0.270867,2,2
35,0,0.00,0.00,1,0.270055,0,0
36,0,0.00,0.00,1,0.269245,0,0
37,1,4.00,50.00,1,0.268437,0,0
38,2,100.00,54.00,1,0.267632,0,0
39,0,0.00,0.00,1,0.266829,0,0
40,2,100.00,54.00,1,0.266028,0,0
41,0,0.00,0.00,1,0.265230,0,0
42,18,72.00,23.00,1,0.264434,1,14
43,0,0.00,0.00,1,0.263641,0,0
44,2,89.00,89.00,1,0.262850,0,0
45,0,0.00,0.00,1,0.262062,0,0
46,0,0.00,0.00,1,0.261275,0,0
47,10,40.00,-4.00,1,0.300000,4,4
48,20,-16.00,94.00,0,0.299100,4,11
49,0,0.00,0.00,1,0.298203,0,0
50,20,-77.00,53.00,0,0.297308,13,12
51,0,0.00,0.00,1,0.296416,0,0
52,0,0.00,0.00,1,0.295527,0,0
53,0,0.00,0.00,1,0.294640,0,0
54,20,-85.00,131.00,0,0.293756,15,14
55,0,0.00,0.00,1,0.292875,0,0
56,0,0.00,0.00,1,0.291997,0,0
57,20,-65.00,80.00,0,0.291121,4,17
58,20,-17.00,-7.00,0,0.290247,10,2
59,0,0.00,0.00,1,0.289376,0,0
60,20,-31.00,-11.00,0,0.288508,10,4
61,0,0.00,0.00,1,0.287643,0,0
62,2,44.00,8.00,1,0.286780,0,1
63,13,52.00,-2.00,1,0.285920,3,10
64,20,-50.00,105.00,0,0.285062,14,4
65,0,0.00,0.00,1,0.284207,0,0
66,0,0.00,0.00,1,0.283354,0,0
67,0,0.00,0.00,1,0.282504,0,0
68,20,22.00,57.00,0,0.281656,10,3
69,0,0.00,0.00,1,0.280811,0,0
70,20,-12.00,73.00,0,0.279969,11,5
71,0,0.00,0.00,1,0.279129,0,0
72,0,0.00,0.00,1,0.278292,0,0
73,20,80.00,-65.00,0,0.277457,3,18
74,20,-14.00,180.00,0,0.276624,12,2
75,0,0.00,0.00,1,0.275795,0,0
76,0,0.00,0.00,1,0.274967,0,0
77,0,0.00,0.00,1,0.274142,0,0
78,2,100.00,54.00,1,0.273320,0,0
79,0,0.00,0.00,1,0.272500,0,0
80,20,-27.00,83.00,0,0.271682,7,15
81,0,0.00,0.00,1,0.270867,0,0
82,20,-9.00,-190.00,0,0.270055,17,4
83,0,0.00,0.00,1,0.269245,0,0
84,20,-34.00,178.00,0,0.268437,13,3
85,0,0.00,0.00,1,0.267632,0,0
86,0,0.00,0.00,1,0.266829,0,0
87,20,16.00,-24.00,0,0.266028,13,2
88,20,-7.00,58.00,0,0.265230,12,7
89,0,0.00,0.00,1,0.264434,0,0
90,20,17.00,47.00,0,0.263641,11,1
91,0,0.00,0.00,1,0.262850,0,0
92,2,54.00,49.00,1,0.262062,0,0
