Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,20,126.00,-104.00,0,0.296416,5,10
5,0,0.00,0.00,1,0.295527,0,0
6,20,64.00,-86.00,0,0.294640,5,16
7,1,50.00,4.00,1,0.293756,0,0
8,20,172.00,-169.00,0,0.292875,7,16
9,0,0.00,0.00,1,0.291997,0,0
10,20,145.00,-187.00,0,0.291121,14,13
11,0,0.00,0.00,1,0.290247,0,0
12,20,87.00,-26.00,0,0.289376,14,5
13,0,0.00,0.00,1,0.288508,0,0
14,20,-21.00,1.00,0,0.287643,19,2
15,0,0.00,0.00,1,0.286780,0,0
16,20,-24.00,11.00,0,0.285920,18,3
17,0,0.00,0.00,1,0.285062,0,0
18,20,78.00,-75.00,0,0.284207,14,2
19,0,0.00,0.00,1,0.283354,0,0
20,20,210.00,-102.00,0,0.282504,6,14
21,0,0.00,0.00,1,0.281656,0,0
22,20,80.00,-85.00,0,0.300000,5,15
23,20,-150.00,1.00,0,0.299100,18,11
24,20,-70.00,3.00,0,0.298203,6,17
25,0,0.00,0.00,1,0.297308,0,0
26,20,80.00,-140.00,0,0.296416,7,10
27,8,-29.00,30.00,1,0.295527,6,4
28,20,-34.00,-28.00,0,0.294640,18,4
29,0,0.00,0.00,1,0.293756,0,0
30,20,-28.00,-103.00,0,0.292875,18,7
31,0,0.00,0.00,1,0.291997,0,0
32,0,0.00,0.00,1,0.291121,0,0
33,20,-2.00,-57.00,0,0.290247,18,5
34,20,-15.00,-134.00,0,0.289376,13,11
35,0,0.00,0.00,1,0.288508,0,0
36,20,80.00,-120.00,0,0.287643,7,9
37,20,6.00,80.00,0,0.286780,2,19
38,20,-24.00,-13.00,0,0.285920,19,4
39,0,0.00,0.00,1,0.285062,0,0
40,20,-61.00,-16.00,0,0.284207,19,4
41,0,0.00,0.00,1,0.283354,0,0
42,20,-86.00,80.00,0,0.282504,8,13
43,0,0.00,0.00,1,0.281656,0,0
44,20,10.00,-149.00,0,0.280811,20,6
45,0,0.00,0.00,1,0.279969,0,0
46,20,80.00,-105.00,0,0.279129,9,5
47,20,80.00,-55.00,0,0.278292,3,17
48,20,10.00,-35.00,0,0.277457,18,5
49,0,0.00,0.00,1,0.276624,0,0
50,20,-35.00,-10.00,0,0.275795,15,4
51,0,0.00,0.00,1,0.274967,0,0
52,20,80.00,-55.00,0,0.274142,3,18
53,20,80.00,-20.00,0,0.273320,1,18
54,20,0.00,-97.00,0,0.272500,20,3
55,0,0.00,0.00,1,0.271682,0,0
56,20,80.00,-145.00,0,0.270867,12,6
57,20,80.00,-120.00,0,0.270055,12,2
58,20,15.00,-67.00,0,0.269245,17,5
59,0,0.00,0.00,1,0.268437,0,0
60,20,-5.00,-55.00,0,0.267632,20,3
61,0,0.00,0.00,1,0.266829,0,0
62,1,50.00,4.00,1,0.266028,0,0
63,0,0.00,0.00,1,0.265230,0,0
64,20,-20.00,-97.00,0,0.264434,20,1
65,0,0.00,0.00,1,0.263641,0,0
66,20,80.00,-70.00,0,0.262850,6,12
67,2,8.00,44.00,1,0.262062,0,1
68,20,44.00,-50.00,0,0.261275,18,1
69,0,0.00,0.00,1,0.260492,0,0
70,20,-26.00,-81.00,0,0.259710,17,3
71,0,0.00,0.00,1,0.258931,0,0
72,0,0.00,0.00,1,0.258154,0,0
73,20,80.00,-80.00,0,0.257380,8,7
74,20,-20.00,-169.00,0,0.256608,20,4
75,0,0.00,0.00,1,0.255838,0,0
76,20,80.00,-85.00,0,0.255070,6,12
77,20,-5.00,80.00,0,0.254305,3,17
78,20,76.00,-100.00,0,0.253542,18,4
79,0,0.00,0.00,1,0.252781,0,0
80,20,-22.00,-22.00,0,0.252023,20,2
81,0,0.00,0.00,1,0.251267,0,0
82,1,4.00,50.00,1,0.250513,0,0
83,20,-50.00,-50.00,0,0.249762,20,4
84,20,10.00,-69.00,0,0.249012,20,1
85,0,0.00,0.00,1,0.248265,0,0
86,20,80.00,-75.00,0,0.247521,5,12
87,20,80.00,-110.00,0,0.246778,9,9
88,20,39.00,-50.00,0,0.246038,20,1
89,0,0.00,0.00,1,0.245300,0,0
90,20,10.00,-65.00,0,0.244564,19,5
