Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,0,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,0,0.00,0.00,1,0.300000,0,0
9,0,0.00,0.00,1,0.299100,0,0
10,9,85.00,73.00,1,0.298203,5,4
11,0,0.00,0.00,1,0.297308,0,0
12,0,0.00,0.00,1,0.296416,0,0
13,20,102.00,-50.00,0,0.295527,7,13
14,5,104.00,97.00,1,0.294640,1,0
15,0,0.00,0.00,1,0.293756,0,0
16,10,49.00,33.00,1,0.292875,5,0
17,1,50.00,4.00,1,0.291997,0,0
18,3,99.00,104.00,1,0.291121,0,0
19,0,0.00,0.00,1,0.290247,0,0
20,5,82.00,102.00,1,0.289376,1,1
21,0,0.00,0.00,1,0.288508,0,0
22,3,38.00,12.00,1,0.287643,1,1
23,7,14.00,-10.00,1,0.286780,3,4
24,6,98.00,76.00,1,0.285920,3,1
25,0,0.00,0.00,1,0.285062,0,0
26,1,4.00,50.00,1,0.284207,0,0
27,8,78.00,64.00,1,0.283354,0,6
28,3,99.00,104.00,1,0.282504,0,0
29,0,0.00,0.00,1,0.281656,0,0
30,3,99.00,104.00,1,0.280811,0,0
31,0,0.00,0.00,1,0.279969,0,0
32,0,0.00,0.00,1,0.279129,0,0
33,5,36.00,20.00,1,0.278292,1,1
34,20,40.00,3.00,0,0.277457,11,3
35,0,0.00,0.00,1,0.276624,0,0
36,1,4.00,50.00,1,0.275795,0,0
37,0,0.00,0.00,1,0.274967,0,0
38,4,98.00,93.00,1,0.274142,1,1
39,0,0.00,0.00,1,0.273320,0,0
40,3,99.00,104.00,1,0.272500,0,0
41,0,0.00,0.00,1,0.271682,0,0
42,1,4.00,50.00,1,0.270867,0,0
43,6,85.00,54.00,1,0.270055,2,0
44,20,103.00,11.00,0,0.269245,10,2
45,0,0.00,0.00,1,0.268437,0,0
46,1,4.00,50.00,1,0.267632,0,0
47,2,54.00,89.00,1,0.266829,0,0
48,3,99.00,104.00,1,0.266028,0,0
49,0,0.00,0.00,1,0.265230,0,0
50,5,107.00,77.00,1,0.264434,2,0
51,0,0.00,0.00,1,0.263641,0,0
52,0,0.00,0.00,1,0.262850,0,0
53,20,-94.00,118.00,0,0.262062,9,3
54,6,108.00,96.00,1,0.261275,1,1
55,0,0.00,0.00,1,0.260492,0,0
56,7,43.00,46.00,1,0.259710,3,1
57,0,0.00,0.00,1,0.258931,0,0
58,3,99.00,104.00,1,0.258154,0,0
59,0,0.00,0.00,1,0.257380,0,0
60,8,93.00,96.00,1,0.256608,2,1
61,0,0.00,0.00,1,0.255838,0,0
62,0,0.00,0.00,1,0.255070,0,0
63,20,-25.00,-14.00,0,0.254305,10,3
64,5,104.00,97.00,1,0.253542,1,0
65,0,0.00,0.00,1,0.252781,0,0
66,1,4.00,50.00,1,0.252023,0,0
67,18,64.00,114.00,1,0.251267,7,2
68,4,93.00,108.00,1,0.250513,0,1
69,0,0.00,0.00,1,0.249762,0,0
70,2,54.00,100.00,1,0.249012,0,0
71,0,0.00,0.00,1,0.248265,0,0
72,0,0.00,0.00,1,0.247521,0,0
73,8,-38.00,116.00,1,0.300000,5,0
74,10,88.00,72.00,1,0.299100,5,1
75,0,0.00,0.00,1,0.298203,0,0
76,20,54.00,-18.00,0,0.297308,9,1
77,0,0.00,0.00,1,0.296416,0,0
78,10,52.00,99.00,1,0.295527,4,5
79,0,0.00,0.00,1,0.294640,0,0
80,20,-9.00,-39.00,0,0.293756,11,4
81,0,0.00,0.00,1,0.292875,0,0
82,3,83.00,83.00,1,0.291997,0,1
83,7,70.00,21.00,1,0.291121,4,3
84,20,157.00,7.00,0,0.290247,10,2
85,0,0.00,0.00,1,0.289376,0,0
86,16,55.00,19.00,1,0.288508,6,4
87,13,115.00,50.00,1,0.287643,6,3
88,20,47.00,66.00,0,0.286780,6,8
89,0,0.00,0.00,1,0.285920,0,0
90,20,-4.00,8.00,0,0.285062,11,3
91,0,0.00,0.00,1,0.284207,0,0
92,20,63.00,-58.00,0,0.283354,9,7
93,14,17.00,56.00,1,0.282504,1,3
