Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,1,50.00,50.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,54.00,1,0.292875,0,0
9,0,0.00,0.00,1,0.291997,0,0
10,4,88.00,47.00,1,0.291121,1,2
11,0,0.00,0.00,1,0.290247,0,0
12,2,100.00,54.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,11,68.00,77.00,1,0.287643,5,3
15,0,0.00,0.00,1,0.286780,0,0
16,0,0.00,0.00,1,0.285920,0,0
17,2,8.00,44.00,1,0.285062,0,1
18,2,100.00,54.00,1,0.284207,0,0
19,0,0.00,0.00,1,0.283354,0,0
20,2,100.00,54.00,1,0.282504,0,0
21,0,0.00,0.00,1,0.281656,0,0
22,2,100.00,54.00,1,0.280811,0,0
23,20,-5.00,10.00,0,0.279969,12,4
24,2,100.00,54.00,1,0.279129,0,0
25,0,0.00,0.00,1,0.278292,0,0
26,0,0.00,0.00,1,0.277457,0,0
27,2,100.00,54.00,1,0.276624,0,0
28,1,50.00,50.00,1,0.275795,0,0
29,0,0.00,0.00,1,0.274967,0,0
30,2,100.00,54.00,1,0.274142,0,0
31,0,0.00,0.00,1,0.273320,0,0
32,0,0.00,0.00,1,0.272500,0,0
33,0,0.00,0.00,1,0.271682,0,0
34,2,100.00,54.00,1,0.270867,0,0
35,0,0.00,0.00,1,0.270055,0,0
36,0,0.00,0.00,1,0.269245,0,0
37,3,12.00,43.00,1,0.268437,0,1
38,2,100.00,54.00,1,0.267632,0,0
39,0,0.00,0.00,1,0.266829,0,0
40,3,89.00,58.00,1,0.266028,1,1
41,0,0.00,0.00,1,0.265230,0,0
42,2,100.00,54.00,1,0.264434,0,0
43,6,24.00,0.00,0,0.300000,4,4
44,20,10.00,126.00,0,0.299100,6,4
45,0,0.00,0.00,1,0.298203,0,0
46,0,0.00,0.00,1,0.297308,0,0
47,6,8.00,37.00,1,0.296416,3,2
48,5,77.00,58.00,1,0.295527,2,1
49,0,0.00,0.00,1,0.294640,0,0
50,20,16.00,46.00,0,0.293756,7,5
51,0,0.00,0.00,1,0.292875,0,0
52,3,104.00,50.00,1,0.291997,1,0
53,20,-40.00,110.00,0,0.291121,3,15
54,20,-139.00,111.00,0,0.290247,17,4
55,0,0.00,0.00,1,0.289376,0,0
56,0,0.00,0.00,1,0.288508,0,0
57,8,54.00,54.00,1,0.287643,5,0
58,2,100.00,54.00,1,0.286780,0,0
59,0,0.00,0.00,1,0.285920,0,0
60,20,-21.00,-16.00,0,0.285062,9,4
61,0,0.00,0.00,1,0.284207,0,0
62,20,-175.00,80.00,0,0.283354,14,5
63,20,-20.00,118.00,0,0.282504,4,5
64,20,-124.00,126.00,0,0.281656,15,6
65,0,0.00,0.00,1,0.280811,0,0
66,0,0.00,0.00,1,0.279969,0,0
67,3,38.00,4.00,1,0.279129,1,0
68,2,100.00,54.00,1,0.278292,0,0
69,0,0.00,0.00,1,0.277457,0,0
70,20,15.00,65.00,0,0.276624,10,1
71,0,0.00,0.00,1,0.275795,0,0
72,10,108.00,-8.00,1,0.274967,6,1
73,0,0.00,0.00,1,0.274142,0,0
74,20,-94.00,113.00,0,0.273320,11,10
75,0,0.00,0.00,1,0.272500,0,0
76,0,0.00,0.00,1,0.271682,0,0
77,0,0.00,0.00,1,0.270867,0,0
78,2,100.00,54.00,1,0.270055,0,0
79,0,0.00,0.00,1,0.269245,0,0
80,20,-29.00,-4.00,0,0.268437,11,1
81,0,0.00,0.00,1,0.267632,0,0
82,0,0.00,0.00,1,0.266829,0,0
83,2,8.00,49.00,1,0.266028,0,1
84,20,-79.00,15.00,0,0.265230,12,5
85,0,0.00,0.00,1,0.264434,0,0
86,0,0.00,0.00,1,0.263641,0,0
87,0,0.00,0.00,1,0.262850,0,0
88,3,94.00,48.00,1,0.262062,0,1
89,0,0.00,0.00,1,0.261275,0,0
90,20,-41.00,-11.00,0,0.260492,11,2
91,0,0.00,0.00,1,0.259710,0,0
92,20,-30.00,110.00,0,0.258931,3,14
