Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,20,44.00,-7.00,0,0.298203,13,4
3,20,26.00,-110.00,0,0.300000,7,6
4,20,-94.00,-194.00,0,0.299100,11,18
5,0,0.00,0.00,1,0.298203,0,0
6,20,80.00,-60.00,0,0.297308,4,6
7,20,80.00,-40.00,0,0.296416,3,14
8,20,55.00,-224.00,0,0.295527,17,5
9,0,0.00,0.00,1,0.294640,0,0
10,20,-21.00,-31.00,0,0.293756,17,4
11,0,0.00,0.00,1,0.292875,0,0
12,3,12.00,43.00,1,0.291997,0,2
13,20,80.00,-65.00,0,0.291121,4,4
14,20,-41.00,-11.00,0,0.290247,16,6
15,0,0.00,0.00,1,0.289376,0,0
16,20,80.00,-50.00,0,0.288508,3,3
17,20,80.00,-140.00,0,0.287643,7,12
18,20,38.00,-199.00,0,0.286780,15,3
19,0,0.00,0.00,1,0.285920,0,0
20,20,-36.00,-31.00,0,0.285062,19,4
21,0,0.00,0.00,1,0.284207,0,0
22,20,80.00,0.00,0,0.283354,4,0
23,20,-65.00,-40.00,0,0.282504,17,4
24,20,-97.00,-182.00,0,0.281656,16,7
25,0,0.00,0.00,1,0.280811,0,0
26,20,80.00,-50.00,0,0.279969,3,1
27,20,8.00,-150.00,0,0.279129,19,0
28,20,-57.00,-147.00,0,0.278292,13,8
29,0,0.00,0.00,1,0.277457,0,0
30,20,35.00,-75.00,0,0.276624,18,1
31,0,0.00,0.00,1,0.275795,0,0
32,20,80.00,-130.00,0,0.274967,2,19
33,20,-205.00,-195.00,0,0.274142,19,2
34,20,8.00,-116.00,0,0.273320,18,6
35,0,0.00,0.00,1,0.272500,0,0
36,20,80.00,-70.00,0,0.271682,6,3
37,20,-87.00,28.00,0,0.270867,18,4
38,20,-99.00,-109.00,0,0.270055,19,5
39,0,0.00,0.00,1,0.269245,0,0
40,20,-9.00,-39.00,0,0.268437,19,2
41,0,0.00,0.00,1,0.267632,0,0
42,0,0.00,0.00,1,0.266829,0,0
43,0,0.00,0.00,1,0.266028,0,0
44,20,-31.00,-41.00,0,0.265230,20,3
45,0,0.00,0.00,1,0.264434,0,0
46,20,80.00,-40.00,0,0.263641,3,3
47,20,-48.00,-73.00,0,0.262850,15,8
48,20,-134.00,-119.00,0,0.262062,18,4
49,0,0.00,0.00,1,0.261275,0,0
50,20,-51.00,4.00,0,0.260492,18,6
51,0,0.00,0.00,1,0.259710,0,0
52,20,62.00,-3.00,0,0.258931,16,6
53,20,80.00,-40.00,0,0.258154,8,4
54,20,10.00,-154.00,0,0.257380,19,2
55,0,0.00,0.00,1,0.256608,0,0
56,20,80.00,-30.00,0,0.255838,2,1
57,20,-46.00,-117.00,0,0.255070,17,3
58,20,15.00,-159.00,0,0.254305,18,2
59,0,0.00,0.00,1,0.253542,0,0
60,20,27.00,-68.00,0,0.252781,20,2
61,0,0.00,0.00,1,0.252023,0,0
62,20,80.00,-15.00,0,0.251267,9,4
63,20,80.00,-50.00,0,0.250513,4,2
64,20,54.00,-100.00,0,0.249762,17,3
65,0,0.00,0.00,1,0.249012,0,0
66,20,80.00,-65.00,0,0.248265,4,4
67,0,0.00,0.00,1,0.247521,0,0
68,20,30.00,-169.00,0,0.246778,19,5
69,0,0.00,0.00,1,0.246038,0,0
70,20,15.00,-90.00,0,0.245300,20,3
71,0,0.00,0.00,1,0.244564,0,0
72,20,80.00,-25.00,0,0.243830,11,2
73,20,-20.00,-40.00,0,0.243099,20,2
74,20,53.00,-116.00,0,0.242369,19,2
75,0,0.00,0.00,1,0.241642,0,0
76,20,80.00,-70.00,0,0.240917,4,3
77,20,80.00,-150.00,0,0.240194,8,14
78,20,-58.00,-109.00,0,0.239474,20,1
79,0,0.00,0.00,1,0.238755,0,0
80,20,32.00,-58.00,0,0.238039,19,2
81,0,0.00,0.00,1,0.237325,0,0
82,20,-25.00,80.00,0,0.236613,12,2
83,20,-20.00,-130.00,0,0.235903,20,3
84,20,-83.00,-242.00,0,0.235196,19,3
85,0,0.00,0.00,1,0.234490,0,0
86,20,80.00,-45.00,0,0.233786,2,2
87,20,5.00,-85.00,0,0.233085,19,3
88,20,44.00,-179.00,0,0.232386,20,0
89,0,0.00,0.00,1,0.231689,0,0
90,20,-61.00,-1.00,0,0.230994,19,6
