Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,5,-15.00,-45.00,1,0.300000,5,1
2,3,48.00,48.00,1,0.299100,1,0
3,2,9.00,9.00,1,0.298203,1,0
4,2,89.00,89.00,1,0.297308,0,0
5,3,78.00,88.00,1,0.296416,1,1
6,3,83.00,83.00,1,0.295527,0,1
7,1,50.00,50.00,1,0.294640,0,0
8,3,33.00,33.00,1,0.293756,1,2
9,2,39.00,49.00,1,0.292875,1,1
10,8,-17.00,23.00,1,0.291997,7,3
11,9,-18.00,2.00,1,0.291121,6,5
12,0,0.00,0.00,1,0.290247,0,0
13,1,50.00,50.00,1,0.289376,0,0
14,5,76.00,86.00,1,0.288508,2,1
15,2,44.00,44.00,1,0.287643,0,1
16,2,89.00,89.00,1,0.286780,0,0
17,0,0.00,0.00,1,0.285920,0,0
18,7,-16.00,-16.00,1,0.285062,6,6
19,1,50.00,50.00,1,0.284207,0,0
20,17,-116.00,14.00,1,0.283354,16,2
21,5,11.00,31.00,1,0.282504,3,3
22,0,0.00,0.00,1,0.281656,0,0
23,2,39.00,39.00,1,0.280811,1,1
24,2,89.00,89.00,1,0.279969,0,0
25,1,50.00,50.00,1,0.279129,0,0
26,2,89.00,89.00,1,0.278292,0,0
27,0,0.00,0.00,1,0.277457,0,0
28,9,-33.00,-23.00,1,0.276624,7,8
29,1,50.00,50.00,1,0.275795,0,0
30,6,-5.00,45.00,1,0.274967,5,0
31,4,47.00,17.00,1,0.274142,3,1
32,2,44.00,44.00,1,0.273320,0,1
33,4,72.00,72.00,1,0.272500,1,2
34,2,89.00,89.00,1,0.271682,0,0
35,2,89.00,89.00,1,0.270867,0,0
36,2,89.00,89.00,1,0.270055,0,0
37,2,44.00,44.00,1,0.269245,0,1
38,1,50.00,50.00,1,0.268437,0,0
39,1,50.00,50.00,1,0.267632,0,0
40,2,39.00,39.00,1,0.266829,1,1
41,1,50.00,50.00,1,0.266028,0,0
42,1,50.00,50.00,1,0.265230,0,0
43,1,50.00,50.00,1,0.264434,0,0
44,2,89.00,89.00,1,0.263641,0,0
45,1,50.00,50.00,1,0.262850,0,0
46,3,88.00,78.00,1,0.262062,1,1
47,0,0.00,0.00,1,0.261275,0,0
48,1,50.00,50.00,1,0.260492,0,0
49,1,50.00,50.00,1,0.259710,0,0
50,20,-210.00,-40.00,0,0.258931,20,3
51,1,50.00,50.00,1,0.258154,0,0
52,2,9.00,9.00,1,0.257380,1,0
53,0,0.00,0.00,1,0.256608,0,0
54,1,50.00,50.00,1,0.255838,0,0
55,2,89.00,89.00,1,0.255070,0,0
56,2,89.00,89.00,1,0.254305,0,0
57,0,0.00,0.00,1,0.253542,0,0
58,1,50.00,50.00,1,0.252781,0,0
59,2,44.00,44.00,1,0.252023,0,1
60,3,38.00,38.00,1,0.251267,2,0
61,1,50.00,50.00,1,0.250513,0,0
62,1,50.00,50.00,1,0.249762,0,0
63,2,44.00,44.00,1,0.249012,0,1
64,2,89.00,89.00,1,0.248265,0,0
65,1,50.00,50.00,1,0.247521,0,0
66,2,89.00,89.00,1,0.246778,0,0
67,5,76.00,86.00,1,0.246038,2,1
68,1,50.00,50.00,1,0.245300,0,0
69,1,50.00,50.00,1,0.244564,0,0
70,9,-28.00,32.00,1,0.243830,8,0
71,1,50.00,50.00,1,0.243099,0,0
72,1,50.00,50.00,1,0.242369,0,0
73,1,50.00,50.00,1,0.241642,0,0
74,3,78.00,78.00,1,0.240917,1,1
75,1,50.00,50.00,1,0.240194,0,0
76,2,89.00,89.00,1,0.239474,0,0
77,0,0.00,0.00,1,0.238755,0,0
78,1,50.00,50.00,1,0.238039,0,0
79,1,50.00,50.00,1,0.237325,0,0
80,20,-210.00,-30.00,0,0.236613,20,2
81,2,39.00,49.00,1,0.235903,1,0
82,1,50.00,50.00,1,0.235196,0,0
83,0,0.00,0.00,1,0.234490,0,0
84,1,50.00,50.00,1,0.233786,0,0
85,1,50.00,50.00,1,0.233085,0,0
86,2,89.00,89.00,1,0.232386,0,0
87,2,89.00,89.00,1,0.231689,0,0
88,1,50.00,50.00,1,0.230994,0,0
89,1,50.00,50.00,1,0.230301,0,0
90,1,50.00,50.00,1,0.229610,0,0
91,1,50.00,50.00,1,0.228921,0,0
92,3,78.00,78.00,1,0.228234,1,1
93,0,0.00,0.00,1,0.227549,0,0

# Summary
# FirstGoalEpisode,2
# TotalGoalCount,80
# GoalRate_last100,0.98
