Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,14,-20.00,-64.00,1,0.300000,10,4
2,3,12.00,48.00,1,0.299100,0,2
3,20,78.00,-25.00,0,0.298203,4,15
4,9,22.00,52.00,1,0.297308,6,6
5,20,44.00,0.00,0,0.296416,5,3
6,1,50.00,4.00,1,0.295527,0,0
7,10,40.00,31.00,1,0.294640,1,8
8,9,74.00,32.00,1,0.293756,2,5
9,20,-48.00,96.00,0,0.292875,5,17
10,2,54.00,49.00,1,0.291997,0,0
11,4,42.00,37.00,1,0.291121,2,2
12,20,80.00,10.00,0,0.290247,2,3
13,12,89.00,39.00,1,0.289376,1,7
14,6,65.00,90.00,1,0.288508,2,2
15,7,64.00,24.00,1,0.287643,3,2
16,5,81.00,20.00,1,0.286780,0,2
17,1,4.00,50.00,1,0.285920,0,0
18,16,102.00,-25.00,1,0.285062,2,12
19,10,86.00,26.00,1,0.284207,1,8
20,2,54.00,49.00,1,0.283354,0,0
21,3,58.00,38.00,1,0.282504,1,1
22,20,113.00,6.00,1,0.281656,4,15
23,6,26.00,45.00,1,0.280811,3,2
24,20,15.00,31.00,0,0.279969,9,2
25,5,66.00,86.00,1,0.279129,0,0
26,2,39.00,8.00,1,0.278292,1,1
27,0,0.00,0.00,1,0.277457,0,0
28,4,54.00,47.00,1,0.276624,1,0
29,2,54.00,49.00,1,0.275795,0,0
30,3,58.00,38.00,1,0.274967,1,1
31,2,54.00,49.00,1,0.274142,0,0
32,1,4.00,50.00,1,0.273320,0,0
33,1,4.00,50.00,1,0.272500,0,0
34,8,48.00,33.00,1,0.271682,5,5
35,6,70.00,75.00,1,0.270867,1,3
36,1,50.00,4.00,1,0.270055,0,0
37,3,58.00,43.00,1,0.269245,0,1
38,20,57.00,21.00,1,0.268437,9,2
39,3,43.00,48.00,1,0.267632,1,1
40,2,54.00,49.00,1,0.266829,0,0
41,2,54.00,49.00,1,0.266028,0,0
42,2,89.00,8.00,1,0.265230,0,0
43,1,50.00,4.00,1,0.264434,0,0
44,19,47.00,77.00,1,0.263641,8,4
45,3,58.00,88.00,1,0.262850,0,0
46,1,50.00,4.00,1,0.262062,0,0
47,0,0.00,0.00,1,0.261275,0,0
48,20,-5.00,-71.00,0,0.260492,12,6
49,3,53.00,38.00,1,0.259710,1,1
50,2,54.00,49.00,1,0.258931,0,0
51,4,47.00,47.00,1,0.258154,1,0
52,3,48.00,4.00,1,0.257380,1,0
53,20,59.00,-40.00,0,0.256608,4,16
54,8,83.00,92.00,1,0.255838,2,0
55,3,58.00,88.00,1,0.255070,0,0
56,1,50.00,4.00,1,0.254305,0,0
57,3,48.00,13.00,1,0.253542,1,0
58,10,52.00,36.00,1,0.252781,4,2
59,4,54.00,47.00,1,0.252023,1,0
60,2,54.00,49.00,1,0.251267,0,0
61,2,54.00,49.00,1,0.250513,0,0
62,10,41.00,40.00,1,0.249762,0,9
63,5,20.00,36.00,1,0.249012,2,1
64,4,87.00,92.00,1,0.248265,0,0
65,4,62.00,82.00,1,0.247521,0,1
66,1,50.00,4.00,1,0.246778,0,0
67,1,50.00,4.00,1,0.246038,0,0
68,9,51.00,27.00,1,0.245300,4,3
69,2,54.00,49.00,1,0.244564,0,0
70,2,54.00,49.00,1,0.243830,0,0
71,2,54.00,49.00,1,0.243099,0,0
72,2,8.00,89.00,1,0.242369,0,0
73,1,50.00,4.00,1,0.241642,0,0
74,5,86.00,81.00,1,0.240917,1,1
75,6,70.00,45.00,1,0.240194,1,1
76,1,50.00,4.00,1,0.239474,0,0
77,2,89.00,8.00,1,0.238755,0,0
78,2,54.00,49.00,1,0.238039,0,0
79,2,49.00,54.00,1,0.237325,0,0
80,3,43.00,48.00,1,0.236613,1,1
81,2,54.00,49.00,1,0.235903,0,0
82,0,0.00,0.00,1,0.235196,0,0
83,2,39.00,8.00,1,0.234490,1,1
84,6,85.00,95.00,1,0.233786,1,0
85,3,58.00,88.00,1,0.233085,0,0
86,1,50.00,4.00,1,0.232386,0,0
87,0,0.00,0.00,1,0.231689,0,0
88,20,-1.00,-33.00,0,0.230994,10,4
89,2,54.00,49.00,1,0.230301,0,0
90,3,53.00,38.00,1,0.229610,1,1
91,2,54.00,49.00,1,0.228921,0,0
92,1,50.00,4.00,1,0.228234,0,0
93,1,4.00,50.00,1,0.227549,0,0
94,3,53.00,88.00,1,0.226867,0,0
95,5,76.00,61.00,1,0.226186,1,2
96,1,50.00,4.00,1,0.225508,0,0
97,0,0.00,0.00,1,0.224831,0,0
98,14,42.00,27.00,1,0.224157,7,2
99,2,54.00,49.00,1,0.223484,0,0
100,3,58.00,48.00,1,0.222814,0,1
101,2,54.00,49.00,1,0.222145,0,0
102,4,52.00,-3.00,1,0.221479,2,1
103,20,106.00,-79.00,0,0.220814,3,17
104,5,76.00,91.00,1,0.220152,1,1
105,6,55.00,75.00,1,0.219492,1,3
106,1,50.00,4.00,1,0.218833,0,0
107,1,4.00,50.00,1,0.218177,0,0
108,12,62.00,29.00,1,0.217522,4,2
109,2,54.00,49.00,1,0.216869,0,0
110,3,43.00,48.00,1,0.216219,1,1
111,2,54.00,49.00,1,0.215570,0,0
112,0,0.00,0.00,1,0.214923,0,0
113,1,4.00,50.00,1,0.214279,0,0
114,3,93.00,48.00,1,0.213636,0,0
115,3,58.00,88.00,1,0.212995,0,0
116,1,50.00,4.00,1,0.212356,0,0
117,1,50.00,4.00,1,0.211719,0,0
118,8,54.00,43.00,1,0.211084,3,0
119,2,54.00,49.00,1,0.210450,0,0
120,2,54.00,49.00,1,0.209819,0,0
121,3,43.00,48.00,1,0.209190,1,1
122,2,54.00,49.00,1,0.208562,0,0
123,5,20.00,76.00,1,0.207936,2,1
124,5,86.00,81.00,1,0.207313,1,1
125,5,66.00,86.00,1,0.206691,1,0
126,1,50.00,4.00,1,0.206071,0,0
127,3,78.00,12.00,1,0.205452,1,1
128,3,53.00,38.00,1,0.204836,1,1
129,3,58.00,48.00,1,0.204222,0,1
130,4,47.00,47.00,1,0.203609,1,2
131,6,70.00,25.00,1,0.202998,2,2
132,1,50.00,4.00,1,0.202389,0,0
133,2,54.00,49.00,1,0.201782,0,0
134,4,87.00,92.00,1,0.201177,0,0
135,5,51.00,76.00,1,0.200573,2,2
136,1,50.00,4.00,1,0.199971,0,0
137,1,50.00,4.00,1,0.199371,0,0
138,6,49.00,50.00,1,0.198773,2,0
139,2,54.00,49.00,1,0.198177,0,0
140,2,54.00,49.00,1,0.197582,0,0
141,2,54.00,49.00,1,0.196990,0,0
142,1,50.00,4.00,1,0.196399,0,0
143,1,50.00,4.00,1,0.195809,0,0
144,3,58.00,88.00,1,0.195222,0,0
145,6,55.00,70.00,1,0.194636,2,3
146,1,50.00,4.00,1,0.194052,0,0
147,5,86.00,20.00,1,0.193470,1,1
148,20,-7.00,-20.00,0,0.192890,10,2
149,3,53.00,38.00,1,0.192311,1,1
150,2,54.00,49.00,1,0.191734,0,0
151,2,54.00,49.00,1,0.191159,0,0
152,2,8.00,89.00,1,0.190586,0,0
153,0,0.00,0.00,1,0.190014,0,0
154,4,87.00,92.00,1,0.189444,0,0
155,4,62.00,77.00,1,0.188876,1,1
156,1,50.00,4.00,1,0.188309,0,0
157,1,4.00,50.00,1,0.187744,0,0
158,20,8.00,-40.00,0,0.187181,11,2
159,2,54.00,49.00,1,0.186619,0,0
160,3,58.00,38.00,1,0.186059,1,1
161,4,54.00,47.00,1,0.185501,1,0
162,3,12.00,48.00,1,0.184945,0,1
163,3,13.00,48.00,1,0.184390,1,0
164,4,87.00,92.00,1,0.183837,0,0
165,3,58.00,88.00,1,0.183285,0,0
166,1,50.00,4.00,1,0.182735,0,0
167,2,49.00,54.00,1,0.182187,0,0
168,20,42.00,-30.00,0,0.181641,10,3
169,2,54.00,49.00,1,0.181096,0,0
170,2,54.00,49.00,1,0.180552,0,0
171,2,54.00,49.00,1,0.180011,0,0
172,20,80.00,-30.00,0,0.179471,1,20
173,2,89.00,8.00,1,0.178932,0,0
174,3,88.00,53.00,1,0.178395,0,0
175,5,58.00,86.00,1,0.177860,1,0
176,1,50.00,4.00,1,0.177327,0,0
177,1,50.00,4.00,1,0.176795,0,0
178,20,-8.00,-60.00,0,0.176264,11,8
179,2,54.00,49.00,1,0.175735,0,0
180,3,58.00,48.00,1,0.175208,0,1
181,2,54.00,49.00,1,0.174683,0,0
182,1,4.00,50.00,1,0.174159,0,0
183,2,8.00,89.00,1,0.173636,0,0
184,5,81.00,86.00,1,0.173115,0,1
185,3,58.00,88.00,1,0.172596,0,0
186,1,50.00,4.00,1,0.172078,0,0
187,2,54.00,49.00,1,0.171562,0,0
188,20,47.00,-40.00,0,0.171047,9,3
189,2,54.00,49.00,1,0.170534,0,0
190,3,58.00,48.00,1,0.170022,0,1
191,2,54.00,49.00,1,0.169512,0,0
192,7,5.00,84.00,1,0.169004,2,1
193,2,54.00,49.00,1,0.168497,0,0
194,4,87.00,92.00,1,0.167991,0,0
195,3,58.00,48.00,1,0.167487,0,0
196,1,50.00,4.00,1,0.166985,0,0
197,0,0.00,0.00,1,0.166484,0,0
198,6,62.00,35.00,1,0.165984,1,2
199,2,54.00,49.00,1,0.165487,0,0
200,2,54.00,49.00,1,0.164990,0,0
201,2,54.00,49.00,1,0.164495,0,0
202,7,28.00,84.00,1,0.164002,0,4
203,2,89.00,8.00,1,0.163510,0,0
204,4,87.00,92.00,1,0.163019,0,0
205,4,62.00,77.00,1,0.162530,1,1
206,1,50.00,4.00,1,0.162042,0,0
207,3,12.00,48.00,1,0.161556,0,1
208,20,31.00,6.00,0,0.161072,5,13
209,2,54.00,49.00,1,0.160588,0,0
210,2,54.00,49.00,1,0.160107,0,0
211,2,54.00,49.00,1,0.159626,0,0
212,0,0.00,0.00,1,0.159147,0,0
213,0,0.00,0.00,1,0.158670,0,0
214,4,87.00,92.00,1,0.158194,0,0
215,3,58.00,88.00,1,0.157719,0,0
216,1,50.00,4.00,1,0.157246,0,0
217,2,49.00,54.00,1,0.156775,0,0
218,20,85.00,-45.00,0,0.156304,5,15
219,20,-28.00,116.00,0,0.155835,2,17
220,2,54.00,49.00,1,0.155368,0,0
221,7,39.00,56.00,1,0.154902,2,1
222,20,80.00,-30.00,0,0.154437,1,20
223,2,49.00,8.00,1,0.153974,0,0
224,5,91.00,46.00,1,0.153512,1,0
225,3,58.00,88.00,1,0.153051,0,0
226,2,39.00,8.00,1,0.152592,1,1
227,0,0.00,0.00,1,0.152134,0,0
228,20,113.00,-50.00,0,0.151678,3,17
229,2,54.00,49.00,1,0.151223,0,0
230,3,58.00,43.00,1,0.150769,0,1
231,2,54.00,49.00,1,0.150317,0,0
232,4,27.00,62.00,1,0.149866,2,2
233,4,47.00,47.00,1,0.149416,1,1
234,4,87.00,92.00,1,0.148968,0,0
235,3,58.00,88.00,1,0.148521,0,0
236,1,50.00,4.00,1,0.148076,0,0
237,20,80.00,-25.00,0,0.147631,0,20
238,20,103.00,-40.00,0,0.147188,3,17
239,2,54.00,49.00,1,0.146747,0,0
240,2,54.00,49.00,1,0.146307,0,0
241,2,54.00,49.00,1,0.145868,0,0
242,20,121.00,20.00,0,0.145430,0,18
243,2,49.00,54.00,1,0.144994,0,0
244,4,87.00,92.00,1,0.144559,0,0
245,3,58.00,88.00,1,0.144125,0,0
246,1,50.00,4.00,1,0.143693,0,0
247,3,48.00,58.00,1,0.143262,0,0
248,14,102.00,22.00,1,0.142832,1,12
249,2,54.00,49.00,1,0.142403,0,0
250,2,54.00,49.00,1,0.141976,0,0
251,3,58.00,38.00,1,0.141550,1,1
252,2,49.00,54.00,1,0.141126,0,0
253,2,8.00,9.00,1,0.140702,1,0
254,4,87.00,92.00,1,0.140280,0,0
255,6,70.00,75.00,1,0.139859,2,1
256,1,50.00,4.00,1,0.139440,0,0
257,1,50.00,4.00,1,0.139021,0,0
258,9,69.00,27.00,1,0.138604,2,5
259,2,54.00,49.00,1,0.138189,0,0
260,2,54.00,49.00,1,0.137774,0,0
261,2,54.00,49.00,1,0.137361,0,0
262,4,54.00,47.00,1,0.136949,1,0
263,3,12.00,78.00,1,0.136538,1,1
264,5,86.00,81.00,1,0.136128,1,1
265,3,58.00,88.00,1,0.135720,0,0
266,1,50.00,4.00,1,0.135313,0,0
267,2,89.00,8.00,1,0.134907,0,0
268,3,43.00,48.00,1,0.134502,1,1
269,2,54.00,49.00,1,0.134098,0,0
270,3,58.00,48.00,1,0.133696,0,1
271,2,54.00,49.00,1,0.133295,0,0
272,2,8.00,89.00,1,0.132895,0,0
273,0,0.00,0.00,1,0.132496,0,0
274,4,87.00,92.00,1,0.132099,0,0
275,3,58.00,88.00,1,0.131703,0,0
276,1,50.00,4.00,1,0.131308,0,0
277,2,54.00,49.00,1,0.130914,0,0
278,8,78.00,23.00,1,0.130521,2,6
279,2,54.00,49.00,1,0.130129,0,0
280,3,58.00,48.00,1,0.129739,0,1
281,2,54.00,49.00,1,0.129350,0,0
282,20,-30.00,80.00,0,0.128962,1,20
283,2,8.00,9.00,1,0.128575,1,0
284,4,87.00,92.00,1,0.128189,0,0
285,3,58.00,88.00,1,0.127805,0,0
286,1,50.00,4.00,1,0.127421,0,0
287,1,4.00,50.00,1,0.127039,0,0
288,20,113.00,-45.00,0,0.126658,3,17
289,2,54.00,49.00,1,0.126278,0,0
290,2,54.00,49.00,1,0.125899,0,0
291,5,41.00,36.00,1,0.125521,1,3
292,0,0.00,0.00,1,0.125145,0,0
293,2,89.00,8.00,1,0.124769,0,0
294,5,76.00,91.00,1,0.124395,1,1
295,3,58.00,88.00,1,0.124022,0,0
296,1,50.00,4.00,1,0.123650,0,0
297,0,0.00,0.00,1,0.123279,0,0
298,20,64.00,-30.00,0,0.122909,2,16
299,2,54.00,49.00,1,0.122540,0,0
300,3,58.00,48.00,1,0.122173,0,1
301,2,54.00,49.00,1,0.121806,0,0
302,2,8.00,89.00,1,0.121441,0,0
303,0,0.00,0.00,1,0.121076,0,0
304,6,80.00,85.00,1,0.120713,1,2
305,2,54.00,49.00,1,0.120351,0,0
306,1,50.00,4.00,1,0.119990,0,0
307,20,126.00,5.00,0,0.119630,1,18
308,3,58.00,48.00,1,0.119271,0,1
309,2,54.00,49.00,1,0.118913,0,0
310,2,54.00,49.00,1,0.118556,0,0
311,2,54.00,49.00,1,0.118201,0,0
312,0,0.00,0.00,1,0.117846,0,0
313,1,50.00,4.00,1,0.117493,0,0
314,5,86.00,96.00,1,0.117140,0,1
315,3,58.00,88.00,1,0.116789,0,0
316,1,50.00,4.00,1,0.116438,0,0
317,3,48.00,43.00,1,0.116089,1,1
318,2,54.00,49.00,1,0.115741,0,0
319,2,54.00,49.00,1,0.115394,0,0
320,2,54.00,49.00,1,0.115047,0,0
321,2,54.00,49.00,1,0.114702,0,0
322,3,88.00,12.00,1,0.114358,0,1
323,5,31.00,6.00,1,0.114015,3,2
324,4,87.00,92.00,1,0.113673,0,0
325,3,53.00,38.00,1,0.113332,1,1
326,1,50.00,4.00,1,0.112992,0,0
327,2,49.00,8.00,1,0.112653,0,0
328,3,43.00,48.00,1,0.112315,1,1
329,2,54.00,49.00,1,0.111978,0,0
330,2,54.00,49.00,1,0.111642,0,0
331,2,54.00,49.00,1,0.111307,0,0
332,2,8.00,9.00,1,0.110973,1,0
333,2,89.00,8.00,1,0.110640,0,0
334,4,87.00,92.00,1,0.110308,0,0
335,3,58.00,88.00,1,0.109978,0,0
336,1,50.00,4.00,1,0.109648,0,0
337,2,89.00,8.00,1,0.109319,0,0
338,2,54.00,49.00,1,0.108991,0,0
339,2,54.00,49.00,1,0.108664,0,0
340,2,54.00,49.00,1,0.108338,0,0
341,2,54.00,49.00,1,0.108013,0,0
342,1,50.00,4.00,1,0.107689,0,0
343,1,50.00,4.00,1,0.107366,0,0
344,6,70.00,85.00,1,0.107044,1,2
345,3,58.00,88.00,1,0.106722,0,0
346,1,50.00,4.00,1,0.106402,0,0
347,2,8.00,49.00,1,0.106083,0,0
348,2,54.00,49.00,1,0.105765,0,0
349,3,58.00,38.00,1,0.105448,1,1
350,2,54.00,49.00,1,0.105131,0,0
351,2,54.00,49.00,1,0.104816,0,0
352,1,50.00,4.00,1,0.104501,0,0
353,3,78.00,12.00,1,0.104188,1,1
354,4,87.00,92.00,1,0.103875,0,0
355,3,58.00,88.00,1,0.103564,0,0
356,1,50.00,4.00,1,0.103253,0,0
357,11,80.00,70.00,1,0.102943,1,8
358,2,54.00,49.00,1,0.102634,0,0
359,2,54.00,49.00,1,0.102326,0,0
360,2,54.00,49.00,1,0.102019,0,0
361,3,58.00,38.00,1,0.101713,1,1
362,0,0.00,0.00,1,0.101408,0,0
363,0,0.00,0.00,1,0.101104,0,0
364,4,87.00,92.00,1,0.100801,0,0
365,3,58.00,88.00,1,0.100498,0,0
366,1,50.00,4.00,1,0.100197,0,0
367,4,87.00,92.00,1,0.099896,0,0
368,2,54.00,49.00,1,0.099597,0,0
369,2,54.00,49.00,1,0.099298,0,0
370,2,54.00,49.00,1,0.099000,0,0
371,2,54.00,49.00,1,0.098703,0,0
372,0,0.00,0.00,1,0.098407,0,0
373,2,89.00,8.00,1,0.098112,0,0
374,4,87.00,92.00,1,0.097817,0,0
375,3,58.00,88.00,1,0.097524,0,0
376,3,88.00,12.00,1,0.097231,0,0
377,20,80.00,-20.00,0,0.096940,0,20
378,2,54.00,49.00,1,0.096649,0,0
379,2,54.00,49.00,1,0.096359,0,0
380,2,54.00,49.00,1,0.096070,0,0
381,2,54.00,49.00,1,0.095781,0,0
382,0,0.00,0.00,1,0.095494,0,0
383,4,87.00,16.00,1,0.095208,1,0
384,4,87.00,97.00,1,0.094922,0,0
385,3,58.00,88.00,1,0.094637,0,0
386,1,50.00,4.00,1,0.094353,0,0
387,2,8.00,9.00,1,0.094070,1,0
388,2,54.00,49.00,1,0.093788,0,0
389,2,54.00,49.00,1,0.093507,0,0
390,2,54.00,49.00,1,0.093226,0,0
391,3,48.00,43.00,1,0.092946,0,1
392,0,0.00,0.00,1,0.092668,0,0
393,1,4.00,50.00,1,0.092390,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,344
# GoalRate_last100,0.97
