Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,2,49.00,54.00,1,0.299100,0,0
2,3,48.00,58.00,1,0.298203,0,1
3,2,8.00,89.00,1,0.297308,0,0
4,3,88.00,53.00,1,0.296416,0,0
5,6,45.00,65.00,1,0.295527,3,3
6,1,50.00,4.00,1,0.294640,0,0
7,2,8.00,44.00,1,0.293756,0,1
8,20,-38.00,53.00,0,0.292875,8,5
9,2,49.00,54.00,1,0.291997,0,0
10,6,35.00,47.00,1,0.291121,3,2
11,2,49.00,54.00,1,0.290247,0,0
12,0,0.00,0.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,10,41.00,86.00,1,0.287643,5,5
15,3,53.00,88.00,1,0.286780,0,0
16,1,50.00,4.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,2,49.00,54.00,1,0.284207,0,0
19,2,49.00,54.00,1,0.283354,0,0
20,2,49.00,54.00,1,0.282504,0,0
21,2,49.00,54.00,1,0.281656,0,0
22,2,54.00,49.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,4,82.00,62.00,1,0.279129,0,1
25,2,49.00,54.00,1,0.278292,0,0
26,1,50.00,4.00,1,0.277457,0,0
27,1,4.00,50.00,1,0.276624,0,0
28,11,20.00,110.00,1,0.300000,3,3
29,3,38.00,58.00,1,0.299100,1,1
30,2,49.00,54.00,1,0.298203,0,0
31,2,49.00,54.00,1,0.297308,0,0
32,2,54.00,49.00,1,0.296416,0,0
33,1,4.00,50.00,1,0.295527,0,0
34,3,88.00,58.00,1,0.294640,0,0
35,5,46.00,86.00,1,0.293756,1,2
36,1,50.00,4.00,1,0.292875,0,0
37,1,50.00,4.00,1,0.291997,0,0
38,15,-7.00,80.00,1,0.291121,5,7
39,4,52.00,49.00,1,0.290247,1,0
40,3,48.00,58.00,1,0.289376,0,0
41,2,49.00,54.00,1,0.288508,0,0
42,2,54.00,49.00,1,0.287643,0,0
43,1,4.00,50.00,1,0.286780,0,0
44,3,88.00,58.00,1,0.285920,0,0
45,6,55.00,80.00,1,0.285062,0,2
46,1,50.00,4.00,1,0.284207,0,0
47,3,78.00,12.00,1,0.283354,1,1
48,2,49.00,54.00,1,0.282504,0,0
49,2,49.00,54.00,1,0.281656,0,0
50,2,49.00,54.00,1,0.280811,0,0
51,2,49.00,54.00,1,0.279969,0,0
52,3,88.00,53.00,1,0.279129,0,0
53,1,50.00,4.00,1,0.278292,0,0
54,3,58.00,88.00,1,0.277457,0,0
55,5,86.00,101.00,1,0.276624,0,1
56,1,50.00,4.00,1,0.275795,0,0
57,0,0.00,0.00,1,0.274967,0,0
58,2,49.00,54.00,1,0.274142,0,0
59,2,49.00,54.00,1,0.273320,0,0
60,3,43.00,58.00,1,0.272500,0,1
61,2,49.00,54.00,1,0.271682,0,0
62,2,54.00,49.00,1,0.270867,0,0
63,0,0.00,0.00,1,0.270055,0,0
64,2,49.00,54.00,1,0.269245,0,0
65,3,53.00,88.00,1,0.268437,0,0
66,1,50.00,4.00,1,0.267632,0,0
67,1,50.00,4.00,1,0.266829,0,0
68,2,49.00,54.00,1,0.266028,0,0
69,3,38.00,58.00,1,0.265230,1,1
70,3,38.00,58.00,1,0.264434,1,1
71,2,49.00,54.00,1,0.263641,0,0
72,1,4.00,50.00,1,0.262850,0,0
73,2,49.00,54.00,1,0.262062,0,0
74,4,82.00,57.00,1,0.261275,0,1
75,5,41.00,76.00,1,0.260492,2,2
76,1,50.00,4.00,1,0.259710,0,0
77,0,0.00,0.00,1,0.258931,0,0
78,3,48.00,58.00,1,0.258154,0,1
79,2,49.00,54.00,1,0.257380,0,0
80,2,49.00,54.00,1,0.256608,0,0
81,2,49.00,54.00,1,0.255838,0,0
82,0,0.00,0.00,1,0.255070,0,0
83,1,50.00,4.00,1,0.254305,0,0
84,6,80.00,70.00,1,0.253542,1,1
85,3,53.00,88.00,1,0.252781,0,0
86,1,50.00,4.00,1,0.252023,0,0
87,5,58.00,46.00,1,0.251267,1,1
88,2,49.00,54.00,1,0.250513,0,0
89,2,49.00,54.00,1,0.249762,0,0
90,2,49.00,54.00,1,0.249012,0,0
91,2,49.00,54.00,1,0.248265,0,0
92,3,78.00,12.00,1,0.247521,1,1
93,2,39.00,8.00,1,0.246778,1,1
94,3,88.00,53.00,1,0.246038,0,0
95,4,57.00,77.00,1,0.245300,1,1
96,1,50.00,4.00,1,0.244564,0,0
97,1,50.00,4.00,1,0.243830,0,0
98,2,49.00,54.00,1,0.243099,0,0
99,2,49.00,54.00,1,0.242369,0,0
100,2,49.00,54.00,1,0.241642,0,0
101,2,49.00,54.00,1,0.240917,0,0
102,1,4.00,50.00,1,0.240194,0,0
103,1,4.00,50.00,1,0.239474,0,0
104,3,88.00,58.00,1,0.238755,0,0
105,5,46.00,86.00,1,0.238039,1,2
106,1,50.00,4.00,1,0.237325,0,0
107,0,0.00,0.00,1,0.236613,0,0
108,2,49.00,54.00,1,0.235903,0,0
109,2,54.00,49.00,1,0.235196,0,0
110,2,49.00,54.00,1,0.234490,0,0
111,2,49.00,54.00,1,0.233786,0,0
112,1,4.00,50.00,1,0.233085,0,0
113,2,89.00,8.00,1,0.232386,0,0
114,5,76.00,56.00,1,0.231689,0,2
115,3,53.00,88.00,1,0.230994,0,0
116,1,50.00,4.00,1,0.230301,0,0
117,0,0.00,0.00,1,0.229610,0,0
118,2,49.00,54.00,1,0.228921,0,0
119,2,49.00,54.00,1,0.228234,0,0
120,3,38.00,58.00,1,0.227549,1,0
121,2,49.00,54.00,1,0.226867,0,0
122,1,4.00,50.00,1,0.226186,0,0
123,1,50.00,4.00,1,0.225508,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,112
# GoalRate_last100,1.00
