Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,3,-3.00,-23.00,1,0.300000,2,1
2,0,0.00,0.00,1,0.299100,0,0
3,1,4.00,50.00,1,0.298203,0,0
4,20,148.00,-10.00,0,0.297308,6,7
5,19,147.00,67.00,1,0.296416,0,2
6,11,80.00,10.00,1,0.295527,4,1
7,0,0.00,0.00,1,0.294640,0,0
8,2,49.00,54.00,1,0.293756,0,0
9,2,54.00,49.00,1,0.292875,0,0
10,11,10.00,0.00,1,0.291997,2,8
11,11,20.00,49.00,1,0.291121,4,3
12,20,80.00,-30.00,0,0.290247,0,2
13,20,80.00,-90.00,0,0.289376,11,5
14,20,72.00,51.00,0,0.288508,7,3
15,20,143.00,0.00,0,0.287643,2,5
16,2,89.00,8.00,1,0.286780,0,0
17,20,-25.00,118.00,0,0.285920,6,3
18,2,54.00,49.00,1,0.285062,0,0
19,5,51.00,53.00,1,0.284207,1,1
20,2,54.00,49.00,1,0.283354,0,0
21,2,49.00,54.00,1,0.282504,0,0
22,0,0.00,0.00,1,0.281656,0,0
23,6,85.00,95.00,1,0.280811,0,2
24,7,99.00,84.00,1,0.279969,1,1
25,20,10.00,126.00,0,0.279129,1,4
26,2,89.00,8.00,1,0.278292,0,0
27,0,0.00,0.00,1,0.277457,0,0
28,2,54.00,49.00,1,0.276624,0,0
29,2,54.00,49.00,1,0.275795,0,0
30,5,58.00,46.00,1,0.274967,1,1
31,4,37.00,62.00,1,0.274142,1,1
32,15,79.00,26.00,1,0.273320,3,2
33,0,0.00,0.00,1,0.272500,0,0
34,20,146.00,-20.00,0,0.271682,7,2
35,20,146.00,-18.00,0,0.270867,1,2
36,3,88.00,12.00,1,0.270055,0,1
37,0,0.00,0.00,1,0.269245,0,0
38,3,43.00,58.00,1,0.268437,0,1
39,2,54.00,49.00,1,0.267632,0,0
40,8,38.00,35.00,1,0.266829,3,3
41,2,49.00,54.00,1,0.266028,0,0
42,20,121.00,10.00,0,0.265230,1,3
43,2,8.00,49.00,1,0.264434,0,0
44,9,112.00,42.00,1,0.263641,3,0
45,11,120.00,80.00,1,0.262850,0,2
46,2,89.00,8.00,1,0.262062,0,0
47,2,49.00,8.00,1,0.261275,0,1
48,2,49.00,54.00,1,0.260492,0,0
49,3,58.00,48.00,1,0.259710,0,1
50,2,54.00,49.00,1,0.258931,0,0
51,2,49.00,54.00,1,0.258154,0,0
52,20,161.00,-40.00,0,0.257380,3,4
53,20,10.00,80.00,0,0.256608,1,4
54,4,87.00,62.00,1,0.255838,0,0
55,14,122.00,49.00,1,0.255070,1,1
56,7,79.00,0.00,1,0.254305,3,1
57,2,89.00,8.00,1,0.253542,0,0
58,2,49.00,54.00,1,0.252781,0,0
59,3,38.00,58.00,1,0.252023,1,1
60,2,54.00,49.00,1,0.251267,0,0
61,4,37.00,52.00,1,0.250513,1,2
62,0,0.00,0.00,1,0.249762,0,0
63,20,15.00,80.00,0,0.249012,1,1
64,13,120.00,38.00,1,0.248265,5,0
65,6,95.00,75.00,1,0.247521,1,1
66,6,80.00,24.00,1,0.246778,0,4
67,8,73.00,73.00,1,0.246038,1,3
68,2,49.00,54.00,1,0.245300,0,0
69,2,54.00,49.00,1,0.244564,0,0
70,3,53.00,38.00,1,0.243830,1,1
71,2,49.00,54.00,1,0.243099,0,0
72,1,4.00,50.00,1,0.242369,0,0
73,4,47.00,92.00,1,0.241642,0,1
74,20,146.00,-35.00,0,0.240917,7,2
75,5,96.00,86.00,1,0.240194,0,0
76,2,89.00,8.00,1,0.239474,0,0
77,7,109.00,34.00,1,0.238755,1,3
78,2,49.00,54.00,1,0.238039,0,0
79,4,52.00,42.00,1,0.237325,0,2
80,2,54.00,49.00,1,0.236613,0,0
81,2,49.00,54.00,1,0.235903,0,0
82,20,-30.00,126.00,0,0.235196,0,4
83,20,-35.00,80.00,0,0.234490,1,3
84,20,148.00,15.00,0,0.233786,7,3
85,7,89.00,79.00,1,0.233085,1,2
86,2,89.00,8.00,1,0.232386,0,0
87,20,146.00,-25.00,0,0.231689,8,2
88,2,49.00,54.00,1,0.230994,0,0
89,2,54.00,49.00,1,0.230301,0,0
90,4,54.00,47.00,1,0.229610,1,0
91,2,49.00,54.00,1,0.228921,0,0
92,6,95.00,41.00,1,0.228234,1,0
93,0,0.00,0.00,1,0.227549,0,0
94,20,92.00,20.00,0,0.226867,7,2
95,20,20.00,161.00,0,0.226186,0,2
96,4,87.00,16.00,1,0.225508,0,0
97,1,50.00,4.00,1,0.224831,0,0
98,3,48.00,58.00,1,0.224157,0,1
99,2,49.00,54.00,1,0.223484,0,0
100,2,54.00,49.00,1,0.222814,0,0
101,2,49.00,54.00,1,0.222145,0,0
102,20,-49.00,141.00,0,0.221479,1,0
103,2,89.00,8.00,1,0.220814,0,0
104,20,156.00,-20.00,0,0.220152,9,0
105,10,133.00,76.00,1,0.219492,1,1

# Summary
# FirstGoalEpisode,3
# TotalGoalCount,74
# GoalRate_last100,0.79
