Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,11,35.00,-5.00,1,0.299100,6,5
2,7,74.00,34.00,1,0.298203,1,5
3,8,-28.00,32.00,1,0.300000,2,7
4,20,-50.00,69.00,0,0.299100,10,9
5,17,81.00,54.00,1,0.298203,4,11
6,20,-20.00,26.00,0,0.297308,7,12
7,20,-34.00,46.00,0,0.296416,6,15
8,8,25.00,43.00,1,0.295527,2,4
9,5,31.00,51.00,1,0.294640,2,3
10,20,-170.00,116.00,0,0.293756,14,19
11,10,46.00,6.00,1,0.292875,4,7
12,0,0.00,0.00,1,0.291997,0,0
13,20,-75.00,103.00,0,0.291121,8,7
14,20,10.00,124.00,0,0.290247,6,6
15,6,90.00,85.00,1,0.289376,1,0
16,12,24.00,48.00,1,0.288508,1,10
17,16,35.00,64.00,1,0.287643,0,15
18,2,49.00,54.00,1,0.286780,0,0
19,2,49.00,54.00,1,0.285920,0,0
20,17,24.00,46.00,1,0.285062,8,2
21,3,58.00,48.00,1,0.284207,0,1
22,20,-45.00,40.00,0,0.283354,8,6
23,13,88.00,19.00,1,0.282504,2,8
24,10,81.00,83.00,1,0.281656,2,4
25,4,92.00,87.00,1,0.280811,0,0
26,20,15.00,17.00,0,0.279969,2,16
27,20,-20.00,80.00,0,0.279129,0,20
28,15,13.00,16.00,1,0.278292,3,11
29,2,49.00,54.00,1,0.277457,0,0
30,18,18.00,45.00,1,0.276624,9,4
31,2,54.00,49.00,1,0.275795,0,0
32,20,-29.00,101.00,0,0.274967,8,4
33,1,4.00,50.00,1,0.274142,0,0
34,6,100.00,85.00,1,0.273320,0,2
35,20,77.00,27.00,0,0.272500,3,12
36,6,45.00,24.00,1,0.271682,0,5
37,3,93.00,48.00,1,0.270867,0,0
38,13,40.00,88.00,1,0.270055,1,9
39,2,49.00,54.00,1,0.269245,0,0
40,20,-45.00,-50.00,0,0.268437,11,6
41,2,54.00,49.00,1,0.267632,0,0
42,1,50.00,4.00,1,0.266829,0,0
43,1,4.00,50.00,1,0.266028,0,0
44,20,10.00,40.00,0,0.265230,7,6
45,5,91.00,86.00,1,0.264434,0,1
46,4,47.00,16.00,1,0.263641,0,2
47,1,4.00,50.00,1,0.262850,0,0
48,4,49.00,52.00,1,0.262062,1,0
49,3,48.00,58.00,1,0.261275,0,1
50,20,-30.00,47.00,0,0.260492,9,3
51,3,43.00,48.00,1,0.259710,1,1
52,5,32.00,46.00,1,0.258931,2,1
53,20,-20.00,-38.00,0,0.258154,9,3
54,13,88.00,84.00,1,0.257380,4,1
55,6,90.00,85.00,1,0.256608,1,0
56,12,39.00,48.00,1,0.255838,0,11
57,1,4.00,50.00,1,0.255070,0,0
58,20,38.00,7.00,0,0.254305,5,15
59,17,99.00,41.00,1,0.253542,1,13
60,2,49.00,54.00,1,0.252781,0,0
61,4,62.00,47.00,1,0.252023,0,0
62,20,6.00,121.00,1,0.251267,2,15
63,0,0.00,0.00,1,0.250513,0,0
64,20,20.00,140.00,0,0.249762,2,13
65,6,90.00,85.00,1,0.249012,1,0
66,1,50.00,4.00,1,0.248265,0,0
67,2,8.00,39.00,1,0.247521,1,1
68,20,-28.00,108.00,0,0.246778,2,15
69,2,49.00,54.00,1,0.246038,0,0
70,12,44.00,49.00,1,0.245300,5,0
71,2,54.00,49.00,1,0.244564,0,0
72,1,4.00,50.00,1,0.243830,0,0
73,17,114.00,74.00,1,0.243099,0,14
74,10,81.00,116.00,1,0.242369,0,6
75,4,92.00,87.00,1,0.241642,0,0
76,1,50.00,4.00,1,0.240917,0,0
77,1,50.00,4.00,1,0.240194,0,0
78,8,35.00,60.00,1,0.239474,3,2
79,2,49.00,54.00,1,0.238755,0,0
80,8,23.00,57.00,1,0.238039,4,1
81,3,58.00,48.00,1,0.237325,0,1
82,2,8.00,89.00,1,0.236613,0,0
83,0,0.00,0.00,1,0.235903,0,0
84,11,80.00,120.00,1,0.235196,0,5
85,20,15.00,156.00,0,0.234490,0,17
86,1,50.00,4.00,1,0.233786,0,0
87,0,0.00,0.00,1,0.233085,0,0
88,20,108.00,-68.00,0,0.232386,7,15
89,2,49.00,54.00,1,0.231689,0,0
90,20,46.00,-3.00,0,0.230994,7,6
91,2,54.00,49.00,1,0.230301,0,0
92,0,0.00,0.00,1,0.229610,0,0
93,0,0.00,0.00,1,0.228921,0,0
94,4,87.00,92.00,1,0.228234,0,0
95,4,92.00,87.00,1,0.227549,0,0
96,1,50.00,4.00,1,0.226867,0,0
97,20,15.00,116.00,0,0.226186,0,16
98,16,37.00,92.00,1,0.225508,2,10
99,3,48.00,58.00,1,0.224831,0,1
100,8,48.00,42.00,1,0.224157,3,2
101,2,54.00,49.00,1,0.223484,0,0
102,14,-8.00,48.00,1,0.222814,2,9
103,16,64.00,70.00,1,0.222145,0,13
104,4,87.00,57.00,1,0.221479,0,0
105,19,32.00,117.00,1,0.220814,1,12
106,2,49.00,8.00,1,0.220152,0,1
107,1,4.00,50.00,1,0.219492,0,0
