Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,2,54.00,49.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,4,31.00,16.00,1,0.300000,0,1
4,18,73.00,78.00,1,0.299100,6,2
5,6,90.00,85.00,1,0.298203,1,0
6,20,15.00,67.00,0,0.297308,1,2
7,0,0.00,0.00,1,0.296416,0,0
8,2,49.00,54.00,1,0.295527,0,0
9,2,49.00,54.00,1,0.294640,0,0
10,7,61.00,34.00,1,0.293756,1,3
11,2,54.00,49.00,1,0.292875,0,0
12,4,16.00,42.00,1,0.291997,1,1
13,4,16.00,82.00,1,0.291121,0,1
14,16,75.00,60.00,1,0.290247,7,4
15,6,90.00,75.00,1,0.289376,1,2
16,20,5.00,107.00,0,0.288508,2,4
17,0,0.00,0.00,1,0.287643,0,0
18,3,58.00,48.00,1,0.286780,0,1
19,2,49.00,54.00,1,0.285920,0,0
20,2,54.00,49.00,1,0.285062,0,0
21,3,53.00,48.00,1,0.284207,0,1
22,20,-30.00,116.00,0,0.283354,2,4
23,16,35.00,164.00,1,0.282504,2,1
24,20,-40.00,10.00,0,0.281656,10,5
25,20,-25.00,161.00,0,0.280811,7,2
26,16,70.00,91.00,1,0.279969,1,1
27,2,8.00,49.00,1,0.279129,0,0
28,2,54.00,49.00,1,0.278292,0,0
29,2,49.00,54.00,1,0.277457,0,0
30,2,54.00,49.00,1,0.276624,0,0
31,3,58.00,48.00,1,0.275795,0,1
32,5,20.00,86.00,1,0.274967,1,0
33,2,8.00,49.00,1,0.274142,0,0
34,13,53.00,78.00,1,0.273320,4,1
35,5,81.00,86.00,1,0.272500,1,1
36,3,88.00,12.00,1,0.271682,0,0
37,7,28.00,34.00,1,0.270867,0,2
38,3,43.00,48.00,1,0.270055,0,1
39,2,49.00,54.00,1,0.269245,0,0
40,2,54.00,49.00,1,0.268437,0,0
41,2,54.00,49.00,1,0.267632,0,0
42,20,-20.00,80.00,0,0.266829,0,3
43,0,0.00,0.00,1,0.266028,0,0
44,20,-30.00,20.00,0,0.265230,9,3
45,11,115.00,60.00,1,0.264434,4,3
46,4,87.00,16.00,1,0.263641,0,1
47,20,-65.00,80.00,0,0.262850,8,3
48,4,47.00,54.00,1,0.262062,1,0
49,3,43.00,48.00,1,0.261275,0,1
50,3,53.00,48.00,1,0.260492,0,1
51,7,66.00,39.00,1,0.259710,1,2
52,3,12.00,88.00,1,0.258931,0,0
53,0,0.00,0.00,1,0.258154,0,0
54,20,-20.00,-40.00,0,0.257380,10,4
55,4,92.00,87.00,1,0.256608,0,0
56,3,88.00,12.00,1,0.255838,0,0
57,4,47.00,97.00,1,0.255070,0,0
58,2,49.00,54.00,1,0.254305,0,0
59,2,49.00,54.00,1,0.253542,0,0
60,2,54.00,49.00,1,0.252781,0,0
61,4,52.00,49.00,1,0.252023,1,0
62,5,86.00,20.00,1,0.251267,0,2
63,0,0.00,0.00,1,0.250513,0,0
64,20,61.00,-10.00,0,0.249762,10,5
65,4,92.00,87.00,1,0.249012,0,0
66,5,86.00,7.00,1,0.248265,1,0
67,5,26.00,20.00,1,0.247521,2,3
68,2,49.00,54.00,1,0.246778,0,0
69,2,49.00,54.00,1,0.246038,0,0
70,2,54.00,49.00,1,0.245300,0,0
71,2,54.00,49.00,1,0.244564,0,0
72,0,0.00,0.00,1,0.243830,0,0
73,5,86.00,20.00,1,0.243099,1,1
74,7,69.00,74.00,1,0.242369,3,3
75,5,66.00,81.00,1,0.241642,0,1
76,6,85.00,24.00,1,0.240917,0,1
77,20,10.00,80.00,0,0.240194,1,3
78,3,38.00,53.00,1,0.239474,1,1
79,2,49.00,54.00,1,0.238755,0,0
80,3,58.00,38.00,1,0.238039,1,1
81,2,54.00,49.00,1,0.237325,0,0
82,5,20.00,86.00,1,0.236613,1,0
83,0,0.00,0.00,1,0.235903,0,0
84,4,92.00,87.00,1,0.235196,0,0
85,4,92.00,87.00,1,0.234490,0,0
86,4,82.00,16.00,1,0.233786,0,1
87,19,82.00,98.00,1,0.233085,1,3
88,3,48.00,53.00,1,0.232386,0,1
89,2,49.00,54.00,1,0.231689,0,0
90,4,57.00,37.00,1,0.230994,1,2
91,2,54.00,49.00,1,0.230301,0,0
92,2,49.00,8.00,1,0.229610,0,0
93,20,15.00,107.00,0,0.228921,1,2
94,6,100.00,85.00,1,0.228234,1,0
95,4,92.00,87.00,1,0.227549,0,0
96,5,76.00,20.00,1,0.226867,1,2
97,2,8.00,49.00,1,0.226186,0,0
98,2,49.00,54.00,1,0.225508,0,0
99,4,52.00,49.00,1,0.224831,1,0
100,2,54.00,49.00,1,0.224157,0,0
101,2,54.00,49.00,1,0.223484,0,0
102,1,4.00,50.00,1,0.222814,0,0
103,1,4.00,50.00,1,0.222145,0,0
104,6,95.00,70.00,1,0.221479,1,2
105,4,92.00,87.00,1,0.220814,0,0
106,5,86.00,20.00,1,0.220152,0,0
107,20,-30.00,116.00,0,0.219492,2,2
108,2,49.00,54.00,1,0.218833,0,0
109,3,48.00,53.00,1,0.218177,0,1
110,2,54.00,49.00,1,0.217522,0,0
111,3,53.00,48.00,1,0.216869,0,1
112,2,89.00,8.00,1,0.216219,0,0
113,4,92.00,87.00,1,0.215570,0,0
114,5,91.00,86.00,1,0.214923,0,1
115,4,92.00,87.00,1,0.214279,0,0
116,3,88.00,12.00,1,0.213636,0,0
117,1,50.00,4.00,1,0.212995,0,0
118,2,49.00,54.00,1,0.212356,0,0
119,2,49.00,54.00,1,0.211719,0,0
120,4,57.00,37.00,1,0.211084,1,1
121,2,54.00,49.00,1,0.210450,0,0
122,20,20.00,97.00,0,0.209819,2,2
123,4,52.00,87.00,1,0.209190,0,1
124,5,96.00,76.00,1,0.208562,1,1
125,4,92.00,87.00,1,0.207936,0,0
126,5,86.00,20.00,1,0.207313,0,2
127,2,89.00,8.00,1,0.206691,0,0
128,2,49.00,54.00,1,0.206071,0,0
129,2,49.00,54.00,1,0.205452,0,0
130,4,62.00,37.00,1,0.204836,1,1
131,3,53.00,48.00,1,0.204222,0,1
132,4,16.00,87.00,1,0.203609,0,1
133,8,3.00,32.00,1,0.202998,4,0
134,4,92.00,87.00,1,0.202389,0,0
135,9,89.00,72.00,1,0.201782,3,1
136,3,88.00,12.00,1,0.201177,0,0
137,5,46.00,96.00,1,0.200573,0,1
138,2,49.00,54.00,1,0.199971,0,0
139,2,49.00,54.00,1,0.199371,0,0
140,2,54.00,49.00,1,0.198773,0,0
141,2,54.00,49.00,1,0.198177,0,0
142,2,8.00,89.00,1,0.197582,0,0
143,1,4.00,50.00,1,0.196990,0,0
144,4,92.00,87.00,1,0.196399,0,0
145,4,92.00,87.00,1,0.195809,0,0
146,3,88.00,12.00,1,0.195222,0,0
147,0,0.00,0.00,1,0.194636,0,0
148,2,49.00,54.00,1,0.194052,0,0
149,2,49.00,54.00,1,0.193470,0,0
150,2,54.00,49.00,1,0.192890,0,0
151,3,58.00,48.00,1,0.192311,0,1
152,0,0.00,0.00,1,0.191734,0,0
153,20,20.00,80.00,0,0.191159,0,3
154,4,87.00,62.00,1,0.190586,0,0
155,6,80.00,75.00,1,0.190014,0,2
156,3,88.00,12.00,1,0.189444,0,0
157,5,51.00,86.00,1,0.188876,1,0
158,2,49.00,54.00,1,0.188309,0,0
159,2,49.00,54.00,1,0.187744,0,0
160,2,54.00,49.00,1,0.187181,0,0
161,2,54.00,49.00,1,0.186619,0,0
162,3,12.00,88.00,1,0.186059,0,0
163,0,0.00,0.00,1,0.185501,0,0
164,5,91.00,76.00,1,0.184945,1,1
165,4,92.00,87.00,1,0.184390,0,0
166,3,88.00,12.00,1,0.183837,0,0
167,2,8.00,49.00,1,0.183285,0,0
168,3,38.00,58.00,1,0.182735,1,1
169,2,49.00,54.00,1,0.182187,0,0
170,2,54.00,49.00,1,0.181641,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,143
# GoalRate_last100,0.95
