Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,20,-55.00,103.00,0,0.299100,4,15
2,20,80.00,-30.00,0,0.298203,1,20
3,12,79.00,94.00,1,0.297308,0,9
4,20,-35.00,-35.00,0,0.296416,9,6
5,5,-5.00,-25.00,1,0.300000,2,3
6,16,45.00,46.00,1,0.299100,4,12
7,4,87.00,16.00,1,0.298203,1,0
8,20,38.00,-85.00,0,0.297308,7,17
9,4,62.00,42.00,1,0.296416,0,2
10,4,62.00,47.00,1,0.295527,0,2
11,20,-45.00,83.00,0,0.294640,4,13
12,20,-69.00,-20.00,0,0.293756,10,1
13,0,0.00,0.00,1,0.292875,0,0
14,20,-30.00,-18.00,0,0.291997,10,2
15,20,5.00,103.00,0,0.291121,2,16
16,3,78.00,12.00,1,0.290247,1,1
17,4,47.00,62.00,1,0.289376,1,0
18,2,49.00,54.00,1,0.288508,0,0
19,2,54.00,49.00,1,0.287643,0,0
20,6,70.00,35.00,1,0.286780,1,4
21,20,-25.00,85.00,0,0.285920,3,15
22,0,0.00,0.00,1,0.285062,0,0
23,3,12.00,48.00,1,0.284207,0,2
24,20,20.00,46.00,0,0.283354,6,6
25,12,74.00,84.00,1,0.282504,1,7
26,20,-40.00,62.00,0,0.281656,3,14
27,4,16.00,47.00,1,0.280811,0,2
28,6,45.00,40.00,1,0.279969,1,4
29,2,54.00,49.00,1,0.279129,0,0
30,20,-28.00,98.00,0,0.278292,3,14
31,3,38.00,58.00,1,0.277457,1,0
32,13,68.00,98.00,1,0.276624,3,5
33,0,0.00,0.00,1,0.275795,0,0
34,20,-20.00,-30.00,0,0.274967,10,2
35,4,87.00,57.00,1,0.274142,0,1
36,3,83.00,12.00,1,0.273320,0,1
37,0,0.00,0.00,1,0.272500,0,0
38,5,56.00,31.00,1,0.271682,1,3
39,3,58.00,48.00,1,0.270867,0,1
40,4,54.00,47.00,1,0.270055,1,0
41,9,42.00,82.00,1,0.269245,0,6
42,3,48.00,12.00,1,0.268437,1,0
43,1,4.00,50.00,1,0.267632,0,0
44,20,10.00,-28.00,0,0.266829,8,3
45,6,85.00,62.00,1,0.266028,1,1
46,3,78.00,12.00,1,0.265230,1,1
47,20,-21.00,-60.00,0,0.264434,11,1
48,7,44.00,39.00,1,0.263641,1,5
49,2,54.00,49.00,1,0.262850,0,0
50,16,49.00,57.00,1,0.262062,4,7
51,10,41.00,81.00,1,0.261275,0,7
52,20,59.00,-40.00,0,0.260492,5,13
53,20,80.00,-25.00,0,0.259710,0,18
54,20,20.00,-20.00,0,0.258931,9,1
55,3,88.00,58.00,1,0.258154,0,0
56,2,89.00,8.00,1,0.257380,0,0
57,20,-39.00,-20.00,0,0.256608,10,2
58,7,44.00,39.00,1,0.255838,1,5
59,2,54.00,49.00,1,0.255070,0,0
60,7,43.00,44.00,1,0.254305,3,0
61,20,-20.00,111.00,0,0.253542,1,19
62,20,-95.00,-35.00,0,0.252781,11,7
63,3,12.00,48.00,1,0.252023,0,2
64,20,-28.00,-21.00,0,0.251267,8,6
65,4,87.00,62.00,1,0.250513,0,1
66,15,76.00,87.00,1,0.249762,1,9
67,20,20.00,20.00,0,0.249012,9,0
68,8,55.00,30.00,1,0.248265,3,2
69,2,54.00,49.00,1,0.247521,0,0
70,4,57.00,37.00,1,0.246778,1,1
71,4,47.00,42.00,1,0.246038,1,1
72,0,0.00,0.00,1,0.245300,0,0
73,10,61.00,21.00,1,0.244564,3,5
74,5,91.00,86.00,1,0.243830,0,1
75,3,88.00,58.00,1,0.243099,0,0
76,2,89.00,8.00,1,0.242369,0,0
77,20,-45.00,80.00,0,0.241642,3,18
78,20,-23.00,-35.00,0,0.240917,2,18
79,2,54.00,49.00,1,0.240194,0,0
80,6,54.00,45.00,1,0.239474,2,0
81,20,-20.00,126.00,0,0.238755,0,19
82,20,20.00,-20.00,0,0.238039,9,1
83,19,137.00,-23.00,1,0.237325,2,9
84,20,0.00,-40.00,0,0.236613,9,5
85,4,87.00,62.00,1,0.235903,0,1
86,2,89.00,8.00,1,0.235196,0,0
87,0,0.00,0.00,1,0.234490,0,0
88,20,-11.00,-30.00,0,0.233786,3,16
89,3,53.00,48.00,1,0.233085,0,1
90,20,47.00,-30.00,0,0.232386,8,3
91,20,-20.00,118.00,0,0.231689,1,17
92,17,14.00,68.00,1,0.230994,2,15
93,16,70.00,64.00,1,0.230301,0,14
94,9,82.00,57.00,1,0.229610,2,1
95,4,87.00,62.00,1,0.228921,0,1
96,3,88.00,12.00,1,0.228234,0,1
97,2,8.00,49.00,1,0.227549,0,0
98,11,41.00,40.00,1,0.226867,4,3
99,2,54.00,49.00,1,0.226186,0,0
100,18,40.00,103.00,1,0.225508,1,13
101,12,29.00,94.00,1,0.224831,1,9
102,11,30.00,44.00,1,0.224157,1,8
103,11,85.00,80.00,1,0.223484,0,8
104,20,10.00,20.00,0,0.222814,9,2
105,3,88.00,58.00,1,0.222145,0,0
106,3,83.00,12.00,1,0.221479,0,1
107,20,10.00,-49.00,0,0.220814,10,5
108,16,78.00,15.00,1,0.220152,4,6
109,2,54.00,49.00,1,0.219492,0,0
110,12,42.00,29.00,1,0.218833,6,1
111,12,39.00,94.00,1,0.218177,0,10
112,0,0.00,0.00,1,0.217522,0,0
113,20,-13.00,71.00,1,0.216869,9,0
114,19,72.00,42.00,1,0.216219,7,1
115,3,88.00,58.00,1,0.215570,0,0
116,7,79.00,28.00,1,0.214923,0,3
117,3,53.00,88.00,1,0.214279,0,0
118,2,54.00,49.00,1,0.213636,0,0
119,2,54.00,49.00,1,0.212995,0,0
120,20,8.00,-25.00,0,0.212356,9,2
121,5,46.00,66.00,1,0.211719,0,2
122,20,80.00,-25.00,0,0.211084,0,19
123,1,4.00,50.00,1,0.210450,0,0
124,20,15.00,-25.00,0,0.209819,8,3
125,5,76.00,51.00,1,0.209190,1,2
126,2,89.00,8.00,1,0.208562,0,0
127,0,0.00,0.00,1,0.207936,0,0
128,2,54.00,49.00,1,0.207313,0,0
129,3,58.00,38.00,1,0.206691,1,1
130,20,50.00,-35.00,0,0.206071,9,4
131,5,46.00,66.00,1,0.205452,0,3
132,20,102.00,36.00,1,0.204836,1,16
133,0,0.00,0.00,1,0.204222,0,0
134,15,61.00,41.00,1,0.203609,5,3
135,4,87.00,97.00,1,0.202998,0,0
136,2,89.00,8.00,1,0.202389,0,0
137,20,-19.00,-80.00,0,0.201782,11,3
138,2,54.00,49.00,1,0.201177,0,0
139,3,43.00,48.00,1,0.200573,1,1
140,5,53.00,36.00,1,0.199971,2,0
141,11,30.00,90.00,1,0.199371,1,8
142,1,4.00,50.00,1,0.198773,0,0
143,2,9.00,8.00,1,0.198177,1,0
144,20,20.00,20.00,0,0.197582,7,4
145,3,88.00,58.00,1,0.196990,0,0
146,2,89.00,8.00,1,0.196399,0,0
147,0,0.00,0.00,1,0.195809,0,0
148,2,54.00,49.00,1,0.195222,0,0
149,2,54.00,49.00,1,0.194636,0,0
150,5,53.00,36.00,1,0.194052,2,0
151,3,38.00,58.00,1,0.193470,1,0
152,5,42.00,86.00,1,0.192890,1,0
153,2,49.00,54.00,1,0.192311,0,0
154,5,96.00,86.00,1,0.191734,0,1
155,5,86.00,66.00,1,0.191159,0,2
156,2,89.00,8.00,1,0.190586,0,0
157,3,88.00,58.00,1,0.190014,0,0
158,2,54.00,49.00,1,0.189444,0,0
159,2,54.00,49.00,1,0.188876,0,0
160,10,62.00,26.00,1,0.188309,4,1
161,12,24.00,94.00,1,0.187744,1,9
162,4,52.00,87.00,1,0.187181,0,1
163,4,87.00,47.00,1,0.186619,1,1
164,4,92.00,87.00,1,0.186059,0,0
165,5,66.00,56.00,1,0.185501,2,2
166,2,89.00,8.00,1,0.184945,0,0
167,20,80.00,-20.00,0,0.184390,0,17
168,2,54.00,49.00,1,0.183837,0,0
169,2,54.00,49.00,1,0.183285,0,0
170,5,58.00,46.00,1,0.182735,1,0
171,19,12.00,114.00,1,0.182187,3,14
172,0,0.00,0.00,1,0.181641,0,0
173,0,0.00,0.00,1,0.181096,0,0
174,4,87.00,57.00,1,0.180552,0,0
175,4,87.00,57.00,1,0.180011,0,1
176,2,89.00,8.00,1,0.179471,0,0
177,2,8.00,49.00,1,0.178932,0,0
178,4,54.00,47.00,1,0.178395,1,0
179,2,54.00,49.00,1,0.177860,0,0
180,5,43.00,46.00,1,0.177327,2,0
181,20,-30.00,126.00,0,0.176795,0,19
182,0,0.00,0.00,1,0.176264,0,0
183,1,50.00,4.00,1,0.175735,0,0
184,4,92.00,87.00,1,0.175208,0,0
185,3,88.00,58.00,1,0.174683,0,0
186,2,89.00,8.00,1,0.174159,0,0
187,20,80.00,-30.00,0,0.173636,1,19
188,2,54.00,49.00,1,0.173115,0,0
189,2,54.00,49.00,1,0.172596,0,0
190,19,53.00,22.00,1,0.172078,9,0
191,9,22.00,82.00,1,0.171562,2,6
192,1,4.00,50.00,1,0.171047,0,0
193,5,86.00,-33.00,1,0.170534,2,0
194,4,92.00,87.00,1,0.170022,0,0
195,4,87.00,62.00,1,0.169512,0,0
196,2,89.00,8.00,1,0.169004,0,0
197,2,49.00,54.00,1,0.168497,0,0
198,2,54.00,49.00,1,0.167991,0,0
199,2,54.00,49.00,1,0.167487,0,0
200,20,3.00,-20.00,0,0.166985,9,2
201,8,43.00,63.00,1,0.166484,1,6
202,0,0.00,0.00,1,0.165984,0,0

# Summary
# FirstGoalEpisode,3
# TotalGoalCount,144
# GoalRate_last100,0.88
