profile,mode,n_runs,defect_component,detection_rate,reconverge_rate,n_detected,n_reconverged,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,3.6,3.0,4.4
lab1_f1dead,ql_true,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,3.6,2.8,4.4
lab2_f1dead,ql_false,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,5.8,3.2,8.6
lab2_f1dead,ql_true,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,4.2,2.8,5.6
lab2_f1inv,ql_false,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,4.8,3.8,5.8
lab2_f1inv,ql_true,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,3.4,3.0,3.8
lab2_f2dead,ql_false,5,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,6.4,4.6,7.8
lab2_f2dead,ql_true,5,http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,3.8,3.2,4.4
lab2_f2inv,ql_false,5,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,6.2,4.6,7.4
lab2_f2inv,ql_true,5,http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,3.6,3.2,4.0
lab3_f1dead,ql_false,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,23.8,13.6,32.2
lab3_f1dead,ql_true,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,65.4,33.6,107.0
lab3_f1inv,ql_false,5,http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,20.0,9.6,33.0
lab3_f1inv,ql_true,5,http://example.org/was#SetSpotlight;http://example.org/was#SetZ1Light,1.0,0.0,5,0,nan,nan,nan,257.0,75.4,475.2
lab3_f2dead,ql_false,5,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,10.4,7.6,13.6
lab3_f2dead,ql_true,5,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,6.8,4.6,8.8
lab3_f2inv,ql_false,5,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,10.6,8.6,12.2
lab3_f2inv,ql_true,5,http://example.org/was#SetSpotlight;http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,5,0,nan,nan,nan,6.0,2.8,10.6
