profile,mode,n_runs,defect_component,detection_rate,reconverge_rate,n_detected,n_reconverged,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,127.8,104.2975,155.90249999999997,3.2,2.5,3.9
lab1_f1dead,ql_true,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,184.1,156.8,212.7,3.2,2.7,3.8
lab2_f1dead,ql_false,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,384.5,235.0,571.3174999999997,5.4,4.497500000000002,6.5
lab2_f1dead,ql_true,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,480.6,386.8,584.7049999999999,3.4,3.0,3.8
lab2_f1inv,ql_false,10,http://example.org/was#SetZ1Light,1.0,0.7,10,7,269.57142857142856,202.1392857142857,340.57142857142856,5.9,4.7,7.2
lab2_f1inv,ql_true,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,539.6,405.3975,686.8,3.9,3.0,5.0
lab2_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,10,0,nan,nan,nan,4.5,3.6,5.6
lab2_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,10,0,nan,nan,nan,3.9,3.5,4.3
lab2_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,10,0,nan,nan,nan,6.3,4.8,7.7
lab2_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,10,0,nan,nan,nan,4.5,3.8,5.3
lab3_f1dead,ql_false,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,238.4,186.3,292.4,15.7,11.4,20.0
lab3_f1dead,ql_true,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,143.1,124.3,162.5,54.2,36.9975,72.6
lab3_f1inv,ql_false,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,628.3,252.7975,1332.6,16.8,12.3,22.4
lab3_f1inv,ql_true,10,http://example.org/was#SetZ1Light,1.0,1.0,10,10,341.3,306.4,379.9,90.5,68.9,115.1
lab3_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.5,10,5,2242.8,1778.4,2796.0,9.9,8.1,11.6
lab3_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,1.0,10,10,1944.0,1626.6750000000002,2181.5,10.2,10.0,10.5
lab3_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,10,0,nan,nan,nan,11.3,9.8,12.7
lab3_f2inv,ql_true,10,http://example.org/was#SetSpotlight;http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,1.0,0.0,10,0,nan,nan,nan,8.1,5.4,10.9
