profile,mode,n_runs,defect_component,well_posed_recovery,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,144.1,122.9,165.0,3.7,3.2,4.1
lab1_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,150.7,129.2,172.4,3.4,2.6,4.1
lab2_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.7,10,7,0.065,0,0.0,592.1428571428571,251.42857142857142,1037.0,5.8,4.5,7.4
lab2_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.085,0,0.0,507.5,411.9,612.3024999999999,3.9,3.3,4.6
lab2_f1inv,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.8,10,8,0.02,0,0.0,411.0,222.121875,751.625,6.2,4.7,7.8
lab2_f1inv,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.03,0,0.0,458.5,420.9,496.20249999999993,3.7,3.0,4.5
lab2_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.055,0,0.0,nan,nan,nan,5.6,4.2,7.1
lab2_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.065,0,0.0,nan,nan,nan,3.8,3.1,4.4
lab2_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.02,0,0.0,nan,nan,nan,5.6,4.5,6.7
lab2_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.02,0,0.0,nan,nan,nan,4.8,3.9,5.8
lab3_f1dead,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,0.9,10,9,0.97,9,0.9,260.44444444444446,202.33333333333334,323.22222222222223,24.9,17.1,33.5
lab3_f1dead,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.915,10,1.0,128.1,99.0,158.20249999999996,58.4,37.1,81.9
lab3_f1inv,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.44,2,0.2,273.4,221.7,332.30249999999995,26.1,17.6,37.6
lab3_f1inv,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,0.9,10,9,0.425,4,0.4,420.3333333333333,318.0,526.8888888888889,152.1,96.5,223.30249999999998
lab3_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.7,10,7,0.335,0,0.0,2557.5714285714284,2038.5714285714287,3102.5714285714284,10.3,8.4,12.2
lab3_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.9,10,9,0.365,0,0.0,2265.1111111111113,2135.2166666666667,2398.7805555555556,9.7,8.6,10.8
lab3_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.215,0,0.0,nan,nan,nan,10.2,8.3,12.1
lab3_f2inv,ql_true,10,http://example.org/was#SetSpotlight;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.305,0,0.0,nan,nan,nan,5.5,4.4,6.9
