Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,20,-95.00,-145.00,0,0.300000,19,5
1,20,-85.00,-155.00,0,0.298800,19,4
2,20,-100.00,-70.00,0,0.297605,16,5
3,20,-90.00,-150.00,0,0.296414,18,6
4,20,-90.00,-10.00,0,0.295229,14,4
5,20,0.00,-40.00,0,0.300000,13,2
6,20,-30.00,10.00,0,0.298800,10,2
7,20,-160.00,-80.00,0,0.297605,18,4
8,20,-97.00,23.00,0,0.296414,16,2
9,20,-35.00,5.00,0,0.295229,12,4
10,20,-30.00,-17.00,0,0.300000,12,4
11,20,-105.00,-135.00,0,0.298800,3,18
12,20,-110.00,-130.00,0,0.297605,10,15
13,1,50.00,4.00,1,0.296414,0,0
14,20,-120.00,-120.00,0,0.295229,4,16
15,20,-40.00,10.00,0,0.294048,11,3
16,20,-40.00,-10.00,0,0.292872,10,5
17,20,5.00,-35.00,0,0.291700,10,3
18,20,-115.00,-125.00,0,0.290533,7,16
19,20,-47.00,0.00,0,0.289371,10,7
20,20,7.00,-32.00,0,0.288214,10,5
21,20,-32.00,7.00,0,0.287061,8,5
22,20,-100.00,-140.00,0,0.285913,10,16
23,20,-120.00,-120.00,0,0.284769,6,18
24,20,-85.00,-155.00,0,0.283630,9,18
25,20,-120.00,-120.00,0,0.282495,2,20
26,20,15.00,-25.00,0,0.281365,9,1
27,20,5.00,-55.00,0,0.280240,11,5
28,20,-45.00,-5.00,0,0.279119,11,5
29,20,-40.00,-40.00,0,0.278002,10,4
30,20,-39.00,-25.00,0,0.276890,11,4
31,20,19.00,-5.00,0,0.275783,8,6
32,20,17.00,19.00,0,0.274680,9,4
33,20,-100.00,-140.00,0,0.273581,8,17
34,20,-150.00,-90.00,0,0.272487,8,16
35,20,-80.00,-160.00,0,0.271397,10,19
36,20,-120.00,-120.00,0,0.270311,4,20
37,20,-10.00,10.00,0,0.269230,11,4
38,20,5.00,-55.00,0,0.268153,11,5
39,20,0.00,0.00,0,0.267080,9,4
40,20,-80.00,0.00,0,0.266012,10,4
41,20,-20.00,39.00,0,0.264948,10,1
42,20,34.00,24.00,0,0.263888,9,2
43,1,50.00,4.00,1,0.262833,0,0
44,20,-115.00,-125.00,0,0.261781,9,18
45,20,-150.00,-90.00,0,0.260734,8,16
46,20,-125.00,-115.00,0,0.259691,7,16
47,20,-120.00,-120.00,0,0.258653,2,19
48,20,10.00,10.00,0,0.257618,8,2
49,20,10.00,10.00,0,0.256587,8,2
50,20,0.00,-30.00,0,0.255561,9,3
51,20,-115.00,-125.00,0,0.254539,9,20
52,20,29.00,-10.00,0,0.253521,10,1
53,20,39.00,-20.00,0,0.252507,10,1
54,20,15.00,-25.00,0,0.251497,9,1
55,20,-120.00,-120.00,0,0.250491,6,18
56,20,-150.00,-90.00,0,0.249489,8,18
57,20,19.00,-22.00,0,0.248491,11,3
