Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,20,-63.00,-33.00,0,0.300000,13,6
1,20,5.00,5.00,0,0.299100,12,3
2,20,-92.00,-112.00,0,0.298203,13,1
3,20,-118.00,-140.00,0,0.300000,19,11
4,20,-114.00,-163.00,0,0.299100,17,8
5,20,-150.00,-110.00,0,0.298203,19,9
6,20,-105.00,-53.00,0,0.297308,15,8
7,20,-36.00,-138.00,0,0.296416,17,6
8,11,76.00,26.00,1,0.295527,7,6
9,20,-89.00,-8.00,0,0.294640,14,12
10,20,13.00,3.00,0,0.293756,11,6
11,20,-110.00,-180.00,0,0.292875,18,9
12,20,-130.00,-20.00,0,0.291997,14,10
13,20,-120.00,-160.00,0,0.291121,16,9
14,20,-4.00,-144.00,0,0.290247,18,5
15,20,-125.00,-45.00,0,0.289376,17,12
16,20,-115.00,-104.00,0,0.300000,16,12
17,20,-130.00,-39.00,0,0.299100,16,13
18,4,100.00,100.00,1,0.298203,1,0
19,20,-120.00,-150.00,0,0.297308,16,13
20,20,-6.00,-66.00,0,0.296416,13,6
21,20,-150.00,-140.00,0,0.295527,18,11
22,20,-155.00,-115.00,0,0.294640,15,12
23,20,-106.00,-8.00,0,0.293756,14,9
24,20,23.00,-137.00,0,0.292875,18,1
25,20,-120.00,-150.00,0,0.291997,16,10
26,20,-115.00,-5.00,0,0.291121,14,9
27,0,0.00,0.00,1,0.290247,0,0
28,2,100.00,100.00,1,0.289376,0,0
29,20,-125.00,-155.00,0,0.288508,17,11
30,20,13.00,-17.00,0,0.287643,13,5
31,20,-140.00,-140.00,0,0.286780,16,12
32,0,0.00,0.00,1,0.285920,0,0
33,20,-155.00,-125.00,0,0.285062,17,11
34,20,-17.00,-87.00,0,0.284207,17,3
35,20,-125.00,-145.00,0,0.283354,17,11
36,20,-145.00,-13.00,0,0.282504,16,11
37,0,0.00,0.00,1,0.281656,0,0
38,2,100.00,100.00,1,0.280811,0,0
39,20,-160.00,-120.00,0,0.279969,16,10
40,20,-28.00,-68.00,0,0.279129,14,7
41,20,-165.00,-135.00,0,0.278292,17,12
42,20,-67.00,-97.00,0,0.277457,15,5
43,20,-155.00,-145.00,0,0.276624,17,12
44,20,6.00,-144.00,0,0.275795,18,3
45,20,-135.00,-165.00,0,0.274967,19,10
46,20,-140.00,12.00,0,0.274142,15,9
47,20,-125.00,-165.00,0,0.273320,17,9
48,2,100.00,100.00,1,0.272500,0,0
49,20,-150.00,-150.00,0,0.271682,16,11
50,20,-188.00,-38.00,0,0.270867,19,3
51,20,-135.00,-145.00,0,0.270055,17,11
52,20,-85.00,-175.00,0,0.269245,17,8
53,7,28.00,44.00,1,0.268437,0,6
54,20,-19.00,-129.00,0,0.267632,19,4
55,20,-150.00,-130.00,0,0.266829,16,13
56,20,-100.00,-59.00,0,0.266028,12,10
57,20,-112.00,-42.00,0,0.265230,16,1
58,2,100.00,100.00,1,0.264434,0,0
59,20,-170.00,-120.00,0,0.263641,18,10
60,20,22.00,42.00,0,0.262850,10,3
61,20,-135.00,-125.00,0,0.262062,15,10
62,20,-163.00,-93.00,0,0.261275,17,2
63,14,53.00,87.00,1,0.260492,8,6
64,20,-81.00,-131.00,0,0.259710,15,4
65,20,-140.00,-130.00,0,0.258931,16,12
66,20,-105.00,-15.00,0,0.258154,15,6
67,20,-120.00,-140.00,0,0.257380,18,13
68,4,100.00,100.00,1,0.256608,1,0
69,20,-140.00,-140.00,0,0.255838,18,11
70,20,0.00,0.00,0,0.255070,11,5
71,20,-140.00,-130.00,0,0.254305,18,12
72,20,-39.00,-130.00,0,0.253542,14,11
73,6,15.00,55.00,1,0.252781,4,3
74,20,-107.00,-107.00,0,0.252023,16,2
75,20,-110.00,-150.00,0,0.251267,18,10
76,20,-100.00,20.00,0,0.250513,13,7
77,20,-53.00,-3.00,0,0.249762,16,4
78,2,100.00,100.00,1,0.249012,0,0
79,20,-110.00,-150.00,0,0.248265,16,11
80,20,-100.00,-20.00,0,0.247521,15,0
81,20,-155.00,-135.00,0,0.246778,17,11
82,20,-155.00,-125.00,0,0.246038,15,14
83,20,-101.00,-145.00,0,0.245300,16,14
84,20,-72.00,-102.00,0,0.244564,12,1
85,20,-140.00,-140.00,0,0.243830,16,11
86,20,-100.00,-20.00,0,0.243099,11,6
87,20,-49.00,-140.00,0,0.242369,15,15
88,2,100.00,100.00,1,0.241642,0,0
89,20,-150.00,-140.00,0,0.240917,16,12
90,20,-24.00,-24.00,0,0.240194,12,2
91,20,-135.00,-145.00,0,0.239474,17,10
92,1,50.00,50.00,1,0.238755,0,0
93,20,2.00,62.00,0,0.238039,7,13
94,20,-107.00,-107.00,0,0.237325,15,5
95,20,-140.00,-160.00,0,0.236613,18,12
96,20,-105.00,-24.00,0,0.235903,12,6
97,20,-24.00,-34.00,0,0.235196,10,3
98,3,89.00,89.00,1,0.234490,1,1
99,20,-135.00,-145.00,0,0.233786,17,12
100,20,-9.00,-39.00,0,0.233085,11,2
101,20,-140.00,-130.00,0,0.232386,18,11
102,20,-125.00,-145.00,0,0.231689,15,12
103,4,-7.00,-8.00,1,0.230994,2,2
104,20,-60.00,-100.00,0,0.230301,15,5
105,20,-150.00,-130.00,0,0.229610,16,13
106,20,-135.00,29.00,0,0.228921,15,5
107,20,-165.00,-155.00,0,0.228234,19,11
108,2,100.00,100.00,1,0.227549,0,0
109,20,-130.00,-120.00,0,0.226867,16,13
110,20,-129.00,-9.00,0,0.226186,19,5
111,20,-125.00,-155.00,0,0.225508,15,11
112,20,1.00,191.00,0,0.224831,3,17
113,0,0.00,0.00,1,0.224157,0,0
