profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,10,150.5,363.4,-212.9,-271.9,-148.3,0.0,1.0,0.00390625,-0.86,True,0.0,2
lab3_f1inv,RecoveryEpisodes,9,364.55555555555554,332.77777777777777,31.77777777777778,-137.22222222222223,174.55833333333328,0.6496,0.3248,0.49609375,0.2345679012345679,False,0.6496,2
lab1_f1dead,DetectEpisode,10,3.4,3.1,0.3,-0.4,0.9,0.4768,0.2384,0.59375,0.2,False,0.5364,9
lab2_f1dead,DetectEpisode,10,3.7,5.9,-2.2,-4.8,0.2,0.0836,0.9653,0.234375,-0.35,True,0.1881,9
lab2_f1inv,DetectEpisode,10,3.7,5.1,-1.4,-3.8,0.7,0.2348,0.9018,0.3828125,-0.31,True,0.30188571428571426,9
lab2_f2dead,DetectEpisode,10,3.4,5.5,-2.1,-3.8,-0.4,0.0118,0.9962,0.06640625,-0.55,True,0.0531,9
lab2_f2inv,DetectEpisode,10,4.2,5.7,-1.5,-3.0,0.1,0.0772,0.9696,0.125,-0.41,True,0.1881,9
lab3_f1dead,DetectEpisode,10,45.4,28.5,16.9,-8.3,41.50249999999996,0.1814,0.0907,0.26171875,0.38,False,0.2721,9
lab3_f1inv,DetectEpisode,10,144.8,18.6,126.2,77.3,185.20249999999996,0.0,0.0,0.001953125,1.0,False,0.0,9
lab3_f2dead,DetectEpisode,10,8.5,9.6,-1.1,-4.4,1.9,0.5408,0.7525,0.71875,-0.08,True,0.5408,9
lab3_f2inv,DetectEpisode,10,12.9,9.3,3.6,-0.8,7.9,0.1204,0.0602,0.12109375,0.43,False,0.21671999999999997,9
