Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,20,-210.00,0.00,0,0.300000,18,5
1,20,-155.00,0.00,0,0.297600,7,17
2,20,-175.00,0.00,0,0.295219,11,12
3,20,-180.00,0.00,0,0.292857,12,13
4,20,-195.00,0.00,0,0.300000,15,12
5,20,-155.00,0.00,0,0.297600,7,20
6,20,-160.00,0.00,0,0.295219,8,19
7,20,-160.00,0.00,0,0.292857,8,20
8,20,-155.00,0.00,0,0.290515,7,19
9,20,-150.00,0.00,0,0.288190,6,20
10,20,-155.00,0.00,0,0.285885,7,19
11,20,-155.00,0.00,0,0.283598,7,20
12,20,-145.00,0.00,0,0.281329,5,19
13,20,-150.00,0.00,0,0.279078,6,20
14,20,-150.00,0.00,0,0.276846,6,19
15,20,-150.00,0.00,0,0.274631,6,20
16,20,-165.00,0.00,0,0.272434,9,20
17,20,-150.00,0.00,0,0.270255,6,20
18,20,-145.00,0.00,0,0.268093,5,19
19,20,-140.00,0.00,0,0.265948,4,20
20,20,-135.00,0.00,0,0.263820,3,19
21,20,-150.00,0.00,0,0.261710,6,20
22,20,-145.00,0.00,0,0.259616,5,19
23,20,-145.00,0.00,0,0.257539,5,20
24,20,-130.00,0.00,0,0.255479,2,19
25,20,-140.00,0.00,0,0.253435,4,20
26,20,-135.00,0.00,0,0.251407,3,19
27,20,-130.00,0.00,0,0.249396,2,20
28,20,-150.00,0.00,0,0.247401,6,19
29,20,-145.00,0.00,0,0.245422,5,20
30,20,-125.00,0.00,0,0.243458,1,19
31,20,-145.00,0.00,0,0.241511,5,20
32,20,-140.00,0.00,0,0.239579,4,19
33,20,-130.00,0.00,0,0.237662,2,20
34,20,-125.00,0.00,0,0.235761,1,20
35,20,-140.00,0.00,0,0.233875,4,20
36,20,-140.00,0.00,0,0.232004,4,19
37,20,-140.00,0.00,0,0.230148,4,20
38,20,-130.00,0.00,0,0.228306,2,19
39,20,-140.00,0.00,0,0.226480,4,20
40,20,-130.00,0.00,0,0.224668,2,19
41,20,-140.00,0.00,0,0.222871,4,20
42,20,-140.00,0.00,0,0.221088,4,19
43,20,-120.00,0.00,0,0.219319,0,20
44,20,-140.00,0.00,0,0.217565,4,19
45,20,-145.00,0.00,0,0.215824,5,20
46,20,-135.00,0.00,0,0.214097,3,20
47,20,-140.00,0.00,0,0.212385,4,20
48,20,-130.00,0.00,0,0.210686,2,19
49,20,-130.00,0.00,0,0.209000,2,20
50,20,-135.00,0.00,0,0.207328,3,19
51,20,-130.00,0.00,0,0.205669,2,20
52,20,-130.00,0.00,0,0.204024,2,20
53,20,-140.00,0.00,0,0.202392,4,20
54,20,-130.00,0.00,0,0.200773,2,19
55,20,-140.00,0.00,0,0.199167,4,20
56,20,-125.00,0.00,0,0.197573,1,19
57,20,-120.00,0.00,0,0.195993,0,20
58,20,-135.00,0.00,0,0.194425,3,19
59,20,-135.00,0.00,0,0.192869,3,20
60,20,-135.00,0.00,0,0.191326,3,19
61,20,-135.00,0.00,0,0.189796,3,20
62,20,-125.00,0.00,0,0.188277,1,19
63,20,-135.00,0.00,0,0.186771,3,20
64,20,-155.00,0.00,0,0.185277,7,20
65,20,-130.00,0.00,0,0.183795,2,20
66,20,-125.00,0.00,0,0.182324,1,19
67,20,-125.00,0.00,0,0.180866,1,20
68,20,-125.00,0.00,0,0.179419,1,19
69,20,-130.00,0.00,0,0.177984,2,20
70,20,-130.00,0.00,0,0.176560,2,20
71,20,-130.00,0.00,0,0.175147,2,20
72,20,-125.00,0.00,0,0.173746,1,19
73,20,-120.00,0.00,0,0.172356,0,20
74,20,-120.00,0.00,0,0.170977,0,20
75,20,-120.00,0.00,0,0.169609,0,20
76,20,-145.00,0.00,0,0.168253,5,19
